Exred_mean,Saturatoin_mean,field19
-16.555555,0.3142778,negative
-19.444445,0.112421244,negative
2,0.6031746,positive
-3.5555556,1,negative
-14.777778,0.43023896,negative
-9.888889,0.39095718,negative
-18.333334,0.29629385,negative
6.3333335,0.662037,positive
-8.777778,0.4368953,positive
-14.888889,0.5471734,negative
3.4444444,0.5456349,positive
-32.22222,0.17719091,negative
-5.6666665,0.94708997,negative
2.7777777,0.39975148,positive
-8,0.5633903,negative
-20.777779,0.31292745,negative
4.5555553,0.5952381,positive
-4,0.44109204,positive
-19.11111,0.45775157,negative
-10.777778,0.28057775,negative
-39.77778,0.24193405,negative
-3.7777777,0.9777778,negative
-27,0.21226363,negative
-18.333334,0.27272084,negative
-5.111111,0.24844901,negative
-2.2222223,0.4235012,positive
-0.7777778,0.40821064,positive
-12.222222,0.39566323,negative
-24.11111,0.35897508,negative
-10.666667,0.29394883,negative
-15,0.27157217,negative
4.4444447,0.56613755,positive
-37.77778,0.25329855,negative
-5.111111,0.19248421,negative
-11.111111,0.27063802,negative
-25.555555,0.6812664,negative
-19,0.40074632,negative
-2.5555556,0.51256585,negative
-21.555555,0.35522667,negative
-24.11111,0.35897508,negative
-9.222222,0.41670507,negative
5.888889,0.38499743,positive
-6.3333335,0.548545,negative
-25.11111,0.67951304,negative
4.4444447,0.5244709,positive
-7.2222223,0.64589113,negative
-6.4444447,0.46356925,negative
-8,0.91006523,negative
-1.1111112,0.41266233,positive
-10.333333,0.2758183,negative
-11.666667,0.6950877,negative
-10.888889,0.4089133,negative
-32.88889,0.1855386,negative
-34.22222,0.19485293,negative
-10.555555,0.37555233,negative
-16.333334,0.2638465,negative
0,0,negative
-21.222221,0.31283396,negative
-49.666668,0.37868166,negative
-18.777779,0.3036015,negative
-10.444445,0.3500821,negative
-8.555555,0.8047243,negative
-12.555555,0.28055963,negative
-7.888889,0.3476919,negative
-4.888889,0.42569095,positive
-8.444445,0.2664361,negative
-20.777779,0.31254068,negative
-18.444445,0.3002418,negative
-16.444445,0.33502588,negative
-11.666667,0.2727516,negative
-11.111111,0.36886615,negative
-13,0.26545405,negative
-24,0.33601543,negative
-7.111111,0.85319865,negative
-1.4444444,1,negative
-19.222221,0.10463921,negative
-30.11111,0.17719495,negative
-12.444445,0.30882394,negative
-16.444445,0.30700684,negative
-4.888889,0.5205782,negative
-14.111111,0.07980576,negative
-19.333334,0.31522787,negative
-6.5555553,0.5760211,negative
-7.111111,0.9195971,negative
-11.666667,0.56489813,negative
-8.888889,0.29320765,negative
-6.2222223,0.40555555,negative
-38.666668,0.22074823,negative
-7.6666665,0.66625965,negative
-11.444445,0.69722587,negative
-8.222222,0.2712077,negative
1.6666666,0.5714286,positive
-13.444445,0.3384073,negative
-23.222221,0.29957896,negative
-32,0.23914346,negative
-31.88889,0.21837935,negative
-20.444445,0.2978795,negative
-2.8888888,0.9777778,negative
-24.777779,0.30969977,negative
-3.3333333,0.422223,positive
-1.1111112,0.08501683,negative
-10.666667,0.35213172,negative
-11.888889,0.38186744,negative
2.8888888,0.56291884,positive
-1.4444444,0.6984448,positive
-19.666666,0.12111875,negative
-3.3333333,0.9777778,negative
-11,0.43169576,negative
-29.333334,0.3181906,negative
-7.888889,0.54770046,negative
-15.222222,0.57665956,negative
-2.8888888,0.9777778,negative
-15.444445,0.2986217,negative
0,0,negative
-7.888889,0.4296633,positive
-36.77778,0.2754667,negative
-11.444445,0.40075645,negative
-18.88889,0.30391166,negative
-6.2222223,0.46332908,negative
-1.4444444,0.40736422,positive
-5.2222223,0.2371126,negative
-6.4444447,0.9861111,negative
-9.777778,0.44245604,negative
-39.22222,0.23132005,negative
-1.2222222,0.7777778,negative
-0.33333334,0.37037036,negative
-3,0.91798943,negative
3.6666667,0.61706346,positive
-12,0.30988368,negative
-11.333333,0.40922624,negative
-1.3333334,0.7777778,negative
-24.777779,0.30969977,negative
-13.666667,0.63092834,negative
0.33333334,0.41007325,positive
-31,0.17560509,negative
-14.222222,0.6989016,negative
-12.666667,0.45154575,negative
-16.444445,0.6014436,negative
-14.333333,0.33970988,negative
4.3333335,0.37602362,positive
-20.666666,0.3183665,negative
-0.33333334,0.22222222,negative
-29,0.17584375,negative
0,0,negative
-17.222221,0.28552282,negative
0,0,negative
-5.111111,0.50096595,negative
-3,1,negative
-6.888889,0.42836255,negative
-0.11111111,0.11111111,negative
-19.11111,0.30018097,negative
-13.333333,0.32738453,negative
-28,0.1655495,negative
-7.7777777,0.48786426,negative
-2.7777777,1,negative
-16.777779,0.44974732,negative
-4.6666665,0.84708995,negative
-8.777778,0.63492066,negative
-11.444445,0.27838665,negative
-16.666666,0.2899971,negative
2.7777777,0.39975148,positive
-15.222222,0.35148725,negative
-8.111111,0.25891644,negative
-10.555555,0.74729437,negative
-7.888889,0.4351852,negative
-6.7777777,0.6137184,negative
-17.777779,0.099060155,negative
-21.333334,0.30251354,negative
-10.333333,0.89084005,negative
-7.111111,0.3006237,negative
-18.222221,0.11065291,negative
-1,1,negative
-6.5555553,0.8135803,negative
-14.111111,0.30094525,negative
-1.8888888,0.1761556,negative
-4.3333335,0.8783951,negative
-7.7777777,0.48786426,negative
-19.222221,0.27165923,negative
-10.222222,0.7305922,negative
-19.666666,0.3181372,negative
-19.333334,0.30252522,negative
-30.333334,0.17608316,negative
-4.2222223,0.45768142,positive
-11.555555,0.26060534,negative
-9.888889,0.2807636,negative
-20.333334,0.27568987,negative
-20.777779,0.30559286,negative
-36.333332,0.21508773,negative
-6.4444447,0.91798943,negative
-5.2222223,0.40115124,negative
3.5555556,0.5746032,positive
-41.22222,0.24072178,negative
-21.222221,0.29552308,negative
-8.222222,0.41042024,negative
-9.666667,0.6197129,negative
-28.777779,0.17494753,negative
-24.222221,0.28623843,negative
-7.111111,0.22118697,negative
-39.77778,0.24010754,negative
-22.11111,0.12738518,negative
-20.555555,0.32513812,negative
-23.666666,0.31752294,negative
-11.111111,0.36533174,negative
-18.11111,0.4005362,negative
-12.666667,0.3882103,negative
-7.2222223,0.48219234,negative
-11.111111,0.47822163,negative
-5.111111,0.6304714,negative
-18.333334,0.29685017,negative
-7.2222223,0.31450674,negative
-6.3333335,0.5634669,negative
-17,0.29632849,negative
-12.111111,0.36658052,negative
-33.666668,0.19121477,negative
-0.7777778,0.8148148,negative
-41.666668,0.2759571,negative
4.111111,0.56613755,positive
-16.88889,0.29404518,negative
-5.5555553,0.8292328,negative
-10.555555,0.27405116,negative
-29.11111,0.3114367,negative
-15.555555,0.3004298,negative
-3.8888888,0.47623578,negative
-8.888889,0.4456523,positive
-14.444445,0.2973408,negative
-9.222222,0.45454717,negative
-19,0.2984709,negative
-11.555555,0.42550126,negative
-17.777779,0.42076695,negative
-17.555555,0.3112005,negative
4.111111,0.5515873,positive
-14.333333,0.26505277,negative
-7.7777777,0.43238926,negative
-40.88889,0.24233662,negative
-0.22222222,0.4047922,positive
5,0.5813492,positive
-10,0.5203994,negative
-6.111111,0.51339465,negative
-20.555555,0.31801003,negative
2.6666667,0.53858024,positive
-9.444445,0.5481241,negative
-7.5555553,0.28569087,negative
4.7777777,0.5282187,positive
-18.555555,0.4967188,negative
-10.888889,0.62726945,negative
-9.777778,0.44603544,negative
0,0,negative
-1.8888888,0.4204864,positive
-7,0.6703704,negative
-0.22222222,0.39043593,positive
3,0.54473305,positive
-42.77778,0.28352436,negative
-11.888889,0.6152501,negative
-7.4444447,0.37191358,negative
-9.777778,0.42162097,negative
-7.5555553,0.31471258,negative
-14.666667,0.50381,negative
-2.5555556,0.43502074,positive
-9.111111,0.40134683,negative
-25.444445,0.14110672,negative
-14.777778,0.27198678,negative
0,0,negative
-10.666667,0.53272784,negative
-10.444445,0.2656194,negative
-33,0.19892381,negative
-19,0.33047688,negative
-16,0.30134642,negative
-44.666668,0.2546684,negative
-43.666668,0.316474,negative
-4.111111,0.42816728,positive
-40.555557,0.25013667,negative
-4.888889,0.37655354,negative
-12.777778,0.5751263,negative
-41.22222,0.24229442,negative
-20.333334,0.3066086,negative
-5.2222223,0.984127,negative
-12,0.43121487,negative
-16.333334,0.2638465,negative
-6.5555553,0.9861111,negative
-7.111111,0.79721206,negative
-32.77778,0.19366461,negative
-1.5555556,0.7777778,negative
-22.666666,0.30741948,negative
-16.555555,0.09626316,negative
-21.88889,0.30013013,negative
-13.333333,0.30596185,negative
-29.555555,0.1794131,negative
5.4444447,0.5694444,positive
-9.888889,0.43312526,negative
-14.111111,0.30702683,negative
-10,0.28187475,negative
-5.111111,0.44266057,negative
-13.444445,0.7230108,negative
-0.5555556,0.09259259,negative
-41.11111,0.24216007,negative
-2,0.4143562,positive
-22.777779,0.5235376,negative
-17.333334,0.30314395,negative
-1.4444444,0.4120944,positive
-1.4444444,0.420716,positive
-39.77778,0.23673333,negative
-27.11111,0.2046753,negative
3.2222223,0.56349206,positive
-0.22222222,0.11111111,negative
-15.777778,0.2845817,negative
-22.666666,0.29780185,negative
-3.1111112,0.44514215,positive
-38.88889,0.25774616,negative
-13.666667,0.4521822,negative
-19.88889,0.30023456,negative
-3.7777777,0.3494709,negative
-10.222222,0.3831675,negative
-10.222222,0.2655346,negative
-30.222221,0.17863557,negative
-31.666666,0.18855007,negative
-2.4444444,0.41330814,positive
-15.555555,0.3074729,negative
-18.333334,0.2575994,negative
-7.5555553,0.46145898,negative
4,0.56150794,positive
-2.4444444,1,negative
-13.777778,0.5089938,negative
-9.555555,0.8721458,negative
-6.2222223,0.65353537,negative
-19.88889,0.115302496,negative
2.8888888,0.56291884,positive
-43.77778,0.3088128,negative
-2.3333333,1,negative
-32.333332,0.62207055,negative
-16.777779,0.29762968,negative
-7.6666665,0.25607783,negative
-3.1111112,0.17457852,negative
-12.222222,0.492526,negative
-8.222222,0.24899939,negative
-11.111111,0.40393806,negative
-10.444445,0.42348316,negative
-8.666667,0.49459508,negative
5.3333335,0.39369074,positive
-26.444445,0.42017567,negative
-12,0.47748852,negative
-11,0.32496518,negative
5.5555553,0.59391534,positive
0,0,negative
-48.22222,0.36206177,negative
-11,0.29986525,negative
-13.444445,0.3961213,negative
4.111111,0.5299824,positive
-13.111111,0.27598566,negative
-13.333333,0.38746688,negative
-4.7777777,0.34230694,negative
-5.888889,0.57870835,positive
-17.333334,0.30298224,negative
-22.11111,0.3412286,negative
-42.333332,0.29741433,negative
-21.777779,0.34023675,negative
7.2222223,0.4513593,positive
-19.777779,0.30885938,negative
-10.444445,0.26725134,negative
-18,0.30910617,negative
-18.555555,0.29895782,negative
-6.2222223,0.3923854,negative
-19.11111,0.42149335,negative
-46.88889,0.36963773,negative
-4.2222223,0.43824613,positive
-13.222222,0.3072572,negative
-8.333333,0.26620623,negative
-1.5555556,1,negative
-3.1111112,1,negative
-16.444445,0.29470626,negative
-8.222222,0.38555545,negative
-25.11111,0.6356236,negative
-7.6666665,0.40220302,negative
-4.5555553,0.4630599,positive
-30.333334,0.17606053,negative
-4.3333335,1,negative
-31.11111,0.33538663,negative
-25.333334,0.28962377,negative
-17.333334,0.28835976,negative
-17.555555,0.28979304,negative
-18.777779,0.34745374,negative
-31.333334,0.1809723,negative
-12.333333,0.24809188,negative
4.3333335,0.5138889,positive
-37.22222,0.23450433,negative
-2,0.9722222,negative
-0.22222222,0.4047922,positive
-18.333334,0.29855335,negative
-14.333333,0.31010145,negative
-9.555555,0.30020806,negative
-12.666667,0.45154575,negative
-15.111111,0.26862052,negative
0,0,negative
-31.222221,0.17967218,negative
-11.444445,0.30714995,negative
-17.88889,0.1044701,negative
-14.555555,0.3716949,negative
3.2222223,0.5591711,positive
-18.11111,0.25459513,negative
-5.3333335,0.5483297,negative
-40.22222,0.23989888,negative
4.6666665,0.53858024,positive
-14.555555,0.40955147,negative
-19.333334,0.28591606,negative
-1.4444444,0.9259259,negative
-22.777779,0.3146827,negative
-15.333333,0.4443531,negative
-43.22222,0.33041757,negative
-8.444445,0.77151674,negative
4,0.59126985,positive
-3.8888888,0.8759259,negative
-26.444445,0.20048407,negative
3.4444444,0.3952535,positive
-9.222222,0.51518697,negative
-5.2222223,0.55661374,negative
5.111111,0.6037037,positive
-0.8888889,0.2888889,negative
-35.333332,0.246491,negative
-43,0.32860348,negative
-28,0.3227603,negative
-33.444443,0.18946369,negative
1.5555556,0.42233688,positive
-7.2222223,0.8399471,negative
0,0,negative
5,0.53858024,positive
-47.666668,0.31315902,negative
0,0,negative
-5.6666665,0.43115196,negative
-11,0.479958,negative
-3.7777777,0.47297516,negative
-7.2222223,0.64589113,negative
-19.333334,0.29889232,negative
-4.7777777,0.5409177,negative
-3.6666667,0.984127,negative
-33.444443,0.19369136,negative
-43.333332,0.32066384,negative
-12.777778,0.4474942,negative
-12,0.28683385,negative
-10.666667,0.7601911,negative
0,0,negative
-11.555555,0.6402237,negative
-7.2222223,0.3424082,negative
-31.666666,0.19250989,negative
-23.222221,0.29957896,negative
-9.222222,0.82250714,negative
-5.3333335,0.5931498,negative
1.3333334,0.40322387,positive
-15.222222,0.6374209,negative
-3.8888888,0.94074076,negative
3.1111112,0.5418871,positive
-15.555555,0.3009182,negative
-13.777778,0.40409946,negative
6,0.5813492,positive
-13.666667,0.25266927,negative
-10.777778,0.36449948,negative
-21.222221,0.37578005,negative
-0.5555556,0.19104938,negative
-15.444445,0.31709695,negative
-24,0.6807869,negative
0.44444445,0.09656084,negative
-10.888889,0.44167453,negative
-20.222221,0.31734532,negative
-4.7777777,0.7319224,negative
-7.4444447,0.3762527,negative
-1.6666666,0.15200906,negative
-2.7777777,0.95,negative
-7,0.31155226,negative
-30.666666,0.17584935,negative
-27.666666,0.16561614,negative
-13.222222,0.26619545,negative
-8.777778,0.245206,negative
-12.888889,0.28268683,negative
-15.888889,0.30085307,negative
-19,0.30000642,negative
-12.444445,0.27872574,negative
-15.666667,0.44580838,negative
3.5555556,0.5515873,positive
-38.666668,0.25155202,negative
-1,0.7407407,negative
-1.4444444,0.40736422,positive
-2,1,negative
-6.6666665,0.61790985,negative
-9.333333,0.82478386,negative
-26.222221,0.30955637,negative
-12.777778,0.26818594,negative
2,0.38846022,positive
-4.888889,0.54126585,negative
-10.666667,0.2645635,negative
-2.8888888,0.9814815,negative
0,0,negative
-8.111111,0.25891644,negative
-4.2222223,0.88800704,negative
-3.1111112,0.42334643,positive
-32.22222,0.18324198,negative
-2.5555556,0.42989677,positive
-33.22222,0.18785286,negative
-1.2222222,0.16790761,negative
-6.5555553,0.9861111,negative
-2.6666667,0.41688403,positive
-10.333333,0.37553233,negative
0,0,negative
-17.333334,0.30412614,negative
-34.88889,0.1971055,negative
-22.222221,0.32059526,negative
-6.6666665,0.32791784,negative
-15.777778,0.103336096,negative
-18.11111,0.30298296,negative
-8.888889,0.79410774,negative
-12.666667,0.7590125,negative
-5.7777777,0.48014903,negative
-9.333333,0.4408947,negative
-16.555555,0.28091076,negative
-9.222222,0.2758629,negative
-14.555555,0.32391465,negative
-5.3333335,0.5931498,negative
-3.5555556,0.3903984,positive
-17.444445,0.29110643,negative
-2.3333333,1,negative
-3.8888888,0.6768879,negative
-13.888889,0.4260139,negative
-24.444445,0.19773355,negative
-5.888889,0.76296294,negative
-20.88889,0.5961039,negative
-3.5555556,0.9166667,negative
-13,0.3038762,negative
-12,0.30207062,negative
0,0,negative
-10.333333,0.37553233,negative
-31.11111,0.18101238,negative
-5.111111,0.4320471,positive
-2.8888888,1,negative
-12.222222,0.30946052,negative
-13.888889,0.6309454,negative
-15.666667,0.28878826,negative
0.33333334,0.7083333,positive
-1.8888888,0.4194691,positive
0,0,negative
-20.555555,0.3086199,negative
-17.666666,0.10610159,negative
-4.3333335,1,negative
2.7777777,0.5465168,positive
-17.11111,0.40983668,negative
4.111111,0.5297619,positive
-2.7777777,0.4347433,positive
-10.888889,0.30570525,negative
-7.3333335,0.4115727,negative
-16.444445,0.37821564,negative
-5.111111,0.6304714,negative
-12.444445,0.31028613,negative
-41.555557,0.2580791,negative
-35.444443,0.19512747,negative
-17.555555,0.34888473,negative
-30.11111,0.17463355,negative
-6.111111,0.42930815,positive
-3.3333333,0.8740741,negative
-20.222221,0.11839892,negative
-4,0.9238095,negative
-19,0.2993077,negative
-11.666667,0.4898966,negative
-13.888889,0.3819119,negative
-33.666668,0.2018977,negative
-0.5555556,0.24074075,negative
-35.11111,0.22572522,negative
-1.3333334,0.42199442,positive
-12.555555,0.31548372,negative
-12.111111,0.27541482,negative
-37.77778,0.22497466,negative
-12.222222,0.39386794,negative
4.4444447,0.5873016,positive
-3.5555556,0.41530126,positive
-1.4444444,0.42692268,positive
-6.111111,0.50813884,negative
-21.666666,0.29562417,negative
-12.111111,0.19713038,negative
-4.4444447,0.8606061,negative
-4.2222223,0.984127,negative
-2.6666667,0.43356952,positive
-10.222222,0.40212956,negative
-31.222221,0.17967218,negative
-4.888889,0.48671728,negative
-6.5555553,0.9398148,negative
-14.333333,0.25975996,negative
-6.111111,0.9876543,negative
-14.111111,0.5119048,negative
-20.555555,0.5595462,negative
-12.444445,0.30116582,negative
-23.555555,0.30477422,negative
-9.888889,0.8093314,negative
-11,0.479958,negative
-14,0.30452195,negative
-9,0.33542147,negative
-17.666666,0.30547154,negative
-11.888889,0.4037081,negative
0.7777778,0.39433068,positive
-1.6666666,0.4209725,positive
-23.777779,0.31787068,negative
-11.444445,0.25210327,negative
-5.888889,0.93121696,negative
-4.3333335,0.50308645,negative
1.8888888,0.37532148,positive
5.4444447,0.5010141,positive
-8.777778,0.23849043,negative
-38.11111,0.2375665,negative
3.8888888,0.53174603,positive
-15.555555,0.27526647,negative
-30.88889,0.18839076,negative
-8.222222,0.4288645,negative
-18.88889,0.39567065,negative
-20.88889,0.28732476,negative
-48.22222,0.36206177,negative
-25.555555,0.18609881,negative
-0.22222222,0.22222222,negative
-23,0.3669463,negative
-0.5555556,0.15127982,negative
-8.111111,0.4459687,negative
-16,0.34911168,negative
3.8888888,0.5343915,positive
-11.777778,0.627944,negative
-6,0.40249237,negative
-4.2222223,0.45768142,positive
-33.77778,0.2063918,negative
-19.88889,0.3015076,negative
-12.777778,0.41915956,negative
-23,0.2874884,negative
-16.444445,0.29423782,negative
-0.6666667,0.0976431,negative
-21.777779,0.35212588,negative
-19.11111,0.6133847,negative
-16.777779,0.50544137,negative
-2.5555556,0.42697316,positive
-18.88889,0.48999,negative
-8.666667,0.40773422,negative
-13.888889,0.4260139,negative
-7.111111,0.47067475,negative
-15.111111,0.772831,negative
-1.1111112,0.537037,negative
4.3333335,0.5326279,positive
-3.1111112,0.8962963,negative
3.2222223,0.5458554,positive
4.888889,0.58002645,positive
2.4444444,0.44718736,positive
-31.88889,0.21837935,negative
-4,0.5783389,positive
-20.333334,0.29590768,negative
-4.2222223,0.87751323,negative
0.11111111,0.23148148,negative
-10.888889,0.8424523,negative
2.4444444,0.41378537,positive
-1.7777778,1,negative
-1.1111112,1,negative
-6,0.35552603,negative
-23.555555,0.2848739,negative
-13.333333,0.27882218,negative
-18,0.30781415,negative
-34.555557,0.19997217,negative
-19.88889,0.60921985,negative
-29.88889,0.16939692,negative
3.2222223,0.5591711,positive
-13.444445,0.6593289,negative
-19,0.31473875,negative
-3.8888888,1,negative
-4.3333335,0.9777778,negative
-43.333332,0.25541002,negative
-32.77778,0.19462235,negative
-11.444445,0.3589904,negative
0,0,negative
-24.222221,0.3155379,negative
-0.44444445,0.537037,negative
-6.111111,0.41976216,negative
-3.8888888,0.5039001,negative
-17.88889,0.584744,negative
-14.444445,0.47971532,negative
0,0,negative
-9.555555,0.31604066,negative
-35.666668,0.19251962,negative
-5.7777777,0.5153199,negative
-12.555555,0.48185185,negative
-37,0.2502041,negative
-15.333333,0.29805613,negative
-41.22222,0.2501428,negative
-12.333333,0.25070548,negative
-7.7777777,0.33385554,negative
-5.111111,0.86277056,negative
-3.7777777,0.96190476,negative
-8.777778,0.38741234,negative
-11.222222,0.6076133,negative
-20.777779,0.36751375,negative
-14.777778,0.47688422,negative
-16.88889,0.28965172,negative
-19.777779,0.45353317,negative
-0.11111111,0.11111111,negative
-30.333334,0.17606053,negative
-13.555555,0.2753682,negative
-8.444445,0.44050935,positive
3.6666667,0.5458554,positive
-2.6666667,0.43281928,positive
-18.777779,0.3036015,negative
-8.222222,0.34806257,negative
-18.11111,0.30841646,negative
-6.2222223,0.91534394,negative
-46.333332,0.35122013,negative
-12.444445,0.7428191,negative
-34.333332,0.21325745,negative
-6.888889,0.68080807,negative
-9.222222,0.2453213,negative
-1.6666666,0.65608466,negative
-32.555557,0.19597653,negative
-1.4444444,0.40554056,positive
-16.88889,0.29836866,negative
-14.555555,0.39033788,negative
-28.555555,0.1606036,negative
-2.7777777,1,negative
-1.2222222,0.43915343,negative
-9.222222,0.27335805,negative
-4.6666665,0.54320127,negative
-13.666667,0.2694,negative
-25.666666,0.33991683,negative
-8.777778,0.38741234,negative
-4.6666665,0.895369,negative
-17.777779,0.29683578,negative
-13.333333,0.43081954,negative
-25.777779,0.70147634,negative
-12,0.45909294,negative
-12.777778,0.45777184,negative
-12.777778,0.54147977,negative
5.7777777,0.57363313,positive
-13.333333,0.35575584,negative
-8.111111,0.86766475,negative
-11.111111,0.85137916,negative
-12.555555,0.6042809,negative
-1,0.42873532,positive
-8.888889,0.29320765,negative
-6.888889,0.97376543,negative
-9.222222,0.28660962,negative
-1.5555556,0.4074074,negative
-10.333333,0.4522286,negative
-6.111111,0.6979798,negative
-18.11111,0.26032928,negative
-17.11111,0.3349617,negative
-18.666666,0.10151485,negative
-8.222222,0.6486569,negative
-1.8888888,0.1761556,negative
-8.222222,0.24472968,negative
-28.222221,0.20770195,negative
-21,0.30846536,negative
-14.111111,0.29078844,negative
-18.88889,0.5142537,negative
-8.555555,0.29741284,negative
-23.333334,0.29016516,negative
-4.6666665,0.87222224,negative
-14.222222,0.30621472,negative
-21.555555,0.3071933,negative
0,0,negative
-2.3333333,0.37369296,negative
-22.333334,0.18178941,negative
-14.222222,0.27433428,negative
-12,0.47748852,negative
-11.444445,0.33789337,negative
-12.666667,0.33538613,negative
-4.7777777,0.42128146,positive
-25.88889,0.41303283,negative
-22.333334,0.29916364,negative
-12.222222,0.39214933,negative
-20.11111,0.30745777,negative
-2.6666667,0.20284556,negative
-18.777779,0.25830337,negative
-9.222222,0.3503698,negative
-20.333334,0.12431249,negative
0,0,negative
-11.444445,0.82302064,negative
-7.5555553,0.4157716,negative
-9.444445,0.28414816,negative
-32.444443,0.22295359,negative
-10.333333,0.42601216,negative
-43.444443,0.2972053,negative
0.11111111,0.38036656,positive
-3.1111112,0.4202516,positive
-16.333334,0.29964966,negative
-11.111111,0.3134271,negative
-36.333332,0.22967392,negative
-1.8888888,0.9722222,negative
-45.444443,0.26183844,negative
-1.2222222,0.962963,negative
-5.6666665,0.61705947,negative
-7.6666665,0.34374964,negative
-17.222221,0.2979628,negative
-14.333333,0.26124597,negative
0,0,negative
0,0,negative
-6.5555553,0.5016835,negative
-1.6666666,0.42781135,positive
-7.2222223,0.5144446,negative
-37.88889,0.2498948,negative
-36.88889,0.21017425,negative
-3.2222223,0.3833719,negative
-38.333332,0.2473368,negative
-9.444445,0.87633204,negative
-20.666666,0.3194739,negative
4.5555553,0.57473546,positive
-7.5555553,0.6577441,negative
-2.5555556,0.8333333,negative
-4.6666665,0.895369,negative
-2.2222223,1,negative
-8.888889,0.28154,negative
-33.555557,0.19756877,negative
-21.11111,0.28679082,negative
-8.333333,0.90923554,negative
-18.777779,0.29995137,negative
-15.888889,0.44994184,negative
-7.4444447,0.88604844,negative
-3.2222223,0.41575083,positive
0,0,negative
-6.888889,0.8435185,negative
-9.444445,0.22280817,negative
-14.444445,0.6281558,negative
-2.3333333,1,negative
-7.3333335,0.49709514,negative
-38,0.23116584,negative
-8.888889,0.29272884,negative
-15.111111,0.30003616,negative
-34.555557,0.19951321,negative
-11.333333,0.29784104,negative
-29.11111,0.17071788,negative
-17.777779,0.42076695,negative
-13.666667,0.24925283,negative
-10,0.39839673,negative
-10.555555,0.30038968,negative
-4.7777777,0.8740741,negative
-20.333334,0.33961803,negative
-32.77778,0.17818023,negative
-25,0.31425992,negative
-0.7777778,0.17044854,negative
-42,0.30001867,negative
4.6666665,0.54012346,positive
-1.7777778,0.962963,negative
-21.777779,0.31901047,negative
-6.7777777,0.9261464,negative
0.22222222,0.4288601,positive
-9,0.31489658,negative
-10.444445,0.7380342,negative
-10.444445,0.38463837,negative
4.7777777,0.515873,positive
-1.8888888,0.77037036,negative
-10.111111,0.35206997,negative
-7.111111,0.6873016,negative
-4.5555553,0.5416667,negative
-40.666668,0.24285044,negative
5.6666665,0.60119045,positive
-38.11111,0.2440208,negative
3.4444444,0.5311728,positive
-15.888889,0.28510964,negative
-18.333334,0.29970714,negative
4.7777777,0.5418871,positive
-19.777779,0.28752622,negative
-29.222221,0.18354028,negative
-19.11111,0.38903406,negative
-13.222222,0.3074441,negative
-46.555557,0.3601942,negative
-2.1111112,0.3973624,positive
-6.4444447,0.554881,negative
-11.333333,0.29035455,negative
-46.22222,0.26754448,negative
-7,0.93849206,negative
-9.888889,0.7738155,negative
-11.888889,0.4148072,negative
-7.888889,0.92957354,negative
-8.777778,0.26298115,negative
