Region_centroid_row,Rawgreen_mean,Exred_mean,Exgreen_mean,Saturatoin_mean,Hue_mean,field19
161,20.444445,-9.888889,14.111111,0.39095718,2.3451326,negative
188,48.555557,-18.333334,-21.666666,0.29629385,-2.0396667,negative
142,2.3333335,6.3333335,-7,0.662037,-0.60486406,positive
72,20.11111,-8.777778,-19.11111,0.4368953,-1.8461579,positive
107,12.666667,-14.888889,-12.222222,0.5471734,-2.1594636,negative
125,3.5555556,3.4444444,-7.888889,0.5456349,-1.1218182,positive
13,126.111115,-32.22222,-12.888889,0.17719091,-2.3552437,negative
107,1,-5.6666665,-3.6666667,0.94708997,-2.2263546,negative
85,13.111111,2.7777777,-14.555555,0.39975148,-1.386867,positive
250,13.777778,-8,13.666667,0.5633903,2.1929355,negative
128,46.333332,-20.777779,-20.777779,0.31292745,-2.0919266,negative
143,2.6666667,4.5555553,-7.111111,0.5952381,-0.90741616,positive
64,14,-4,-14.666667,0.44109204,-1.7555053,positive
134,22.333334,-19.11111,-13.111111,0.45775157,-2.21646,negative
121,36.22222,-10.777778,-14.444445,0.28057775,-1.9955361,negative
42,104.888885,-39.77778,-12.111111,0.24193405,-2.4103878,negative
130,0.6666667,-3.7777777,-2.1111112,0.9777778,-2.2390292,negative
71,97.888885,-27,-23.333334,0.21226363,-2.1431594,negative
192,48,-18.333334,-16.333334,0.27272084,-2.1641955,negative
167,17.11111,-5.111111,7.5555553,0.24844901,2.3057292,negative
75,16.88889,-2.2222223,-17.555555,0.4235012,-1.6418817,positive
119,16.11111,-0.7777778,-16.444445,0.40821064,-1.5789601,positive
116,18.444445,-12.222222,-10.555555,0.39566323,-2.144778,negative
108,46.555557,-24.11111,-9.777778,0.35897508,-2.3604913,negative
118,30.555555,-10.666667,-11.333333,0.29394883,-2.0776675,negative
42,40,-15,-13.666667,0.27157217,-2.120131,negative
131,2.8888888,4.4444447,-6.888889,0.56613755,-0.87464094,positive
28,102.44444,-37.77778,-24.11111,0.25329855,-2.238865,negative
125,39.444443,-5.111111,-11.777778,0.19248421,-1.8405788,negative
125,37.555557,-11.111111,-15.777778,0.27063802,-1.9730246,negative
120,13.555555,-25.555555,-16.555555,0.6812664,-2.2312608,negative
64,30.333334,-19,-2,0.40074632,-2.593825,negative
95,5.3333335,-2.5555556,-6.888889,0.51256585,-1.7492584,negative
19,38.77778,-21.555555,-19.222221,0.35522667,-2.1336765,negative
108,46.555557,-24.11111,-9.777778,0.35897508,-2.3604913,negative
220,19.222221,-9.222222,13.777778,0.41670507,2.3068845,negative
109,12.555555,5.888889,-14.111111,0.38499743,-1.1312037,positive
89,6,-6.3333335,-7.3333335,0.548545,-2.0438845,negative
111,14.333333,-25.11111,-11.111111,0.67951304,-2.3333182,negative
123,4,4.4444447,-8.222222,0.5244709,-0.9857293,positive
61,4.3333335,-7.2222223,-8.222222,0.64589113,-2.0487173,negative
169,18,-6.4444447,15.555555,0.46356925,1.9931829,negative
96,2,-8,-4.6666665,0.91006523,-2.2444818,negative
81,15.222222,-1.1111112,-15.777778,0.41266233,-1.5663354,positive
184,39.444443,-10.333333,-17.333334,0.2758183,-1.9301959,negative
136,6.6666665,-11.666667,-4,0.6950877,-2.412671,negative
123,15.888889,-10.888889,-10.222222,0.4089133,-2.1157336,negative
19,122.888885,-32.88889,-13.888889,0.1855386,-2.344188,negative
35,120.44444,-34.22222,-14.222222,0.19485293,-2.3466358,negative
211,23.11111,-10.555555,15.444445,0.37555233,2.3275452,negative
163,37.444443,-16.333334,-7.6666665,0.2638465,-2.5174901,negative
154,0,0,0,0,0,negative
175,50,-21.222221,-23.555555,0.31283396,-2.05935,negative
75,77.77778,-49.666668,-32.333332,0.37868166,-2.2319996,negative
190,46.555557,-18.777779,-21.11111,0.3036015,-2.052546,negative
113,18.777779,-10.444445,-8.444445,0.3500821,-2.1636333,negative
128,3.8888888,-8.555555,-4.2222223,0.8047243,-2.3003678,negative
194,36.333336,-12.555555,-14.888889,0.28055963,-2.0375679,negative
229,18.333334,-7.888889,11.111111,0.3476919,2.3504374,negative
57,19.777779,-4.888889,-19.555555,0.42569095,-1.7390174,positive
183,28.222221,-8.444445,-12.111111,0.2664361,-1.970772,negative
200,52.555557,-20.777779,-25.444445,0.31254068,-2.0265863,negative
188,53,-18.444445,-24.777779,0.3002418,-1.9977459,negative
117,33.77778,-16.444445,-15.777778,0.33502588,-2.1062348,negative
120,34.77778,-11.666667,-13.666667,0.2727516,-2.0467525,negative
208,24.555555,-11.111111,15.888889,0.36886615,2.3967707,negative
172,37.77778,-13,-13.666667,0.26545405,-2.1265585,negative
38,49.666668,-24,-25,0.33601543,-2.0785036,negative
125,2.4444444,-7.111111,-4.4444447,0.85319865,-2.2342408,negative
154,0,-1.4444444,-2.1111112,1,-2.0175102,negative
15,137.44444,-19.222221,-8.555555,0.10463921,-2.330563,negative
46,121.111115,-30.11111,-14.777778,0.17719495,-2.3044362,negative
135,28.555555,-12.444445,-12.444445,0.30882394,-2.0932033,negative
102,44.555557,-16.444445,-21.444445,0.30700684,-2.0098543,negative
158,5.6666665,-4.888889,-6.888889,0.5205782,-1.9828341,negative
13,139.44444,-14.111111,-7.111111,0.07980576,-2.2767668,negative
85,42.666668,-19.333334,-18.666666,0.31522787,-2.0973632,negative
39,6.888889,-6.5555553,-7.888889,0.5760211,-2.0362277,negative
95,1.2222222,-7.111111,-5.7777777,0.9195971,-2.1519582,negative
92,10.555555,-11.666667,-6.3333335,0.56489813,-2.2805607,negative
182,29.777779,-8.888889,-14.222222,0.29320765,-1.9430385,negative
184,15.888889,-6.2222223,12.111111,0.40555555,2.1286457,negative
32,113.111115,-38.666668,-11,0.22074823,-2.421193,negative
61,4.2222223,-7.6666665,-8.333333,0.66625965,-2.0682037,negative
107,6.6666665,-11.444445,-6.111111,0.69722587,-2.2801461,negative
189,25.666666,-8.222222,-10.222222,0.2712077,-2.0491476,negative
146,2.8888888,1.6666666,-6.6666665,0.5714286,-1.2583578,positive
129,27.444445,-13.444445,-13.777778,0.3384073,-2.0787966,negative
193,54,-23.222221,-22.222221,0.29957896,-2.1093748,negative
68,97.333336,-32,-25.333334,0.23914346,-2.1699994,negative
52,104.666664,-31.88889,-20.88889,0.21837935,-2.2296848,negative
202,52.88889,-20.444445,-22.777779,0.2978795,-2.0606136,negative
94,0.11111111,-2.8888888,-3.2222223,0.9777778,-2.0712416,negative
87,56,-24.777779,-24.11111,0.30969977,-2.105073,negative
92,17.11111,-3.3333333,-17.333334,0.422223,-1.6826507,positive
153,3.2222223,-1.1111112,-0.44444445,0.08501683,-2.2217164,negative
194,20.444445,-10.666667,11,0.35213172,2.5931067,negative
174,24.333334,-11.888889,15.777778,0.38186744,2.3950183,negative
111,3.4444444,2.8888888,-7.7777777,0.56291884,-1.1757725,positive
147,2.2222223,-1.4444444,-7.111111,0.6984448,-1.5617536,positive
53,130.33334,-19.666666,-13.333333,0.12111875,-2.2174878,negative
100,0.7777778,-3.3333333,-1.3333334,0.9777778,-2.3370957,negative
216,19.11111,-11,13.666667,0.43169576,2.4475467,negative
25,61.666668,-29.333334,-26.333334,0.3181906,-2.1304197,negative
63,6.5555553,-7.888889,-7.2222223,0.54770046,-2.1218371,negative
94,11.444445,-15.222222,-12.555555,0.57665956,-2.1594663,negative
94,0.11111111,-2.8888888,-3.2222223,0.9777778,-2.0712416,negative
183,46.666668,-15.444445,-22.11111,0.2986217,-1.9749589,negative
131,0,0,0,0,0,negative
75,19.777779,-7.888889,-18.555555,0.4296633,-1.8355997,positive
85,91.77778,-36.77778,-27.777779,0.2754667,-2.186342,negative
169,21.333334,-11.444445,14.222222,0.40075645,2.44578,negative
205,48.666668,-18.88889,-22.222221,0.30391166,-2.0382628,negative
187,19.222221,-6.2222223,16.444445,0.46332908,1.9414649,negative
116,16.333334,-1.4444444,-16.11111,0.40736422,-1.6322426,positive
191,22.444445,-5.2222223,-8.555555,0.2371126,-1.8582636,negative
94,0.6666667,-6.4444447,-4.7777777,0.9861111,-2.189708,negative
226,18.333334,-9.777778,14.555555,0.44245604,2.3038533,negative
31,110.44444,-39.22222,-13.555555,0.23132005,-2.384877,negative
143,0,-1.2222222,-1.2222222,0.7777778,-2.0943952,negative
144,0.44444445,-0.33333334,-0.6666667,0.37037036,-1.9042695,negative
137,0.5555556,-3,-3.3333333,0.91798943,-2.0712416,negative
118,2.5555556,3.6666667,-7.3333335,0.61706346,-1.0471976,positive
189,29.444445,-12,-14,0.30988368,-2.0442774,negative
111,16.222223,-11.333333,-9.333333,0.40922624,-2.1537185,negative
139,0,-1.3333334,-1.3333334,0.7777778,-2.0943952,negative
87,56,-24.777779,-24.11111,0.30969977,-2.105073,negative
86,8.111112,-13.666667,-12.666667,0.63092834,-2.1201534,negative
83,14.333333,0.33333334,-15.333333,0.41007325,-1.5070066,positive
57,122.111115,-31,-12,0.17560509,-2.3625138,negative
95,8.333334,-14.222222,-3.5555556,0.6989016,-2.4450119,negative
94,15.888889,-12.666667,-13,0.45154575,-2.084893,negative
127,11.777778,-16.444445,-13.777778,0.6014436,-2.0358076,negative
78,31,-14.333333,-15.333333,0.33970988,-2.053834,negative
109,13.111111,4.3333335,-14,0.37602362,-1.2765617,positive
173,48.88889,-20.666666,-23.666666,0.3183665,-2.048199,negative
151,0,-0.33333334,-0.33333334,0.22222222,-2.0943952,negative
60,118.666664,-29,-15,0.17584375,-2.2933865,negative
36,0,0,0,0,0,negative
162,38.77778,-17.222221,-10.222222,0.28552282,-2.3274822,negative
40,0,0,0,0,0,negative
232,18.11111,-5.111111,16.222221,0.50096595,1.875362,negative
144,0,-3,-3,1,-2.0943952,negative
187,15.888889,-6.888889,12.777778,0.42836255,2.1566393,negative
141,0,-0.11111111,-0.11111111,0.11111111,-2.0943952,negative
200,50.88889,-19.11111,-23.11111,0.30018097,-2.02885,negative
113,26.11111,-13.333333,-9.666667,0.32738453,-2.1998253,negative
51,121.77778,-28,-13.666667,0.1655495,-2.306687,negative
146,8.111112,-7.7777777,-7.4444447,0.48786426,-2.1089108,negative
120,0.22222222,-2.7777777,-2.7777777,1,-2.0572872,negative
129,20.11111,-16.777779,-13.777778,0.44974732,-2.1610465,negative
136,0.8888889,-4.6666665,-5,0.84708995,-2.0712416,negative
36,5.111111,-8.777778,-8.444445,0.63492066,-2.1073034,negative
193,36.555557,-11.444445,-15.444445,0.27838665,-1.9929975,negative
196,43.88889,-16.666666,-18,0.2899971,-2.0638638,negative
85,13.111111,2.7777777,-14.555555,0.39975148,-1.386867,positive
175,28.777779,-15.222222,15.111111,0.35148725,2.630157,negative
78,38.444443,-8.111111,-16.11111,0.25891644,-1.8860723,negative
155,8.555555,-10.555555,-8.222222,0.74729437,-2.1405313,negative
185,14.333333,-7.888889,10.777778,0.4351852,2.3628104,negative
30,4.666667,-6.7777777,-7.111111,0.6137184,-2.047276,negative
13,137.33334,-17.777779,-8.777778,0.099060155,-2.292384,negative
202,50.22222,-21.333334,-21.333334,0.30251354,-2.0937457,negative
98,3.5555556,-10.333333,-3.3333333,0.89084005,-2.3954217,negative
155,6.2222223,-7.111111,-6.111111,0.3006237,-2.1476219,negative
46,131.55556,-18.222221,-11.888889,0.11065291,-2.2326155,negative
122,0,-1,-1,1,-2.0943952,negative
142,2.6666667,-6.5555553,-3.5555556,0.8135803,-2.2806025,negative
184,43.555557,-14.111111,-21.11111,0.30094525,-1.9644797,negative
73,42.11111,-1.8888888,-12.555555,0.1761556,-1.6815889,negative
93,0.8888889,-4.3333335,-4.6666665,0.8783951,-2.0750706,negative
146,8.111112,-7.7777777,-7.4444447,0.48786426,-2.1089108,negative
38,57.22222,-19.222221,-22.222221,0.27165923,-2.0388238,negative
107,6.3333335,-10.222222,-4.888889,0.7305922,-2.2917624,negative
176,46.22222,-19.666666,-22.333334,0.3181372,-2.0522583,negative
204,50.22222,-19.333334,-23,0.30252522,-2.0385435,negative
35,122.666664,-30.333334,-14.666667,0.17608316,-2.311049,negative
44,13.666667,-4.2222223,-15.222222,0.45768142,-1.7537255,positive
83,44,-11.555555,-17.555555,0.26060534,-1.958524,negative
182,37.77778,-9.888889,-17.222221,0.2807636,-1.917349,negative
139,57.333332,-20.333334,-22,0.27568987,-2.065471,negative
195,53.444443,-20.777779,-24.444445,0.30559286,-2.0371156,negative
13,113.666664,-36.333332,-15,0.21508773,-2.3518965,negative
115,1.8888888,-6.4444447,-2.4444444,0.91798943,-2.3583865,negative
225,21.333334,-5.2222223,15.444445,0.40115124,1.8910155,negative
144,2.6666667,3.5555556,-6.4444447,0.5746032,-0.9691188,positive
46,110.111115,-41.22222,-13.555555,0.24072178,-2.395028,negative
189,51.444443,-21.222221,-20.88889,0.29552308,-2.1013258,negative
189,23.222221,-8.222222,17.777779,0.41042024,2.0604427,negative
94,6.2222223,-9.666667,-8.666667,0.6197129,-2.1293402,negative
43,119.888885,-28.777779,-16.11111,0.17494753,-2.2706535,negative
17,62.555557,-24.222221,-23.88889,0.28623843,-2.098521,negative
49,34.333336,-7.111111,-11.111111,0.22118697,-1.949745,negative
20,107.111115,-39.77778,-13.777778,0.24010754,-2.3852131,negative
77,131.88889,-22.11111,-12.111111,0.12738518,-2.2771459,negative
109,42.77778,-20.555555,-19.88889,0.32513812,-2.105478,negative
191,54.333332,-23.666666,-26,0.31752294,-2.0622857,negative
108,20.666668,-11.111111,-9.111111,0.36533174,-2.1543908,negative
114,26.222221,-18.11111,-12.777778,0.4005362,-2.2071579,negative
184,24.88889,-12.666667,16.333334,0.3882103,2.4194453,negative
235,12.777778,-7.2222223,10.777778,0.48219234,2.3107576,negative
233,17,-11.111111,13.222222,0.47822163,2.4915802,negative
133,3.4444444,-5.111111,-5.7777777,0.6304714,-2.0480003,negative
204,48.666668,-18.333334,-21.666666,0.29685017,-2.0373702,negative
167,13.777778,-7.2222223,-0.8888889,0.31450674,-3.015081,negative
247,12.444445,-6.3333335,13,0.5634669,2.1178858,negative
197,44.11111,-17,-18.666666,0.29632849,-2.0712209,negative
181,25.11111,-12.111111,15.555555,0.36658052,2.420823,negative
33,121.22222,-33.666668,-14,0.19121477,-2.3480024,negative
140,0.44444445,-0.7777778,-1.7777778,0.8148148,-1.8388771,negative
47,99.333336,-41.666668,-23.333334,0.2759571,-2.2710717,negative
113,3,4.111111,-7.5555553,0.56613755,-0.9893081,positive
196,40.666668,-16.88889,-16.222221,0.29404518,-2.1056774,negative
134,1.3333334,-5.5555553,-4.888889,0.8292328,-2.133095,negative
70,35.11111,-10.555555,-14.555555,0.27405116,-1.9904121,negative
13,62.333332,-29.11111,-24.11111,0.3114367,-2.1549888,negative
188,43.444443,-15.555555,-20.222221,0.3004298,-2.0073802,negative
192,13.777778,-3.8888888,11.444445,0.47623578,1.908457,negative
68,20.444445,-8.888889,-20.222221,0.4456523,-1.8485235,positive
187,42.88889,-14.444445,-19.777779,0.2973408,-1.9906267,negative
242,15.777778,-9.222222,12.111111,0.45454717,2.386597,negative
162,37.88889,-19,-10.333333,0.2984709,-2.4946074,negative
227,17.333334,-11.555555,10.111111,0.42550126,2.7070513,negative
215,29.444445,-17.777779,19.222221,0.42076695,2.5610487,negative
182,50.11111,-17.555555,-24.88889,0.3112005,-1.9784946,negative
122,3.2222223,4.111111,-7.2222223,0.5515873,-0.9647966,positive
68,50.11111,-14.333333,-20,0.26505277,-1.9843078,negative
207,16.555555,-7.7777777,13.222222,0.43238926,2.2172632,negative
30,108.44444,-40.88889,-13.555555,0.24233662,-2.3950639,negative
101,15.888889,-0.22222222,-16.222221,0.4047922,-1.5585992,positive
126,3.1111112,5,-8,0.5813492,-0.89580745,positive
235,15.777778,-10,14.666667,0.5203994,2.3162425,negative
212,11.333333,-6.111111,9.888889,0.51339465,2.2426493,negative
180,51.555557,-20.555555,-25.555555,0.31801003,-2.0221484,negative
117,3.7777777,2.6666667,-8,0.53858024,-1.2332561,positive
130,10.333334,-9.444445,-8.111111,0.5481241,-2.1373706,negative
181,23.88889,-7.5555553,12.777778,0.28569087,2.1891353,negative
121,3.7777777,4.7777777,-7.888889,0.5282187,-0.91432446,positive
90,18.777779,-18.555555,-14.222222,0.4967188,-2.182442,negative
133,6.6666665,-10.888889,-9.555555,0.62726945,-2.1387432,negative
244,17.222223,-9.777778,13.222222,0.44603544,2.3917358,negative
149,0,0,0,0,0,negative
90,16.777779,-1.8888888,-17.555555,0.4204864,-1.6223308,positive
62,3.7777777,-7,-8,0.6703704,-2.0487173,negative
95,16.222223,-0.22222222,-15.555555,0.39043593,-1.5673273,positive
116,3.5555556,3,-7.6666665,0.54473305,-1.1632453,positive
34,97.888885,-42.77778,-22.777779,0.28352436,-2.286636,negative
138,9.111111,-11.888889,-9.222222,0.6152501,-2.172099,negative
219,17.222223,-7.4444447,11.555555,0.37191358,2.2553325,negative
240,18.555555,-9.777778,13.222222,0.42162097,2.3924873,negative
104,16.222223,-7.5555553,-6.888889,0.31471258,-2.1139183,negative
83,14.444445,-14.666667,-11.333333,0.50381,-2.178321,negative
63,13.333333,-2.5555556,-14.222222,0.43502074,-1.6838473,positive
218,17.777779,-9.111111,12.222222,0.40134683,2.3826835,negative
101,131.11111,-25.444445,-11.444445,0.14110672,-2.3287346,negative
44,42.555557,-14.777778,-15.777778,0.27198678,-2.0704656,negative
133,0,0,0,0,0,negative
145,10.333334,-10.666667,-9.333333,0.53272784,-2.0623195,negative
181,36.444443,-10.444445,-14.444445,0.2656194,-1.9983681,negative
57,116.666664,-33,-17,0.19892381,-2.2971735,negative
117,39.666668,-19,-18.666666,0.33047688,-2.0994802,negative
189,44.22222,-16,-20.666666,0.30134642,-2.0089307,negative
18,108.666664,-44.666668,-10.333333,0.2546684,-2.45498,negative
65,88.111115,-43.666668,-27.666666,0.316474,-2.2391438,negative
45,16.444445,-4.111111,-16.444445,0.42816728,-1.7353698,positive
51,104,-40.555557,-14.222222,0.25013667,-2.3834376,negative
236,14.333333,-4.888889,9.777778,0.37655354,2.0832295,negative
102,12.777778,-12.777778,-4.7777777,0.5751263,-2.3789442,negative
14,108.55556,-41.22222,-12.555555,0.24229442,-2.4089675,negative
201,51.444443,-20.333334,-23.666666,0.3066086,-2.042514,negative
114,0.7777778,-5.2222223,-3.2222223,0.984127,-2.222661,negative
187,25.11111,-12,19.333334,0.43121487,2.2543035,negative
163,37.444443,-16.333334,-7.6666665,0.2638465,-2.5174901,negative
89,0.33333334,-6.5555553,-5.888889,0.9861111,-2.1239047,negative
90,2.6666667,-7.111111,-7.4444447,0.79721206,-2.073429,negative
40,119.55556,-32.77778,-16.777779,0.19366461,-2.2948995,negative
129,0,-1.5555556,-1.5555556,0.7777778,-2.0943952,negative
81,52,-22.666666,-22.333334,0.30741948,-2.0988503,negative
27,135.11111,-16.555555,-8.888889,0.09626316,-2.2645319,negative
188,53.444443,-21.88889,-22.88889,0.30013013,-2.0790954,negative
177,42.333336,-13.333333,-21.333334,0.30596185,-1.9426625,negative
49,120.44444,-29.555555,-17.222221,0.1794131,-2.2637377,negative
120,3.3333333,5.4444447,-7.888889,0.5694444,-0.820403,positive
223,22.88889,-9.888889,19.11111,0.43312526,2.1195462,negative
186,41.88889,-14.111111,-20.777779,0.30702683,-1.9685109,negative
182,39,-10,-18,0.28187475,-1.9106771,negative
186,21.11111,-5.111111,16.555555,0.44266057,1.8636538,negative
76,7.6666665,-13.444445,-1.7777778,0.7230108,-2.5202148,negative
138,0.11111111,-0.5555556,-0.5555556,0.09259259,-2.0943952,negative
14,109.22222,-41.11111,-13.777778,0.24216007,-2.3911133,negative
92,17.555555,-2,-17.666666,0.4143562,-1.6539259,positive
115,20.666668,-22.777779,-16.11111,0.5235376,-2.0906491,negative
193,42.77778,-17.333334,-19,0.30314395,-2.0654206,negative
80,18.555555,-1.4444444,-18.777779,0.4120944,-1.620451,positive
91,16.666668,-1.4444444,-17.444445,0.420716,-1.6304086,positive
19,109.44444,-39.77778,-14.444445,0.23673333,-2.3759847,negative
88,102.666664,-27.11111,-23.777779,0.2046753,-2.139239,negative
113,3.4444444,3.2222223,-8.111111,0.56349206,-1.175454,positive
147,0.22222222,-0.22222222,-0.22222222,0.11111111,-2.0943952,negative
25,39.88889,-15.777778,-14.777778,0.2845817,-2.1188104,negative
75,52.11111,-22.666666,-8.666667,0.29780185,-2.3567543,negative
59,15.888889,-3.1111112,-17.777779,0.44514215,-1.680812,positive
89,99.666664,-38.88889,-19.222221,0.25774616,-2.3062038,negative
94,17,-13.666667,-13.333333,0.4521822,-2.1009657,negative
195,53.555557,-19.88889,-24.555555,0.30023456,-2.020938,negative
147,6.7777777,-3.7777777,-2.7777777,0.3494709,-2.0645137,negative
208,20.777779,-10.222222,13.777778,0.3831675,2.3919957,negative
79,36.555557,-10.222222,-14.555555,0.2655346,-1.9845829,negative
73,120.55556,-30.222221,-14.888889,0.17863557,-2.3073962,negative
67,117.888885,-31.666666,-15,0.18855007,-2.3171885,negative
88,16.666668,-2.4444444,-16.444445,0.41330814,-1.6537874,positive
192,41,-15.555555,-19.555555,0.3074729,-2.020234,negative
125,61.666668,-18.333334,-23,0.2575994,-2.0195448,negative
238,19.11111,-7.5555553,16.444445,0.46145898,2.0466826,negative
128,3.1111112,4,-7.3333335,0.56150794,-0.98581076,positive
137,0,-2.4444444,-2.7777777,1,-2.0561552,negative
