Region_centroid_col,Region_centroid_row,Rawblue_mean,Rawgreen_mean,Exred_mean,Exblue_mean,Exgreen_mean,Saturatoin_mean,Hue_mean,field19
142,140,32.333336,23.555555,-9,17.666666,-8.666667,0.2850997,-2.1004875,negative
108,146,0,0,0,0,0,0,0,negative
9,94,127.55556,105.111115,-18.88889,43.11111,-24.222221,0.17678948,-2.015307,negative
56,107,58.333332,44.88889,-10.777778,25.555555,-14.777778,0.23045462,-1.9914447,negative
54,176,62.666668,43.333332,-14,36,-22,0.30857325,-1.9514097,negative
41,103,73.44444,54.333332,-15.777778,36.555557,-20.777779,0.25960675,-2.0029202,negative
67,136,25.333334,12.222222,-19.555555,29.444445,-9.888889,0.66081303,-2.3075109,negative
249,58,14.555555,6,-8.555555,17.11111,-8.555555,0.6077675,-2.0853417,negative
90,101,25,14.888889,0.7777778,14.777778,-15.555555,0.40403765,-1.5201249,positive
180,224,13.333333,20.555555,-10.555555,-5.5555553,16.11111,0.4433746,2.2982552,negative
96,13,144.77777,128.44444,-29,39,-10,0.1565683,-2.386251,negative
112,90,79.77778,58.11111,-22.555555,43.77778,-21.222221,0.27834544,-2.108813,negative
225,58,14.111111,5.3333335,-8.333333,17.333334,-9,0.62222224,-2.0685637,negative
88,89,28.444445,16.88889,-2,18.333334,-16.333334,0.40368655,-1.6255869,positive
215,182,67.22222,46.77778,-16.88889,39.11111,-22.222221,0.30405003,-2.0040817,negative
91,120,25.777779,13.555555,-16.88889,26.777779,-9.888889,0.5621582,-2.2308207,negative
57,42,47.77778,31.777779,-14,31,-17,0.3346618,-2.029552,negative
211,130,0,0,0,0,0,0,0,negative
54,140,14,7.2222223,-13.666667,17,-3.3333333,0.73447025,-2.4423232,negative
37,120,4.4444447,1.1111112,-5.111111,7.5555553,-2.4444444,0.962963,-2.298085,negative
194,72,117.111115,84,-42.666668,71,-28.333334,0.3234209,-2.2257798,negative
86,88,26.333334,15.666667,0.8888889,15.555555,-16.444445,0.40511805,-1.5125551,positive
71,180,21.444445,27.222221,-12,-2.6666667,14.666667,0.3273826,2.4538307,negative
127,120,30.444445,18.444445,-4.6666665,20.333334,-15.666667,0.39486286,-1.7648901,positive
140,124,6.111111,1.2222222,-6.888889,10.777778,-3.8888888,0.97376543,-2.267462,negative
48,81,128.88889,104.22222,-21.777779,47.88889,-26.11111,0.19307978,-2.0334873,negative
14,138,5.4444447,2.6666667,5.4444447,1.4444444,-6.888889,0.603836,-0.72289366,positive
97,130,6.888889,3.3333333,4.4444447,3.1111112,-7.5555553,0.5701058,-0.96304834,positive
110,182,56.333332,40.11111,-11.111111,29.88889,-18.777779,0.28764573,-1.9300476,negative
245,238,6.5555553,13.888889,-7.7777777,-7.111111,14.888889,0.59701496,2.1260629,negative
82,138,3.7777777,0.44444445,-4.2222223,7.111111,-2.8888888,1,-2.1739607,negative
132,84,11.777778,7.5555553,-4.6666665,8.666667,-4,0.38048342,-2.1369402,negative
235,196,58.555557,41.444443,-16.444445,33.88889,-17.444445,0.29423782,-2.0746155,negative
147,87,54.88889,37.22222,-16.333334,34.666668,-18.333334,0.319706,-2.050388,negative
4,210,62.22222,42.77778,-16.555555,37.444443,-20.88889,0.3142778,-2.0144343,negative
98,41,147.22223,133.55556,-19.444445,30.222221,-10.777778,0.112421244,-2.2685292,negative
222,114,7.3333335,2.8888888,2,5.6666665,-7.6666665,0.6031746,-1.3145328,positive
122,123,3.3333333,0.22222222,-3.5555556,6.4444447,-2.8888888,1,-2.142674,negative
129,157,32,19.222221,-14.777778,26.555555,-11.777778,0.43023896,-2.169368,negative
140,161,14.333333,20.444445,-9.888889,-4.2222223,14.111111,0.39095718,2.3451326,negative
175,188,69.111115,48.555557,-18.333334,40,-21.666666,0.29629385,-2.0396667,negative
192,142,4.888889,2.3333335,6.3333335,0.6666667,-7,0.662037,-0.60486406,positive
101,72,35.77778,20.11111,-8.777778,27.88889,-19.11111,0.4368953,-1.8461579,positive
211,107,25.777779,12.666667,-14.888889,27.11111,-12.222222,0.5471734,-2.1594636,negative
140,125,7.6666665,3.5555556,3.4444444,4.4444447,-7.888889,0.5456349,-1.1218182,positive
168,13,145.44444,126.111115,-32.22222,45.11111,-12.888889,0.17719091,-2.3552437,negative
221,107,5.3333335,1,-5.6666665,9.333333,-3.6666667,0.94708997,-2.2263546,negative
23,85,21.88889,13.111111,2.7777777,11.777778,-14.555555,0.39975148,-1.386867,positive
200,250,7.3333335,13.777778,-8,-5.6666665,13.666667,0.5633903,2.1929355,negative
108,128,67.111115,46.333332,-20.777779,41.555557,-20.777779,0.31292745,-2.0919266,negative
65,143,5.888889,2.6666667,4.5555553,2.5555556,-7.111111,0.5952381,-0.90741616,positive
17,64,25.11111,14,-4,18.666666,-14.666667,0.44109204,-1.7555053,positive
187,134,37.444443,22.333334,-19.11111,32.22222,-13.111111,0.45775157,-2.21646,negative
197,121,49.444443,36.22222,-10.777778,25.222221,-14.444445,0.28057775,-1.9955361,negative
188,42,126.22222,104.888885,-39.77778,51.88889,-12.111111,0.24193405,-2.4103878,negative
99,130,3.3333333,0.6666667,-3.7777777,5.888889,-2.1111112,0.9777778,-2.2390292,negative
95,71,122.44444,97.888885,-27,50.333332,-23.333334,0.21226363,-2.1431594,negative
153,192,65,48,-18.333334,34.666668,-16.333334,0.27272084,-2.1641955,negative
118,167,13.777778,17.11111,-5.111111,-2.4444444,7.5555553,0.24844901,2.3057292,negative
69,75,29.333334,16.88889,-2.2222223,19.777779,-17.555555,0.4235012,-1.6418817,positive
98,119,27.333334,16.11111,-0.7777778,17.222221,-16.444445,0.40821064,-1.5789601,positive
59,116,29.555555,18.444445,-12.222222,22.777779,-10.555555,0.39566323,-2.144778,negative
45,108,61.11111,46.555557,-24.11111,33.88889,-9.777778,0.35897508,-2.3604913,negative
127,118,41.666668,30.555555,-10.666667,22,-11.333333,0.29394883,-2.0776675,negative
228,42,54.11111,40,-15,28.666666,-13.666667,0.27157217,-2.120131,negative
28,131,6,2.8888888,4.4444447,2.4444444,-6.888889,0.56613755,-0.87464094,positive
14,28,131.11111,102.44444,-37.77778,61.88889,-24.11111,0.25329855,-2.238865,negative
201,125,49,39.444443,-5.111111,16.88889,-11.777778,0.19248421,-1.8405788,negative
201,125,51.77778,37.555557,-11.111111,26.88889,-15.777778,0.27063802,-1.9730246,negative
59,120,33.11111,13.555555,-25.555555,42.11111,-16.555555,0.6812664,-2.2312608,negative
21,64,38,30.333334,-19,21,-2,0.40074632,-2.593825,negative
196,95,10.777778,5.3333335,-2.5555556,9.444445,-6.888889,0.51256585,-1.7492584,negative
63,19,58.77778,38.77778,-21.555555,40.77778,-19.222221,0.35522667,-2.1336765,negative
45,108,61.11111,46.555557,-24.11111,33.88889,-9.777778,0.35897508,-2.3604913,negative
152,220,13.111111,19.222221,-9.222222,-4.5555553,13.777778,0.41670507,2.3068845,negative
95,109,20,12.555555,5.888889,8.222222,-14.111111,0.38499743,-1.1312037,positive
187,89,13,6,-6.3333335,13.666667,-7.3333335,0.548545,-2.0438845,negative
115,111,30.11111,14.333333,-25.11111,36.22222,-11.111111,0.67951304,-2.3333182,negative
108,123,8,4,4.4444447,3.7777777,-8.222222,0.5244709,-0.9857293,positive
206,61,12.222222,4.3333335,-7.2222223,15.444445,-8.222222,0.64589113,-2.0487173,negative
34,169,9.777778,18,-6.4444447,-9.111111,15.555555,0.46356925,1.9931829,negative
4,96,7.7777777,2,-8,12.666667,-4.6666665,0.91006523,-2.2444818,negative
29,81,26.11111,15.222222,-1.1111112,16.88889,-15.777778,0.41266233,-1.5663354,positive
129,184,54.444443,39.444443,-10.333333,27.666666,-17.333334,0.2758183,-1.9301959,negative
88,136,13.222222,6.6666665,-11.666667,15.666667,-4,0.6950877,-2.412671,negative
21,123,26.333334,15.888889,-10.888889,21.11111,-10.222222,0.4089133,-2.1157336,negative
73,19,143.11111,122.888885,-32.88889,46.77778,-13.888889,0.1855386,-2.344188,negative
116,35,141.33334,120.44444,-34.22222,48.444443,-14.222222,0.19485293,-2.3466358,negative
135,211,16.333334,23.11111,-10.555555,-4.888889,15.444445,0.37555233,2.3275452,negative
151,163,48,37.444443,-16.333334,24,-7.6666665,0.2638465,-2.5174901,negative
161,154,0,0,0,0,0,0,0,negative
223,175,72.77778,50,-21.222221,44.77778,-23.555555,0.31283396,-2.05935,negative
253,75,115.888885,77.77778,-49.666668,82,-32.333332,0.37868166,-2.2319996,negative
93,190,66.88889,46.555557,-18.777779,39.88889,-21.11111,0.3036015,-2.052546,negative
230,113,27.88889,18.777779,-10.444445,18.88889,-8.444445,0.3500821,-2.1636333,negative
139,128,9.555555,3.8888888,-8.555555,12.777778,-4.2222223,0.8047243,-2.3003678,negative
205,194,50.444443,36.333336,-12.555555,27.444445,-14.888889,0.28055963,-2.0375679,negative
57,229,13.555555,18.333334,-7.888889,-3.2222223,11.111111,0.3476919,2.3504374,negative
95,57,34.444447,19.777779,-4.888889,24.444445,-19.555555,0.42569095,-1.7390174,positive
123,183,39.11111,28.222221,-8.444445,20.555555,-12.111111,0.2664361,-1.970772,negative
62,200,76.44444,52.555557,-20.777779,46.22222,-25.444445,0.31254068,-2.0265863,negative
156,188,75.66667,53,-18.444445,43.22222,-24.777779,0.3002418,-1.9977459,negative
230,117,49.77778,33.77778,-16.444445,32.22222,-15.777778,0.33502588,-2.1062348,negative
199,120,47.77778,34.77778,-11.666667,25.333334,-13.666667,0.2727516,-2.0467525,negative
202,208,17.666668,24.555555,-11.111111,-4.7777777,15.888889,0.36886615,2.3967707,negative
23,172,51.22222,37.77778,-13,26.666666,-13.666667,0.26545405,-2.1265585,negative
70,38,74.333336,49.666668,-24,49,-25,0.33601543,-2.0785036,negative
140,125,7.7777777,2.4444444,-7.111111,11.555555,-4.4444447,0.85319865,-2.2342408,negative
166,154,1.8888888,0,-1.4444444,3.5555556,-2.1111112,1,-2.0175102,negative
181,15,149.55556,137.44444,-19.222221,27.777779,-8.555555,0.10463921,-2.330563,negative
93,46,141,121.111115,-30.11111,44.88889,-14.777778,0.17719495,-2.3044362,negative
182,135,41,28.555555,-12.444445,24.88889,-12.444445,0.30882394,-2.0932033,negative
236,102,64.333336,44.555557,-16.444445,37.88889,-21.444445,0.30700684,-2.0098543,negative
32,158,11.888889,5.6666665,-4.888889,11.777778,-6.888889,0.5205782,-1.9828341,negative
63,13,148.88889,139.44444,-14.111111,21.222221,-7.111111,0.07980576,-2.2767668,negative
78,85,61.555557,42.666668,-19.333334,38,-18.666666,0.31522787,-2.0973632,negative
182,39,14.333333,6.888889,-6.5555553,14.444445,-7.888889,0.5760211,-2.0362277,negative
32,95,7.4444447,1.2222222,-7.111111,12.888889,-5.7777777,0.9195971,-2.1519582,negative
23,92,18.666668,10.555555,-11.666667,18,-6.3333335,0.56489813,-2.2805607,negative
142,182,42.22222,29.777779,-8.888889,23.11111,-14.222222,0.29320765,-1.9430385,negative
233,184,9.888889,15.888889,-6.2222223,-5.888889,12.111111,0.40555555,2.1286457,negative
253,32,133.33334,113.111115,-38.666668,49.666668,-11,0.22074823,-2.421193,negative
203,61,12.333333,4.2222223,-7.6666665,16,-8.333333,0.66625965,-2.0682037,negative
98,107,14.555555,6.6666665,-11.444445,17.555555,-6.111111,0.69722587,-2.2801461,negative
38,189,35.22222,25.666666,-8.222222,18.444445,-10.222222,0.2712077,-2.0491476,negative
38,146,6.7777777,2.8888888,1.6666666,5,-6.6666665,0.5714286,-1.2583578,positive
151,129,41.11111,27.444445,-13.444445,27.222221,-13.777778,0.3384073,-2.0787966,negative
86,193,76.55556,54,-23.222221,45.444443,-22.222221,0.29957896,-2.1093748,negative
104,68,124.888885,97.333336,-32,57.333332,-25.333334,0.23914346,-2.1699994,negative
60,52,129.22223,104.666664,-31.88889,52.77778,-20.88889,0.21837935,-2.2296848,negative
62,202,74.888885,52.88889,-20.444445,43.22222,-22.777779,0.2978795,-2.0606136,negative
243,94,3.2222223,0.11111111,-2.8888888,6.111111,-3.2222223,0.9777778,-2.0712416,negative
22,87,80.333336,56,-24.777779,48.88889,-24.11111,0.30969977,-2.105073,negative
96,92,29.777779,17.11111,-3.3333333,20.666666,-17.333334,0.422223,-1.6826507,positive
119,153,3.8888888,3.2222223,-1.1111112,1.5555556,-0.44444445,0.08501683,-2.2217164,negative
86,194,16.666668,20.444445,-10.666667,-0.33333334,11,0.35213172,2.5931067,negative
6,174,17.777779,24.333334,-11.888889,-3.8888888,15.777778,0.38186744,2.3950183,negative
39,111,7.6666665,3.4444444,2.8888888,4.888889,-7.7777777,0.56291884,-1.1757725,positive
23,147,7.4444447,2.2222223,-1.4444444,8.555555,-7.111111,0.6984448,-1.5617536,positive
248,53,145.77777,130.33334,-19.666666,33,-13.333333,0.12111875,-2.2174878,negative
33,100,2.7777777,0.7777778,-3.3333333,4.6666665,-1.3333334,0.9777778,-2.3370957,negative
103,216,13.666667,19.11111,-11,-2.6666667,13.666667,0.43169576,2.4475467,negative
23,25,89,61.666668,-29.333334,55.666668,-26.333334,0.3181906,-2.1304197,negative
240,63,14,6.5555553,-7.888889,15.111111,-7.2222223,0.54770046,-2.1218371,negative
212,94,24.88889,11.444445,-15.222222,27.777779,-12.555555,0.57665956,-2.1594663,negative
243,94,3.2222223,0.11111111,-2.8888888,6.111111,-3.2222223,0.9777778,-2.0712416,negative
198,183,66.55556,46.666668,-15.444445,37.555557,-22.11111,0.2986217,-1.9749589,negative
222,131,0,0,0,0,0,0,0,negative
75,75,34.77778,19.777779,-7.888889,26.444445,-18.555555,0.4296633,-1.8355997,positive
119,85,122.55556,91.77778,-36.77778,64.55556,-27.777779,0.2754667,-2.186342,negative
216,169,15.666667,21.333334,-11.444445,-2.7777777,14.222222,0.40075645,2.44578,negative
24,205,69.77778,48.666668,-18.88889,41.11111,-22.222221,0.30391166,-2.0382628,negative
86,187,10.333334,19.222221,-6.2222223,-10.222222,16.444445,0.46332908,1.9414649,negative
80,116,27.555555,16.333334,-1.4444444,17.555555,-16.11111,0.40736422,-1.6322426,positive
13,191,29.88889,22.444445,-5.2222223,13.777778,-8.555555,0.2371126,-1.8582636,negative
10,94,6,0.6666667,-6.4444447,11.222222,-4.7777777,0.9861111,-2.189708,negative
103,226,11.888889,18.333334,-9.777778,-4.7777777,14.555555,0.44245604,2.3038533,negative
232,31,132.55556,110.44444,-39.22222,52.77778,-13.555555,0.23132005,-2.384877,negative
123,143,1.2222222,0,-1.2222222,2.4444444,-1.2222222,0.7777778,-2.0943952,negative
138,144,1,0.44444445,-0.33333334,1,-0.6666667,0.37037036,-1.9042695,negative
43,137,3.7777777,0.5555556,-3,6.3333335,-3.3333333,0.91798943,-2.0712416,negative
238,118,6.2222223,2.5555556,3.6666667,3.6666667,-7.3333335,0.61706346,-1.0471976,positive
20,189,42.77778,29.444445,-12,26,-14,0.30988368,-2.0442774,negative
58,111,26.222221,16.222223,-11.333333,20.666666,-9.333333,0.40922624,-2.1537185,negative
49,139,1.3333334,0,-1.3333334,2.6666667,-1.3333334,0.7777778,-2.0943952,negative
22,87,80.333336,56,-24.777779,48.88889,-24.11111,0.30969977,-2.105073,negative
235,86,21.11111,8.111112,-13.666667,26.333334,-12.666667,0.63092834,-2.1201534,negative
34,83,24.444445,14.333333,0.33333334,15,-15.333333,0.41007325,-1.5070066,positive
22,57,140.44444,122.111115,-31,43,-12,0.17560509,-2.3625138,negative
71,95,15.444445,8.333334,-14.222222,17.777779,-3.5555556,0.6989016,-2.4450119,negative
96,94,28.777779,15.888889,-12.666667,25.666666,-13,0.45154575,-2.084893,negative
68,127,26.444445,11.777778,-16.444445,30.222221,-13.777778,0.6014436,-2.0358076,negative
216,78,46,31,-14.333333,29.666666,-15.333333,0.33970988,-2.053834,negative
82,109,21,13.111111,4.3333335,9.666667,-14,0.37602362,-1.2765617,positive
251,173,71.55556,48.88889,-20.666666,44.333332,-23.666666,0.3183665,-2.048199,negative
216,151,0.33333334,0,-0.33333334,0.6666667,-0.33333334,0.22222222,-2.0943952,negative
172,60,138.33334,118.666664,-29,44,-15,0.17584375,-2.2933865,negative
166,36,0,0,0,0,0,0,0,negative
181,162,51.333332,38.77778,-17.222221,27.444445,-10.222222,0.28552282,-2.3274822,negative
168,40,0,0,0,0,0,0,0,negative
47,232,9,18.11111,-5.111111,-11.111111,16.222221,0.50096595,1.875362,negative
98,144,3,0,-3,6,-3,1,-2.0943952,negative
151,187,9.666667,15.888889,-6.888889,-5.888889,12.777778,0.42836255,2.1566393,negative
180,141,0.11111111,0,-0.11111111,0.22222222,-0.11111111,0.11111111,-2.0943952,negative
85,200,72.66667,50.88889,-19.11111,42.22222,-23.11111,0.30018097,-2.02885,negative
139,113,37,26.11111,-13.333333,23,-9.666667,0.32738453,-2.1998253,negative
147,51,140.22223,121.77778,-28,41.666668,-13.666667,0.1655495,-2.306687,negative
14,146,15.666667,8.111112,-7.7777777,15.222222,-7.4444447,0.48786426,-2.1089108,negative
6,120,3,0.22222222,-2.7777777,5.5555553,-2.7777777,1,-2.0572872,negative
136,129,34.88889,20.11111,-16.777779,30.555555,-13.777778,0.44974732,-2.1610465,negative
94,136,5.7777777,0.8888889,-4.6666665,9.666667,-5,0.84708995,-2.0712416,negative
225,36,13.666667,5.111111,-8.777778,17.222221,-8.444445,0.63492066,-2.1073034,negative
202,193,50.666668,36.555557,-11.444445,26.88889,-15.444445,0.27838665,-1.9929975,negative
64,196,61.444443,43.88889,-16.666666,34.666668,-18,0.2899971,-2.0638638,negative
23,85,21.88889,13.111111,2.7777777,11.777778,-14.555555,0.39975148,-1.386867,positive
47,175,23.777779,28.777779,-15.222222,0.11111111,15.111111,0.35148725,2.630157,negative
37,78,51.88889,38.444443,-8.111111,24.222221,-16.11111,0.25891644,-1.8860723,negative
145,155,17.555555,8.555555,-10.555555,18.777779,-8.222222,0.74729437,-2.1405313,negative
170,185,9.777778,14.333333,-7.888889,-2.8888888,10.777778,0.4351852,2.3628104,negative
231,30,11.666667,4.666667,-6.7777777,13.888889,-7.111111,0.6137184,-2.047276,negative
18,13,149.11111,137.33334,-17.777779,26.555555,-8.777778,0.099060155,-2.292384,negative
38,202,71.55556,50.22222,-21.333334,42.666668,-21.333334,0.30251354,-2.0937457,negative
70,98,9.222222,3.5555556,-10.333333,13.666667,-3.3333333,0.89084005,-2.3954217,negative
66,155,12.666667,6.2222223,-7.111111,13.222222,-6.111111,0.3006237,-2.1476219,negative
186,46,145.55556,131.55556,-18.222221,30.11111,-11.888889,0.11065291,-2.2326155,negative
63,122,1,0,-1,2,-1,1,-2.0943952,negative
33,142,7.2222223,2.6666667,-6.5555553,10.111111,-3.5555556,0.8135803,-2.2806025,negative
189,184,62.333332,43.555557,-14.111111,35.22222,-21.11111,0.30094525,-1.9644797,negative
140,73,51.11111,42.11111,-1.8888888,14.444445,-12.555555,0.1761556,-1.6815889,negative
222,93,5.4444447,0.8888889,-4.3333335,9,-4.6666665,0.8783951,-2.0750706,negative
14,146,15.666667,8.111112,-7.7777777,15.222222,-7.4444447,0.48786426,-2.1089108,negative
112,38,78.44444,57.22222,-19.222221,41.444443,-22.222221,0.27165923,-2.0388238,negative
56,107,13,6.3333335,-10.222222,15.111111,-4.888889,0.7305922,-2.2917624,negative
250,176,67.66667,46.22222,-19.666666,42,-22.333334,0.3181372,-2.0522583,negative
18,204,72,50.22222,-19.333334,42.333332,-23,0.30252522,-2.0385435,negative
112,35,142.55556,122.666664,-30.333334,45,-14.666667,0.17608316,-2.311049,negative
2,44,25.222221,13.666667,-4.2222223,19.444445,-15.222222,0.45768142,-1.7537255,positive
83,83,59.555557,44,-11.555555,29.11111,-17.555555,0.26060534,-1.958524,negative
132,182,52.555557,37.77778,-9.888889,27.11111,-17.222221,0.2807636,-1.917349,negative
144,139,78.77778,57.333332,-20.333334,42.333332,-22,0.27568987,-2.065471,negative
93,195,76.66667,53.444443,-20.777779,45.22222,-24.444445,0.30559286,-2.0371156,negative
231,13,135.77779,113.666664,-36.333332,51.333332,-15,0.21508773,-2.3518965,negative
51,115,5.6666665,1.8888888,-6.4444447,8.888889,-2.4444444,0.91798943,-2.3583865,negative
85,225,12.777778,21.333334,-5.2222223,-10.222222,15.444445,0.40115124,1.8910155,negative
62,144,5.7777777,2.6666667,3.5555556,2.8888888,-6.4444447,0.5746032,-0.9691188,positive
235,46,132.88889,110.111115,-41.22222,54.77778,-13.555555,0.24072178,-2.395028,negative
167,189,72.44444,51.444443,-21.222221,42.11111,-20.88889,0.29552308,-2.1013258,negative
222,189,14.111111,23.222221,-8.222222,-9.555555,17.777779,0.41042024,2.0604427,negative
209,94,15.222222,6.2222223,-9.666667,18.333334,-8.666667,0.6197129,-2.1293402,negative
178,43,140.22223,119.888885,-28.777779,44.88889,-16.11111,0.17494753,-2.2706535,negative
40,17,86.55556,62.555557,-24.222221,48.11111,-23.88889,0.28623843,-2.098521,negative
156,49,44.11111,34.333336,-7.111111,18.222221,-11.111111,0.22118697,-1.949745,negative
155,20,129.55556,107.111115,-39.77778,53.555557,-13.777778,0.24010754,-2.3852131,negative
174,77,147.33334,131.88889,-22.11111,34.22222,-12.111111,0.12738518,-2.2771459,negative
148,109,62.88889,42.77778,-20.555555,40.444443,-19.88889,0.32513812,-2.105478,negative
106,191,79.55556,54.333332,-23.666666,49.666668,-26,0.31752294,-2.0622857,negative
244,108,30.444445,20.666668,-11.111111,20.222221,-9.111111,0.36533174,-2.1543908,negative
22,114,40.77778,26.222221,-18.11111,30.88889,-12.777778,0.4005362,-2.2071579,negative
157,184,18.222221,24.88889,-12.666667,-3.6666667,16.333334,0.3882103,2.4194453,negative
215,235,8,12.777778,-7.2222223,-3.5555556,10.777778,0.48219234,2.3107576,negative
231,233,11.888889,17,-11.111111,-2.1111112,13.222222,0.47822163,2.4915802,negative
54,133,9,3.4444444,-5.111111,10.888889,-5.7777777,0.6304714,-2.0480003,negative
28,204,69.22222,48.666668,-18.333334,40,-21.666666,0.29685017,-2.0373702,negative
37,167,16.777779,13.777778,-7.2222223,8.111111,-0.8888889,0.31450674,-3.015081,negative
140,247,5.888889,12.444445,-6.3333335,-6.6666665,13,0.5634669,2.1178858,negative
112,197,62.22222,44.11111,-17,35.666668,-18.666666,0.29632849,-2.0712209,negative
114,181,18.777779,25.11111,-12.111111,-3.4444444,15.555555,0.36658052,2.420823,negative
44,33,141.77779,121.22222,-33.666668,47.666668,-14,0.19121477,-2.3480024,negative
