Saturatoin_mean,field19
0.44266057,negative
0.7230108,negative
0.09259259,negative
0.24216007,negative
0.4143562,positive
0.5235376,negative
0.30314395,negative
0.4120944,positive
0.420716,positive
0.23673333,negative
0.2046753,negative
0.56349206,positive
0.11111111,negative
0.2845817,negative
0.29780185,negative
0.44514215,positive
0.25774616,negative
0.4521822,negative
0.30023456,negative
0.3494709,negative
0.3831675,negative
0.2655346,negative
0.17863557,negative
0.18855007,negative
0.41330814,positive
0.3074729,negative
0.2575994,negative
0.46145898,negative
0.56150794,positive
1,negative
0.5089938,negative
0.8721458,negative
0.65353537,negative
0.115302496,negative
0.56291884,positive
0.3088128,negative
1,negative
0.62207055,negative
0.29762968,negative
0.25607783,negative
0.17457852,negative
0.492526,negative
0.24899939,negative
0.40393806,negative
0.42348316,negative
0.49459508,negative
0.39369074,positive
0.42017567,negative
0.47748852,negative
0.32496518,negative
0.59391534,positive
0,negative
0.36206177,negative
0.29986525,negative
0.3961213,negative
0.5299824,positive
0.27598566,negative
0.38746688,negative
0.34230694,negative
0.57870835,positive
0.30298224,negative
0.3412286,negative
0.29741433,negative
0.34023675,negative
0.4513593,positive
0.30885938,negative
0.26725134,negative
0.30910617,negative
0.29895782,negative
0.3923854,negative
0.42149335,negative
0.36963773,negative
0.43824613,positive
0.3072572,negative
0.26620623,negative
1,negative
1,negative
0.29470626,negative
0.38555545,negative
0.6356236,negative
0.40220302,negative
0.4630599,positive
0.17606053,negative
1,negative
0.33538663,negative
0.28962377,negative
0.28835976,negative
0.28979304,negative
0.34745374,negative
0.1809723,negative
0.24809188,negative
0.5138889,positive
0.23450433,negative
0.9722222,negative
0.4047922,positive
0.29855335,negative
0.31010145,negative
0.30020806,negative
0.45154575,negative
0.26862052,negative
0,negative
0.17967218,negative
0.30714995,negative
0.1044701,negative
0.3716949,negative
0.5591711,positive
0.25459513,negative
0.5483297,negative
0.23989888,negative
0.53858024,positive
0.40955147,negative
0.28591606,negative
0.9259259,negative
0.3146827,negative
0.4443531,negative
0.33041757,negative
0.77151674,negative
0.59126985,positive
0.8759259,negative
0.20048407,negative
0.3952535,positive
0.51518697,negative
0.55661374,negative
0.6037037,positive
0.2888889,negative
0.246491,negative
0.32860348,negative
0.3227603,negative
0.18946369,negative
0.42233688,positive
0.8399471,negative
0,negative
0.53858024,positive
0.31315902,negative
0,negative
0.43115196,negative
0.479958,negative
0.47297516,negative
0.64589113,negative
0.29889232,negative
0.5409177,negative
0.984127,negative
0.19369136,negative
0.32066384,negative
0.4474942,negative
0.28683385,negative
0.7601911,negative
0,negative
0.6402237,negative
0.3424082,negative
0.19250989,negative
0.29957896,negative
0.82250714,negative
0.5931498,negative
0.40322387,positive
0.6374209,negative
0.94074076,negative
0.5418871,positive
0.3009182,negative
0.40409946,negative
0.5813492,positive
0.25266927,negative
0.36449948,negative
0.37578005,negative
0.19104938,negative
0.31709695,negative
0.6807869,negative
0.09656084,negative
0.44167453,negative
0.31734532,negative
0.7319224,negative
0.3762527,negative
0.15200906,negative
0.95,negative
0.31155226,negative
0.17584935,negative
0.16561614,negative
0.26619545,negative
0.245206,negative
0.28268683,negative
0.30085307,negative
0.30000642,negative
0.27872574,negative
0.44580838,negative
0.5515873,positive
0.25155202,negative
0.7407407,negative
0.40736422,positive
1,negative
0.61790985,negative
0.82478386,negative
0.30955637,negative
0.26818594,negative
0.38846022,positive
0.54126585,negative
0.2645635,negative
0.9814815,negative
0,negative
0.25891644,negative
0.88800704,negative
0.42334643,positive
0.18324198,negative
0.42989677,positive
0.18785286,negative
0.16790761,negative
0.9861111,negative
0.41688403,positive
0.37553233,negative
0,negative
0.30412614,negative
0.1971055,negative
0.32059526,negative
0.32791784,negative
0.103336096,negative
0.30298296,negative
0.79410774,negative
0.7590125,negative
0.48014903,negative
0.4408947,negative
0.28091076,negative
0.2758629,negative
0.32391465,negative
0.5931498,negative
0.3903984,positive
0.29110643,negative
1,negative
0.6768879,negative
0.4260139,negative
0.19773355,negative
0.76296294,negative
0.5961039,negative
0.9166667,negative
0.3038762,negative
0.30207062,negative
0,negative
0.37553233,negative
0.18101238,negative
0.4320471,positive
1,negative
0.30946052,negative
0.6309454,negative
0.28878826,negative
0.7083333,positive
0.4194691,positive
0,negative
0.3086199,negative
0.10610159,negative
1,negative
0.5465168,positive
0.40983668,negative
0.5297619,positive
0.4347433,positive
0.30570525,negative
0.4115727,negative
0.37821564,negative
0.6304714,negative
0.31028613,negative
0.2580791,negative
0.19512747,negative
0.34888473,negative
0.17463355,negative
0.42930815,positive
0.8740741,negative
0.11839892,negative
0.9238095,negative
0.2993077,negative
0.4898966,negative
0.3819119,negative
0.2018977,negative
0.24074075,negative
0.22572522,negative
0.42199442,positive
0.31548372,negative
0.27541482,negative
0.22497466,negative
0.39386794,negative
0.5873016,positive
0.41530126,positive
0.42692268,positive
0.50813884,negative
0.29562417,negative
0.19713038,negative
0.8606061,negative
0.984127,negative
0.43356952,positive
0.40212956,negative
0.17967218,negative
0.48671728,negative
0.9398148,negative
0.25975996,negative
0.9876543,negative
0.5119048,negative
0.5595462,negative
0.30116582,negative
0.30477422,negative
0.8093314,negative
0.479958,negative
0.30452195,negative
0.33542147,negative
0.30547154,negative
0.4037081,negative
0.39433068,positive
0.4209725,positive
0.31787068,negative
0.25210327,negative
0.93121696,negative
0.50308645,negative
0.37532148,positive
0.5010141,positive
0.23849043,negative
0.2375665,negative
0.53174603,positive
0.27526647,negative
0.18839076,negative
0.4288645,negative
0.39567065,negative
0.28732476,negative
0.36206177,negative
0.18609881,negative
0.22222222,negative
0.3669463,negative
0.15127982,negative
0.4459687,negative
0.34911168,negative
0.5343915,positive
0.627944,negative
0.40249237,negative
0.45768142,positive
0.2063918,negative
0.3015076,negative
0.41915956,negative
0.2874884,negative
0.29423782,negative
0.0976431,negative
0.35212588,negative
0.6133847,negative
0.50544137,negative
0.42697316,positive
0.48999,negative
0.40773422,negative
0.4260139,negative
0.47067475,negative
0.772831,negative
0.537037,negative
0.5326279,positive
0.8962963,negative
0.5458554,positive
0.58002645,positive
0.44718736,positive
0.21837935,negative
0.5783389,positive
0.29590768,negative
0.87751323,negative
0.23148148,negative
0.8424523,negative
0.41378537,positive
1,negative
1,negative
0.35552603,negative
0.2848739,negative
0.27882218,negative
0.30781415,negative
0.19997217,negative
0.60921985,negative
0.16939692,negative
0.5591711,positive
0.6593289,negative
0.31473875,negative
1,negative
0.9777778,negative
0.25541002,negative
0.19462235,negative
0.3589904,negative
0,negative
0.3155379,negative
0.537037,negative
0.41976216,negative
0.5039001,negative
0.584744,negative
0.47971532,negative
0,negative
0.31604066,negative
0.19251962,negative
0.5153199,negative
0.48185185,negative
0.2502041,negative
0.29805613,negative
0.2501428,negative
0.25070548,negative
0.33385554,negative
0.86277056,negative
0.96190476,negative
0.38741234,negative
0.6076133,negative
0.36751375,negative
0.47688422,negative
0.28965172,negative
0.45353317,negative
0.11111111,negative
0.17606053,negative
0.2753682,negative
0.44050935,positive
0.5458554,positive
0.43281928,positive
0.3036015,negative
0.34806257,negative
0.30841646,negative
0.91534394,negative
0.35122013,negative
0.7428191,negative
0.21325745,negative
0.68080807,negative
0.2453213,negative
0.65608466,negative
0.19597653,negative
0.40554056,positive
0.29836866,negative
0.39033788,negative
0.1606036,negative
1,negative
0.43915343,negative
0.27335805,negative
0.54320127,negative
0.2694,negative
0.33991683,negative
0.38741234,negative
0.895369,negative
0.29683578,negative
0.43081954,negative
0.70147634,negative
0.45909294,negative
0.45777184,negative
0.54147977,negative
0.57363313,positive
0.35575584,negative
0.86766475,negative
0.85137916,negative
0.6042809,negative
0.42873532,positive
0.29320765,negative
0.97376543,negative
0.28660962,negative
0.4074074,negative
0.4522286,negative
0.6979798,negative
0.26032928,negative
0.3349617,negative
0.10151485,negative
0.6486569,negative
0.1761556,negative
0.24472968,negative
0.20770195,negative
0.30846536,negative
0.29078844,negative
0.5142537,negative
0.29741284,negative
0.29016516,negative
0.87222224,negative
0.30621472,negative
0.3071933,negative
0,negative
0.37369296,negative
0.18178941,negative
0.27433428,negative
0.47748852,negative
0.33789337,negative
0.33538613,negative
0.42128146,positive
0.41303283,negative
0.29916364,negative
0.39214933,negative
0.30745777,negative
0.20284556,negative
0.25830337,negative
0.3503698,negative
0.12431249,negative
0,negative
0.82302064,negative
0.4157716,negative
0.28414816,negative
0.22295359,negative
0.42601216,negative
0.2972053,negative
0.38036656,positive
0.4202516,positive
0.29964966,negative
0.3134271,negative
0.22967392,negative
0.9722222,negative
0.26183844,negative
0.962963,negative
0.61705947,negative
0.34374964,negative
0.2979628,negative
0.26124597,negative
0,negative
0,negative
0.5016835,negative
0.42781135,positive
0.5144446,negative
0.2498948,negative
0.21017425,negative
0.3833719,negative
0.2473368,negative
0.87633204,negative
0.3194739,negative
0.57473546,positive
0.6577441,negative
0.8333333,negative
0.895369,negative
1,negative
0.28154,negative
0.19756877,negative
0.28679082,negative
0.90923554,negative
0.29995137,negative
0.44994184,negative
0.88604844,negative
0.41575083,positive
0,negative
0.8435185,negative
0.22280817,negative
0.6281558,negative
1,negative
0.49709514,negative
0.23116584,negative
0.29272884,negative
0.30003616,negative
0.19951321,negative
0.29784104,negative
0.17071788,negative
0.42076695,negative
0.24925283,negative
0.39839673,negative
0.30038968,negative
0.8740741,negative
0.33961803,negative
0.17818023,negative
0.31425992,negative
0.17044854,negative
0.30001867,negative
0.54012346,positive
0.962963,negative
0.31901047,negative
0.9261464,negative
0.4288601,positive
0.31489658,negative
0.7380342,negative
0.38463837,negative
0.515873,positive
0.77037036,negative
0.35206997,negative
0.6873016,negative
0.5416667,negative
0.24285044,negative
0.60119045,positive
0.2440208,negative
0.5311728,positive
0.28510964,negative
0.29970714,negative
0.5418871,positive
0.28752622,negative
0.18354028,negative
0.38903406,negative
0.3074441,negative
0.3601942,negative
0.3973624,positive
0.554881,negative
0.29035455,negative
0.26754448,negative
0.93849206,negative
0.7738155,negative
0.4148072,negative
0.92957354,negative
0.26298115,negative
0.58765954,negative
0.39835298,negative
0,negative
0.39643326,negative
0.31478265,negative
0.100709505,negative
0.5942257,negative
0.39415666,positive
0.3588616,negative
0.25913006,negative
0.9543651,negative
0.4155243,positive
0.27150124,negative
0.7899301,negative
0.2956214,negative
0.46491185,negative
0.32401717,negative
0.23234288,negative
0.34703225,negative
1,negative
0.93570626,negative
0.34575516,negative
0.90709877,negative
0.30018225,negative
0.43785483,positive
0.55180776,positive
0.26677614,negative
0,negative
0.3152556,negative
0.27036038,negative
0.39890292,positive
0.36217153,negative
0.904321,negative
0.6957549,negative
0.23908533,negative
0.43048432,positive
0.58956474,negative
0.31536263,negative
0.57276654,negative
0.2846535,negative
0.30925295,negative
0.25415963,negative
0.34003016,negative
0.2736466,negative
0.19609308,negative
0.25469732,negative
0.5633903,negative
0.2144562,negative
0.30745777,negative
0.27956137,negative
0.24472968,negative
0.30066735,negative
0.43448815,negative
0.5564374,positive
0.1269675,negative
0.84168977,negative
0.20284556,negative
0.5456349,positive
0.17935319,negative
0.25185186,negative
0.5667989,positive
0.40102458,positive
0.30846536,negative
0.271568,negative
0.24983571,negative
0.42249063,negative
0.24157602,negative
0.6417749,negative
0.55917877,negative
0.38528243,negative
0.25532874,negative
0.44663557,positive
0.3208649,negative
0.4410489,negative
0.09277301,negative
0.35188085,negative
0.6005291,positive
0.8888889,negative
0.5185864,negative
0.3374935,negative
0.537037,negative
0.8930539,negative
0.23814337,negative
0.6183277,negative
0.5692659,negative
0.44550914,negative
0.56349206,positive
0.9537037,negative
0.26421982,negative
0.32571116,negative
0.9814815,negative
0.2570597,negative
0.24509327,negative
0.2906682,negative
0.54054004,negative
0.32936445,negative
0.16335146,negative
0.24899939,negative
0.3786151,negative
0,negative
0.24145858,negative
0.33512673,negative
0.28739437,negative
0.22538376,negative
0.5964221,negative
0.30003616,negative
0.3589904,negative
0.38661182,negative
0.26675764,negative
0.67526454,negative
0.25904787,negative
0.30227023,negative
0.34430414,negative
0.7620489,negative
0.3963988,negative
0.21578804,negative
0.41213372,positive
0.4076231,positive
0.35376814,negative
0.16165799,negative
0.3215052,negative
0.105127536,negative
0.29552308,negative
0.33195418,negative
0.39465594,positive
0.38914663,positive
0.20227888,negative
0.17262767,negative
0.57700235,negative
0.3126096,negative
0.64867723,negative
0,negative
1,negative
0.32174963,negative
0.3024212,negative
0.29484537,negative
0.44337976,negative
0.3346597,negative
0,negative
0.4004446,positive
0.25072145,negative
0.49138823,negative
0.21381323,negative
1,negative
0.56415343,positive
0.29773334,negative
0.6384555,negative
0.5834605,negative
0.5177167,negative
0.2976887,negative
1,negative
0.44541803,negative
0.29197225,negative
0.43934208,negative
0.9861111,negative
0.1993515,negative
0.20358202,negative
0.3959547,negative
0.22538376,negative
0.183109,negative
0.34932512,negative
0.88148147,negative
0.30228263,negative
0.23141664,negative
0.53055555,positive
0.5974427,positive
0.16222528,negative
0.3026748,negative
0.6295031,negative
0.2908336,negative
0.29269224,negative
0.26811782,negative
0.27147257,negative
0.4158355,negative
0.16604693,negative
0.15667991,negative
0.5791423,negative
0.8367725,negative
0.27976418,negative
0.30568013,negative
0.1045387,negative
0.8272487,negative
0.60978836,negative
0.5277778,negative
0.38252184,negative
0.42571348,negative
0.2663022,negative
0.38142902,negative
0.4604365,negative
0.95308644,negative
0.3978916,negative
0.26862052,negative
0,negative
0.10761623,negative
0.3218254,negative
1,negative
0.56349206,positive
0.34747013,negative
0.43944263,negative
0.39559862,negative
0.33914515,negative
0.42423514,negative
0.8916084,negative
1,negative
0.2703099,negative
0.7629189,negative
0.35133117,negative
0.18565786,negative
0.26195785,negative
0.27435303,negative
0.44157267,negative
0,negative
0.18889166,negative
0.34790245,negative
0.8086198,negative
0.22222222,negative
0.4018332,negative
0.1883132,negative
0.424404,negative
0.43704242,positive
0.39043593,positive
0.8749174,negative
0.20650265,negative
0.29272884,negative
0.44469786,negative
0.48906165,negative
0.46200204,positive
0.19951604,negative
0.3382884,negative
0.8611111,negative
0.24869815,negative
0.27344358,negative
0.94481075,negative
0.45092598,positive
0.48688295,negative
0.28212494,negative
1,negative
0.88121694,negative
0.9035714,negative
0,negative
0.4305578,positive
0.39658895,positive
0.6037037,negative
0.46275216,positive
0.18147528,negative
0.37657413,positive
0.29058507,negative
0.38262922,positive
0,negative
1,negative
0.9517196,negative
0.9114478,negative
0.31732458,negative
0.17842785,negative
0.58577543,negative
0.31436473,negative
0.5491797,negative
0.915376,negative
0.5591711,positive
0.5582011,positive
0.437078,negative
0.40601462,positive
0.5994268,positive
0.60119045,positive
0.38988227,negative
0.6911226,negative
0.4451721,negative
0.6866853,negative
0.37887058,negative
0.9814815,negative
0.4462137,negative
0.5462072,negative
0.4321665,positive
0.12003023,negative
0.28574014,negative
0.30067223,negative
0.42481935,positive
0.2929567,negative
0.2845155,negative
0.63273925,negative
0,negative
0.5458554,positive
0.3576681,negative
0.56371254,positive
0.30188268,negative
0.17933026,negative
0.367923,negative
0.27834544,negative
0.2656978,negative
0.35003868,negative
0.2620926,negative
0.39992693,positive
0.43576914,negative
0.32797024,negative
0.2916751,negative
1,negative
0.28757253,negative
0.6765811,negative
0.2767844,negative
0.5339284,negative
0.8292328,negative
0,negative
0.77248675,negative
0.3351151,negative
0.48671728,negative
0.38645566,negative
0.2921254,negative
0.4522286,negative
0.29399088,negative
0.7721516,negative
0.30349702,negative
0.36884832,positive
0.42083883,negative
0.39798474,negative
0.2511938,negative
0.39658895,positive
0.984127,negative
0.61296296,negative
0.2745188,negative
0.38875645,positive
0.2645714,negative
0.27171725,negative
0.40983546,negative
0.30344796,negative
0.41776258,positive
0.310288,negative
0.39931142,positive
0.32560807,negative
0.5928131,positive
0.19629721,negative
0.89973545,negative
0.303044,negative
0.26555753,negative
0.28073832,negative
0.82974845,negative
0.30228558,negative
0.29752782,negative
0.6873016,negative
0.2777778,negative
0.30575457,negative
0.30923617,negative
0.4214949,positive
0.56613755,positive
0.41573665,positive
0.34639803,negative
0.19431558,negative
0.40211964,positive
0.40888458,negative
0.62132436,negative
0.7788625,negative
0.2956001,negative
0.54012346,positive
0.3384867,negative
0.9777778,negative
0.11121766,negative
0.8888889,negative
0.53894526,negative
0.71822083,negative
0.26643977,negative
1,negative
0.39203387,negative
0.420823,positive
0.3067255,negative
0.46406928,negative
0.22295359,negative
0.5813492,positive
0.537017,positive
0.53354967,negative
1,negative
0.2963139,negative
0.40645057,positive
0.5555556,negative
1,negative
0.29042712,negative
0.64367795,positive
0.3211389,negative
0.91534394,negative
0.20829348,negative
0.42553785,positive
0.984127,negative
0.27505925,negative
0.4223002,positive
0.29722086,negative
0.11111111,negative
0.2898632,negative
0.28936154,negative
0.32273299,negative
0.29278436,negative
0.32108474,negative
0.17250364,negative
0.17250364,negative
0.59776545,negative
0.25185186,negative
0.18437627,negative
0.66534394,negative
0.80665785,negative
0.3140923,negative
0.3748065,negative
0.31303197,negative
0.18426341,negative
0.53858024,positive
0.20414667,negative
0.26498562,negative
0.5376984,positive
0.38661182,negative
1,negative
0.29484537,negative
0.2805935,negative
0.8228925,negative
0.337989,negative
1,negative
0.25295278,negative
0.8153439,negative
0.75,negative
0.45836443,negative
0.322069,negative
0.22222222,negative
0.17412825,negative
0.20767513,negative
0.11574074,negative
0.3377558,negative
0.18721664,negative
0.2902986,negative
0.43039906,positive
0.22387896,negative
0.30616122,negative
0.25936732,negative
0.7329263,negative
0.29965425,negative
0.45423168,negative
0.30879894,negative
0.34176603,negative
0.52954143,positive
0.3503698,negative
1,negative
0.40864444,positive
0.30690557,negative
0.33542147,negative
0.330345,negative
0.6248002,negative
0.53791887,positive
0.44541803,negative
0.18736246,negative
0.29754734,negative
0.9777778,negative
0.3273603,negative
0.2767844,negative
0.42150384,positive
0.4148072,negative
0.32548746,negative
0.33333334,negative
0.912963,negative
0.28752622,negative
0.42459705,positive
0.42024404,negative
0.27171725,negative
0.2849537,negative
0.30902183,negative
0.3880957,negative
0.39170122,positive
0.4100093,positive
0.29599184,negative
0.5674603,positive
0.4405804,negative
0.40815476,positive
0.28958246,negative
0.8646644,negative
0.23576024,negative
0.24779001,negative
0.5674603,positive
0.28921792,negative
0.44597858,negative
0.79960316,negative
0.24777646,negative
0.41026655,positive
0.27147377,negative
0.646164,positive
0.33188802,negative
0.28569087,negative
0.39300215,negative
0.28666258,negative
0.17969723,negative
0.29966387,negative
0.3098264,negative
0.25936732,negative
0.19104938,negative
0.19805206,negative
0.26505277,negative
0.7364309,negative
0.2598418,negative
0.5299824,positive
0.39236423,negative
0.14110672,negative
0.31808975,negative
0.91089994,negative
0.5142537,negative
0.43507022,positive
0.29958275,negative
0.31361094,negative
0.5009438,negative
0.39533988,negative
0.37883934,positive
0.47394413,negative
0.24967904,negative
0.3501687,negative
0.29078844,negative
0.52432793,negative
0.4503053,positive
0.25975996,negative
0.2591888,negative
0.21420376,negative
0.42939755,negative
0.4463545,positive
0.45878506,negative
0.33041757,negative
0.29222646,negative
0.2570141,negative
1,negative
0.984127,negative
0.59325397,positive
0.30575457,negative
0.28555444,negative
0.27866945,negative
0.18952668,negative
0.16561614,negative
0,negative
0.46343043,negative
0.21380861,negative
0.2924689,negative
0.3074441,negative
0.5421076,positive
0.21148404,negative
0,negative
1,negative
0.29914993,negative
0.3009182,negative
0.48659843,negative
0.42265132,positive
0.09847229,negative
0.32009703,negative
0.29896173,negative
0.28913772,negative
0.7916667,negative
0.44611752,positive
0.24899773,negative
0.475,positive
0.15213422,negative
0.5488248,negative
0.962963,negative
1,negative
0.2027078,negative
0.31548372,negative
0.56415343,positive
0.27970007,negative
0.34748083,negative
0.21353829,negative
0.36371678,negative
0.32728764,negative
0.3969092,negative
0.2580791,negative
0.43137968,negative
0.6410182,negative
0.8435185,negative
0.3158616,negative
0.82685184,negative
0.30079645,negative
0.30158615,negative
0.6301587,positive
0.41629943,positive
0.85319865,negative
0.11169542,negative
0.38127685,positive
0.26937962,negative
0.47282594,negative
1,negative
0.26721877,negative
0.32671866,negative
0.43971756,negative
1,negative
0.20066153,negative
0.5918262,negative
0.49969473,negative
0.26204562,negative
0.38903406,negative
0.45030865,positive
0.65204316,negative
0.62065095,negative
0.6666667,negative
0.29599184,negative
0.9238095,negative
0.31428084,negative
0.87222224,negative
0.8755291,negative
0.1971141,negative
0.4313206,negative
0.4315472,positive
0.26639053,negative
0.29352704,negative
0.4324709,positive
0.6392537,negative
0.1924883,negative
0.5041609,negative
0.40134683,negative
0.3033766,negative
0.17869009,negative
0.39488608,negative
0.36128438,negative
0.3768521,positive
0.1818206,negative
0.6230159,positive
0.19062504,negative
0.2909818,negative
0.2367968,negative
0.29805613,negative
0.26589924,negative
0.45815158,negative
0.28153613,negative
0.48024568,negative
0.26919183,negative
0.31533822,negative
0.5440917,positive
0.5358197,negative
0.5438712,positive
0.42162097,negative
0.48998156,negative
0.19091243,negative
0.40474883,negative
0.9111552,negative
0.26204562,negative
0.26524833,negative
0.9876543,negative
0.24777646,negative
0.28965253,negative
0.78617525,negative
0.3492103,negative
1,negative
0,negative
0.2962514,negative
0.25336418,negative
0.25072145,negative
