Lenght,Eccen,P_black,P_and,Wb_trans,Class
9,0.818,0.485,0.727,8,negative
8,0.727,0.705,1,8,negative
8,0.727,0.443,0.466,1,negative
7,0.636,0.597,1,8,negative
7,0.636,0.468,1,10,negative
9,0.818,0.475,0.636,3,negative
8,0.727,0.511,0.852,5,negative
43,43,0.907,1,4,positive
38,3.8,0.387,0.887,59,negative
20,2.5,0.5,1,29,negative
36,4,0.54,0.929,61,negative
98,9.8,0.391,0.835,159,negative
49,4.9,0.52,0.961,86,negative
21,2.1,0.329,0.843,27,negative
19,2.111,0.292,0.76,19,negative
55,6.111,0.299,1,77,negative
14,1.556,0.127,0.937,9,negative
23,2.875,0.288,1,36,negative
35,4.375,0.379,0.886,64,negative
96,10.667,0.281,0.815,124,negative
66,7.333,0.323,0.805,96,negative
34,3.778,0.337,0.817,57,negative
83,10.375,0.325,0.908,123,negative
80,10,0.303,0.922,113,negative
95,10.556,0.285,0.723,116,negative
80,10,0.298,0.883,111,negative
13,1.3,0.108,0.685,6,negative
70,8.75,0.341,0.918,115,negative
84,7.636,0.262,0.82,143,negative
99,11,0.27,0.818,125,negative
80,8.889,0.293,0.868,114,negative
101,9.182,0.239,0.818,165,negative
26,2.167,0.221,1,43,negative
40,3.333,0.271,0.733,66,negative
84,10.5,0.269,0.966,101,negative
53,6.625,0.358,0.981,99,negative
41,5.125,0.363,0.942,73,negative
82,9.111,0.252,0.74,93,negative
14,2,0.184,0.612,1,negative
26,3.25,0.375,0.947,44,negative
46,5.75,0.391,0.951,78,negative
34,3.778,0.379,0.961,68,negative
26,2.364,0.297,0.941,42,negative
42,3.818,0.335,0.829,69,negative
62,5.167,0.234,0.66,110,negative
75,9.375,0.328,0.888,106,negative
18,2.25,0.479,0.986,32,negative
33,4.714,0.143,0.844,14,negative
64,7.111,0.465,0.899,104,negative
36,4,0.568,0.932,61,negative
8,1,0.203,0.344,3,negative
21,2.625,0.339,0.673,29,negative
99,11,0.464,0.942,164,negative
84,9.333,0.288,0.791,119,negative
31,3.875,0.327,0.79,44,negative
2,0.105,0.816,0.816,1,positive
101,11.222,0.442,0.861,150,negative
118,10.727,0.26,0.817,168,negative
2,0.4,0.8,0.8,1,positive
126,12.6,0.41,0.833,196,negative
117,9.75,0.22,0.673,184,negative
35,3.889,0.263,0.667,29,negative
46,5.111,0.292,0.676,63,negative
2,0.2,0.55,0.6,1,positive
44,5.5,0.426,0.938,46,negative
48,6,0.31,0.807,62,negative
40,5,0.403,0.991,51,negative
45,5.625,0.469,0.956,58,negative
20,2.222,0.261,0.556,20,negative
22,2.444,0.298,0.965,28,negative
41,5.125,0.335,0.933,53,negative
112,56,0.496,0.504,2,positive
45,45,0.756,1,6,positive
75,75,0.813,1,11,positive
43,5.375,0.349,0.814,53,negative
301,27.364,0.308,0.735,458,negative
35,5,0.453,0.873,45,negative
122,13.556,0.339,0.947,145,negative
130,13,0.425,0.773,198,negative
46,7.667,0.217,0.804,30,negative
27,4.5,0.136,0.673,11,negative
8,1.6,0.35,0.675,3,negative
3,0.6,0.467,1,1,negative
35,7,0.2,0.829,8,negative
47,11.75,0.298,0.739,24,negative
31,10.333,0.226,0.774,10,negative
16,5.333,0.375,0.938,8,negative
122,17.429,0.281,0.626,139,negative
21,1.909,0.411,0.68,24,negative
8,0.727,0.375,0.602,8,negative
9,0.818,0.465,0.818,5,negative
8,0.8,0.5,1,8,negative
21,2.1,0.324,0.6,20,negative
157,78.5,0.506,0.551,6,positive
38,3.8,0.439,0.897,59,negative
36,4,0.549,0.914,54,negative
20,2.5,0.525,0.938,24,negative
96,9.6,0.418,0.886,161,negative
49,5.444,0.594,0.998,86,negative
32,32,0.719,1,4,positive
52,52,0.788,1,4,positive
13,13,0.692,1,2,positive
23,2.556,0.304,1,39,negative
37,4.111,0.381,0.808,62,negative
20,2.222,0.339,0.872,26,negative
79,9.875,0.375,0.956,112,negative
81,9,0.388,0.897,119,negative
67,8.375,0.381,0.746,82,negative
32,3.556,0.292,0.826,55,negative
2,0.021,0.516,0.516,1,positive
11,1.1,0.382,1,28,negative
64,6.4,0.295,0.808,84,negative
83,8.3,0.295,0.725,121,negative
73,6.083,0.257,0.591,105,negative
17,2.125,0.353,0.801,24,negative
12,1.333,0.407,0.88,26,negative
82,9.111,0.343,0.913,125,negative
53,6.625,0.37,0.901,89,negative
83,7.545,0.274,0.9,146,negative
81,8.1,0.279,0.81,107,negative
82,9.111,0.329,0.871,115,negative
100,9.091,0.269,0.765,156,negative
71,2.84,0.234,0.748,187,negative
82,9.111,0.247,0.935,87,negative
97,10.778,0.328,0.921,162,negative
32,3.556,0.333,0.861,57,negative
82,10.25,0.398,0.951,104,negative
13,1.083,0.372,0.981,25,negative
8,0.667,0.198,1,9,negative
43,3.583,0.293,0.791,66,negative
75,9.375,0.415,0.91,105,negative
84,7.636,0.251,0.681,131,negative
123,61.5,0.5,0.504,1,positive
36,36,0.722,1,3,positive
123,6.474,0.089,0.089,1,negative
6,0.75,0.5,0.646,3,negative
65,6.5,0.445,0.911,112,negative
37,4.111,0.598,0.946,57,negative
20,2.222,0.339,0.772,35,negative
8,2,0.344,0.781,6,negative
100,10,0.449,0.874,159,negative
32,3.556,0.365,0.781,47,negative
82,9.111,0.337,0.817,124,negative
101,10.1,0.466,0.893,156,negative
116,9.667,0.246,0.707,172,negative
126,12.6,0.463,0.848,185,negative
86,9.556,0.301,0.647,105,negative
115,10.455,0.266,0.723,188,negative
2,0.5,0.875,0.875,1,positive
44,4.889,0.465,0.944,55,negative
46,5.75,0.348,0.918,65,negative
40,5,0.391,0.991,60,negative
45,5,0.442,0.956,54,negative
45,5.625,0.367,0.897,54,negative
41,5.125,0.424,0.966,55,negative
19,19,0.789,1,4,positive
9,9,0.778,1,1,positive
42,5.25,0.363,0.97,56,negative
339,24.214,0.248,0.547,481,negative
123,12.3,0.362,0.888,149,negative
446,223,0.439,0.603,22,positive
3,0.045,0.657,0.909,50,positive
131,13.1,0.456,0.851,199,negative
4,0.043,0.419,0.565,54,positive
3,0.068,0.598,0.841,32,positive
7,0.167,0.282,0.432,38,positive
236,118,0.566,0.689,26,positive
61,61,1,1,1,positive
14,1.75,0.223,0.661,7,negative
174,19.333,0.178,0.737,163,negative
45,5.625,0.156,0.725,30,negative
27,3.857,0.101,0.619,5,negative
9,9,0.778,1,1,negative
122,15.25,0.227,0.65,154,negative
96,8.727,0.331,0.954,81,negative
402,8.375,0.055,0.094,256,positive
463,1.523,0.063,0.121,2273,positive
20,2,0.435,0.89,30,negative
97,10.778,0.466,0.973,168,negative
21,2.333,0.354,0.878,25,negative
80,8.889,0.338,0.954,119,negative
85,7.727,0.25,0.664,135,negative
76,8.444,0.363,0.874,114,negative
2,0.25,0.563,0.563,1,negative
33,3.667,0.259,0.774,46,negative
120,13.333,0.331,0.859,181,negative
118,9.833,0.253,0.767,184,negative
207,18.818,0.268,0.723,332,negative
92,10.222,0.365,0.954,137,negative
93,10.333,0.323,0.888,131,negative
43,4.778,0.377,0.922,65,negative
213,71,0.318,0.379,17,positive
465,1.52,0.055,0.123,2925,positive
79,1.756,0.087,0.195,64,positive
9,1.286,0.333,0.492,1,negative
7,2.333,0.619,0.619,1,negative
152,152,0.822,1,11,positive
51,51,0.471,1,10,positive
17,2.833,0.275,0.824,14,negative
22,3.667,0.197,1,9,negative
29,4.833,0.293,0.92,34,negative
46,9.2,0.278,0.835,29,negative
30,6,0.16,0.66,14,negative
16,4,0.391,0.938,15,negative
45,6.429,0.2,0.775,33,negative
27,3.857,0.238,0.741,16,negative
122,12.2,0.273,0.54,164,negative
49,4.455,0.343,0.666,43,negative
35,3.182,0.335,0.584,27,negative
462,24.316,0.523,0.688,272,positive
38,3.8,0.434,0.892,57,negative
36,4,0.552,0.926,51,negative
98,9.8,0.448,0.881,160,negative
21,2.333,0.529,0.958,30,negative
49,4.9,0.551,0.943,88,negative
49,49,0.286,1,2,negative
52,52,0.981,1,1,positive
52,52,0.538,1,2,positive
24,2.4,0.267,0.821,31,negative
36,4,0.42,0.889,68,negative
21,2.333,0.392,0.899,27,negative
78,8.667,0.349,0.863,113,negative
67,6.091,0.331,0.844,107,negative
33,3.3,0.367,0.864,62,negative
79,7.9,0.385,0.88,143,negative
80,8,0.314,0.799,122,negative
97,8.818,0.297,0.666,132,negative
82,9.111,0.389,0.92,123,negative
69,7.667,0.343,0.876,122,negative
84,7,0.282,0.778,149,negative
82,9.111,0.379,0.879,119,negative
11,1.1,0.373,1,26,negative
63,6.3,0.294,0.895,84,negative
102,9.273,0.289,0.829,173,negative
82,9.111,0.385,0.935,124,negative
26,1.182,0.283,0.918,84,negative
47,2.136,0.319,0.753,155,negative
53,5.3,0.34,0.9,99,negative
40,4,0.338,0.878,71,negative
82,10.25,0.288,0.997,95,negative
34,3.4,0.356,0.803,66,negative
81,9,0.348,0.927,115,negative
13,1.182,0.42,0.979,27,negative
8,0.727,0.25,1,9,negative
43,3.909,0.334,0.875,64,negative
75,8.333,0.396,0.914,121,negative
86,7.818,0.283,0.764,140,negative
33,33,1,1,1,positive
124,124,0.444,1,7,positive
75,75,0.92,1,6,positive
6,0.667,0.5,0.593,2,negative
64,6.4,0.514,0.966,116,negative
36,4,0.611,0.926,59,negative
34,3.778,0.288,0.641,42,negative
98,9.8,0.463,0.945,167,negative
121,13.444,0.356,0.817,176,negative
100,9.091,0.456,0.882,165,negative
118,4.72,0.268,0.745,392,negative
126,12.6,0.456,0.883,202,negative
85,8.5,0.333,0.696,124,negative
43,4.778,0.509,0.959,55,negative
47,5.222,0.333,0.757,59,negative
40,4,0.428,0.895,56,negative
44,4.889,0.467,0.944,59,negative
47,5.222,0.31,0.78,56,negative
41,4.556,0.425,0.962,58,negative
8,8,0.875,1,1,positive
40,40,1,1,1,positive
55,55,0.564,1,3,positive
39,4.333,0.293,0.937,50,negative
340,24.286,0.259,0.592,503,negative
123,13.667,0.395,0.991,154,negative
115,115,0.2,1,5,positive
131,13.1,0.439,0.845,206,negative
11,11,1,1,1,positive
46,46,0.783,1,3,positive
64,32,0.531,0.586,4,positive
47,6.714,0.271,0.878,40,negative
27,3.375,0.218,0.829,22,negative
17,2.429,0.412,0.933,18,negative
59,7.375,0.322,0.881,63,negative
47,5.875,0.362,0.88,68,negative
32,4,0.336,0.789,35,negative
16,2,0.477,0.906,25,negative
115,28.75,0.426,0.487,11,positive
16,2.286,0.42,0.768,22,negative
100,14.286,0.411,0.849,157,negative
8,0.667,0.448,0.656,10,negative
8,0.667,0.615,0.969,10,negative
8,0.667,0.479,0.5,1,negative
8,0.667,0.792,1,5,negative
7,0.583,0.56,1,9,negative
23,1.917,0.417,0.623,14,negative
463,1.489,0.088,0.16,3212,positive
18,1.286,0.159,0.607,12,negative
51,5.1,0.306,0.855,68,negative
24,2.667,0.537,1,40,negative
22,2.2,0.336,0.836,27,negative
37,4.111,0.538,0.901,64,negative
101,2.73,0.282,0.695,432,negative
34,3.4,0.421,0.906,71,negative
98,8.909,0.317,0.643,122,negative
83,6.917,0.301,0.814,151,negative
114,3.353,0.105,0.301,157,negative
101,8.417,0.292,0.792,178,negative
87,8.7,0.344,0.901,132,negative
98,9.8,0.376,0.861,175,negative
84,8.4,0.356,0.849,121,negative
47,5.222,0.492,0.948,86,negative
33,3.667,0.458,0.983,62,negative
78,7.8,0.381,0.856,118,negative
8,0.667,0.292,1,9,negative
43,3.583,0.357,0.849,68,negative
86,7.818,0.332,0.808,143,negative
5,0.556,0.711,0.889,3,negative
146,12.167,0.091,0.128,6,positive
2,0.118,0.706,0.706,1,positive
7,0.778,0.349,0.683,10,negative
21,2.625,0.31,0.744,31,negative
121,13.444,0.399,0.843,181,negative
118,10.727,0.348,0.797,167,negative
37,3.7,0.354,0.708,41,negative
47,4.7,0.336,0.628,70,negative
92,8.364,0.361,0.851,159,negative
21,2.1,0.362,0.819,36,negative
47,5.222,0.371,0.865,57,negative
41,4.556,0.507,0.992,57,negative
18,1.8,0.511,0.872,31,negative
47,5.222,0.385,0.917,65,negative
41,4.556,0.444,0.976,57,negative
45,5,0.425,0.938,62,negative
48,48,0.875,1,4,positive
29,29,0.586,1,8,positive
17,17,0.412,1,4,positive
46,5.75,0.318,0.818,56,negative
31,4.429,0.295,0.857,39,negative
17,2.833,0.314,0.686,14,negative
59,7.375,0.292,0.888,76,negative
17,2.429,0.387,0.857,17,negative
28,3.5,0.259,0.844,30,negative
45,5.625,0.206,0.789,41,negative
123,11.182,0.25,0.514,173,negative
9,0.818,0.465,0.768,12,negative
8,0.727,0.602,1,13,negative
61,5.545,0.361,0.614,48,negative
330,11.786,0.057,0.066,17,positive
464,2.189,0.052,0.07,428,positive
38,3.8,0.432,0.939,59,negative
36,4,0.556,0.923,56,negative
98,10.889,0.491,0.974,156,negative
21,2.333,0.487,0.857,28,negative
49,4.9,0.59,0.982,93,negative
286,95.333,0.406,0.427,4,positive
23,2.556,0.3,1,41,negative
37,4.111,0.39,0.811,64,negative
21,2.1,0.348,0.757,23,negative
79,8.778,0.343,0.899,111,negative
66,6.6,0.324,0.78,95,negative
34,3.778,0.412,0.902,66,negative
82,9.111,0.428,0.936,133,negative
79,7.9,0.347,0.784,122,negative
98,8.167,0.267,0.627,135,negative
83,8.3,0.357,0.813,130,negative
11,1.1,0.427,1,31,negative
53,5.3,0.343,0.811,91,negative
85,7.083,0.305,0.828,160,negative
82,9.111,0.408,0.924,126,negative
80,8,0.308,0.838,122,negative
102,8.5,0.292,0.764,171,negative
82,9.111,0.374,0.866,120,negative
26,1.13,0.278,0.96,92,negative
47,2.043,0.315,0.747,155,negative
99,11,0.38,0.93,177,negative
83,9.222,0.292,0.909,90,negative
34,3.4,0.388,0.891,63,negative
82,9.111,0.37,0.924,114,negative
13,1.083,0.391,0.981,26,negative
8,0.667,0.302,1,10,negative
42,3.5,0.355,0.788,66,negative
86,8.6,0.326,0.844,151,negative
76,8.444,0.38,0.95,118,negative
6,0.667,0.667,0.759,2,negative
65,6.5,0.475,0.971,112,negative
36,4,0.586,0.948,55,negative
7,0.778,0.302,0.603,10,negative
22,2.444,0.389,0.843,40,negative
99,9.9,0.473,0.917,160,negative
85,9.444,0.395,0.846,130,negative
32,3.556,0.382,0.792,51,negative
100,9.091,0.473,0.882,158,negative
118,5.13,0.293,0.784,385,negative
125,11.364,0.432,0.804,196,negative
85,8.5,0.324,0.675,122,negative
43,4.3,0.458,0.94,55,negative
48,4.8,0.331,0.742,67,negative
40,4.444,0.483,0.992,61,negative
44,4.889,0.449,0.879,60,negative
47,5.222,0.371,0.825,57,negative
42,4.667,0.429,0.976,59,negative
18,18,0.944,1,1,positive
7,7,1,1,1,positive
117,117,0.393,1,8,positive
42,4.2,0.317,0.85,60,negative
340,14.167,0.211,0.468,643,negative
77,77,0.403,1,6,positive
40,40,0.875,1,3,positive
130,13,0.486,0.856,199,negative
28,28,0.964,1,1,positive
35,35,0.829,1,3,positive
13,2.167,0.128,0.577,6,negative
18,2.571,0.119,0.452,7,negative
42,6,0.293,0.857,33,negative
31,4.429,0.267,0.714,27,negative
16,2.286,0.241,0.634,11,negative
23,3.286,0.093,0.54,11,negative
8,1.143,0.161,0.518,5,negative
2,0.286,0.5,0.929,1,negative
7,1,0.327,0.898,7,negative
11,1.833,0.197,0.848,10,negative
121,17.286,0.276,0.607,131,negative
21,1.909,0.468,0.719,15,negative
9,0.818,0.515,0.768,6,negative
8,0.8,0.4,0.7,8,negative
8,0.727,0.727,0.989,6,negative
7,0.636,0.468,0.481,1,negative
8,0.727,0.693,0.989,6,negative
14,14,0.571,1,4,positive
38,4.222,0.444,0.898,56,negative
20,2.222,0.461,1,32,negative
36,4,0.506,0.901,58,negative
98,8.909,0.397,0.778,164,negative
49,5.444,0.592,0.998,88,negative
23,23,0.826,1,1,positive
19,19,0.684,1,3,positive
78,8.667,0.329,0.896,110,negative
14,1.75,0.143,1,6,negative
106,5.048,0.136,0.396,152,negative
24,3,0.297,0.974,40,negative
36,4.5,0.465,0.885,63,negative
22,2.444,0.318,0.909,26,negative
12,1.333,0.407,1,27,negative
6,0.667,0.37,0.907,8,negative
38,4.75,0.349,0.757,55,negative
34,3.778,0.31,0.895,59,negative
12,1.333,0.407,1,28,negative
63,7,0.298,0.787,84,negative
104,11.556,0.282,0.904,137,negative
75,6.818,0.27,0.679,107,negative
17,2.125,0.309,0.676,18,negative
82,9.111,0.309,0.778,118,negative
16,2,0.156,0.859,4,positive
12,1.5,0.469,1,28,negative
53,6.625,0.337,0.889,87,negative
85,7.727,0.268,0.902,145,negative
12,1.2,0.367,1,28,negative
63,6.3,0.251,0.898,86,negative
82,9.111,0.32,0.947,111,negative
10,1.111,0.144,0.522,2,positive
102,8.5,0.257,0.804,178,negative
90,7.5,0.183,0.716,103,negative
26,2.167,0.224,0.907,43,negative
41,3.417,0.289,0.74,69,negative
99,12.375,0.351,0.962,167,negative
81,9,0.287,0.826,94,negative
26,3.25,0.37,0.947,43,negative
46,5.111,0.365,0.848,75,negative
34,3.778,0.363,0.863,63,negative
26,2.167,0.276,0.83,39,negative
43,3.583,0.328,0.789,66,negative
75,9.375,0.373,0.955,115,negative
86,7.818,0.289,0.701,138,negative
79,79,0.608,1,7,positive
6,0.75,0.583,0.813,4,negative
11,11,0.727,1,2,positive
98,98,0.939,1,3,positive
13,13,0.692,1,3,positive
64,7.111,0.491,0.984,110,negative
36,4.5,0.559,0.944,53,negative
8,1,0.25,0.672,10,negative
21,2.625,0.381,0.845,34,negative
99,11,0.461,0.906,155,negative
121,13.444,0.322,0.776,169,negative
100,11.111,0.463,0.908,143,negative
118,10.727,0.29,0.798,189,negative
126,14,0.466,0.907,186,negative
117,9.75,0.251,0.635,190,negative
14,1.75,0.268,0.554,10,negative
71,8.875,0.329,0.776,102,negative
44,5.5,0.455,0.949,50,negative
48,6,0.328,0.885,63,negative
40,5,0.409,0.997,59,negative
45,5,0.447,0.896,56,negative
47,5.875,0.324,0.896,56,negative
42,5.25,0.39,0.94,54,negative
17,17,0.824,1,3,positive
43,5.375,0.372,0.956,61,negative
300,21.429,0.263,0.607,462,negative
35,5,0.482,0.841,42,negative
122,13.556,0.333,0.829,144,negative
130,14.444,0.448,0.877,199,negative
45,5.625,0.222,0.806,42,negative
31,4.429,0.221,0.853,27,negative
14,4.667,0.381,0.881,5,negative
18,2.25,0.215,0.813,13,negative
58,8.286,0.212,0.842,38,negative
40,5.714,0.186,0.754,23,negative
28,4.667,0.143,0.53,14,negative
15,3.75,0.267,0.8,4,negative
38,2.714,0.244,0.489,44,negative
31,2.067,0.204,0.465,24,negative
77,5.923,0.258,0.564,85,negative
33,2.538,0.245,0.534,27,negative
19,1.9,0.332,0.695,17,negative
121,17.286,0.305,0.675,144,negative
22,2,0.417,0.694,25,negative
9,0.818,0.404,0.717,9,negative
8,0.727,0.545,1,15,negative
21,1.909,0.316,0.58,17,negative
8,0.8,0.525,0.875,6,negative
461,8.865,0.192,0.248,400,positive
38,3.8,0.424,0.939,58,negative
36,4,0.506,0.91,56,negative
21,2.333,0.519,0.942,30,negative
97,10.778,0.455,0.939,174,negative
49,5.444,0.58,0.995,86,negative
15,15,0.867,1,2,positive
23,2.556,0.324,0.986,41,negative
37,4.111,0.396,0.85,65,negative
21,2.333,0.317,0.778,23,negative
91,10.111,0.302,0.956,125,negative
67,6.7,0.291,0.649,90,negative
32,3.556,0.354,0.806,60,negative
92,10.222,0.35,0.917,140,negative
12,1.333,0.444,1,27,negative
64,7.111,0.318,0.818,84,negative
98,8.167,0.245,0.624,129,negative
100,11.111,0.276,0.847,130,negative
12,1.333,0.426,1,29,negative
53,5.889,0.317,0.805,91,negative
84,7.636,0.291,0.843,155,negative
81,9,0.337,0.918,125,negative
13,1.444,0.103,0.752,3,positive
80,8,0.279,0.8,116,negative
101,9.182,0.264,0.852,178,negative
81,9,0.332,0.974,116,negative
9,1,0.16,0.864,8,negative
72,6,0.281,0.807,113,negative
84,9.333,0.25,0.955,103,negative
52,5.778,0.37,0.996,101,negative
41,4.556,0.374,0.846,67,negative
27,3,0.346,0.975,45,negative
46,4.6,0.363,0.843,83,negative
33,3.667,0.424,0.97,68,negative
81,9,0.328,0.916,117,negative
7,1.167,0.238,0.69,1,positive
14,1.273,0.442,0.981,28,negative
8,0.727,0.261,1,11,negative
43,3.909,0.336,0.753,58,negative
75,8.333,0.373,0.913,113,negative
48,4,0.252,0.755,85,negative
9,1,0.383,0.802,13,negative
18,2.25,0.472,1,27,negative
6,0.857,0.5,0.548,1,negative
1,0.013,1,1,1,positive
64,6.4,0.477,0.914,109,negative
36,4.5,0.615,0.938,55,negative
33,4.125,0.314,0.705,39,negative
99,9.9,0.443,0.912,166,negative
122,12.2,0.294,0.689,171,negative
101,10.1,0.45,0.869,154,negative
118,9.833,0.266,0.734,189,negative
125,12.5,0.456,0.862,195,negative
117,9.75,0.231,0.712,193,negative
85,9.444,0.308,0.744,121,negative
43,4.778,0.47,0.948,55,negative
47,5.222,0.286,0.738,62,negative
40,4.444,0.386,0.889,57,negative
44,5.5,0.486,0.952,58,negative
46,5.111,0.29,0.838,55,negative
42,4.667,0.381,0.931,58,negative
37,37,0.811,1,5,positive
46,46,0.239,1,8,positive
42,42,0.31,1,5,positive
42,4.667,0.344,0.931,61,negative
300,20,0.252,0.576,481,negative
35,5.833,0.533,0.943,42,negative
122,13.556,0.378,0.961,152,negative
176,88,0.528,0.605,6,positive
3,0.043,0.643,0.952,64,positive
130,14.444,0.513,0.925,210,negative
17,17,0.882,1,2,positive
39,39,0.897,1,4,positive
44,44,0.909,1,2,positive
14,14,0.929,1,1,positive
36,36,0.583,1,5,positive
17,17,0.765,1,2,positive
52,26,0.144,0.702,6,negative
17,4.25,0.309,0.559,6,negative
31,6.2,0.239,0.974,18,negative
23,4.6,0.226,1,16,negative
44,8.8,0.241,0.791,21,negative
56,18.667,0.065,0.5,8,negative
32,8,0.313,1,19,negative
16,3.2,0.313,0.813,12,negative
14,7,0.286,0.821,1,positive
183,61,0.488,0.577,9,positive
77,4.529,0.314,0.76,140,negative
34,2.429,0.279,0.851,43,negative
22,2,0.293,0.798,30,negative
67,6.091,0.269,0.689,67,negative
123,17.571,0.265,0.626,137,negative
8,0.667,0.438,0.51,1,negative
8,0.667,0.51,0.927,7,negative
9,0.75,0.509,0.657,6,negative
9,0.818,0.545,0.818,6,negative
9,0.818,0.384,0.727,10,negative
