Lenght,Eccen,P_black,P_and,Class
10,10,1,1,positive
13,13,1,1,positive
8,8,1,1,positive
44,44,0.25,1,positive
20,10,0.725,0.875,positive
20,10,0.775,0.85,positive
10,0.769,0.3,0.808,negative
86,7.818,0.413,0.853,negative
20,1.818,0.168,0.75,negative
5,0.556,0.378,0.933,negative
3,0.375,0.417,0.417,negative
113,37.667,0.357,0.378,positive
3,0.031,0.48,0.486,positive
48,24,0.625,0.677,positive
65,5.909,0.39,0.877,negative
37,4.111,0.526,0.898,negative
21,2.333,0.291,0.762,negative
8,1,0.234,0.328,negative
100,10,0.436,0.91,negative
85,9.444,0.302,0.812,negative
32,3.556,0.302,0.781,negative
101,9.182,0.398,0.888,negative
119,10.818,0.261,0.798,negative
126,12.6,0.425,0.862,negative
13,1.444,0.239,0.462,negative
75,8.333,0.256,0.606,negative
119,10.818,0.236,0.747,negative
44,4.4,0.393,0.852,negative
40,4.444,0.356,0.967,negative
48,6,0.302,0.914,negative
44,4.889,0.46,0.937,negative
47,5.222,0.274,0.747,negative
40,4.444,0.319,0.919,negative
116,38.667,0.356,0.371,positive
18,9,0.722,0.722,positive
132,44,0.505,0.558,positive
17,17,0.765,1,positive
8,8,1,1,positive
69,34.5,0.623,0.906,positive
46,23,0.587,0.761,positive
77,7,0.345,0.874,negative
41,4.556,0.301,0.886,negative
57,57,0.456,1,positive
10,10,0.9,1,positive
185,13.214,0.254,0.651,negative
152,15.2,0.297,0.778,negative
116,58,0.616,0.802,positive
123,13.667,0.362,0.986,negative
17,8.5,0.588,0.971,positive
131,13.1,0.415,0.857,negative
12,12,0.583,1,negative
27,4.5,0.154,0.481,negative
15,2.143,0.324,0.762,negative
58,8.286,0.202,0.751,negative
46,6.571,0.155,0.587,negative
27,27,0.593,1,negative
17,2.429,0.227,0.58,negative
31,15.5,0.194,0.516,negative
12,12,0.583,1,negative
17,8.5,0.324,1,negative
11,5.5,0.409,0.955,negative
19,9.5,0.237,1,negative
107,15.286,0.27,0.654,negative
9,1.8,0.267,0.778,negative
9,0.818,0.485,0.727,negative
8,0.727,0.705,1,negative
8,0.727,0.443,0.466,negative
7,0.636,0.597,1,negative
7,0.636,0.468,1,negative
9,0.818,0.475,0.636,negative
8,0.727,0.511,0.852,negative
43,43,0.907,1,positive
38,3.8,0.387,0.887,negative
20,2.5,0.5,1,negative
36,4,0.54,0.929,negative
98,9.8,0.391,0.835,negative
49,4.9,0.52,0.961,negative
21,2.1,0.329,0.843,negative
19,2.111,0.292,0.76,negative
55,6.111,0.299,1,negative
14,1.556,0.127,0.937,negative
23,2.875,0.288,1,negative
35,4.375,0.379,0.886,negative
96,10.667,0.281,0.815,negative
66,7.333,0.323,0.805,negative
34,3.778,0.337,0.817,negative
83,10.375,0.325,0.908,negative
80,10,0.303,0.922,negative
95,10.556,0.285,0.723,negative
80,10,0.298,0.883,negative
13,1.3,0.108,0.685,negative
70,8.75,0.341,0.918,negative
84,7.636,0.262,0.82,negative
99,11,0.27,0.818,negative
80,8.889,0.293,0.868,negative
101,9.182,0.239,0.818,negative
26,2.167,0.221,1,negative
40,3.333,0.271,0.733,negative
84,10.5,0.269,0.966,negative
53,6.625,0.358,0.981,negative
41,5.125,0.363,0.942,negative
82,9.111,0.252,0.74,negative
14,2,0.184,0.612,negative
26,3.25,0.375,0.947,negative
46,5.75,0.391,0.951,negative
34,3.778,0.379,0.961,negative
26,2.364,0.297,0.941,negative
42,3.818,0.335,0.829,negative
62,5.167,0.234,0.66,negative
75,9.375,0.328,0.888,negative
18,2.25,0.479,0.986,negative
33,4.714,0.143,0.844,negative
64,7.111,0.465,0.899,negative
36,4,0.568,0.932,negative
8,1,0.203,0.344,negative
21,2.625,0.339,0.673,negative
99,11,0.464,0.942,negative
84,9.333,0.288,0.791,negative
31,3.875,0.327,0.79,negative
2,0.105,0.816,0.816,positive
101,11.222,0.442,0.861,negative
118,10.727,0.26,0.817,negative
2,0.4,0.8,0.8,positive
126,12.6,0.41,0.833,negative
117,9.75,0.22,0.673,negative
35,3.889,0.263,0.667,negative
46,5.111,0.292,0.676,negative
2,0.2,0.55,0.6,positive
44,5.5,0.426,0.938,negative
48,6,0.31,0.807,negative
40,5,0.403,0.991,negative
45,5.625,0.469,0.956,negative
20,2.222,0.261,0.556,negative
22,2.444,0.298,0.965,negative
41,5.125,0.335,0.933,negative
112,56,0.496,0.504,positive
45,45,0.756,1,positive
75,75,0.813,1,positive
43,5.375,0.349,0.814,negative
301,27.364,0.308,0.735,negative
35,5,0.453,0.873,negative
122,13.556,0.339,0.947,negative
130,13,0.425,0.773,negative
46,7.667,0.217,0.804,negative
27,4.5,0.136,0.673,negative
8,1.6,0.35,0.675,negative
3,0.6,0.467,1,negative
35,7,0.2,0.829,negative
47,11.75,0.298,0.739,negative
31,10.333,0.226,0.774,negative
16,5.333,0.375,0.938,negative
122,17.429,0.281,0.626,negative
21,1.909,0.411,0.68,negative
8,0.727,0.375,0.602,negative
9,0.818,0.465,0.818,negative
8,0.8,0.5,1,negative
21,2.1,0.324,0.6,negative
157,78.5,0.506,0.551,positive
38,3.8,0.439,0.897,negative
36,4,0.549,0.914,negative
20,2.5,0.525,0.938,negative
96,9.6,0.418,0.886,negative
49,5.444,0.594,0.998,negative
32,32,0.719,1,positive
52,52,0.788,1,positive
13,13,0.692,1,positive
23,2.556,0.304,1,negative
37,4.111,0.381,0.808,negative
20,2.222,0.339,0.872,negative
79,9.875,0.375,0.956,negative
81,9,0.388,0.897,negative
67,8.375,0.381,0.746,negative
32,3.556,0.292,0.826,negative
2,0.021,0.516,0.516,positive
11,1.1,0.382,1,negative
64,6.4,0.295,0.808,negative
83,8.3,0.295,0.725,negative
73,6.083,0.257,0.591,negative
17,2.125,0.353,0.801,negative
12,1.333,0.407,0.88,negative
82,9.111,0.343,0.913,negative
53,6.625,0.37,0.901,negative
83,7.545,0.274,0.9,negative
81,8.1,0.279,0.81,negative
82,9.111,0.329,0.871,negative
100,9.091,0.269,0.765,negative
71,2.84,0.234,0.748,negative
82,9.111,0.247,0.935,negative
97,10.778,0.328,0.921,negative
32,3.556,0.333,0.861,negative
82,10.25,0.398,0.951,negative
13,1.083,0.372,0.981,negative
8,0.667,0.198,1,negative
43,3.583,0.293,0.791,negative
75,9.375,0.415,0.91,negative
84,7.636,0.251,0.681,negative
123,61.5,0.5,0.504,positive
36,36,0.722,1,positive
123,6.474,0.089,0.089,negative
6,0.75,0.5,0.646,negative
65,6.5,0.445,0.911,negative
37,4.111,0.598,0.946,negative
20,2.222,0.339,0.772,negative
8,2,0.344,0.781,negative
100,10,0.449,0.874,negative
32,3.556,0.365,0.781,negative
82,9.111,0.337,0.817,negative
101,10.1,0.466,0.893,negative
116,9.667,0.246,0.707,negative
126,12.6,0.463,0.848,negative
86,9.556,0.301,0.647,negative
115,10.455,0.266,0.723,negative
2,0.5,0.875,0.875,positive
44,4.889,0.465,0.944,negative
46,5.75,0.348,0.918,negative
40,5,0.391,0.991,negative
45,5,0.442,0.956,negative
45,5.625,0.367,0.897,negative
41,5.125,0.424,0.966,negative
19,19,0.789,1,positive
9,9,0.778,1,positive
42,5.25,0.363,0.97,negative
339,24.214,0.248,0.547,negative
123,12.3,0.362,0.888,negative
446,223,0.439,0.603,positive
3,0.045,0.657,0.909,positive
131,13.1,0.456,0.851,negative
4,0.043,0.419,0.565,positive
3,0.068,0.598,0.841,positive
7,0.167,0.282,0.432,positive
236,118,0.566,0.689,positive
61,61,1,1,positive
14,1.75,0.223,0.661,negative
174,19.333,0.178,0.737,negative
45,5.625,0.156,0.725,negative
27,3.857,0.101,0.619,negative
9,9,0.778,1,negative
122,15.25,0.227,0.65,negative
96,8.727,0.331,0.954,negative
402,8.375,0.055,0.094,positive
463,1.523,0.063,0.121,positive
20,2,0.435,0.89,negative
97,10.778,0.466,0.973,negative
21,2.333,0.354,0.878,negative
80,8.889,0.338,0.954,negative
85,7.727,0.25,0.664,negative
76,8.444,0.363,0.874,negative
2,0.25,0.563,0.563,negative
33,3.667,0.259,0.774,negative
120,13.333,0.331,0.859,negative
118,9.833,0.253,0.767,negative
207,18.818,0.268,0.723,negative
92,10.222,0.365,0.954,negative
93,10.333,0.323,0.888,negative
43,4.778,0.377,0.922,negative
213,71,0.318,0.379,positive
465,1.52,0.055,0.123,positive
79,1.756,0.087,0.195,positive
9,1.286,0.333,0.492,negative
7,2.333,0.619,0.619,negative
152,152,0.822,1,positive
51,51,0.471,1,positive
17,2.833,0.275,0.824,negative
22,3.667,0.197,1,negative
29,4.833,0.293,0.92,negative
46,9.2,0.278,0.835,negative
30,6,0.16,0.66,negative
16,4,0.391,0.938,negative
45,6.429,0.2,0.775,negative
27,3.857,0.238,0.741,negative
122,12.2,0.273,0.54,negative
49,4.455,0.343,0.666,negative
35,3.182,0.335,0.584,negative
462,24.316,0.523,0.688,positive
38,3.8,0.434,0.892,negative
36,4,0.552,0.926,negative
98,9.8,0.448,0.881,negative
21,2.333,0.529,0.958,negative
49,4.9,0.551,0.943,negative
49,49,0.286,1,negative
52,52,0.981,1,positive
52,52,0.538,1,positive
24,2.4,0.267,0.821,negative
36,4,0.42,0.889,negative
21,2.333,0.392,0.899,negative
78,8.667,0.349,0.863,negative
67,6.091,0.331,0.844,negative
33,3.3,0.367,0.864,negative
79,7.9,0.385,0.88,negative
80,8,0.314,0.799,negative
97,8.818,0.297,0.666,negative
82,9.111,0.389,0.92,negative
69,7.667,0.343,0.876,negative
84,7,0.282,0.778,negative
82,9.111,0.379,0.879,negative
11,1.1,0.373,1,negative
63,6.3,0.294,0.895,negative
102,9.273,0.289,0.829,negative
82,9.111,0.385,0.935,negative
26,1.182,0.283,0.918,negative
47,2.136,0.319,0.753,negative
53,5.3,0.34,0.9,negative
40,4,0.338,0.878,negative
82,10.25,0.288,0.997,negative
34,3.4,0.356,0.803,negative
81,9,0.348,0.927,negative
13,1.182,0.42,0.979,negative
8,0.727,0.25,1,negative
43,3.909,0.334,0.875,negative
75,8.333,0.396,0.914,negative
86,7.818,0.283,0.764,negative
33,33,1,1,positive
124,124,0.444,1,positive
75,75,0.92,1,positive
6,0.667,0.5,0.593,negative
64,6.4,0.514,0.966,negative
36,4,0.611,0.926,negative
34,3.778,0.288,0.641,negative
98,9.8,0.463,0.945,negative
121,13.444,0.356,0.817,negative
100,9.091,0.456,0.882,negative
118,4.72,0.268,0.745,negative
126,12.6,0.456,0.883,negative
85,8.5,0.333,0.696,negative
43,4.778,0.509,0.959,negative
47,5.222,0.333,0.757,negative
40,4,0.428,0.895,negative
44,4.889,0.467,0.944,negative
47,5.222,0.31,0.78,negative
41,4.556,0.425,0.962,negative
8,8,0.875,1,positive
40,40,1,1,positive
55,55,0.564,1,positive
39,4.333,0.293,0.937,negative
340,24.286,0.259,0.592,negative
123,13.667,0.395,0.991,negative
115,115,0.2,1,positive
131,13.1,0.439,0.845,negative
11,11,1,1,positive
46,46,0.783,1,positive
64,32,0.531,0.586,positive
47,6.714,0.271,0.878,negative
27,3.375,0.218,0.829,negative
17,2.429,0.412,0.933,negative
59,7.375,0.322,0.881,negative
47,5.875,0.362,0.88,negative
32,4,0.336,0.789,negative
16,2,0.477,0.906,negative
115,28.75,0.426,0.487,positive
16,2.286,0.42,0.768,negative
100,14.286,0.411,0.849,negative
8,0.667,0.448,0.656,negative
8,0.667,0.615,0.969,negative
8,0.667,0.479,0.5,negative
8,0.667,0.792,1,negative
7,0.583,0.56,1,negative
23,1.917,0.417,0.623,negative
463,1.489,0.088,0.16,positive
18,1.286,0.159,0.607,negative
51,5.1,0.306,0.855,negative
24,2.667,0.537,1,negative
22,2.2,0.336,0.836,negative
37,4.111,0.538,0.901,negative
101,2.73,0.282,0.695,negative
34,3.4,0.421,0.906,negative
98,8.909,0.317,0.643,negative
83,6.917,0.301,0.814,negative
114,3.353,0.105,0.301,negative
101,8.417,0.292,0.792,negative
87,8.7,0.344,0.901,negative
98,9.8,0.376,0.861,negative
84,8.4,0.356,0.849,negative
47,5.222,0.492,0.948,negative
33,3.667,0.458,0.983,negative
78,7.8,0.381,0.856,negative
8,0.667,0.292,1,negative
43,3.583,0.357,0.849,negative
86,7.818,0.332,0.808,negative
5,0.556,0.711,0.889,negative
146,12.167,0.091,0.128,positive
2,0.118,0.706,0.706,positive
7,0.778,0.349,0.683,negative
21,2.625,0.31,0.744,negative
121,13.444,0.399,0.843,negative
118,10.727,0.348,0.797,negative
37,3.7,0.354,0.708,negative
47,4.7,0.336,0.628,negative
92,8.364,0.361,0.851,negative
21,2.1,0.362,0.819,negative
47,5.222,0.371,0.865,negative
41,4.556,0.507,0.992,negative
18,1.8,0.511,0.872,negative
47,5.222,0.385,0.917,negative
41,4.556,0.444,0.976,negative
45,5,0.425,0.938,negative
48,48,0.875,1,positive
29,29,0.586,1,positive
17,17,0.412,1,positive
46,5.75,0.318,0.818,negative
31,4.429,0.295,0.857,negative
17,2.833,0.314,0.686,negative
59,7.375,0.292,0.888,negative
17,2.429,0.387,0.857,negative
28,3.5,0.259,0.844,negative
45,5.625,0.206,0.789,negative
123,11.182,0.25,0.514,negative
9,0.818,0.465,0.768,negative
8,0.727,0.602,1,negative
61,5.545,0.361,0.614,negative
330,11.786,0.057,0.066,positive
464,2.189,0.052,0.07,positive
38,3.8,0.432,0.939,negative
36,4,0.556,0.923,negative
98,10.889,0.491,0.974,negative
21,2.333,0.487,0.857,negative
49,4.9,0.59,0.982,negative
286,95.333,0.406,0.427,positive
23,2.556,0.3,1,negative
37,4.111,0.39,0.811,negative
21,2.1,0.348,0.757,negative
79,8.778,0.343,0.899,negative
66,6.6,0.324,0.78,negative
34,3.778,0.412,0.902,negative
82,9.111,0.428,0.936,negative
79,7.9,0.347,0.784,negative
98,8.167,0.267,0.627,negative
83,8.3,0.357,0.813,negative
11,1.1,0.427,1,negative
53,5.3,0.343,0.811,negative
85,7.083,0.305,0.828,negative
82,9.111,0.408,0.924,negative
80,8,0.308,0.838,negative
102,8.5,0.292,0.764,negative
82,9.111,0.374,0.866,negative
26,1.13,0.278,0.96,negative
47,2.043,0.315,0.747,negative
99,11,0.38,0.93,negative
83,9.222,0.292,0.909,negative
34,3.4,0.388,0.891,negative
82,9.111,0.37,0.924,negative
13,1.083,0.391,0.981,negative
8,0.667,0.302,1,negative
42,3.5,0.355,0.788,negative
86,8.6,0.326,0.844,negative
76,8.444,0.38,0.95,negative
6,0.667,0.667,0.759,negative
65,6.5,0.475,0.971,negative
36,4,0.586,0.948,negative
7,0.778,0.302,0.603,negative
22,2.444,0.389,0.843,negative
99,9.9,0.473,0.917,negative
85,9.444,0.395,0.846,negative
32,3.556,0.382,0.792,negative
100,9.091,0.473,0.882,negative
118,5.13,0.293,0.784,negative
125,11.364,0.432,0.804,negative
85,8.5,0.324,0.675,negative
43,4.3,0.458,0.94,negative
48,4.8,0.331,0.742,negative
40,4.444,0.483,0.992,negative
44,4.889,0.449,0.879,negative
47,5.222,0.371,0.825,negative
42,4.667,0.429,0.976,negative
18,18,0.944,1,positive
7,7,1,1,positive
117,117,0.393,1,positive
42,4.2,0.317,0.85,negative
340,14.167,0.211,0.468,negative
77,77,0.403,1,positive
40,40,0.875,1,positive
130,13,0.486,0.856,negative
28,28,0.964,1,positive
35,35,0.829,1,positive
13,2.167,0.128,0.577,negative
18,2.571,0.119,0.452,negative
42,6,0.293,0.857,negative
31,4.429,0.267,0.714,negative
16,2.286,0.241,0.634,negative
23,3.286,0.093,0.54,negative
8,1.143,0.161,0.518,negative
2,0.286,0.5,0.929,negative
7,1,0.327,0.898,negative
11,1.833,0.197,0.848,negative
121,17.286,0.276,0.607,negative
21,1.909,0.468,0.719,negative
9,0.818,0.515,0.768,negative
8,0.8,0.4,0.7,negative
8,0.727,0.727,0.989,negative
7,0.636,0.468,0.481,negative
8,0.727,0.693,0.989,negative
14,14,0.571,1,positive
38,4.222,0.444,0.898,negative
20,2.222,0.461,1,negative
36,4,0.506,0.901,negative
98,8.909,0.397,0.778,negative
49,5.444,0.592,0.998,negative
23,23,0.826,1,positive
19,19,0.684,1,positive
78,8.667,0.329,0.896,negative
14,1.75,0.143,1,negative
106,5.048,0.136,0.396,negative
24,3,0.297,0.974,negative
36,4.5,0.465,0.885,negative
22,2.444,0.318,0.909,negative
12,1.333,0.407,1,negative
6,0.667,0.37,0.907,negative
38,4.75,0.349,0.757,negative
34,3.778,0.31,0.895,negative
12,1.333,0.407,1,negative
63,7,0.298,0.787,negative
104,11.556,0.282,0.904,negative
75,6.818,0.27,0.679,negative
17,2.125,0.309,0.676,negative
82,9.111,0.309,0.778,negative
16,2,0.156,0.859,positive
12,1.5,0.469,1,negative
53,6.625,0.337,0.889,negative
85,7.727,0.268,0.902,negative
12,1.2,0.367,1,negative
63,6.3,0.251,0.898,negative
82,9.111,0.32,0.947,negative
10,1.111,0.144,0.522,positive
102,8.5,0.257,0.804,negative
90,7.5,0.183,0.716,negative
26,2.167,0.224,0.907,negative
41,3.417,0.289,0.74,negative
99,12.375,0.351,0.962,negative
81,9,0.287,0.826,negative
26,3.25,0.37,0.947,negative
46,5.111,0.365,0.848,negative
34,3.778,0.363,0.863,negative
26,2.167,0.276,0.83,negative
43,3.583,0.328,0.789,negative
75,9.375,0.373,0.955,negative
86,7.818,0.289,0.701,negative
79,79,0.608,1,positive
6,0.75,0.583,0.813,negative
11,11,0.727,1,positive
98,98,0.939,1,positive
13,13,0.692,1,positive
64,7.111,0.491,0.984,negative
36,4.5,0.559,0.944,negative
8,1,0.25,0.672,negative
21,2.625,0.381,0.845,negative
99,11,0.461,0.906,negative
121,13.444,0.322,0.776,negative
100,11.111,0.463,0.908,negative
118,10.727,0.29,0.798,negative
126,14,0.466,0.907,negative
117,9.75,0.251,0.635,negative
14,1.75,0.268,0.554,negative
71,8.875,0.329,0.776,negative
44,5.5,0.455,0.949,negative
48,6,0.328,0.885,negative
40,5,0.409,0.997,negative
45,5,0.447,0.896,negative
47,5.875,0.324,0.896,negative
42,5.25,0.39,0.94,negative
17,17,0.824,1,positive
43,5.375,0.372,0.956,negative
300,21.429,0.263,0.607,negative
35,5,0.482,0.841,negative
122,13.556,0.333,0.829,negative
130,14.444,0.448,0.877,negative
45,5.625,0.222,0.806,negative
31,4.429,0.221,0.853,negative
14,4.667,0.381,0.881,negative
18,2.25,0.215,0.813,negative
58,8.286,0.212,0.842,negative
40,5.714,0.186,0.754,negative
28,4.667,0.143,0.53,negative
15,3.75,0.267,0.8,negative
38,2.714,0.244,0.489,negative
31,2.067,0.204,0.465,negative
77,5.923,0.258,0.564,negative
33,2.538,0.245,0.534,negative
19,1.9,0.332,0.695,negative
121,17.286,0.305,0.675,negative
22,2,0.417,0.694,negative
9,0.818,0.404,0.717,negative
8,0.727,0.545,1,negative
21,1.909,0.316,0.58,negative
8,0.8,0.525,0.875,negative
461,8.865,0.192,0.248,positive
38,3.8,0.424,0.939,negative
36,4,0.506,0.91,negative
21,2.333,0.519,0.942,negative
97,10.778,0.455,0.939,negative
49,5.444,0.58,0.995,negative
15,15,0.867,1,positive
23,2.556,0.324,0.986,negative
37,4.111,0.396,0.85,negative
21,2.333,0.317,0.778,negative
91,10.111,0.302,0.956,negative
67,6.7,0.291,0.649,negative
32,3.556,0.354,0.806,negative
92,10.222,0.35,0.917,negative
12,1.333,0.444,1,negative
64,7.111,0.318,0.818,negative
98,8.167,0.245,0.624,negative
100,11.111,0.276,0.847,negative
12,1.333,0.426,1,negative
53,5.889,0.317,0.805,negative
84,7.636,0.291,0.843,negative
81,9,0.337,0.918,negative
13,1.444,0.103,0.752,positive
80,8,0.279,0.8,negative
101,9.182,0.264,0.852,negative
81,9,0.332,0.974,negative
9,1,0.16,0.864,negative
72,6,0.281,0.807,negative
84,9.333,0.25,0.955,negative
52,5.778,0.37,0.996,negative
41,4.556,0.374,0.846,negative
27,3,0.346,0.975,negative
46,4.6,0.363,0.843,negative
33,3.667,0.424,0.97,negative
81,9,0.328,0.916,negative
7,1.167,0.238,0.69,positive
14,1.273,0.442,0.981,negative
8,0.727,0.261,1,negative
43,3.909,0.336,0.753,negative
75,8.333,0.373,0.913,negative
48,4,0.252,0.755,negative
9,1,0.383,0.802,negative
18,2.25,0.472,1,negative
6,0.857,0.5,0.548,negative
1,0.013,1,1,positive
64,6.4,0.477,0.914,negative
36,4.5,0.615,0.938,negative
33,4.125,0.314,0.705,negative
99,9.9,0.443,0.912,negative
122,12.2,0.294,0.689,negative
101,10.1,0.45,0.869,negative
118,9.833,0.266,0.734,negative
125,12.5,0.456,0.862,negative
117,9.75,0.231,0.712,negative
85,9.444,0.308,0.744,negative
43,4.778,0.47,0.948,negative
47,5.222,0.286,0.738,negative
40,4.444,0.386,0.889,negative
44,5.5,0.486,0.952,negative
46,5.111,0.29,0.838,negative
42,4.667,0.381,0.931,negative
37,37,0.811,1,positive
46,46,0.239,1,positive
42,42,0.31,1,positive
42,4.667,0.344,0.931,negative
300,20,0.252,0.576,negative
35,5.833,0.533,0.943,negative
122,13.556,0.378,0.961,negative
176,88,0.528,0.605,positive
3,0.043,0.643,0.952,positive
130,14.444,0.513,0.925,negative
17,17,0.882,1,positive
39,39,0.897,1,positive
44,44,0.909,1,positive
14,14,0.929,1,positive
36,36,0.583,1,positive
17,17,0.765,1,positive
52,26,0.144,0.702,negative
17,4.25,0.309,0.559,negative
31,6.2,0.239,0.974,negative
23,4.6,0.226,1,negative
44,8.8,0.241,0.791,negative
56,18.667,0.065,0.5,negative
32,8,0.313,1,negative
16,3.2,0.313,0.813,negative
14,7,0.286,0.821,positive
183,61,0.488,0.577,positive
77,4.529,0.314,0.76,negative
34,2.429,0.279,0.851,negative
22,2,0.293,0.798,negative
67,6.091,0.269,0.689,negative
123,17.571,0.265,0.626,negative
8,0.667,0.438,0.51,negative
8,0.667,0.51,0.927,negative
9,0.75,0.509,0.657,negative
9,0.818,0.545,0.818,negative
9,0.818,0.384,0.727,negative
8,0.727,0.716,1,negative
8,0.727,0.705,1,negative
29,29,1,1,positive
14,14,0.929,1,positive
45,45,0.933,1,positive
39,4.333,0.444,0.923,negative
21,2.333,0.497,0.958,negative
97,9.7,0.423,0.832,negative
36,4,0.577,0.948,negative
300,12,0.065,0.071,positive
49,4.9,0.529,0.939,negative
50,25,0.46,0.51,positive
79,8.778,0.323,0.873,negative
24,2.667,0.356,0.907,negative
37,4.111,0.444,0.898,negative
21,2.333,0.365,0.905,negative
81,9,0.357,0.863,negative
67,6.7,0.3,0.745,negative
32,4,0.402,0.898,negative
11,1.571,0.143,0.558,negative
99,11,0.288,0.801,negative
12,1.333,0.444,1,negative
64,7.111,0.307,0.842,negative
94,8.545,0.257,0.604,negative
2,0.167,0.625,0.667,positive
99,11,0.312,0.826,negative
83,6.917,0.253,0.756,negative
12,1.5,0.438,1,negative
54,6.75,0.35,0.887,negative
95,10.556,0.284,0.849,negative
12,1.333,0.38,1,negative
64,7.111,0.302,0.92,negative
101,9.182,0.267,0.849,negative
82,7.455,0.236,0.814,negative
73,6.083,0.259,0.743,negative
98,9.8,0.3,0.781,negative
81,9,0.322,0.819,negative
27,3,0.346,0.951,negative
47,5.222,0.404,0.943,negative
32,3.556,0.413,0.993,negative
75,8.333,0.369,0.936,negative
27,2.25,0.318,0.898,negative
43,3.583,0.31,0.793,negative
61,5.083,0.251,0.746,negative
19,1.9,0.363,0.837,negative
204,102,0.412,0.681,positive
29,2.9,0.221,0.572,negative
65,7.222,0.463,0.901,negative
36,4,0.565,0.944,negative
21,2.333,0.323,0.81,negative
7,0.875,0.321,0.429,negative
100,10,0.444,0.924,negative
32,3.556,0.299,0.691,negative
83,9.222,0.335,0.843,negative
101,10.1,0.442,0.855,negative
118,9.833,0.255,0.7,negative
126,12.6,0.456,0.875,negative
86,9.556,0.337,0.757,negative
116,10.545,0.274,0.804,negative
43,4.778,0.481,0.953,negative
46,5.75,0.315,0.938,negative
41,5.125,0.393,0.976,negative
44,4.4,0.441,0.92,negative
45,5,0.319,0.923,negative
42,4.667,0.347,0.915,negative
35,35,0.857,1,positive
455,23.947,0.081,0.095,negative
43,5.375,0.392,0.927,negative
301,21.5,0.257,0.564,negative
35,5,0.494,0.902,negative
123,13.667,0.359,0.898,negative
142,23.667,0.115,0.173,positive
30,0.115,0.063,0.09,positive
130,13,0.453,0.822,negative
14,14,0.857,1,positive
3,0.375,0.458,0.667,negative
5,0.625,0.325,0.9,negative
14,1.75,0.321,0.938,negative
50,6.25,0.253,0.8,negative
3,0.375,0.5,0.667,negative
23,2.875,0.255,1,negative
15,1.875,0.258,0.683,negative
14,1.75,0.277,0.643,negative
2,0.333,0.667,1,negative
21,2.625,0.208,0.762,negative
6,0.857,0.333,0.762,negative
2,0.286,0.643,0.929,negative
3,0.375,0.458,0.708,negative
14,2,0.327,0.99,negative
59,7.375,0.206,0.691,negative
121,17.286,0.272,0.646,negative
9,0.818,0.465,0.687,negative
8,0.8,0.675,1,negative
7,0.7,0.429,0.429,negative
8,0.8,0.688,1,negative
