Height,Lenght,Eccen,P_black,P_and,Blackand,Wb_trans,Class
9,32,3.556,0.271,0.594,171,35,negative
3,116,38.667,0.385,0.494,172,4,positive
1,10,10,1,1,10,1,positive
1,13,13,1,1,13,1,positive
1,8,8,1,1,8,1,positive
1,44,44,0.25,1,44,5,positive
2,20,10,0.725,0.875,35,1,positive
2,20,10,0.775,0.85,34,1,positive
13,10,0.769,0.3,0.808,105,6,negative
11,86,7.818,0.413,0.853,807,126,negative
11,20,1.818,0.168,0.75,165,11,negative
9,5,0.556,0.378,0.933,42,6,negative
8,3,0.375,0.417,0.417,10,1,negative
3,113,37.667,0.357,0.378,128,4,positive
98,3,0.031,0.48,0.486,143,1,positive
2,48,24,0.625,0.677,65,2,positive
11,65,5.909,0.39,0.877,627,107,negative
9,37,4.111,0.526,0.898,299,55,negative
9,21,2.333,0.291,0.762,144,35,negative
8,8,1,0.234,0.328,21,3,negative
10,100,10,0.436,0.91,910,172,negative
9,85,9.444,0.302,0.812,621,127,negative
9,32,3.556,0.302,0.781,225,42,negative
11,101,9.182,0.398,0.888,987,160,negative
11,119,10.818,0.261,0.798,1045,181,negative
10,126,12.6,0.425,0.862,1086,200,negative
9,13,1.444,0.239,0.462,54,6,negative
9,75,8.333,0.256,0.606,409,79,negative
11,119,10.818,0.236,0.747,978,177,negative
10,44,4.4,0.393,0.852,375,55,negative
9,40,4.444,0.356,0.967,348,56,negative
8,48,6,0.302,0.914,351,66,negative
9,44,4.889,0.46,0.937,371,64,negative
9,47,5.222,0.274,0.747,316,48,negative
9,40,4.444,0.319,0.919,331,49,negative
3,116,38.667,0.356,0.371,129,2,positive
2,18,9,0.722,0.722,26,1,positive
3,132,44,0.505,0.558,221,10,positive
1,17,17,0.765,1,17,4,positive
1,8,8,1,1,8,1,positive
2,69,34.5,0.623,0.906,125,8,positive
2,46,23,0.587,0.761,70,3,positive
11,77,7,0.345,0.874,740,120,negative
9,41,4.556,0.301,0.886,327,58,negative
1,57,57,0.456,1,57,7,positive
1,10,10,0.9,1,10,1,positive
14,185,13.214,0.254,0.651,1687,289,negative
10,152,15.2,0.297,0.778,1182,208,negative
2,116,58,0.616,0.802,186,8,positive
9,123,13.667,0.362,0.986,1091,153,negative
2,17,8.5,0.588,0.971,33,3,positive
10,131,13.1,0.415,0.857,1123,198,negative
1,12,12,0.583,1,12,2,negative
6,27,4.5,0.154,0.481,78,9,negative
7,15,2.143,0.324,0.762,80,11,negative
7,58,8.286,0.202,0.751,305,35,negative
7,46,6.571,0.155,0.587,189,12,negative
1,27,27,0.593,1,27,4,negative
7,17,2.429,0.227,0.58,69,10,negative
2,31,15.5,0.194,0.516,32,6,negative
1,12,12,0.583,1,12,2,negative
2,17,8.5,0.324,1,34,4,negative
2,11,5.5,0.409,0.955,21,1,negative
2,19,9.5,0.237,1,38,5,negative
7,107,15.286,0.27,0.654,490,126,negative
5,9,1.8,0.267,0.778,35,7,negative
11,9,0.818,0.485,0.727,72,8,negative
11,8,0.727,0.705,1,88,8,negative
11,8,0.727,0.443,0.466,41,1,negative
11,7,0.636,0.597,1,77,8,negative
11,7,0.636,0.468,1,77,10,negative
11,9,0.818,0.475,0.636,63,3,negative
11,8,0.727,0.511,0.852,75,5,negative
1,43,43,0.907,1,43,4,positive
10,38,3.8,0.387,0.887,337,59,negative
8,20,2.5,0.5,1,160,29,negative
9,36,4,0.54,0.929,301,61,negative
10,98,9.8,0.391,0.835,818,159,negative
10,49,4.9,0.52,0.961,471,86,negative
10,21,2.1,0.329,0.843,177,27,negative
9,19,2.111,0.292,0.76,130,19,negative
9,55,6.111,0.299,1,495,77,negative
9,14,1.556,0.127,0.937,118,9,negative
8,23,2.875,0.288,1,184,36,negative
8,35,4.375,0.379,0.886,248,64,negative
9,96,10.667,0.281,0.815,704,124,negative
9,66,7.333,0.323,0.805,478,96,negative
9,34,3.778,0.337,0.817,250,57,negative
8,83,10.375,0.325,0.908,603,123,negative
8,80,10,0.303,0.922,590,113,negative
9,95,10.556,0.285,0.723,618,116,negative
8,80,10,0.298,0.883,565,111,negative
10,13,1.3,0.108,0.685,89,6,negative
8,70,8.75,0.341,0.918,514,115,negative
11,84,7.636,0.262,0.82,758,143,negative
9,99,11,0.27,0.818,729,125,negative
9,80,8.889,0.293,0.868,625,114,negative
11,101,9.182,0.239,0.818,909,165,negative
12,26,2.167,0.221,1,312,43,negative
12,40,3.333,0.271,0.733,352,66,negative
8,84,10.5,0.269,0.966,649,101,negative
8,53,6.625,0.358,0.981,416,99,negative
8,41,5.125,0.363,0.942,309,73,negative
9,82,9.111,0.252,0.74,546,93,negative
7,14,2,0.184,0.612,60,1,negative
8,26,3.25,0.375,0.947,197,44,negative
8,46,5.75,0.391,0.951,350,78,negative
9,34,3.778,0.379,0.961,294,68,negative
11,26,2.364,0.297,0.941,269,42,negative
11,42,3.818,0.335,0.829,383,69,negative
12,62,5.167,0.234,0.66,491,110,negative
8,75,9.375,0.328,0.888,533,106,negative
8,18,2.25,0.479,0.986,142,32,negative
7,33,4.714,0.143,0.844,195,14,negative
9,64,7.111,0.465,0.899,518,104,negative
9,36,4,0.568,0.932,302,61,negative
8,8,1,0.203,0.344,22,3,negative
8,21,2.625,0.339,0.673,113,29,negative
9,99,11,0.464,0.942,839,164,negative
9,84,9.333,0.288,0.791,598,119,negative
8,31,3.875,0.327,0.79,196,44,negative
19,2,0.105,0.816,0.816,31,1,positive
9,101,11.222,0.442,0.861,783,150,negative
11,118,10.727,0.26,0.817,1061,168,negative
5,2,0.4,0.8,0.8,8,1,positive
10,126,12.6,0.41,0.833,1049,196,negative
12,117,9.75,0.22,0.673,945,184,negative
9,35,3.889,0.263,0.667,210,29,negative
9,46,5.111,0.292,0.676,280,63,negative
10,2,0.2,0.55,0.6,12,1,positive
8,44,5.5,0.426,0.938,330,46,negative
8,48,6,0.31,0.807,310,62,negative
8,40,5,0.403,0.991,317,51,negative
8,45,5.625,0.469,0.956,344,58,negative
9,20,2.222,0.261,0.556,100,20,negative
9,22,2.444,0.298,0.965,191,28,negative
8,41,5.125,0.335,0.933,306,53,negative
2,112,56,0.496,0.504,113,2,positive
1,45,45,0.756,1,45,6,positive
1,75,75,0.813,1,75,11,positive
8,43,5.375,0.349,0.814,280,53,negative
11,301,27.364,0.308,0.735,2435,458,negative
7,35,5,0.453,0.873,214,45,negative
9,122,13.556,0.339,0.947,1040,145,negative
10,130,13,0.425,0.773,1005,198,negative
6,46,7.667,0.217,0.804,222,30,negative
6,27,4.5,0.136,0.673,109,11,negative
5,8,1.6,0.35,0.675,27,3,negative
5,3,0.6,0.467,1,15,1,negative
5,35,7,0.2,0.829,145,8,negative
4,47,11.75,0.298,0.739,139,24,negative
3,31,10.333,0.226,0.774,72,10,negative
3,16,5.333,0.375,0.938,45,8,negative
7,122,17.429,0.281,0.626,535,139,negative
11,21,1.909,0.411,0.68,157,24,negative
11,8,0.727,0.375,0.602,53,8,negative
11,9,0.818,0.465,0.818,81,5,negative
10,8,0.8,0.5,1,80,8,negative
10,21,2.1,0.324,0.6,126,20,negative
2,157,78.5,0.506,0.551,173,6,positive
10,38,3.8,0.439,0.897,341,59,negative
9,36,4,0.549,0.914,296,54,negative
8,20,2.5,0.525,0.938,150,24,negative
10,96,9.6,0.418,0.886,851,161,negative
9,49,5.444,0.594,0.998,440,86,negative
1,32,32,0.719,1,32,4,positive
1,52,52,0.788,1,52,4,positive
1,13,13,0.692,1,13,2,positive
9,23,2.556,0.304,1,207,39,negative
9,37,4.111,0.381,0.808,269,62,negative
9,20,2.222,0.339,0.872,157,26,negative
8,79,9.875,0.375,0.956,604,112,negative
9,81,9,0.388,0.897,654,119,negative
8,67,8.375,0.381,0.746,400,82,negative
9,32,3.556,0.292,0.826,238,55,negative
94,2,0.021,0.516,0.516,97,1,positive
10,11,1.1,0.382,1,110,28,negative
10,64,6.4,0.295,0.808,517,84,negative
10,83,8.3,0.295,0.725,602,121,negative
12,73,6.083,0.257,0.591,518,105,negative
8,17,2.125,0.353,0.801,109,24,negative
9,12,1.333,0.407,0.88,95,26,negative
9,82,9.111,0.343,0.913,674,125,negative
8,53,6.625,0.37,0.901,382,89,negative
11,83,7.545,0.274,0.9,822,146,negative
10,81,8.1,0.279,0.81,656,107,negative
9,82,9.111,0.329,0.871,643,115,negative
11,100,9.091,0.269,0.765,842,156,negative
25,71,2.84,0.234,0.748,1328,187,negative
9,82,9.111,0.247,0.935,690,87,negative
9,97,10.778,0.328,0.921,804,162,negative
9,32,3.556,0.333,0.861,248,57,negative
8,82,10.25,0.398,0.951,624,104,negative
12,13,1.083,0.372,0.981,153,25,negative
12,8,0.667,0.198,1,96,9,negative
12,43,3.583,0.293,0.791,408,66,negative
8,75,9.375,0.415,0.91,546,105,negative
11,84,7.636,0.251,0.681,629,131,negative
2,123,61.5,0.5,0.504,124,1,positive
1,36,36,0.722,1,36,3,positive
19,123,6.474,0.089,0.089,208,1,negative
8,6,0.75,0.5,0.646,31,3,negative
10,65,6.5,0.445,0.911,592,112,negative
9,37,4.111,0.598,0.946,315,57,negative
9,20,2.222,0.339,0.772,139,35,negative
4,8,2,0.344,0.781,25,6,negative
10,100,10,0.449,0.874,874,159,negative
9,32,3.556,0.365,0.781,225,47,negative
9,82,9.111,0.337,0.817,603,124,negative
10,101,10.1,0.466,0.893,902,156,negative
12,116,9.667,0.246,0.707,984,172,negative
10,126,12.6,0.463,0.848,1068,185,negative
9,86,9.556,0.301,0.647,501,105,negative
11,115,10.455,0.266,0.723,915,188,negative
4,2,0.5,0.875,0.875,7,1,positive
9,44,4.889,0.465,0.944,374,55,negative
8,46,5.75,0.348,0.918,338,65,negative
8,40,5,0.391,0.991,317,60,negative
9,45,5,0.442,0.956,387,54,negative
8,45,5.625,0.367,0.897,323,54,negative
8,41,5.125,0.424,0.966,317,55,negative
1,19,19,0.789,1,19,4,positive
1,9,9,0.778,1,9,1,positive
8,42,5.25,0.363,0.97,326,56,negative
14,339,24.214,0.248,0.547,2596,481,negative
10,123,12.3,0.362,0.888,1092,149,negative
2,446,223,0.439,0.603,538,22,positive
66,3,0.045,0.657,0.909,180,50,positive
10,131,13.1,0.456,0.851,1115,199,negative
93,4,0.043,0.419,0.565,210,54,positive
44,3,0.068,0.598,0.841,111,32,positive
42,7,0.167,0.282,0.432,127,38,positive
2,236,118,0.566,0.689,325,26,positive
1,61,61,1,1,61,1,positive
8,14,1.75,0.223,0.661,74,7,negative
9,174,19.333,0.178,0.737,1154,163,negative
8,45,5.625,0.156,0.725,261,30,negative
7,27,3.857,0.101,0.619,117,5,negative
1,9,9,0.778,1,9,1,negative
8,122,15.25,0.227,0.65,634,154,negative
11,96,8.727,0.331,0.954,1007,81,negative
48,402,8.375,0.055,0.094,1814,256,positive
304,463,1.523,0.063,0.121,17081,2273,positive
10,20,2,0.435,0.89,178,30,negative
9,97,10.778,0.466,0.973,849,168,negative
9,21,2.333,0.354,0.878,166,25,negative
9,80,8.889,0.338,0.954,687,119,negative
11,85,7.727,0.25,0.664,621,135,negative
9,76,8.444,0.363,0.874,598,114,negative
8,2,0.25,0.563,0.563,9,1,negative
9,33,3.667,0.259,0.774,230,46,negative
9,120,13.333,0.331,0.859,928,181,negative
12,118,9.833,0.253,0.767,1086,184,negative
11,207,18.818,0.268,0.723,1647,332,negative
9,92,10.222,0.365,0.954,790,137,negative
9,93,10.333,0.323,0.888,743,131,negative
9,43,4.778,0.377,0.922,357,65,negative
3,213,71,0.318,0.379,242,17,positive
306,465,1.52,0.055,0.123,17452,2925,positive
45,79,1.756,0.087,0.195,693,64,positive
7,9,1.286,0.333,0.492,31,1,negative
3,7,2.333,0.619,0.619,13,1,negative
1,152,152,0.822,1,152,11,positive
1,51,51,0.471,1,51,10,positive
6,17,2.833,0.275,0.824,84,14,negative
6,22,3.667,0.197,1,132,9,negative
6,29,4.833,0.293,0.92,160,34,negative
5,46,9.2,0.278,0.835,192,29,negative
5,30,6,0.16,0.66,99,14,negative
4,16,4,0.391,0.938,60,15,negative
7,45,6.429,0.2,0.775,244,33,negative
7,27,3.857,0.238,0.741,140,16,negative
10,122,12.2,0.273,0.54,659,164,negative
11,49,4.455,0.343,0.666,359,43,negative
11,35,3.182,0.335,0.584,225,27,negative
19,462,24.316,0.523,0.688,6035,272,positive
10,38,3.8,0.434,0.892,339,57,negative
9,36,4,0.552,0.926,300,51,negative
10,98,9.8,0.448,0.881,863,160,negative
9,21,2.333,0.529,0.958,181,30,negative
10,49,4.9,0.551,0.943,462,88,negative
1,49,49,0.286,1,49,2,negative
1,52,52,0.981,1,52,1,positive
1,52,52,0.538,1,52,2,positive
10,24,2.4,0.267,0.821,197,31,negative
9,36,4,0.42,0.889,288,68,negative
9,21,2.333,0.392,0.899,170,27,negative
9,78,8.667,0.349,0.863,606,113,negative
11,67,6.091,0.331,0.844,622,107,negative
10,33,3.3,0.367,0.864,285,62,negative
10,79,7.9,0.385,0.88,695,143,negative
10,80,8,0.314,0.799,639,122,negative
11,97,8.818,0.297,0.666,711,132,negative
9,82,9.111,0.389,0.92,679,123,negative
9,69,7.667,0.343,0.876,544,122,negative
12,84,7,0.282,0.778,784,149,negative
9,82,9.111,0.379,0.879,649,119,negative
10,11,1.1,0.373,1,110,26,negative
10,63,6.3,0.294,0.895,564,84,negative
11,102,9.273,0.289,0.829,930,173,negative
9,82,9.111,0.385,0.935,690,124,negative
22,26,1.182,0.283,0.918,525,84,negative
22,47,2.136,0.319,0.753,779,155,negative
10,53,5.3,0.34,0.9,477,99,negative
10,40,4,0.338,0.878,351,71,negative
8,82,10.25,0.288,0.997,654,95,negative
10,34,3.4,0.356,0.803,273,66,negative
9,81,9,0.348,0.927,676,115,negative
11,13,1.182,0.42,0.979,140,27,negative
11,8,0.727,0.25,1,88,9,negative
11,43,3.909,0.334,0.875,414,64,negative
9,75,8.333,0.396,0.914,617,121,negative
11,86,7.818,0.283,0.764,723,140,negative
1,33,33,1,1,33,1,positive
1,124,124,0.444,1,124,7,positive
1,75,75,0.92,1,75,6,positive
9,6,0.667,0.5,0.593,32,2,negative
10,64,6.4,0.514,0.966,618,116,negative
9,36,4,0.611,0.926,300,59,negative
9,34,3.778,0.288,0.641,196,42,negative
10,98,9.8,0.463,0.945,926,167,negative
9,121,13.444,0.356,0.817,890,176,negative
11,100,9.091,0.456,0.882,970,165,negative
25,118,4.72,0.268,0.745,2198,392,negative
10,126,12.6,0.456,0.883,1113,202,negative
10,85,8.5,0.333,0.696,592,124,negative
9,43,4.778,0.509,0.959,371,55,negative
9,47,5.222,0.333,0.757,320,59,negative
10,40,4,0.428,0.895,358,56,negative
9,44,4.889,0.467,0.944,374,59,negative
9,47,5.222,0.31,0.78,330,56,negative
9,41,4.556,0.425,0.962,355,58,negative
1,8,8,0.875,1,8,1,positive
1,40,40,1,1,40,1,positive
1,55,55,0.564,1,55,3,positive
9,39,4.333,0.293,0.937,329,50,negative
14,340,24.286,0.259,0.592,2819,503,negative
9,123,13.667,0.395,0.991,1097,154,negative
1,115,115,0.2,1,115,5,positive
10,131,13.1,0.439,0.845,1107,206,negative
1,11,11,1,1,11,1,positive
1,46,46,0.783,1,46,3,positive
2,64,32,0.531,0.586,75,4,positive
7,47,6.714,0.271,0.878,289,40,negative
8,27,3.375,0.218,0.829,179,22,negative
7,17,2.429,0.412,0.933,111,18,negative
8,59,7.375,0.322,0.881,416,63,negative
8,47,5.875,0.362,0.88,331,68,negative
8,32,4,0.336,0.789,202,35,negative
8,16,2,0.477,0.906,116,25,negative
4,115,28.75,0.426,0.487,224,11,positive
7,16,2.286,0.42,0.768,86,22,negative
7,100,14.286,0.411,0.849,594,157,negative
12,8,0.667,0.448,0.656,63,10,negative
12,8,0.667,0.615,0.969,93,10,negative
12,8,0.667,0.479,0.5,48,1,negative
12,8,0.667,0.792,1,96,5,negative
12,7,0.583,0.56,1,84,9,negative
12,23,1.917,0.417,0.623,172,14,negative
311,463,1.489,0.088,0.16,23092,3212,positive
14,18,1.286,0.159,0.607,153,12,negative
10,51,5.1,0.306,0.855,436,68,negative
9,24,2.667,0.537,1,216,40,negative
10,22,2.2,0.336,0.836,184,27,negative
9,37,4.111,0.538,0.901,300,64,negative
37,101,2.73,0.282,0.695,2596,432,negative
10,34,3.4,0.421,0.906,308,71,negative
11,98,8.909,0.317,0.643,693,122,negative
12,83,6.917,0.301,0.814,811,151,negative
34,114,3.353,0.105,0.301,1166,157,negative
12,101,8.417,0.292,0.792,960,178,negative
10,87,8.7,0.344,0.901,784,132,negative
10,98,9.8,0.376,0.861,844,175,negative
10,84,8.4,0.356,0.849,713,121,negative
9,47,5.222,0.492,0.948,401,86,negative
9,33,3.667,0.458,0.983,292,62,negative
10,78,7.8,0.381,0.856,668,118,negative
12,8,0.667,0.292,1,96,9,negative
12,43,3.583,0.357,0.849,438,68,negative
11,86,7.818,0.332,0.808,764,143,negative
9,5,0.556,0.711,0.889,40,3,negative
12,146,12.167,0.091,0.128,225,6,positive
17,2,0.118,0.706,0.706,24,1,positive
9,7,0.778,0.349,0.683,43,10,negative
8,21,2.625,0.31,0.744,125,31,negative
9,121,13.444,0.399,0.843,918,181,negative
11,118,10.727,0.348,0.797,1035,167,negative
10,37,3.7,0.354,0.708,262,41,negative
10,47,4.7,0.336,0.628,295,70,negative
11,92,8.364,0.361,0.851,861,159,negative
10,21,2.1,0.362,0.819,172,36,negative
9,47,5.222,0.371,0.865,366,57,negative
9,41,4.556,0.507,0.992,366,57,negative
10,18,1.8,0.511,0.872,157,31,negative
9,47,5.222,0.385,0.917,388,65,negative
9,41,4.556,0.444,0.976,360,57,negative
9,45,5,0.425,0.938,380,62,negative
1,48,48,0.875,1,48,4,positive
1,29,29,0.586,1,29,8,positive
1,17,17,0.412,1,17,4,positive
8,46,5.75,0.318,0.818,301,56,negative
7,31,4.429,0.295,0.857,186,39,negative
6,17,2.833,0.314,0.686,70,14,negative
8,59,7.375,0.292,0.888,419,76,negative
7,17,2.429,0.387,0.857,102,17,negative
8,28,3.5,0.259,0.844,189,30,negative
8,45,5.625,0.206,0.789,284,41,negative
11,123,11.182,0.25,0.514,695,173,negative
11,9,0.818,0.465,0.768,76,12,negative
11,8,0.727,0.602,1,88,13,negative
11,61,5.545,0.361,0.614,412,48,negative
28,330,11.786,0.057,0.066,614,17,positive
212,464,2.189,0.052,0.07,6884,428,positive
10,38,3.8,0.432,0.939,357,59,negative
9,36,4,0.556,0.923,299,56,negative
9,98,10.889,0.491,0.974,859,156,negative
9,21,2.333,0.487,0.857,162,28,negative
10,49,4.9,0.59,0.982,481,93,negative
3,286,95.333,0.406,0.427,366,4,positive
9,23,2.556,0.3,1,207,41,negative
9,37,4.111,0.39,0.811,270,64,negative
10,21,2.1,0.348,0.757,159,23,negative
9,79,8.778,0.343,0.899,639,111,negative
10,66,6.6,0.324,0.78,515,95,negative
9,34,3.778,0.412,0.902,276,66,negative
9,82,9.111,0.428,0.936,691,133,negative
10,79,7.9,0.347,0.784,619,122,negative
12,98,8.167,0.267,0.627,737,135,negative
10,83,8.3,0.357,0.813,675,130,negative
10,11,1.1,0.427,1,110,31,negative
10,53,5.3,0.343,0.811,430,91,negative
12,85,7.083,0.305,0.828,845,160,negative
9,82,9.111,0.408,0.924,682,126,negative
10,80,8,0.308,0.838,670,122,negative
12,102,8.5,0.292,0.764,935,171,negative
9,82,9.111,0.374,0.866,639,120,negative
23,26,1.13,0.278,0.96,574,92,negative
23,47,2.043,0.315,0.747,808,155,negative
9,99,11,0.38,0.93,829,177,negative
9,83,9.222,0.292,0.909,679,90,negative
10,34,3.4,0.388,0.891,303,63,negative
9,82,9.111,0.37,0.924,682,114,negative
12,13,1.083,0.391,0.981,153,26,negative
12,8,0.667,0.302,1,96,10,negative
12,42,3.5,0.355,0.788,397,66,negative
10,86,8.6,0.326,0.844,726,151,negative
9,76,8.444,0.38,0.95,650,118,negative
9,6,0.667,0.667,0.759,41,2,negative
10,65,6.5,0.475,0.971,631,112,negative
9,36,4,0.586,0.948,307,55,negative
9,7,0.778,0.302,0.603,38,10,negative
9,22,2.444,0.389,0.843,167,40,negative
10,99,9.9,0.473,0.917,908,160,negative
9,85,9.444,0.395,0.846,647,130,negative
9,32,3.556,0.382,0.792,228,51,negative
11,100,9.091,0.473,0.882,970,158,negative
23,118,5.13,0.293,0.784,2129,385,negative
11,125,11.364,0.432,0.804,1105,196,negative
10,85,8.5,0.324,0.675,574,122,negative
10,43,4.3,0.458,0.94,404,55,negative
10,48,4.8,0.331,0.742,356,67,negative
9,40,4.444,0.483,0.992,357,61,negative
9,44,4.889,0.449,0.879,348,60,negative
9,47,5.222,0.371,0.825,349,57,negative
9,42,4.667,0.429,0.976,369,59,negative
1,18,18,0.944,1,18,1,positive
1,7,7,1,1,7,1,positive
1,117,117,0.393,1,117,8,positive
10,42,4.2,0.317,0.85,357,60,negative
24,340,14.167,0.211,0.468,3822,643,negative
1,77,77,0.403,1,77,6,positive
1,40,40,0.875,1,40,3,positive
10,130,13,0.486,0.856,1113,199,negative
1,28,28,0.964,1,28,1,positive
1,35,35,0.829,1,35,3,positive
6,13,2.167,0.128,0.577,45,6,negative
7,18,2.571,0.119,0.452,57,7,negative
7,42,6,0.293,0.857,252,33,negative
7,31,4.429,0.267,0.714,155,27,negative
7,16,2.286,0.241,0.634,71,11,negative
7,23,3.286,0.093,0.54,87,11,negative
7,8,1.143,0.161,0.518,29,5,negative
7,2,0.286,0.5,0.929,13,1,negative
7,7,1,0.327,0.898,44,7,negative
6,11,1.833,0.197,0.848,56,10,negative
7,121,17.286,0.276,0.607,514,131,negative
11,21,1.909,0.468,0.719,166,15,negative
11,9,0.818,0.515,0.768,76,6,negative
10,8,0.8,0.4,0.7,56,8,negative
11,8,0.727,0.727,0.989,87,6,negative
11,7,0.636,0.468,0.481,37,1,negative
11,8,0.727,0.693,0.989,87,6,negative
1,14,14,0.571,1,14,4,positive
9,38,4.222,0.444,0.898,307,56,negative
9,20,2.222,0.461,1,180,32,negative
9,36,4,0.506,0.901,292,58,negative
11,98,8.909,0.397,0.778,839,164,negative
9,49,5.444,0.592,0.998,440,88,negative
1,23,23,0.826,1,23,1,positive
1,19,19,0.684,1,19,3,positive
9,78,8.667,0.329,0.896,629,110,negative
8,14,1.75,0.143,1,112,6,negative
21,106,5.048,0.136,0.396,881,152,negative
8,24,3,0.297,0.974,187,40,negative
8,36,4.5,0.465,0.885,255,63,negative
9,22,2.444,0.318,0.909,180,26,negative
9,12,1.333,0.407,1,108,27,negative
9,6,0.667,0.37,0.907,49,8,negative
8,38,4.75,0.349,0.757,230,55,negative
9,34,3.778,0.31,0.895,274,59,negative
9,12,1.333,0.407,1,108,28,negative
9,63,7,0.298,0.787,446,84,negative
9,104,11.556,0.282,0.904,846,137,negative
11,75,6.818,0.27,0.679,560,107,negative
8,17,2.125,0.309,0.676,92,18,negative
9,82,9.111,0.309,0.778,574,118,negative
8,16,2,0.156,0.859,110,4,positive
8,12,1.5,0.469,1,96,28,negative
8,53,6.625,0.337,0.889,377,87,negative
11,85,7.727,0.268,0.902,843,145,negative
10,12,1.2,0.367,1,120,28,negative
10,63,6.3,0.251,0.898,566,86,negative
9,82,9.111,0.32,0.947,699,111,negative
9,10,1.111,0.144,0.522,47,2,positive
12,102,8.5,0.257,0.804,984,178,negative
12,90,7.5,0.183,0.716,773,103,negative
12,26,2.167,0.224,0.907,283,43,negative
12,41,3.417,0.289,0.74,364,69,negative
8,99,12.375,0.351,0.962,762,167,negative
9,81,9,0.287,0.826,602,94,negative
8,26,3.25,0.37,0.947,197,43,negative
9,46,5.111,0.365,0.848,351,75,negative
9,34,3.778,0.363,0.863,264,63,negative
12,26,2.167,0.276,0.83,259,39,negative
12,43,3.583,0.328,0.789,407,66,negative
8,75,9.375,0.373,0.955,573,115,negative
11,86,7.818,0.289,0.701,663,138,negative
1,79,79,0.608,1,79,7,positive
8,6,0.75,0.583,0.813,39,4,negative
1,11,11,0.727,1,11,2,positive
1,98,98,0.939,1,98,3,positive
1,13,13,0.692,1,13,3,positive
