Lenght,P_black,P_and,Class
2,0.816,0.816,positive
101,0.442,0.861,negative
118,0.26,0.817,negative
2,0.8,0.8,positive
126,0.41,0.833,negative
117,0.22,0.673,negative
35,0.263,0.667,negative
46,0.292,0.676,negative
2,0.55,0.6,positive
44,0.426,0.938,negative
48,0.31,0.807,negative
40,0.403,0.991,negative
45,0.469,0.956,negative
20,0.261,0.556,negative
22,0.298,0.965,negative
41,0.335,0.933,negative
112,0.496,0.504,positive
45,0.756,1,positive
75,0.813,1,positive
43,0.349,0.814,negative
301,0.308,0.735,negative
35,0.453,0.873,negative
122,0.339,0.947,negative
130,0.425,0.773,negative
46,0.217,0.804,negative
27,0.136,0.673,negative
8,0.35,0.675,negative
3,0.467,1,negative
35,0.2,0.829,negative
47,0.298,0.739,negative
31,0.226,0.774,negative
16,0.375,0.938,negative
122,0.281,0.626,negative
21,0.411,0.68,negative
8,0.375,0.602,negative
9,0.465,0.818,negative
8,0.5,1,negative
21,0.324,0.6,negative
157,0.506,0.551,positive
38,0.439,0.897,negative
36,0.549,0.914,negative
20,0.525,0.938,negative
96,0.418,0.886,negative
49,0.594,0.998,negative
32,0.719,1,positive
52,0.788,1,positive
13,0.692,1,positive
23,0.304,1,negative
37,0.381,0.808,negative
20,0.339,0.872,negative
79,0.375,0.956,negative
81,0.388,0.897,negative
67,0.381,0.746,negative
32,0.292,0.826,negative
2,0.516,0.516,positive
11,0.382,1,negative
64,0.295,0.808,negative
83,0.295,0.725,negative
73,0.257,0.591,negative
17,0.353,0.801,negative
12,0.407,0.88,negative
82,0.343,0.913,negative
53,0.37,0.901,negative
83,0.274,0.9,negative
81,0.279,0.81,negative
82,0.329,0.871,negative
100,0.269,0.765,negative
71,0.234,0.748,negative
82,0.247,0.935,negative
97,0.328,0.921,negative
32,0.333,0.861,negative
82,0.398,0.951,negative
13,0.372,0.981,negative
8,0.198,1,negative
43,0.293,0.791,negative
75,0.415,0.91,negative
84,0.251,0.681,negative
123,0.5,0.504,positive
36,0.722,1,positive
123,0.089,0.089,negative
6,0.5,0.646,negative
65,0.445,0.911,negative
37,0.598,0.946,negative
20,0.339,0.772,negative
8,0.344,0.781,negative
100,0.449,0.874,negative
32,0.365,0.781,negative
82,0.337,0.817,negative
101,0.466,0.893,negative
116,0.246,0.707,negative
126,0.463,0.848,negative
86,0.301,0.647,negative
115,0.266,0.723,negative
2,0.875,0.875,positive
44,0.465,0.944,negative
46,0.348,0.918,negative
40,0.391,0.991,negative
45,0.442,0.956,negative
45,0.367,0.897,negative
41,0.424,0.966,negative
19,0.789,1,positive
9,0.778,1,positive
42,0.363,0.97,negative
339,0.248,0.547,negative
123,0.362,0.888,negative
446,0.439,0.603,positive
3,0.657,0.909,positive
131,0.456,0.851,negative
4,0.419,0.565,positive
3,0.598,0.841,positive
7,0.282,0.432,positive
236,0.566,0.689,positive
61,1,1,positive
14,0.223,0.661,negative
174,0.178,0.737,negative
45,0.156,0.725,negative
27,0.101,0.619,negative
9,0.778,1,negative
122,0.227,0.65,negative
96,0.331,0.954,negative
402,0.055,0.094,positive
463,0.063,0.121,positive
20,0.435,0.89,negative
97,0.466,0.973,negative
21,0.354,0.878,negative
80,0.338,0.954,negative
85,0.25,0.664,negative
76,0.363,0.874,negative
2,0.563,0.563,negative
33,0.259,0.774,negative
120,0.331,0.859,negative
118,0.253,0.767,negative
207,0.268,0.723,negative
92,0.365,0.954,negative
93,0.323,0.888,negative
43,0.377,0.922,negative
213,0.318,0.379,positive
465,0.055,0.123,positive
79,0.087,0.195,positive
9,0.333,0.492,negative
7,0.619,0.619,negative
152,0.822,1,positive
51,0.471,1,positive
17,0.275,0.824,negative
22,0.197,1,negative
29,0.293,0.92,negative
46,0.278,0.835,negative
30,0.16,0.66,negative
16,0.391,0.938,negative
45,0.2,0.775,negative
27,0.238,0.741,negative
122,0.273,0.54,negative
49,0.343,0.666,negative
35,0.335,0.584,negative
462,0.523,0.688,positive
38,0.434,0.892,negative
36,0.552,0.926,negative
98,0.448,0.881,negative
21,0.529,0.958,negative
49,0.551,0.943,negative
49,0.286,1,negative
52,0.981,1,positive
52,0.538,1,positive
24,0.267,0.821,negative
36,0.42,0.889,negative
21,0.392,0.899,negative
78,0.349,0.863,negative
67,0.331,0.844,negative
33,0.367,0.864,negative
79,0.385,0.88,negative
80,0.314,0.799,negative
97,0.297,0.666,negative
82,0.389,0.92,negative
69,0.343,0.876,negative
84,0.282,0.778,negative
82,0.379,0.879,negative
11,0.373,1,negative
63,0.294,0.895,negative
102,0.289,0.829,negative
82,0.385,0.935,negative
26,0.283,0.918,negative
47,0.319,0.753,negative
53,0.34,0.9,negative
40,0.338,0.878,negative
82,0.288,0.997,negative
34,0.356,0.803,negative
81,0.348,0.927,negative
13,0.42,0.979,negative
8,0.25,1,negative
43,0.334,0.875,negative
75,0.396,0.914,negative
86,0.283,0.764,negative
33,1,1,positive
124,0.444,1,positive
75,0.92,1,positive
6,0.5,0.593,negative
64,0.514,0.966,negative
36,0.611,0.926,negative
34,0.288,0.641,negative
98,0.463,0.945,negative
121,0.356,0.817,negative
100,0.456,0.882,negative
118,0.268,0.745,negative
126,0.456,0.883,negative
85,0.333,0.696,negative
43,0.509,0.959,negative
47,0.333,0.757,negative
40,0.428,0.895,negative
44,0.467,0.944,negative
47,0.31,0.78,negative
41,0.425,0.962,negative
8,0.875,1,positive
40,1,1,positive
55,0.564,1,positive
39,0.293,0.937,negative
340,0.259,0.592,negative
123,0.395,0.991,negative
115,0.2,1,positive
131,0.439,0.845,negative
11,1,1,positive
46,0.783,1,positive
64,0.531,0.586,positive
47,0.271,0.878,negative
27,0.218,0.829,negative
17,0.412,0.933,negative
59,0.322,0.881,negative
47,0.362,0.88,negative
32,0.336,0.789,negative
16,0.477,0.906,negative
115,0.426,0.487,positive
16,0.42,0.768,negative
100,0.411,0.849,negative
8,0.448,0.656,negative
8,0.615,0.969,negative
8,0.479,0.5,negative
8,0.792,1,negative
7,0.56,1,negative
23,0.417,0.623,negative
463,0.088,0.16,positive
18,0.159,0.607,negative
51,0.306,0.855,negative
24,0.537,1,negative
22,0.336,0.836,negative
37,0.538,0.901,negative
101,0.282,0.695,negative
34,0.421,0.906,negative
98,0.317,0.643,negative
83,0.301,0.814,negative
114,0.105,0.301,negative
101,0.292,0.792,negative
87,0.344,0.901,negative
98,0.376,0.861,negative
84,0.356,0.849,negative
47,0.492,0.948,negative
33,0.458,0.983,negative
78,0.381,0.856,negative
8,0.292,1,negative
43,0.357,0.849,negative
86,0.332,0.808,negative
5,0.711,0.889,negative
146,0.091,0.128,positive
2,0.706,0.706,positive
7,0.349,0.683,negative
21,0.31,0.744,negative
121,0.399,0.843,negative
118,0.348,0.797,negative
37,0.354,0.708,negative
47,0.336,0.628,negative
92,0.361,0.851,negative
21,0.362,0.819,negative
47,0.371,0.865,negative
41,0.507,0.992,negative
18,0.511,0.872,negative
47,0.385,0.917,negative
41,0.444,0.976,negative
45,0.425,0.938,negative
48,0.875,1,positive
29,0.586,1,positive
17,0.412,1,positive
46,0.318,0.818,negative
31,0.295,0.857,negative
17,0.314,0.686,negative
59,0.292,0.888,negative
17,0.387,0.857,negative
28,0.259,0.844,negative
45,0.206,0.789,negative
123,0.25,0.514,negative
9,0.465,0.768,negative
8,0.602,1,negative
61,0.361,0.614,negative
330,0.057,0.066,positive
464,0.052,0.07,positive
38,0.432,0.939,negative
36,0.556,0.923,negative
98,0.491,0.974,negative
21,0.487,0.857,negative
49,0.59,0.982,negative
286,0.406,0.427,positive
23,0.3,1,negative
37,0.39,0.811,negative
21,0.348,0.757,negative
79,0.343,0.899,negative
66,0.324,0.78,negative
34,0.412,0.902,negative
82,0.428,0.936,negative
79,0.347,0.784,negative
98,0.267,0.627,negative
83,0.357,0.813,negative
11,0.427,1,negative
53,0.343,0.811,negative
85,0.305,0.828,negative
82,0.408,0.924,negative
80,0.308,0.838,negative
102,0.292,0.764,negative
82,0.374,0.866,negative
26,0.278,0.96,negative
47,0.315,0.747,negative
99,0.38,0.93,negative
83,0.292,0.909,negative
34,0.388,0.891,negative
82,0.37,0.924,negative
13,0.391,0.981,negative
8,0.302,1,negative
42,0.355,0.788,negative
86,0.326,0.844,negative
76,0.38,0.95,negative
6,0.667,0.759,negative
65,0.475,0.971,negative
36,0.586,0.948,negative
7,0.302,0.603,negative
22,0.389,0.843,negative
99,0.473,0.917,negative
85,0.395,0.846,negative
32,0.382,0.792,negative
100,0.473,0.882,negative
118,0.293,0.784,negative
125,0.432,0.804,negative
85,0.324,0.675,negative
43,0.458,0.94,negative
48,0.331,0.742,negative
40,0.483,0.992,negative
44,0.449,0.879,negative
47,0.371,0.825,negative
42,0.429,0.976,negative
18,0.944,1,positive
7,1,1,positive
117,0.393,1,positive
42,0.317,0.85,negative
340,0.211,0.468,negative
77,0.403,1,positive
40,0.875,1,positive
130,0.486,0.856,negative
28,0.964,1,positive
35,0.829,1,positive
13,0.128,0.577,negative
18,0.119,0.452,negative
42,0.293,0.857,negative
31,0.267,0.714,negative
16,0.241,0.634,negative
23,0.093,0.54,negative
8,0.161,0.518,negative
2,0.5,0.929,negative
7,0.327,0.898,negative
11,0.197,0.848,negative
121,0.276,0.607,negative
21,0.468,0.719,negative
9,0.515,0.768,negative
8,0.4,0.7,negative
8,0.727,0.989,negative
7,0.468,0.481,negative
8,0.693,0.989,negative
14,0.571,1,positive
38,0.444,0.898,negative
20,0.461,1,negative
36,0.506,0.901,negative
98,0.397,0.778,negative
49,0.592,0.998,negative
23,0.826,1,positive
19,0.684,1,positive
78,0.329,0.896,negative
14,0.143,1,negative
106,0.136,0.396,negative
24,0.297,0.974,negative
36,0.465,0.885,negative
22,0.318,0.909,negative
12,0.407,1,negative
6,0.37,0.907,negative
38,0.349,0.757,negative
34,0.31,0.895,negative
12,0.407,1,negative
63,0.298,0.787,negative
104,0.282,0.904,negative
75,0.27,0.679,negative
17,0.309,0.676,negative
82,0.309,0.778,negative
16,0.156,0.859,positive
12,0.469,1,negative
53,0.337,0.889,negative
85,0.268,0.902,negative
12,0.367,1,negative
63,0.251,0.898,negative
82,0.32,0.947,negative
10,0.144,0.522,positive
102,0.257,0.804,negative
90,0.183,0.716,negative
26,0.224,0.907,negative
41,0.289,0.74,negative
99,0.351,0.962,negative
81,0.287,0.826,negative
26,0.37,0.947,negative
46,0.365,0.848,negative
34,0.363,0.863,negative
26,0.276,0.83,negative
43,0.328,0.789,negative
75,0.373,0.955,negative
86,0.289,0.701,negative
79,0.608,1,positive
6,0.583,0.813,negative
11,0.727,1,positive
98,0.939,1,positive
13,0.692,1,positive
64,0.491,0.984,negative
36,0.559,0.944,negative
8,0.25,0.672,negative
21,0.381,0.845,negative
99,0.461,0.906,negative
121,0.322,0.776,negative
100,0.463,0.908,negative
118,0.29,0.798,negative
126,0.466,0.907,negative
117,0.251,0.635,negative
14,0.268,0.554,negative
71,0.329,0.776,negative
44,0.455,0.949,negative
48,0.328,0.885,negative
40,0.409,0.997,negative
45,0.447,0.896,negative
47,0.324,0.896,negative
42,0.39,0.94,negative
17,0.824,1,positive
43,0.372,0.956,negative
300,0.263,0.607,negative
35,0.482,0.841,negative
122,0.333,0.829,negative
130,0.448,0.877,negative
45,0.222,0.806,negative
31,0.221,0.853,negative
14,0.381,0.881,negative
18,0.215,0.813,negative
58,0.212,0.842,negative
40,0.186,0.754,negative
28,0.143,0.53,negative
15,0.267,0.8,negative
38,0.244,0.489,negative
31,0.204,0.465,negative
77,0.258,0.564,negative
33,0.245,0.534,negative
19,0.332,0.695,negative
121,0.305,0.675,negative
22,0.417,0.694,negative
9,0.404,0.717,negative
8,0.545,1,negative
21,0.316,0.58,negative
8,0.525,0.875,negative
461,0.192,0.248,positive
38,0.424,0.939,negative
36,0.506,0.91,negative
21,0.519,0.942,negative
97,0.455,0.939,negative
49,0.58,0.995,negative
15,0.867,1,positive
23,0.324,0.986,negative
37,0.396,0.85,negative
21,0.317,0.778,negative
91,0.302,0.956,negative
67,0.291,0.649,negative
32,0.354,0.806,negative
92,0.35,0.917,negative
12,0.444,1,negative
64,0.318,0.818,negative
98,0.245,0.624,negative
100,0.276,0.847,negative
12,0.426,1,negative
53,0.317,0.805,negative
84,0.291,0.843,negative
81,0.337,0.918,negative
13,0.103,0.752,positive
80,0.279,0.8,negative
101,0.264,0.852,negative
81,0.332,0.974,negative
9,0.16,0.864,negative
72,0.281,0.807,negative
84,0.25,0.955,negative
52,0.37,0.996,negative
41,0.374,0.846,negative
27,0.346,0.975,negative
46,0.363,0.843,negative
33,0.424,0.97,negative
81,0.328,0.916,negative
7,0.238,0.69,positive
14,0.442,0.981,negative
8,0.261,1,negative
43,0.336,0.753,negative
75,0.373,0.913,negative
48,0.252,0.755,negative
9,0.383,0.802,negative
18,0.472,1,negative
6,0.5,0.548,negative
1,1,1,positive
64,0.477,0.914,negative
36,0.615,0.938,negative
33,0.314,0.705,negative
99,0.443,0.912,negative
122,0.294,0.689,negative
101,0.45,0.869,negative
118,0.266,0.734,negative
125,0.456,0.862,negative
117,0.231,0.712,negative
85,0.308,0.744,negative
43,0.47,0.948,negative
47,0.286,0.738,negative
40,0.386,0.889,negative
44,0.486,0.952,negative
46,0.29,0.838,negative
42,0.381,0.931,negative
37,0.811,1,positive
46,0.239,1,positive
42,0.31,1,positive
42,0.344,0.931,negative
300,0.252,0.576,negative
35,0.533,0.943,negative
122,0.378,0.961,negative
176,0.528,0.605,positive
3,0.643,0.952,positive
130,0.513,0.925,negative
17,0.882,1,positive
39,0.897,1,positive
44,0.909,1,positive
14,0.929,1,positive
36,0.583,1,positive
17,0.765,1,positive
52,0.144,0.702,negative
17,0.309,0.559,negative
31,0.239,0.974,negative
23,0.226,1,negative
44,0.241,0.791,negative
56,0.065,0.5,negative
32,0.313,1,negative
16,0.313,0.813,negative
14,0.286,0.821,positive
183,0.488,0.577,positive
77,0.314,0.76,negative
34,0.279,0.851,negative
22,0.293,0.798,negative
67,0.269,0.689,negative
123,0.265,0.626,negative
8,0.438,0.51,negative
8,0.51,0.927,negative
9,0.509,0.657,negative
9,0.545,0.818,negative
9,0.384,0.727,negative
8,0.716,1,negative
8,0.705,1,negative
29,1,1,positive
14,0.929,1,positive
45,0.933,1,positive
39,0.444,0.923,negative
21,0.497,0.958,negative
97,0.423,0.832,negative
36,0.577,0.948,negative
300,0.065,0.071,positive
49,0.529,0.939,negative
50,0.46,0.51,positive
79,0.323,0.873,negative
24,0.356,0.907,negative
37,0.444,0.898,negative
21,0.365,0.905,negative
81,0.357,0.863,negative
67,0.3,0.745,negative
32,0.402,0.898,negative
11,0.143,0.558,negative
99,0.288,0.801,negative
12,0.444,1,negative
64,0.307,0.842,negative
94,0.257,0.604,negative
2,0.625,0.667,positive
99,0.312,0.826,negative
83,0.253,0.756,negative
12,0.438,1,negative
54,0.35,0.887,negative
95,0.284,0.849,negative
12,0.38,1,negative
64,0.302,0.92,negative
101,0.267,0.849,negative
82,0.236,0.814,negative
73,0.259,0.743,negative
98,0.3,0.781,negative
81,0.322,0.819,negative
27,0.346,0.951,negative
47,0.404,0.943,negative
32,0.413,0.993,negative
75,0.369,0.936,negative
27,0.318,0.898,negative
43,0.31,0.793,negative
61,0.251,0.746,negative
19,0.363,0.837,negative
204,0.412,0.681,positive
29,0.221,0.572,negative
65,0.463,0.901,negative
36,0.565,0.944,negative
21,0.323,0.81,negative
7,0.321,0.429,negative
100,0.444,0.924,negative
32,0.299,0.691,negative
83,0.335,0.843,negative
101,0.442,0.855,negative
118,0.255,0.7,negative
126,0.456,0.875,negative
86,0.337,0.757,negative
116,0.274,0.804,negative
43,0.481,0.953,negative
46,0.315,0.938,negative
41,0.393,0.976,negative
44,0.441,0.92,negative
45,0.319,0.923,negative
42,0.347,0.915,negative
35,0.857,1,positive
455,0.081,0.095,negative
43,0.392,0.927,negative
301,0.257,0.564,negative
35,0.494,0.902,negative
123,0.359,0.898,negative
142,0.115,0.173,positive
30,0.063,0.09,positive
130,0.453,0.822,negative
14,0.857,1,positive
3,0.458,0.667,negative
5,0.325,0.9,negative
14,0.321,0.938,negative
50,0.253,0.8,negative
3,0.5,0.667,negative
23,0.255,1,negative
15,0.258,0.683,negative
14,0.277,0.643,negative
2,0.667,1,negative
21,0.208,0.762,negative
6,0.333,0.762,negative
2,0.643,0.929,negative
3,0.458,0.708,negative
14,0.327,0.99,negative
59,0.206,0.691,negative
121,0.272,0.646,negative
9,0.465,0.687,negative
8,0.675,1,negative
7,0.429,0.429,negative
8,0.688,1,negative
8,0.6,1,negative
9,0.522,0.656,negative
8,0.575,0.888,negative
69,0.841,1,positive
38,0.397,0.887,negative
36,0.491,0.84,negative
97,0.425,0.825,negative
21,0.548,1,negative
49,0.587,0.961,negative
148,0.959,1,positive
20,0.3,0.972,negative
36,0.352,0.806,negative
21,0.365,0.82,negative
80,0.333,0.914,negative
11,0.343,1,negative
50,0.32,0.716,negative
33,0.354,0.781,negative
83,0.398,0.94,negative
11,0.443,1,negative
63,0.289,0.778,negative
74,0.267,0.628,negative
17,0.294,0.654,negative
84,0.36,0.954,negative
12,0.407,0.898,negative
82,0.358,0.84,negative
53,0.33,0.894,negative
84,0.279,0.896,negative
12,0.426,1,negative
63,0.284,0.908,negative
101,0.253,0.77,negative
83,0.357,0.979,negative
72,0.228,0.78,negative
97,0.317,0.863,negative
83,0.294,0.955,negative
26,0.299,0.953,negative
46,0.338,0.872,negative
83,0.293,0.751,negative
33,0.39,0.973,negative
26,0.283,0.888,negative
43,0.281,0.774,negative
62,0.218,0.705,negative
18,0.472,1,negative
76,0.388,0.903,negative
6,0.542,0.646,negative
84,0.917,1,positive
73,0.616,1,positive
64,0.439,0.889,negative
36,0.531,0.938,negative
8,0.234,0.672,negative
21,0.363,0.774,negative
99,0.484,0.951,negative
83,0.289,0.751,negative
32,0.302,0.674,negative
100,0.41,0.846,negative
118,0.277,0.745,negative
126,0.484,0.953,negative
86,0.3,0.677,negative
116,0.273,0.797,negative
43,0.494,0.953,negative
47,0.307,0.872,negative
40,0.456,0.997,negative
43,0.455,0.899,negative
46,0.356,0.927,negative
42,0.423,0.979,negative
2,0.738,0.738,positive
41,0.351,0.963,negative
70,0.059,0.062,positive
342,0.24,0.548,negative
123,0.39,0.996,negative
147,0.864,1,positive
131,0.487,0.856,negative
17,0.941,1,positive
1,1,1,positive
89,0.17,0.706,negative
31,0.3,0.813,negative
230,0.164,0.57,negative
43,0.243,0.807,negative
172,0.128,0.337,positive
72,0.469,0.848,negative
76,0.358,0.795,negative
190,0.293,0.847,negative
71,0.312,0.866,negative
71,0.31,0.861,negative
116,0.279,0.658,negative
93,0.259,0.895,negative
109,0.243,0.848,negative
64,0.301,0.857,negative
133,0.236,0.718,negative
100,0.342,0.822,negative
49,0.297,0.641,negative
43,0.205,0.69,negative
29,0.339,0.874,negative
48,0.313,0.76,negative
35,0.38,0.829,negative
37,0.453,0.964,negative
85,0.327,0.633,negative
217,0.361,0.686,negative
487,0.247,0.63,negative
440,0.255,0.696,negative
168,0.255,0.719,negative
1,1,1,positive
65,0.302,0.677,negative
1,1,1,positive
1,1,1,positive
121,0.37,0.873,negative
118,0.309,0.726,negative
1,1,1,positive
106,0.306,0.688,negative
9,0.143,0.238,positive
72,0.12,0.257,positive
1,1,1,positive
34,0.366,0.846,negative
1,1,1,positive
6,0.667,1,positive
1,1,1,positive
108,0.319,0.746,negative
185,0.235,0.659,negative
39,0.338,0.882,negative
1,1,1,positive
116,0.262,0.788,negative
89,0.303,0.79,negative
46,0.304,0.963,negative
29,0.266,0.813,negative
172,0.294,0.907,negative
17,0.471,0.929,negative
1,1,1,positive
54,0.364,0.519,positive
72,0.52,0.856,negative
76,0.475,0.87,negative
181,0.298,0.684,negative
71,0.407,0.903,negative
72,0.399,0.811,negative
94,0.25,0.721,negative
71,0.37,0.726,negative
108,0.297,0.831,negative
64,0.336,0.846,negative
33,0.394,0.645,negative
132,0.31,0.861,negative
54,0.323,0.689,negative
44,0.398,0.766,negative
99,0.356,0.881,negative
61,0.247,0.515,negative
59,0.492,0.861,negative
137,0.265,0.564,negative
407,0.266,0.649,negative
408,0.281,0.677,negative
410,0.241,0.592,negative
86,0.423,0.914,negative
409,0.267,0.582,negative
307,0.29,0.771,negative
410,0.272,0.67,negative
34,0.426,0.656,negative
410,0.254,0.604,negative
151,0.302,0.726,negative
66,0.402,0.78,negative
117,0.419,0.947,negative
115,0.314,0.695,negative
103,0.353,0.724,negative
79,0.084,0.179,positive
33,0.377,0.842,negative
63,0.332,0.724,negative
14,0.518,0.964,negative
79,0.342,0.841,negative
75,0.428,0.909,negative
107,0.383,0.858,negative
114,0.278,0.741,negative
39,0.344,0.728,negative
114,0.253,0.741,negative
90,0.298,0.77,negative
28,0.405,0.804,negative
1,1,1,positive
46,0.266,0.886,negative
17,0.456,0.824,negative
28,0.337,0.99,negative
175,0.337,0.991,negative
168,0.187,0.73,negative
58,0.343,0.803,negative
71,0.487,0.834,negative
136,0.24,0.748,negative
76,0.352,0.813,negative
181,0.316,0.758,negative
70,0.371,0.911,negative
217,0.268,0.632,negative
71,0.394,0.958,negative
87,0.286,0.671,negative
93,0.278,0.847,negative
107,0.273,0.738,negative
62,0.357,0.968,negative
84,0.407,0.878,negative
133,0.272,0.825,negative
100,0.345,0.795,negative
51,0.294,0.775,negative
43,0.337,0.969,negative
29,0.333,0.799,negative
35,0.337,0.714,negative
40,0.481,0.988,negative
44,0.415,0.949,negative
80,0.324,0.673,negative
89,0.429,0.879,negative
418,0.261,0.619,negative
129,0.303,0.711,negative
77,0.298,0.7,negative
119,0.422,0.965,negative
116,0.292,0.703,negative
104,0.335,0.758,negative
70,0.09,0.255,positive
33,0.295,0.694,negative
128,0.355,0.751,negative
14,0.49,0.939,negative
84,0.331,0.792,negative
107,0.375,0.861,negative
115,0.417,0.92,negative
39,0.41,0.867,negative
114,0.393,0.978,negative
90,0.511,0.907,negative
172,0.353,0.799,negative
17,0.529,0.853,negative
45,0.279,0.785,negative
27,0.344,1,negative
71,0.519,0.843,negative
190,0.326,0.63,negative
76,0.474,0.799,negative
70,0.463,0.986,negative
71,0.39,0.768,negative
77,0.469,0.905,negative
93,0.324,0.835,negative
107,0.357,0.875,negative
29,0.408,0.765,negative
62,0.348,0.869,negative
130,0.36,0.876,negative
100,0.385,0.828,negative
50,0.397,0.713,negative
44,0.447,0.811,negative
29,0.538,0.89,negative
35,0.351,0.652,negative
40,0.506,0.964,negative
42,0.378,0.841,negative
83,0.373,0.628,negative
234,0.383,0.634,negative
409,0.312,0.602,negative
412,0.32,0.664,negative
152,0.312,0.714,negative
