Attr03,Attr06,Attr09,Attr12,Atrr13,Class
0.5,0.25,0.33,0.33,0.09,positive
1,0.25,0.33,0.67,0.09,positive
0,0,0.67,1,0.07,positive
1,0,0,0,0.45,positive
0.5,0,0.33,0.33,0.07,negative
0.5,1,0.33,0.67,0.09,positive
0.5,0,0.67,0.33,0.16,negative
0.5,0,0,0.67,0.21,negative
1,0,0.33,1,0.09,negative
0.5,0,0.33,0.67,0.13,negative
0.5,0.5,1,0,0.11,negative
0.5,0,0.67,0,0.25,negative
0.5,0,0.67,0.33,0.32,negative
1,0,0.33,0.67,0.43,negative
1,0,0.67,0,0.07,negative
0.5,0.5,0.33,1,0.07,negative
0.75,0.25,0.67,0,0.27,negative
1,0.75,0.67,1,0.23,positive
0.5,0,0.33,0,0.07,negative
0.5,0,0.33,0.67,0.18,positive
1,1,0.67,1,0.34,negative
0,0,0.67,0.33,0.16,positive
0.5,0.5,0.67,1,0.48,negative
1,1,0.67,0,0.54,negative
0.5,0,0.67,0,0.07,positive
0.75,0,0.67,0.67,0.13,positive
0.5,0,1,0,0.16,negative
0.5,0,0.33,0,0.07,positive
0.5,1,0.67,1,0.75,negative
0.5,1,0.67,0.67,0.32,negative
0.75,0,0.33,0.67,0.3,negative
0.5,0,1,0.33,0.04,negative
0.5,0,0.67,0.67,0.11,positive
0.5,0,0.67,0.67,0.3,negative
1,0,0.67,0.67,0.14,negative
0.5,0,0.67,0.67,0.41,positive
0.5,0,0.33,0.67,0.05,negative
0.5,0,0.33,0,0.38,negative
0.5,1,0.67,0,0.3,negative
1,0,0.67,0.67,0.25,negative
1,0,0.33,0,0.07,negative
0.25,0.25,0.33,1,0.73,positive
0.25,0,0.33,0.67,0.32,positive
1,1,0.67,1,0.79,negative
0.75,0,1,0,0.27,negative
0.75,1,0.67,1,0.3,negative
0.5,0,0.67,1,0.68,positive
1,0.25,0.33,0.67,0.59,negative
0.5,1,0.67,0.67,0.36,negative
0.5,0,0.33,1,0.34,positive
0.5,1,0.33,0.33,0.11,negative
0.5,0,0.67,0,0.13,negative
0.75,0.25,0.67,0.33,0.13,negative
1,0,0.33,0.67,0.11,negative
0.5,1,0.33,0,0.04,negative
1,0,0.67,0.33,0.38,negative
1,0.5,0.67,0.67,0.14,negative
0.5,0,0.33,0.67,0.14,negative
0.5,0,1,0.33,0.2,negative
0.5,0.75,0.33,0,0,negative
0.5,0,0.67,1,0.36,negative
1,0,0.33,0.67,0.21,negative
1,0,0.67,0.67,0.21,negative
0.75,0.25,0.67,1,0.23,negative
0.5,0,0.33,1,0.64,negative
1,0,1,0.33,0.48,negative
0.5,0,0,0,0.48,positive
1,0.75,0.33,0,0.43,negative
0.5,0,1,0,0.36,negative
1,1,1,0,0.16,negative
0.75,0,0.67,0.67,0.14,positive
0.75,0,0.67,0.67,0.14,negative
0.75,1,0.67,0.67,0.43,negative
0.5,0,1,0.33,0.05,positive
1,1,0.67,0.67,0.43,negative
0.5,0,1,0,0.14,negative
0.5,0.5,0,0.67,0.13,negative
1,0.5,1,0,0.16,positive
0.5,0,0.33,0.67,0.02,negative
1,0,0.67,0.67,0.29,negative
1,0,0.67,0.67,0.41,positive
0.5,0.5,0.67,1,0.38,negative
0.5,1,0.33,0.33,0.29,positive
1,0,0.67,0.33,0.29,negative
0.5,0,0.67,0,0.25,positive
0.75,1,0.33,0.67,0.07,negative
0.5,0.5,0.33,0.67,0.21,negative
0.5,1,0.33,0.33,0.25,positive
0.5,0.75,0.33,0.67,0.02,negative
1,0,0.67,0,0.5,negative
0.5,1,0.67,0.67,0.2,negative
0.75,0.25,0.67,0,0.27,negative
0.5,1,0.33,0.33,0.11,positive
0.5,0,1,0.67,0.04,negative
1,0,0.67,0.67,0.18,negative
1,0.75,0.67,0,0.48,negative
0.5,0,0.67,0.67,0.02,negative
1,0,0.67,1,0.3,negative
1,0,0.33,1,0.64,positive
0.5,0,0.67,0.67,0.18,positive
0.5,0,0.67,0,0.98,negative
0.5,0.5,1,0,0.07,negative
1,0.75,0.33,0,0.32,negative
0.5,0,0.67,0,0.11,negative
0.25,0,0.33,0,0.13,positive
0.5,0,0.67,0.67,0.36,negative
1,0,0,0,0.25,negative
0.75,0,0.67,0.67,0.18,negative
0.5,0,0.67,0.67,0.39,positive
1,0,0.67,0.67,0.82,negative
1,1,0.33,0.33,0.39,negative
0.5,0,0.33,0.67,0.27,positive
0.5,1,1,0,0.11,positive
0.5,1,0.33,0,0.64,negative
1,0,0.33,0.67,0.2,positive
0.5,0,0.33,0.33,0.2,negative
0.5,0,0.33,0,0.18,negative
0,0,0.67,0.33,0.27,negative
0.5,0,0.67,0.67,0.29,negative
0.75,0.75,1,0.33,0.75,positive
0.5,0,0.67,0,0.29,negative
0.5,0,0.67,0.33,0.21,positive
1,1,0.67,0.67,0.2,negative
0.5,0,0.33,1,0.18,negative
1,0,0.67,0,0.3,negative
0.5,0,0.67,1,0.29,positive
0.5,0,0.67,0.67,0.23,negative
0.5,0,0.33,0,0.27,negative
0.5,0,0.33,0,0.14,negative
0.5,0,0.67,0.67,0.27,negative
0.5,0,0.67,0,0.3,negative
0.5,0,0.67,0.33,0.32,negative
0.75,1,0.67,0.67,0.23,negative
0.75,0,0.33,0.67,0.13,negative
0.75,0,0.67,0.67,0.29,negative
0.5,0,0.67,1,0.79,negative
0.5,0,0.33,0.33,0.07,positive
0.5,0,0.67,0.67,0.16,positive
0.5,1,0.67,0.33,0.34,negative
1,0,1,0.67,0.25,positive
0.5,0.25,1,0.67,0.05,positive
0.5,0.5,0.67,0.67,0.09,negative
0.5,0,0.67,0.67,0.11,negative
0.5,0.25,0.67,0,0.36,negative
1,0,0.67,0.67,0.45,negative
1,0,0.33,0,0.07,negative
0.75,0,0.33,0.67,0.18,positive
0.5,0.75,0.33,0.33,0.68,negative
0,0,0.33,0.33,0.13,positive
1,0.5,0.67,0,0.45,negative
0.75,0,0.67,0.33,0.5,positive
0.5,1,0.67,0.33,0.3,negative
0.5,0,0.67,0.33,0.13,negative
0.75,0.75,0.33,0.33,0.2,negative
0.5,0,0.67,0.67,0.59,negative
0.5,0,0.33,1,0.77,negative
0.5,0.25,0.67,0,0.29,negative
0.5,0,0.67,0.33,0.13,negative
1,0,0.67,1,0.13,negative
0,0,0.33,1,0.41,positive
1,0.25,0.33,0.33,0.14,negative
0.5,1,0.67,0.33,0.34,negative
1,0,0.67,0,0.36,negative
0.5,1,1,0.67,0.02,positive
0.5,0.25,0.67,1,0.18,positive
1,0,0.67,0.33,0.38,negative
0.5,0,1,0,0.23,negative
1,0.25,0,0.67,0.16,negative
0.5,0,0.33,0.33,0.14,positive
0.5,0,0.67,1,0.41,negative
0.5,0.25,0,0,0.54,negative
1,0.25,0.67,1,0.34,positive
0.5,0,0.33,0.33,0.09,positive
0.5,1,0.67,0.33,0.14,positive
1,0.5,0.67,0.67,0.3,negative
0.25,0.25,0.67,0.33,0.27,positive
0.5,0,1,0.33,0.16,negative
0.5,0.25,0.67,0.67,0.46,negative
0.5,0,0.67,0,0.13,positive
0.5,0,0.67,1,0.23,negative
0.5,0,0.67,0.33,0.13,negative
1,0,0.67,0,0.38,negative
0.75,0,1,0,0.02,negative
0.5,1,0.67,0.33,0.63,negative
1,0,0.33,0.33,0.32,negative
1,0,0.33,0.33,0.07,positive
0.5,0.25,0.67,0.33,0.43,negative
1,1,0.67,1,0.3,negative
1,0,0.67,1,0.45,negative
0,0,0.67,1,0.61,positive
0.5,0,0.33,0,0.09,positive
0.5,0.25,0.33,0.67,0.07,negative
0.5,0,0.33,0,0.13,negative
1,0.25,0.33,0.67,0.21,negative
0.5,0,0.67,0.67,0.2,negative
1,0,0.67,0,0.41,negative
0.5,0,0,0.67,0.21,positive
0.75,0,1,0,0.39,negative
0.5,0,0.67,0.67,0.23,negative
0.5,0,0.67,0,0.39,negative
0.5,0.25,1,0.33,0.13,negative
0.5,1,0.33,0.33,1,negative
0.5,0.25,0.33,0.67,0.16,positive
0.5,0,0.67,1,0.41,positive
1,0,0,0.67,0.25,positive
0.5,0,1,0,0.07,positive
0.5,1,0.67,0.67,0.11,negative
0.5,1,0.67,0.33,0.21,positive
0.5,0,0.33,0.33,0.46,negative
1,0,0.67,0,0.75,negative
0.75,0,0.67,0,0.43,positive
1,0,0.33,0.33,0.32,negative
0.5,0,0.67,0.67,0.23,negative
0.25,0,0.33,0,0.09,positive
1,1,0.67,1,0.29,negative
1,1,0.33,0,0.07,negative
0.5,0,0.67,0,0.27,positive
0.5,0,1,0,0.27,positive
0.75,0,0.67,1,0.73,negative
0.5,0,0.33,0.33,0.86,negative
0.5,0,0.67,0.67,0.05,positive
0,0.25,0.33,0.67,0.16,positive
0,1,0.33,0.33,0.18,positive
0.25,0.5,0.67,0.33,0.46,negative
0.25,0,0.67,0.67,0.14,positive
1,0,0.67,0,0.21,positive
1,0,0.33,0.67,0.32,negative
1,0.25,0.67,0.67,0.14,negative
0.5,1,0.67,1,0.32,positive
0.75,0,0.33,0.33,0.18,negative
0.5,1,0.67,1,0.54,negative
0.25,0,0.67,0.67,0.09,positive
0.75,1,0.67,0.33,0.32,negative
0.75,0.25,0.33,0.33,0.07,negative
0.5,0,0,0.67,0.3,positive
1,0.75,0.67,0.67,0.27,negative
0.5,1,0.67,0.67,0.39,negative
0.5,0,0.33,0.67,0.21,positive
0.5,0,0.33,0,0.07,positive
1,0,0.67,0.67,0.34,negative
0.5,1,0.33,0.33,0.13,negative
0.5,0,0.33,0.33,0.05,negative
0.5,0,0.67,0.67,0.14,negative
1,0,0.33,0.67,0.09,negative
0.5,0,0.33,0,0.14,negative
1,1,0.33,0.67,0.25,negative
1,0,0,0.67,0.14,positive
0.5,0,1,0.67,0.14,negative
1,0,0.67,0,0.2,positive
0.5,0,0.33,0,0.13,negative
1,0,0.67,0,0.54,negative
0.5,0,0.67,1,0.25,positive
0.5,1,0.33,1,0.59,negative
0.5,0,0.33,0,0.02,positive
1,0,0.67,0,0.3,negative
0.5,0,0.67,0.33,0.04,negative
0.5,0,1,0,0.5,positive
1,0,0.67,0.33,0.73,positive
1,0,0.33,0,0.7,negative
0.75,1,0.33,0.67,0.41,negative
0.5,0.75,0.33,0,0.3,negative
0.5,0,0.33,0.33,0.02,positive
0.25,0.25,0.33,0.33,0.23,positive
0.25,1,0.67,0.67,0.38,positive
0.5,0,0.33,0.67,0.07,positive
0,0,0.67,0,0.3,positive
1,0,0.67,0.33,0.21,positive
0.75,0,0.67,1,0.23,negative
0.5,0,0.33,0,0.46,negative
0.5,0,0.33,0.33,0.2,positive
0.25,0,0.33,1,0.27,positive
0.5,0,0.33,0.67,0.16,positive
0.5,0,0.33,0.33,0.07,negative
0.25,0.5,0.67,0,0.05,negative
1,0,0.67,0,0.98,negative
0.5,0.25,0.33,1,0.55,positive
0.5,0,0.67,0,0.25,negative
0.5,1,0.67,1,0.46,negative
0.5,0.25,0.33,1,0.52,positive
0.5,0.25,0.33,0.33,0.05,positive
0.5,0.75,0.33,0.67,0.18,negative
0.25,0,0.33,0.67,0.05,negative
0,1,0.67,0.67,0.52,negative
0.75,0,0.33,0,0.05,positive
0.75,1,0.67,1,0.14,negative
1,0,0.67,0,0.32,negative
0.5,0.25,0.33,0.67,0.04,positive
0.5,0,0,0,0.54,negative
1,0,0.67,0.33,0.14,negative
1,0,0.67,0.33,0.23,positive
0.5,1,0,0,0.34,positive
0.5,0,0.33,0.67,0.05,negative
0.5,1,0.67,0.67,0.29,negative
0.5,0,0.67,1,0.82,positive
0.5,0,0.67,0,0.39,negative
0.25,0.25,0.67,1,0.18,positive
1,0.5,0.67,0,0.3,negative
0.5,1,0.67,0,0.8,negative
0.5,0,0.33,0.67,0.16,negative
0.25,0,0.67,0.67,0.45,positive
0.5,1,0.67,0.33,0.07,negative
0.5,0,0.33,0.67,0,positive
0.5,0,0.33,0.67,0.11,positive
0.5,0,0.67,0.33,0.5,negative
0.5,0.5,0.33,0.67,0.16,negative
0.75,0,0.67,0.67,0.04,negative
0.5,0,0.33,0.67,0.27,negative
0.75,0,0.67,0.33,0.13,positive
0.5,0,0.33,0,0.14,positive
0.5,0,0.67,0.67,0.34,negative
0.5,0.25,0.67,0.33,0.38,positive
1,0,1,0.67,0.25,negative
1,0,1,0.33,0.23,negative
0.75,1,0.67,0.67,0.14,positive
0,0,0,0,0.23,negative
0.5,0.5,0.33,0.33,0.13,positive
0.5,0,0.67,1,0.34,positive
0.5,0,0.67,0.67,0.38,positive
0.5,0,0.67,1,0.55,negative
0.5,0,0.67,0.33,0.32,positive
0.5,0,0.67,0,0.46,positive
0.75,0.25,0.67,0.67,0.41,positive
1,0,0.67,0.67,0.29,negative
0.5,0,0.67,1,0.05,negative
0.5,0,0.67,0.67,0.39,positive
0.5,1,0.67,0.67,0.32,negative
0,0,0.33,0.67,0.16,negative
1,0,0.67,1,0.39,negative
0.5,0,1,0,0.07,negative
0.5,1,1,0.67,0.07,positive
0.5,0,0.67,0,0.55,negative
0.75,0,0.67,0.33,0.29,negative
1,0,0.33,0.33,0.55,negative
1,0,0.67,1,0.14,negative
0.25,0.75,0.67,0.67,0.27,negative
0.25,0,0.33,0,0.14,negative
1,0,0.67,0.33,0.43,positive
1,0,0.67,0.33,0.5,negative
1,0.25,0.67,0.33,0.14,negative
0.5,0.25,0.67,0.67,0.21,negative
0.5,0,0.67,0.33,0.41,negative
1,0.5,1,0.67,0.09,negative
0.75,0.5,0.67,0,0.39,positive
1,0,0.33,0.67,0.13,negative
1,0,0.67,0.67,0.25,negative
0.5,0.25,1,0.67,0.09,positive
0.5,0,0.67,0,0.8,negative
0.5,0,0.33,0,0.13,negative
0.5,0,0.33,1,0.66,negative
0.5,1,0.67,1,0.32,negative
0.75,0,1,0,0.25,negative
1,0,1,1,0.5,negative
0.75,0.25,0.67,0.33,0.21,negative
0.5,1,0.67,1,0.27,negative
1,1,0.67,0.33,0.14,negative
0.75,0.25,0.67,1,0.2,negative
0.5,0.25,0.67,0.67,0.29,negative
0.5,0.75,0.67,0.33,0.21,negative
1,0,0,0.33,0.11,negative
0.5,0.25,0.33,0,0.11,negative
0.5,0.25,0.67,0.67,0.18,negative
1,1,0.67,0,0.45,negative
0.5,0,0.67,0.67,0.16,negative
0.5,0.5,0.67,0.33,0.55,negative
0.5,0,0.67,0,0.18,negative
1,0,0.33,0.33,0.34,negative
1,0,0.67,0.67,0.09,negative
0.5,0,0.67,0.67,0.38,negative
0.5,0.5,0.33,0.67,0.18,positive
1,0,0.67,1,0.48,positive
0.5,0.25,0.33,1,0.5,negative
0.75,0.25,0.67,0.33,0.39,negative
0.5,0,0.33,0.33,0.23,negative
0.5,0.5,0.33,1,0.29,negative
0.5,0.25,0.67,0.33,0.09,positive
0,0,0.33,0.33,0.11,positive
0.5,0,0.33,0,0.11,negative
0.5,0,0.67,0,0.32,negative
1,0.5,0.67,0.33,0.23,negative
0.25,0,0.33,1,0.29,positive
0.5,1,0.67,0,0.48,negative
1,0,0.67,0,0.11,negative
0.5,0,0.67,1,0.14,positive
1,1,0.67,0.67,0.79,negative
1,1,0.67,0.67,0.38,negative
0.5,0,0.67,1,0.23,negative
1,1,0.67,0.67,0.21,negative
0,0.25,1,0.67,0.21,negative
0,0,0.67,0.67,0.27,positive
0.25,0.75,0.33,0.33,0.09,positive
0.5,0,0.33,0,0.09,positive
0.5,0.5,0.33,0,0.84,negative
0.5,0,0.33,0,0.04,positive
1,0.75,0.33,0,0.39,negative
0.5,0,0.33,0.67,0.11,positive
1,0.5,1,0.33,0.5,negative
0.25,0,0.33,1,0.71,positive
1,0.75,0,0,0.3,negative
0.75,0,0.67,0.67,0.25,negative
0.5,0,0.67,0,0.04,positive
0.5,0,0.33,0,0.45,negative
0.5,0.75,0.33,0.67,0.16,negative
1,0,0.33,0,0.32,negative
0.25,1,0.33,1,0.18,negative
0.5,0,0.33,0.67,0.07,positive
0.5,0.25,0.67,0.67,0.29,negative
1,0,0.67,1,0.46,negative
0,0.25,0.33,0.67,0.13,positive
0.25,0.25,0.67,0.67,0.23,negative
0.5,1,0.67,0.33,0.39,negative
0.25,0.5,0.67,0,0.05,negative
1,1,0.67,0.33,0.2,negative
1,0,0.67,0.33,0.16,negative
0.5,1,0.67,0.67,0.13,negative
0.25,0,0.67,0,0.07,negative
0.5,0,0.33,0.67,0.07,negative
0.5,0,0.33,0,0.32,positive
0.5,0,0.67,0.67,0.25,negative
0.5,0,0.33,0.33,0.54,negative
0.5,0,0.33,0.67,0.07,positive
0.5,0.25,0.33,0,0.07,negative
1,0,0.33,0.67,0.11,negative
0.75,0.75,0.67,1,0.64,positive
0.5,1,0.33,1,0.23,positive
1,0,0.67,0,0.98,negative
1,1,0.67,1,0.36,positive
0.5,0,0.67,0,0.21,negative
1,0,0.67,0.33,0.29,positive
1,1,0.33,0.67,0.71,negative
1,0,0.33,0,0.09,positive
0.5,0,0.67,0.33,0.09,negative
1,1,0.67,1,0.2,positive
1,0.25,1,0.33,0.14,negative
0.5,0,1,0,0.38,negative
0.5,0,0,0.33,0.21,positive
1,0,0.67,0.67,0.16,negative
0.5,1,0.33,0,0.21,negative
1,0,0.67,0,0.79,negative
0.5,1,0.33,0,0.13,negative
1,0,0.33,1,0.11,positive
1,0,0.67,0.67,0.3,negative
1,0.25,0.67,0.33,0.59,negative
1,0.5,0.67,1,0.84,negative
0.5,1,0.33,0,0.11,positive
1,0,0.67,0.67,0.32,negative
0.5,0,0.33,0,0.11,negative
1,0.75,0.67,0.67,0.34,negative
0.5,0,0.33,0.67,0.86,negative
1,0,0.67,0,0.11,positive
1,0.75,0.67,0,0.73,negative
0,0,0.67,0,0.21,negative
0.5,0.25,0.33,0.33,0.07,positive
0.5,1,0,0,0.73,negative
0.5,0.75,0.67,0.33,0.29,negative
0.5,0.5,0.67,0.67,0.38,negative
1,1,0.67,0.67,0.34,negative
0.75,0,0.67,1,0.55,positive
1,0,0.67,1,0.14,positive
0.5,0,0.33,0.33,0.36,positive
0.5,1,0.67,0.67,0.39,negative
1,1,1,0.33,0.14,negative
0.5,0,0,1,0.57,negative
0.5,0.5,0.67,1,0.23,negative
0.5,0.25,0.33,0.33,0.05,negative
0.5,1,0.67,0.33,0.57,positive
1,0,0.33,0.33,0.05,negative
0.75,1,1,0.67,0.63,negative
0.5,1,0.67,0,0.29,negative
1,0,0.67,1,0.63,negative
1,0,0.33,0,0.52,negative
1,0,0.33,0.33,0.09,negative
1,1,0.67,0.67,0.29,negative
0.5,1,0.33,0,0.09,negative
0.5,0,0.67,0.67,0.09,positive
0.5,0,1,0,0.13,negative
1,1,0.67,0,0.82,negative
0.25,0,0.67,1,0.64,negative
0,0,0.33,0,0.13,positive
0.5,0,1,0,0.13,negative
0.5,0,1,0,0.16,negative
1,0,0.67,0.67,0.09,positive
0.5,0,0.67,0.67,0.63,positive
0.5,0,0.67,1,0.48,positive
0.75,0,0.33,0.33,0.63,negative
0.5,0.5,0,0,0.77,negative
1,0,0.33,0.67,0.09,negative
0.5,0,0,0.67,0.43,negative
0.5,0,1,0,0.13,positive
0.5,0,1,0,0.14,negative
0.5,0,1,0.67,0.09,negative
0.5,0,0.67,0.33,0.39,positive
1,0,0.67,0,0.5,negative
1,0,0,0.67,0.29,negative
1,0,1,0.67,0.2,negative
1,0,0.33,0,0.25,positive
0,0,0.67,0.67,0.3,positive
0.5,1,0.67,1,0.5,positive
0.75,1,0.67,1,0.34,negative
0.75,0.5,0.67,0.67,0.45,negative
0.5,0,0.33,0.67,0.07,positive
0,0,0.67,0.67,0.18,positive
0.5,1,0.33,0.67,0.41,negative
0.5,0,0.33,0,0.11,positive
0,0,0.67,0.67,0.52,positive
0.5,1,0.33,0.67,0.04,negative
0.5,0,0.33,0,0.07,negative
1,0,0.67,0.33,0.79,negative
1,0,1,0,0.48,negative
0.5,0,0.67,0.33,0.18,positive
0.75,0,0.67,0,0.16,negative
0.5,0,0.33,0,0.07,positive
0.25,0,0.67,0.67,0.55,negative
0.5,0,0.67,0.33,0.5,negative
0.5,1,0.67,0.67,0.29,negative
0.5,1,0.67,0.67,0.88,positive
0.5,0,1,0,0.16,negative
0.5,0,0.67,0,0.71,negative
0.5,0,0.67,0,0.68,positive
1,0,1,0.33,0.25,positive
1,1,0.67,0.33,0.43,negative
1,0,0.67,1,0.29,negative
0.25,0,0.67,1,0.23,positive
0.75,0,0.67,0.67,0.46,negative
0.5,0.25,1,0,0.25,negative
0.5,1,0.33,0.33,0.38,negative
1,0,0.67,1,0.16,negative
0.5,0,0.33,0.33,0.18,positive
0.5,0.25,0.67,0,0.13,negative
1,0.75,0.67,0,0.14,negative
0.75,0,1,0.67,0.16,positive
0.5,0,0.33,0,0.29,positive
1,0.75,0.67,0,0.23,negative
0.5,0,0.67,0,0.11,positive
0.5,0.5,0.33,0.67,0.02,negative
0.5,0,0.33,0.67,0.14,negative
1,0,0.67,0.33,0.41,negative
0.5,1,0.67,0.33,0.32,negative
0.5,0,0.33,0.33,0.09,negative
0.75,0.5,0.33,0.67,0.38,negative
1,0,0.67,0,0.48,negative
1,0.25,0.67,0,0.13,negative
0.5,1,0.33,0,0.09,negative
0.5,0,0.67,0.33,0.18,negative
1,0.75,0.33,0.67,0.38,negative
0.25,0,0.67,1,0.3,negative
0.5,0,0.67,0.67,0.16,negative
0.5,0,0.67,1,0.14,positive
1,1,0.67,0.33,0.3,negative
0.5,0,0.67,0.67,0.34,negative
0.5,1,0,1,0.52,negative
1,1,0.67,0,0.3,negative
1,0,0.33,0.67,0.82,negative
0.5,0,0,0.67,0.43,positive
0.5,0,0.33,0.33,0.61,positive
1,1,0.67,1,0.27,negative
0.5,0,0.67,0.67,0.07,positive
1,0,0.67,0.67,0.27,negative
0.25,1,0.67,0,0.38,negative
1,0,0.67,0.67,0.43,negative
1,0,0.67,0.67,0.48,negative
1,0,0.67,0.33,0.34,negative
1,0,0.67,0.67,0.27,negative
1,1,0.67,0.33,0.18,negative
0.75,1,0.67,0.67,0.21,negative
0.5,0,0.33,0.33,0.16,negative
1,0.75,0.33,0.33,0.29,negative
0.5,1,0.33,0,0.25,negative
0.5,0,0.67,0.67,0.41,positive
1,0,0.67,0.33,0.43,positive
1,1,0,0,0.45,negative
1,1,0.67,1,0.41,negative
0.5,1,1,0,0.38,negative
0.5,0,0.67,0,0.3,negative
0.5,0,0.67,0,0.02,negative
0.5,1,0.67,0,0.09,negative
0.5,1,1,0.67,0.14,negative
0.5,1,0.33,0,0.25,negative
0.75,0,0.33,0.33,0.48,negative
0.75,0,0.33,0,0.27,negative
1,0,0.33,0.67,0.11,positive
0.5,1,0.33,0.67,0.11,negative
0.5,0.75,0,0,0.16,negative
