Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Shell_weight,Class
I,0.5,0.395,0.14,0.2925,0.1205,0.195,negative
I,0.515,0.4,0.135,0.32,0.1255,0.175,negative
I,0.52,0.395,0.125,0.3005,0.131,0.1905,negative
M,0.525,0.42,0.155,0.428,0.1415,0.2045,negative
I,0.525,0.4,0.125,0.369,0.1385,0.164,negative
I,0.53,0.415,0.13,0.3905,0.111,0.167,negative
I,0.53,0.415,0.11,0.2525,0.1235,0.189,negative
I,0.53,0.425,0.13,0.419,0.1205,0.21,negative
I,0.54,0.42,0.14,0.3205,0.1445,0.229,negative
F,0.545,0.445,0.15,0.3535,0.163,0.207,negative
F,0.55,0.405,0.125,0.2965,0.137,0.2,negative
M,0.55,0.43,0.15,0.413,0.1905,0.248,negative
I,0.55,0.425,0.135,0.3325,0.1545,0.215,negative
M,0.555,0.44,0.14,0.407,0.156,0.255,negative
I,0.555,0.43,0.14,0.341,0.165,0.23,negative
I,0.555,0.425,0.145,0.3485,0.1765,0.225,negative
I,0.56,0.425,0.135,0.3715,0.185,0.236,negative
I,0.56,0.425,0.145,0.3095,0.1305,0.2165,negative
I,0.56,0.455,0.145,0.547,0.1615,0.235,negative
F,0.57,0.46,0.135,0.397,0.2525,0.2655,negative
M,0.57,0.435,0.125,0.383,0.1835,0.275,negative
F,0.575,0.48,0.165,0.511,0.2095,0.306,negative
M,0.585,0.465,0.155,0.4555,0.1965,0.235,negative
I,0.59,0.445,0.135,0.328,0.1745,0.23,negative
M,0.59,0.47,0.18,0.5985,0.227,0.31,negative
F,0.605,0.475,0.175,0.463,0.2195,0.335,negative
I,0.61,0.465,0.15,0.4495,0.1725,0.286,negative
I,0.535,0.4,0.135,0.2895,0.121,0.154,negative
F,0.535,0.41,0.13,0.335,0.144,0.2075,negative
M,0.535,0.435,0.15,0.3475,0.1445,0.194,negative
M,0.615,0.48,0.175,0.446,0.3195,0.3,negative
M,0.625,0.455,0.17,0.4955,0.2345,0.315,negative
F,0.625,0.515,0.16,0.5715,0.326,0.321,negative
F,0.63,0.485,0.17,0.5945,0.345,0.345,negative
F,0.635,0.5,0.165,0.705,0.2645,0.39,negative
F,0.635,0.495,0.175,0.707,0.2725,0.323,negative
M,0.65,0.51,0.19,0.7155,0.3735,0.375,negative
M,0.685,0.545,0.205,0.8145,0.416,0.461,negative
M,0.415,0.315,0.115,0.2015,0.065,0.103,negative
F,0.745,0.57,0.215,1.1565,0.446,0.558,negative
I,0.44,0.365,0.11,0.213,0.089,0.1135,negative
M,0.505,0.385,0.105,0.239,0.1245,0.1555,negative
I,0.47,0.345,0.14,0.229,0.1105,0.116,negative
F,0.505,0.38,0.135,0.361,0.1565,0.161,negative
I,0.53,0.43,0.13,0.346,0.1415,0.189,negative
F,0.545,0.41,0.14,0.3565,0.1775,0.203,negative
M,0.55,0.425,0.16,0.343,0.2035,0.215,negative
F,0.56,0.435,0.15,0.4755,0.1835,0.1835,negative
M,0.575,0.465,0.15,0.595,0.2065,0.238,negative
F,0.58,0.46,0.175,0.65,0.2205,0.3055,negative
F,0.58,0.435,0.14,0.475,0.2165,0.2095,negative
F,0.595,0.455,0.16,0.452,0.2655,0.288,negative
F,0.59,0.465,0.15,0.613,0.239,0.2515,negative
M,0.6,0.465,0.2,0.6405,0.1985,0.357,negative
F,0.605,0.515,0.17,0.6,0.2945,0.3315,negative
F,0.605,0.485,0.16,0.417,0.2875,0.38,negative
M,0.63,0.47,0.145,0.52,0.26,0.276,negative
M,0.62,0.48,0.165,0.4815,0.235,0.312,negative
M,0.63,0.455,0.15,0.481,0.2745,0.305,negative
I,0.465,0.37,0.12,0.188,0.0815,0.147,negative
F,0.64,0.515,0.205,0.6635,0.3345,0.4025,negative
F,0.65,0.5,0.16,0.702,0.304,0.3195,negative
I,0.48,0.37,0.125,0.179,0.1035,0.175,negative
I,0.5,0.375,0.14,0.2375,0.135,0.169,negative
I,0.525,0.39,0.12,0.3115,0.147,0.178,negative
I,0.515,0.36,0.125,0.1815,0.125,0.138,negative
I,0.52,0.41,0.145,0.2965,0.1595,0.165,negative
I,0.53,0.4,0.145,0.1935,0.1305,0.195,negative
M,0.525,0.4,0.155,0.282,0.1605,0.225,negative
I,0.54,0.43,0.17,0.3725,0.1815,0.24,negative
I,0.54,0.425,0.14,0.32,0.1395,0.25,negative
I,0.54,0.43,0.14,0.3935,0.1725,0.2295,negative
I,0.54,0.42,0.14,0.2505,0.1175,0.235,negative
I,0.545,0.4,0.13,0.3285,0.1455,0.18,negative
I,0.55,0.425,0.15,0.269,0.1345,0.217,negative
I,0.555,0.395,0.13,0.222,0.1245,0.17,negative
F,0.565,0.44,0.15,0.435,0.149,0.27,negative
I,0.565,0.42,0.155,0.31,0.186,0.231,negative
M,0.565,0.44,0.125,0.3595,0.1825,0.215,negative
I,0.57,0.435,0.17,0.4,0.166,0.25,negative
M,0.57,0.45,0.14,0.3385,0.148,0.245,negative
I,0.57,0.445,0.155,0.3705,0.1705,0.28,negative
I,0.575,0.45,0.125,0.3275,0.188,0.235,negative
I,0.575,0.445,0.17,0.3475,0.1465,0.25,negative
M,0.575,0.445,0.16,0.4005,0.198,0.239,negative
I,0.58,0.445,0.125,0.303,0.1405,0.235,negative
F,0.6,0.475,0.15,0.575,0.196,0.305,negative
M,0.6,0.48,0.165,0.4135,0.1965,0.2725,negative
M,0.6,0.47,0.165,0.504,0.241,0.275,negative
F,0.605,0.455,0.145,0.468,0.1775,0.275,negative
I,0.605,0.47,0.145,0.379,0.2265,0.22,negative
F,0.605,0.47,0.155,0.393,0.224,0.3345,negative
M,0.61,0.47,0.16,0.449,0.2345,0.2945,negative
I,0.61,0.465,0.125,0.436,0.19,0.26,negative
M,0.615,0.475,0.175,0.6035,0.261,0.311,negative
M,0.61,0.47,0.17,0.5225,0.2405,0.31,negative
I,0.62,0.47,0.14,0.3595,0.16,0.295,negative
F,0.62,0.48,0.175,0.464,0.2225,0.3,negative
M,0.625,0.5,0.17,0.4645,0.22,0.354,negative
I,0.625,0.485,0.15,0.438,0.2865,0.278,negative
M,0.63,0.505,0.17,0.4615,0.266,0.3,negative
M,0.645,0.51,0.19,0.605,0.345,0.48,negative
F,0.635,0.49,0.17,0.5385,0.2665,0.38,negative
M,0.645,0.51,0.16,0.6665,0.309,0.317,negative
F,0.645,0.51,0.16,0.5815,0.276,0.315,negative
M,0.645,0.485,0.15,0.5695,0.2735,0.33,negative
F,0.65,0.495,0.155,0.615,0.3195,0.335,negative
F,0.655,0.51,0.15,0.4795,0.223,0.305,negative
M,0.65,0.51,0.16,0.6385,0.2905,0.3665,negative
M,0.66,0.5,0.165,0.667,0.269,0.341,negative
M,0.665,0.5,0.175,0.6075,0.314,0.315,negative
M,0.5,0.37,0.15,0.494,0.223,0.296,negative
I,0.485,0.345,0.16,0.3085,0.185,0.319,negative
M,0.485,0.37,0.155,0.419,0.2455,0.2365,negative
M,0.515,0.35,0.155,0.4185,0.198,0.273,negative
M,0.57,0.455,0.175,0.4805,0.2145,0.29,negative
F,0.545,0.385,0.15,0.5425,0.2445,0.2845,negative
M,0.625,0.495,0.175,0.5815,0.286,0.3185,negative
M,0.605,0.475,0.175,0.5575,0.3055,0.343,negative
M,0.645,0.5,0.16,0.672,0.326,0.315,negative
F,0.655,0.52,0.2,0.713,0.314,0.466,negative
M,0.6,0.465,0.165,0.4975,0.2205,0.251,negative
F,0.685,0.535,0.175,0.7175,0.3775,0.4215,negative
F,0.72,0.55,0.195,1.0715,0.4265,0.5015,negative
I,0.475,0.34,0.105,0.203,0.08,0.1465,negative
I,0.485,0.37,0.115,0.1885,0.0965,0.15,negative
I,0.5,0.38,0.11,0.28,0.106,0.15,negative
I,0.52,0.415,0.14,0.308,0.1335,0.168,negative
I,0.52,0.395,0.125,0.2445,0.146,0.165,negative
I,0.525,0.415,0.12,0.2805,0.12,0.1695,negative
I,0.525,0.4,0.145,0.248,0.159,0.175,negative
I,0.53,0.395,0.13,0.247,0.115,0.183,negative
I,0.53,0.43,0.16,0.321,0.1275,0.24,negative
I,0.535,0.455,0.14,0.53,0.1765,0.244,negative
I,0.53,0.405,0.12,0.2715,0.148,0.1875,negative
F,0.54,0.425,0.16,0.3675,0.2005,0.295,negative
I,0.545,0.43,0.14,0.2615,0.1405,0.25,negative
I,0.54,0.395,0.135,0.2705,0.155,0.192,negative
I,0.555,0.45,0.175,0.304,0.1755,0.22,negative
M,0.555,0.455,0.135,0.382,0.171,0.235,negative
I,0.56,0.445,0.165,0.3455,0.179,0.279,negative
I,0.565,0.435,0.145,0.3975,0.158,0.255,negative
M,0.565,0.45,0.16,0.415,0.195,0.246,negative
M,0.57,0.44,0.175,0.3805,0.2285,0.283,negative
F,0.57,0.44,0.12,0.382,0.1525,0.234,negative
M,0.575,0.45,0.13,0.318,0.193,0.2265,negative
M,0.575,0.45,0.155,0.495,0.2145,0.235,negative
F,0.575,0.465,0.175,0.4735,0.202,0.35,negative
F,0.575,0.43,0.155,0.3485,0.1925,0.22,negative
F,0.58,0.45,0.195,0.4035,0.173,0.225,negative
M,0.575,0.475,0.145,0.3665,0.173,0.269,negative
M,0.58,0.44,0.16,0.3365,0.2005,0.2485,negative
F,0.605,0.455,0.145,0.334,0.1985,0.3,negative
M,0.615,0.47,0.15,0.4975,0.283,0.2685,negative
M,0.62,0.49,0.15,0.4605,0.302,0.355,negative
M,0.62,0.47,0.15,0.587,0.4405,0.325,negative
M,0.625,0.515,0.17,0.5725,0.3005,0.361,negative
M,0.63,0.49,0.155,0.63,0.246,0.289,negative
M,0.64,0.49,0.155,0.477,0.269,0.34,negative
M,0.655,0.52,0.17,0.53,0.223,0.348,negative
I,0.51,0.455,0.135,0.2875,0.154,0.2035,negative
M,0.505,0.39,0.12,0.3315,0.1385,0.167,negative
I,0.355,0.27,0.105,0.1425,0.0525,0.0735,negative
M,0.525,0.41,0.13,0.3435,0.1495,0.1765,negative
M,0.515,0.4,0.14,0.288,0.145,0.168,negative
F,0.56,0.41,0.16,0.342,0.184,0.253,negative
F,0.53,0.43,0.15,0.325,0.1855,0.196,negative
F,0.53,0.405,0.13,0.2635,0.1565,0.185,negative
M,0.565,0.445,0.145,0.4345,0.212,0.2475,negative
M,0.58,0.46,0.16,0.513,0.2705,0.2625,negative
I,0.44,0.305,0.115,0.162,0.091,0.11,negative
M,0.66,0.515,0.195,0.7345,0.353,0.386,negative
I,0.465,0.355,0.09,0.2005,0.074,0.1275,negative
M,0.5,0.39,0.135,0.361,0.1575,0.2385,negative
F,0.545,0.43,0.16,0.3945,0.1855,0.231,negative
F,0.54,0.42,0.13,0.368,0.1675,0.1845,negative
M,0.55,0.41,0.13,0.4455,0.2115,0.213,negative
F,0.565,0.44,0.135,0.393,0.1735,0.238,negative
M,0.595,0.465,0.15,0.4335,0.1765,0.262,negative
F,0.62,0.49,0.16,0.493,0.244,0.2725,negative
M,0.645,0.495,0.15,0.603,0.2225,0.339,negative
I,0.41,0.31,0.11,0.124,0.082,0.095,negative
M,0.375,0.29,0.1,0.1175,0.0565,0.085,negative
I,0.455,0.355,0.08,0.2165,0.0995,0.125,negative
I,0.475,0.36,0.11,0.177,0.0965,0.145,negative
I,0.455,0.37,0.125,0.201,0.1265,0.145,negative
M,0.585,0.455,0.14,0.462,0.185,0.295,negative
M,0.44,0.35,0.11,0.2,0.0885,0.13,negative
I,0.46,0.35,0.11,0.1685,0.0865,0.125,negative
F,0.56,0.425,0.125,0.361,0.213,0.335,negative
M,0.455,0.35,0.105,0.1575,0.083,0.135,negative
F,0.415,0.325,0.115,0.1405,0.0765,0.11,negative
F,0.55,0.47,0.15,0.377,0.184,0.29,negative
F,0.52,0.4,0.125,0.295,0.1715,0.185,negative
F,0.61,0.45,0.16,0.414,0.311,0.3,negative
M,0.445,0.34,0.12,0.193,0.1035,0.13,negative
M,0.615,0.48,0.19,0.5305,0.2375,0.47,positive
F,0.745,0.585,0.19,0.8435,0.437,0.5855,positive
M,0.66,0.505,0.2,0.4865,0.297,0.61,positive
F,0.55,0.425,0.145,0.297,0.15,0.265,negative
F,0.505,0.4,0.165,0.2675,0.155,0.25,negative
F,0.56,0.445,0.18,0.3575,0.2045,0.295,negative
M,0.46,0.375,0.14,0.192,0.1045,0.205,negative
F,0.47,0.365,0.12,0.2295,0.1495,0.15,negative
M,0.51,0.405,0.13,0.3725,0.158,0.17,negative
F,0.6,0.475,0.18,0.511,0.2675,0.32,positive
M,0.44,0.375,0.13,0.226,0.0965,0.155,negative
I,0.405,0.315,0.105,0.1605,0.0785,0.1,negative
F,0.5,0.395,0.15,0.3235,0.173,0.195,negative
I,0.42,0.33,0.1,0.1635,0.089,0.1,negative
F,0.38,0.3,0.09,0.1545,0.075,0.095,negative
M,0.46,0.375,0.13,0.2505,0.119,0.195,negative
I,0.42,0.345,0.115,0.1515,0.0795,0.115,negative
F,0.565,0.48,0.175,0.3885,0.215,0.275,positive
F,0.515,0.42,0.135,0.2815,0.127,0.215,negative
F,0.45,0.36,0.105,0.2035,0.0935,0.149,negative
M,0.7,0.53,0.19,0.548,0.233,0.42,positive
F,0.66,0.525,0.205,0.5005,0.291,0.41,positive
I,0.42,0.305,0.11,0.094,0.0785,0.0955,negative
M,0.57,0.475,0.195,0.4635,0.1905,0.305,positive
I,0.5,0.395,0.12,0.2165,0.1085,0.1785,negative
M,0.425,0.315,0.125,0.1135,0.0565,0.13,positive
F,0.465,0.35,0.13,0.1945,0.103,0.155,positive
M,0.34,0.255,0.095,0.081,0.034,0.07,negative
F,0.635,0.5,0.18,0.529,0.2485,0.485,positive
I,0.335,0.24,0.095,0.062,0.039,0.055,negative
F,0.345,0.255,0.1,0.071,0.051,0.06,negative
M,0.475,0.355,0.125,0.186,0.107,0.145,negative
M,0.5,0.355,0.14,0.2125,0.149,0.14,negative
F,0.37,0.285,0.105,0.1125,0.0585,0.0835,negative
M,0.395,0.305,0.105,0.0975,0.065,0.096,negative
M,0.425,0.325,0.12,0.142,0.1065,0.105,negative
M,0.645,0.485,0.155,0.5915,0.312,0.38,positive
M,0.4,0.305,0.13,0.096,0.0675,0.105,negative
F,0.33,0.26,0.08,0.0625,0.05,0.07,negative
M,0.525,0.425,0.19,0.4625,0.1725,0.199,negative
M,0.54,0.42,0.12,0.392,0.1455,0.2235,negative
F,0.565,0.44,0.15,0.4475,0.2355,0.2485,negative
M,0.59,0.455,0.16,0.5,0.2215,0.292,negative
F,0.6,0.475,0.135,0.5885,0.191,0.3175,negative
M,0.59,0.48,0.16,0.5685,0.2725,0.335,negative
F,0.6,0.485,0.165,0.587,0.2175,0.288,negative
F,0.69,0.55,0.18,0.8715,0.2655,0.4395,negative
M,0.465,0.34,0.105,0.231,0.1035,0.1225,negative
M,0.515,0.395,0.12,0.285,0.1365,0.172,negative
F,0.595,0.47,0.155,0.542,0.269,0.31,negative
M,0.6,0.46,0.15,0.5335,0.2735,0.29,negative
F,0.57,0.445,0.15,0.504,0.185,0.2505,negative
M,0.54,0.435,0.14,0.33,0.1595,0.213,negative
F,0.62,0.51,0.175,0.5415,0.323,0.3225,negative
F,0.595,0.465,0.15,0.491,0.22,0.287,negative
F,0.625,0.49,0.165,0.477,0.2365,0.3185,negative
F,0.62,0.475,0.16,0.6865,0.233,0.3275,negative
F,0.63,0.495,0.145,0.5455,0.266,0.2885,negative
M,0.645,0.49,0.16,0.5355,0.3345,0.3165,negative
F,0.65,0.5,0.185,0.741,0.2955,0.341,negative
M,0.67,0.52,0.19,0.8115,0.369,0.391,negative
M,0.5,0.38,0.12,0.273,0.135,0.145,negative
I,0.515,0.4,0.125,0.265,0.1175,0.168,negative
I,0.52,0.395,0.135,0.2985,0.1295,0.175,negative
F,0.545,0.43,0.14,0.4355,0.17,0.201,negative
F,0.545,0.4,0.14,0.368,0.215,0.18,negative
M,0.565,0.43,0.13,0.3495,0.1885,0.213,negative
F,0.57,0.45,0.18,0.4015,0.217,0.255,negative
M,0.57,0.45,0.135,0.546,0.204,0.25,negative
F,0.57,0.43,0.16,0.3875,0.159,0.2285,negative
M,0.59,0.46,0.14,0.496,0.2165,0.26,negative
M,0.595,0.47,0.165,0.4915,0.2325,0.3345,negative
M,0.595,0.46,0.14,0.4215,0.2255,0.227,negative
F,0.615,0.475,0.17,0.543,0.246,0.2345,negative
F,0.615,0.47,0.155,0.5885,0.209,0.246,negative
M,0.62,0.49,0.155,0.505,0.2475,0.31,negative
F,0.625,0.49,0.155,0.484,0.277,0.3095,negative
M,0.645,0.48,0.15,0.6055,0.2595,0.285,negative
