Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Class
I,0.47,0.36,0.13,0.198,0.1065,negative
M,0.36,0.295,0.1,0.066,0.0525,negative
M,0.45,0.34,0.13,0.1605,0.0795,negative
M,0.48,0.375,0.145,0.216,0.13,negative
F,0.475,0.36,0.125,0.1695,0.081,negative
I,0.58,0.49,0.195,0.5305,0.254,positive
I,0.65,0.525,0.18,0.597,0.3445,positive
M,0.35,0.255,0.08,0.08,0.0385,negative
F,0.445,0.33,0.105,0.18,0.103,negative
M,0.38,0.29,0.12,0.1175,0.0655,negative
M,0.4,0.3,0.125,0.191,0.09,negative
M,0.52,0.385,0.14,0.2485,0.2035,negative
M,0.525,0.425,0.12,0.2825,0.176,positive
M,0.345,0.27,0.095,0.0665,0.05,negative
M,0.455,0.34,0.135,0.1675,0.158,negative
F,0.515,0.39,0.13,0.1975,0.13,negative
F,0.505,0.39,0.16,0.2475,0.2025,negative
M,0.47,0.37,0.18,0.1915,0.1285,negative
M,0.44,0.335,0.11,0.157,0.096,negative
M,0.425,0.33,0.13,0.152,0.0935,negative
I,0.44,0.365,0.115,0.2435,0.084,negative
I,0.485,0.355,0.105,0.2175,0.096,negative
I,0.475,0.365,0.125,0.229,0.1185,negative
F,0.495,0.41,0.125,0.3355,0.129,negative
M,0.5,0.4,0.125,0.27,0.1275,negative
M,0.54,0.405,0.125,0.4815,0.1915,negative
M,0.555,0.435,0.145,0.4985,0.168,negative
M,0.57,0.455,0.15,0.3895,0.2155,negative
F,0.575,0.465,0.14,0.442,0.1815,negative
M,0.59,0.475,0.165,0.4545,0.244,negative
M,0.605,0.455,0.16,0.421,0.3015,negative
M,0.615,0.51,0.15,0.545,0.3315,negative
M,0.62,0.5,0.165,0.6355,0.2545,negative
M,0.635,0.51,0.17,0.619,0.305,negative
F,0.635,0.485,0.165,0.668,0.2605,negative
M,0.655,0.52,0.165,0.586,0.291,negative
F,0.675,0.525,0.155,0.628,0.3405,negative
M,0.475,0.37,0.125,0.222,0.1215,negative
F,0.505,0.39,0.13,0.3165,0.141,negative
M,0.505,0.41,0.125,0.289,0.133,negative
F,0.55,0.445,0.155,0.544,0.178,negative
F,0.55,0.43,0.14,0.368,0.161,negative
F,0.56,0.455,0.16,0.4525,0.207,negative
M,0.575,0.475,0.16,0.4955,0.2745,negative
F,0.575,0.46,0.16,0.538,0.221,negative
M,0.58,0.49,0.13,0.586,0.2565,negative
M,0.595,0.475,0.165,0.621,0.2435,negative
M,0.595,0.455,0.15,0.518,0.2205,negative
F,0.595,0.46,0.14,0.4655,0.2095,negative
F,0.605,0.49,0.15,0.5265,0.2645,negative
M,0.605,0.475,0.155,0.572,0.2455,negative
F,0.625,0.5,0.165,0.573,0.3035,negative
F,0.625,0.485,0.2,0.5845,0.302,negative
M,0.65,0.495,0.16,0.57,0.312,negative
M,0.66,0.535,0.19,0.6425,0.297,negative
F,0.655,0.46,0.16,0.6895,0.331,negative
I,0.51,0.4,0.125,0.2615,0.1195,negative
I,0.5,0.375,0.12,0.215,0.116,negative
M,0.52,0.4,0.145,0.3525,0.1845,negative
I,0.525,0.4,0.14,0.2625,0.1285,negative
M,0.525,0.405,0.12,0.3755,0.1555,negative
I,0.535,0.39,0.125,0.2595,0.149,negative
M,0.545,0.41,0.12,0.434,0.1405,negative
M,0.545,0.415,0.14,0.4615,0.127,negative
M,0.56,0.43,0.145,0.464,0.1775,negative
M,0.565,0.455,0.15,0.4565,0.2395,negative
F,0.565,0.45,0.175,0.447,0.2375,negative
M,0.57,0.46,0.15,0.5415,0.2035,negative
M,0.575,0.435,0.14,0.401,0.191,negative
F,0.575,0.47,0.165,0.435,0.197,negative
M,0.575,0.455,0.135,0.4245,0.197,negative
M,0.575,0.445,0.17,0.549,0.2175,negative
M,0.575,0.445,0.145,0.415,0.1945,negative
M,0.58,0.445,0.135,0.3775,0.1915,negative
M,0.58,0.455,0.195,0.945,0.426,negative
M,0.58,0.45,0.14,0.486,0.1815,negative
F,0.58,0.45,0.155,0.385,0.246,negative
M,0.585,0.46,0.145,0.478,0.1825,negative
F,0.6,0.475,0.16,0.485,0.2495,negative
F,0.605,0.47,0.165,0.611,0.2275,negative
M,0.605,0.475,0.14,0.555,0.257,negative
F,0.605,0.475,0.165,0.433,0.2195,negative
M,0.61,0.485,0.145,0.783,0.2255,negative
M,0.61,0.47,0.165,0.498,0.242,negative
F,0.615,0.465,0.15,0.4615,0.1825,negative
F,0.615,0.475,0.155,0.447,0.25,negative
F,0.625,0.485,0.175,0.7335,0.2715,negative
F,0.635,0.495,0.015,0.5115,0.308,negative
F,0.65,0.5,0.19,0.6415,0.339,negative
F,0.67,0.505,0.205,0.6075,0.3025,negative
I,0.665,0.5,0.17,0.6035,0.291,negative
F,0.69,0.54,0.155,0.624,0.3105,negative
F,0.69,0.53,0.17,0.7945,0.3485,negative
M,0.7,0.565,0.18,0.895,0.3355,negative
F,0.705,0.55,0.17,0.6395,0.236,negative
F,0.7,0.525,0.19,0.8545,0.307,negative
I,0.44,0.34,0.12,0.2115,0.083,negative
I,0.45,0.33,0.105,0.208,0.089,negative
I,0.385,0.29,0.09,0.111,0.0595,negative
I,0.46,0.35,0.105,0.1575,0.077,negative
I,0.48,0.37,0.125,0.244,0.101,negative
I,0.5,0.38,0.135,0.2945,0.104,negative
M,0.5,0.42,0.135,0.302,0.1415,negative
I,0.5,0.375,0.145,0.239,0.1375,negative
I,0.5,0.41,0.14,0.2585,0.1625,negative
I,0.5,0.395,0.14,0.2925,0.1205,negative
I,0.515,0.4,0.135,0.32,0.1255,negative
I,0.52,0.395,0.125,0.3005,0.131,negative
M,0.525,0.42,0.155,0.428,0.1415,negative
I,0.525,0.4,0.125,0.369,0.1385,negative
I,0.53,0.415,0.13,0.3905,0.111,negative
I,0.53,0.415,0.11,0.2525,0.1235,negative
I,0.53,0.425,0.13,0.419,0.1205,negative
I,0.54,0.42,0.14,0.3205,0.1445,negative
F,0.545,0.445,0.15,0.3535,0.163,negative
F,0.55,0.405,0.125,0.2965,0.137,negative
M,0.55,0.43,0.15,0.413,0.1905,negative
I,0.55,0.425,0.135,0.3325,0.1545,negative
M,0.555,0.44,0.14,0.407,0.156,negative
I,0.555,0.43,0.14,0.341,0.165,negative
I,0.555,0.425,0.145,0.3485,0.1765,negative
I,0.56,0.425,0.135,0.3715,0.185,negative
I,0.56,0.425,0.145,0.3095,0.1305,negative
I,0.56,0.455,0.145,0.547,0.1615,negative
F,0.57,0.46,0.135,0.397,0.2525,negative
M,0.57,0.435,0.125,0.383,0.1835,negative
F,0.575,0.48,0.165,0.511,0.2095,negative
M,0.585,0.465,0.155,0.4555,0.1965,negative
I,0.59,0.445,0.135,0.328,0.1745,negative
M,0.59,0.47,0.18,0.5985,0.227,negative
F,0.605,0.475,0.175,0.463,0.2195,negative
I,0.61,0.465,0.15,0.4495,0.1725,negative
I,0.535,0.4,0.135,0.2895,0.121,negative
F,0.535,0.41,0.13,0.335,0.144,negative
M,0.535,0.435,0.15,0.3475,0.1445,negative
M,0.615,0.48,0.175,0.446,0.3195,negative
M,0.625,0.455,0.17,0.4955,0.2345,negative
F,0.625,0.515,0.16,0.5715,0.326,negative
F,0.63,0.485,0.17,0.5945,0.345,negative
F,0.635,0.5,0.165,0.705,0.2645,negative
F,0.635,0.495,0.175,0.707,0.2725,negative
M,0.65,0.51,0.19,0.7155,0.3735,negative
M,0.685,0.545,0.205,0.8145,0.416,negative
M,0.415,0.315,0.115,0.2015,0.065,negative
F,0.745,0.57,0.215,1.1565,0.446,negative
I,0.44,0.365,0.11,0.213,0.089,negative
M,0.505,0.385,0.105,0.239,0.1245,negative
I,0.47,0.345,0.14,0.229,0.1105,negative
F,0.505,0.38,0.135,0.361,0.1565,negative
I,0.53,0.43,0.13,0.346,0.1415,negative
F,0.545,0.41,0.14,0.3565,0.1775,negative
M,0.55,0.425,0.16,0.343,0.2035,negative
F,0.56,0.435,0.15,0.4755,0.1835,negative
M,0.575,0.465,0.15,0.595,0.2065,negative
F,0.58,0.46,0.175,0.65,0.2205,negative
F,0.58,0.435,0.14,0.475,0.2165,negative
F,0.595,0.455,0.16,0.452,0.2655,negative
F,0.59,0.465,0.15,0.613,0.239,negative
M,0.6,0.465,0.2,0.6405,0.1985,negative
F,0.605,0.515,0.17,0.6,0.2945,negative
F,0.605,0.485,0.16,0.417,0.2875,negative
M,0.63,0.47,0.145,0.52,0.26,negative
M,0.62,0.48,0.165,0.4815,0.235,negative
M,0.63,0.455,0.15,0.481,0.2745,negative
I,0.465,0.37,0.12,0.188,0.0815,negative
F,0.64,0.515,0.205,0.6635,0.3345,negative
F,0.65,0.5,0.16,0.702,0.304,negative
I,0.48,0.37,0.125,0.179,0.1035,negative
I,0.5,0.375,0.14,0.2375,0.135,negative
I,0.525,0.39,0.12,0.3115,0.147,negative
I,0.515,0.36,0.125,0.1815,0.125,negative
I,0.52,0.41,0.145,0.2965,0.1595,negative
I,0.53,0.4,0.145,0.1935,0.1305,negative
M,0.525,0.4,0.155,0.282,0.1605,negative
I,0.54,0.43,0.17,0.3725,0.1815,negative
I,0.54,0.425,0.14,0.32,0.1395,negative
I,0.54,0.43,0.14,0.3935,0.1725,negative
I,0.54,0.42,0.14,0.2505,0.1175,negative
I,0.545,0.4,0.13,0.3285,0.1455,negative
I,0.55,0.425,0.15,0.269,0.1345,negative
I,0.555,0.395,0.13,0.222,0.1245,negative
F,0.565,0.44,0.15,0.435,0.149,negative
I,0.565,0.42,0.155,0.31,0.186,negative
M,0.565,0.44,0.125,0.3595,0.1825,negative
I,0.57,0.435,0.17,0.4,0.166,negative
M,0.57,0.45,0.14,0.3385,0.148,negative
I,0.57,0.445,0.155,0.3705,0.1705,negative
I,0.575,0.45,0.125,0.3275,0.188,negative
I,0.575,0.445,0.17,0.3475,0.1465,negative
M,0.575,0.445,0.16,0.4005,0.198,negative
I,0.58,0.445,0.125,0.303,0.1405,negative
F,0.6,0.475,0.15,0.575,0.196,negative
M,0.6,0.48,0.165,0.4135,0.1965,negative
M,0.6,0.47,0.165,0.504,0.241,negative
F,0.605,0.455,0.145,0.468,0.1775,negative
I,0.605,0.47,0.145,0.379,0.2265,negative
F,0.605,0.47,0.155,0.393,0.224,negative
M,0.61,0.47,0.16,0.449,0.2345,negative
I,0.61,0.465,0.125,0.436,0.19,negative
M,0.615,0.475,0.175,0.6035,0.261,negative
M,0.61,0.47,0.17,0.5225,0.2405,negative
I,0.62,0.47,0.14,0.3595,0.16,negative
F,0.62,0.48,0.175,0.464,0.2225,negative
M,0.625,0.5,0.17,0.4645,0.22,negative
I,0.625,0.485,0.15,0.438,0.2865,negative
M,0.63,0.505,0.17,0.4615,0.266,negative
M,0.645,0.51,0.19,0.605,0.345,negative
F,0.635,0.49,0.17,0.5385,0.2665,negative
M,0.645,0.51,0.16,0.6665,0.309,negative
F,0.645,0.51,0.16,0.5815,0.276,negative
M,0.645,0.485,0.15,0.5695,0.2735,negative
F,0.65,0.495,0.155,0.615,0.3195,negative
F,0.655,0.51,0.15,0.4795,0.223,negative
M,0.65,0.51,0.16,0.6385,0.2905,negative
M,0.66,0.5,0.165,0.667,0.269,negative
M,0.665,0.5,0.175,0.6075,0.314,negative
M,0.5,0.37,0.15,0.494,0.223,negative
I,0.485,0.345,0.16,0.3085,0.185,negative
M,0.485,0.37,0.155,0.419,0.2455,negative
M,0.515,0.35,0.155,0.4185,0.198,negative
M,0.57,0.455,0.175,0.4805,0.2145,negative
F,0.545,0.385,0.15,0.5425,0.2445,negative
M,0.625,0.495,0.175,0.5815,0.286,negative
M,0.605,0.475,0.175,0.5575,0.3055,negative
M,0.645,0.5,0.16,0.672,0.326,negative
F,0.655,0.52,0.2,0.713,0.314,negative
M,0.6,0.465,0.165,0.4975,0.2205,negative
F,0.685,0.535,0.175,0.7175,0.3775,negative
F,0.72,0.55,0.195,1.0715,0.4265,negative
I,0.475,0.34,0.105,0.203,0.08,negative
I,0.485,0.37,0.115,0.1885,0.0965,negative
I,0.5,0.38,0.11,0.28,0.106,negative
I,0.52,0.415,0.14,0.308,0.1335,negative
I,0.52,0.395,0.125,0.2445,0.146,negative
I,0.525,0.415,0.12,0.2805,0.12,negative
I,0.525,0.4,0.145,0.248,0.159,negative
I,0.53,0.395,0.13,0.247,0.115,negative
I,0.53,0.43,0.16,0.321,0.1275,negative
I,0.535,0.455,0.14,0.53,0.1765,negative
I,0.53,0.405,0.12,0.2715,0.148,negative
F,0.54,0.425,0.16,0.3675,0.2005,negative
I,0.545,0.43,0.14,0.2615,0.1405,negative
I,0.54,0.395,0.135,0.2705,0.155,negative
I,0.555,0.45,0.175,0.304,0.1755,negative
M,0.555,0.455,0.135,0.382,0.171,negative
I,0.56,0.445,0.165,0.3455,0.179,negative
I,0.565,0.435,0.145,0.3975,0.158,negative
M,0.565,0.45,0.16,0.415,0.195,negative
M,0.57,0.44,0.175,0.3805,0.2285,negative
F,0.57,0.44,0.12,0.382,0.1525,negative
M,0.575,0.45,0.13,0.318,0.193,negative
M,0.575,0.45,0.155,0.495,0.2145,negative
F,0.575,0.465,0.175,0.4735,0.202,negative
F,0.575,0.43,0.155,0.3485,0.1925,negative
F,0.58,0.45,0.195,0.4035,0.173,negative
M,0.575,0.475,0.145,0.3665,0.173,negative
M,0.58,0.44,0.16,0.3365,0.2005,negative
F,0.605,0.455,0.145,0.334,0.1985,negative
M,0.615,0.47,0.15,0.4975,0.283,negative
M,0.62,0.49,0.15,0.4605,0.302,negative
M,0.62,0.47,0.15,0.587,0.4405,negative
M,0.625,0.515,0.17,0.5725,0.3005,negative
M,0.63,0.49,0.155,0.63,0.246,negative
M,0.64,0.49,0.155,0.477,0.269,negative
M,0.655,0.52,0.17,0.53,0.223,negative
I,0.51,0.455,0.135,0.2875,0.154,negative
M,0.505,0.39,0.12,0.3315,0.1385,negative
I,0.355,0.27,0.105,0.1425,0.0525,negative
M,0.525,0.41,0.13,0.3435,0.1495,negative
M,0.515,0.4,0.14,0.288,0.145,negative
F,0.56,0.41,0.16,0.342,0.184,negative
F,0.53,0.43,0.15,0.325,0.1855,negative
F,0.53,0.405,0.13,0.2635,0.1565,negative
M,0.565,0.445,0.145,0.4345,0.212,negative
M,0.58,0.46,0.16,0.513,0.2705,negative
I,0.44,0.305,0.115,0.162,0.091,negative
M,0.66,0.515,0.195,0.7345,0.353,negative
I,0.465,0.355,0.09,0.2005,0.074,negative
M,0.5,0.39,0.135,0.361,0.1575,negative
F,0.545,0.43,0.16,0.3945,0.1855,negative
F,0.54,0.42,0.13,0.368,0.1675,negative
M,0.55,0.41,0.13,0.4455,0.2115,negative
F,0.565,0.44,0.135,0.393,0.1735,negative
M,0.595,0.465,0.15,0.4335,0.1765,negative
F,0.62,0.49,0.16,0.493,0.244,negative
M,0.645,0.495,0.15,0.603,0.2225,negative
I,0.41,0.31,0.11,0.124,0.082,negative
M,0.375,0.29,0.1,0.1175,0.0565,negative
I,0.455,0.355,0.08,0.2165,0.0995,negative
I,0.475,0.36,0.11,0.177,0.0965,negative
I,0.455,0.37,0.125,0.201,0.1265,negative
M,0.585,0.455,0.14,0.462,0.185,negative
M,0.44,0.35,0.11,0.2,0.0885,negative
I,0.46,0.35,0.11,0.1685,0.0865,negative
F,0.56,0.425,0.125,0.361,0.213,negative
M,0.455,0.35,0.105,0.1575,0.083,negative
F,0.415,0.325,0.115,0.1405,0.0765,negative
F,0.55,0.47,0.15,0.377,0.184,negative
F,0.52,0.4,0.125,0.295,0.1715,negative
F,0.61,0.45,0.16,0.414,0.311,negative
M,0.445,0.34,0.12,0.193,0.1035,negative
M,0.615,0.48,0.19,0.5305,0.2375,positive
F,0.745,0.585,0.19,0.8435,0.437,positive
M,0.66,0.505,0.2,0.4865,0.297,positive
F,0.55,0.425,0.145,0.297,0.15,negative
F,0.505,0.4,0.165,0.2675,0.155,negative
F,0.56,0.445,0.18,0.3575,0.2045,negative
M,0.46,0.375,0.14,0.192,0.1045,negative
F,0.47,0.365,0.12,0.2295,0.1495,negative
M,0.51,0.405,0.13,0.3725,0.158,negative
F,0.6,0.475,0.18,0.511,0.2675,positive
M,0.44,0.375,0.13,0.226,0.0965,negative
I,0.405,0.315,0.105,0.1605,0.0785,negative
F,0.5,0.395,0.15,0.3235,0.173,negative
I,0.42,0.33,0.1,0.1635,0.089,negative
F,0.38,0.3,0.09,0.1545,0.075,negative
M,0.46,0.375,0.13,0.2505,0.119,negative
I,0.42,0.345,0.115,0.1515,0.0795,negative
F,0.565,0.48,0.175,0.3885,0.215,positive
F,0.515,0.42,0.135,0.2815,0.127,negative
F,0.45,0.36,0.105,0.2035,0.0935,negative
M,0.7,0.53,0.19,0.548,0.233,positive
F,0.66,0.525,0.205,0.5005,0.291,positive
I,0.42,0.305,0.11,0.094,0.0785,negative
M,0.57,0.475,0.195,0.4635,0.1905,positive
I,0.5,0.395,0.12,0.2165,0.1085,negative
M,0.425,0.315,0.125,0.1135,0.0565,positive
F,0.465,0.35,0.13,0.1945,0.103,positive
M,0.34,0.255,0.095,0.081,0.034,negative
F,0.635,0.5,0.18,0.529,0.2485,positive
I,0.335,0.24,0.095,0.062,0.039,negative
F,0.345,0.255,0.1,0.071,0.051,negative
M,0.475,0.355,0.125,0.186,0.107,negative
M,0.5,0.355,0.14,0.2125,0.149,negative
F,0.37,0.285,0.105,0.1125,0.0585,negative
M,0.395,0.305,0.105,0.0975,0.065,negative
M,0.425,0.325,0.12,0.142,0.1065,negative
M,0.645,0.485,0.155,0.5915,0.312,positive
M,0.4,0.305,0.13,0.096,0.0675,negative
F,0.33,0.26,0.08,0.0625,0.05,negative
M,0.525,0.425,0.19,0.4625,0.1725,negative
M,0.54,0.42,0.12,0.392,0.1455,negative
F,0.565,0.44,0.15,0.4475,0.2355,negative
M,0.59,0.455,0.16,0.5,0.2215,negative
F,0.6,0.475,0.135,0.5885,0.191,negative
M,0.59,0.48,0.16,0.5685,0.2725,negative
F,0.6,0.485,0.165,0.587,0.2175,negative
F,0.69,0.55,0.18,0.8715,0.2655,negative
M,0.465,0.34,0.105,0.231,0.1035,negative
M,0.515,0.395,0.12,0.285,0.1365,negative
F,0.595,0.47,0.155,0.542,0.269,negative
M,0.6,0.46,0.15,0.5335,0.2735,negative
F,0.57,0.445,0.15,0.504,0.185,negative
M,0.54,0.435,0.14,0.33,0.1595,negative
F,0.62,0.51,0.175,0.5415,0.323,negative
F,0.595,0.465,0.15,0.491,0.22,negative
F,0.625,0.49,0.165,0.477,0.2365,negative
F,0.62,0.475,0.16,0.6865,0.233,negative
F,0.63,0.495,0.145,0.5455,0.266,negative
M,0.645,0.49,0.16,0.5355,0.3345,negative
F,0.65,0.5,0.185,0.741,0.2955,negative
M,0.67,0.52,0.19,0.8115,0.369,negative
M,0.5,0.38,0.12,0.273,0.135,negative
I,0.515,0.4,0.125,0.265,0.1175,negative
I,0.52,0.395,0.135,0.2985,0.1295,negative
F,0.545,0.43,0.14,0.4355,0.17,negative
F,0.545,0.4,0.14,0.368,0.215,negative
M,0.565,0.43,0.13,0.3495,0.1885,negative
F,0.57,0.45,0.18,0.4015,0.217,negative
M,0.57,0.45,0.135,0.546,0.204,negative
F,0.57,0.43,0.16,0.3875,0.159,negative
M,0.59,0.46,0.14,0.496,0.2165,negative
M,0.595,0.47,0.165,0.4915,0.2325,negative
M,0.595,0.46,0.14,0.4215,0.2255,negative
F,0.615,0.475,0.17,0.543,0.246,negative
F,0.615,0.47,0.155,0.5885,0.209,negative
M,0.62,0.49,0.155,0.505,0.2475,negative
F,0.625,0.49,0.155,0.484,0.277,negative
M,0.645,0.48,0.15,0.6055,0.2595,negative
M,0.645,0.515,0.16,0.506,0.311,negative
F,0.645,0.52,0.18,0.5775,0.352,negative
M,0.65,0.515,0.125,0.5235,0.283,negative
M,0.65,0.52,0.175,0.615,0.2775,negative
M,0.65,0.51,0.155,0.7215,0.298,negative
F,0.65,0.49,0.155,0.545,0.228,negative
F,0.665,0.505,0.165,0.5985,0.3175,negative
M,0.725,0.55,0.2,0.8735,0.4265,negative
I,0.445,0.36,0.11,0.182,0.0765,negative
I,0.505,0.385,0.125,0.245,0.097,negative
I,0.505,0.38,0.135,0.2645,0.095,negative
F,0.515,0.395,0.135,0.2015,0.132,negative
I,0.525,0.375,0.12,0.3045,0.114,negative
I,0.55,0.42,0.155,0.495,0.1805,negative
I,0.55,0.465,0.15,0.481,0.174,negative
F,0.575,0.435,0.155,0.4115,0.2325,negative
F,0.58,0.425,0.15,0.3645,0.185,negative
I,0.585,0.42,0.145,0.2895,0.1345,negative
M,0.6,0.45,0.145,0.4325,0.155,negative
M,0.59,0.47,0.145,0.4545,0.173,negative
M,0.65,0.52,0.155,0.6185,0.288,negative
M,0.6,0.51,0.185,0.6095,0.2745,negative
F,0.62,0.465,0.14,0.6005,0.2195,negative
F,0.66,0.505,0.19,0.6255,0.3375,negative
F,0.675,0.525,0.17,0.8365,0.352,negative
F,0.705,0.54,0.205,0.8265,0.417,negative
M,0.725,0.57,0.19,1.253,0.541,negative
M,0.5,0.365,0.13,0.309,0.1085,negative
M,0.52,0.4,0.105,0.4515,0.1615,negative
F,0.525,0.43,0.135,0.4325,0.18,negative
F,0.54,0.42,0.14,0.38,0.1805,negative
F,0.54,0.415,0.15,0.3875,0.1875,negative
M,0.59,0.47,0.155,0.6245,0.233,negative
M,0.59,0.485,0.155,0.4535,0.2435,negative
M,0.595,0.435,0.16,0.4255,0.224,negative
F,0.625,0.485,0.16,0.591,0.259,negative
M,0.58,0.445,0.16,0.49,0.201,negative
M,0.6,0.475,0.175,0.5105,0.256,negative
F,0.645,0.49,0.16,0.4935,0.3155,negative
I,0.46,0.36,0.14,0.161,0.087,negative
I,0.505,0.425,0.125,0.245,0.1375,negative
I,0.5,0.39,0.13,0.2115,0.104,negative
I,0.51,0.4,0.145,0.231,0.143,negative
F,0.55,0.435,0.14,0.347,0.174,negative
I,0.56,0.435,0.13,0.354,0.173,negative
I,0.575,0.455,0.16,0.495,0.195,negative
F,0.58,0.45,0.17,0.4615,0.232,negative
F,0.58,0.45,0.15,0.393,0.212,negative
I,0.585,0.45,0.135,0.3795,0.187,negative
M,0.59,0.5,0.15,0.485,0.265,negative
I,0.59,0.46,0.125,0.334,0.15,negative
F,0.6,0.45,0.15,0.4375,0.2225,negative
I,0.6,0.445,0.135,0.445,0.2035,negative
M,0.605,0.49,0.18,0.457,0.29,negative
F,0.615,0.515,0.135,0.545,0.2305,negative
F,0.62,0.475,0.15,0.455,0.1865,negative
M,0.63,0.53,0.18,0.618,0.256,negative
I,0.67,0.485,0.175,0.5355,0.322,negative
M,0.67,0.525,0.17,0.715,0.3025,negative
M,0.67,0.525,0.195,0.6595,0.2675,negative
F,0.51,0.37,0.21,0.508,0.292,negative
M,0.555,0.425,0.15,0.4625,0.1845,negative
M,0.56,0.425,0.135,0.509,0.2015,negative
F,0.59,0.44,0.14,0.4775,0.2105,negative
F,0.625,0.49,0.11,0.5265,0.1915,negative
M,0.61,0.475,0.175,0.409,0.261,negative
M,0.64,0.485,0.16,0.456,0.2245,negative
M,0.61,0.485,0.17,0.597,0.3035,negative
F,0.635,0.51,0.17,0.532,0.271,negative
I,0.44,0.32,0.105,0.1755,0.074,negative
I,0.455,0.355,0.105,0.138,0.0765,negative
I,0.475,0.375,0.11,0.182,0.099,negative
I,0.535,0.42,0.145,0.273,0.1515,negative
M,0.56,0.45,0.145,0.3885,0.2095,negative
I,0.565,0.44,0.135,0.3305,0.1385,negative
