Diameter,Whole_weight,Shell_weight,Class
0.345,0.3865,0.148,negative
0.355,0.433,0.152,negative
0.24,0.17,0.049,negative
0.17,0.0515,0.0195,negative
0.225,0.1295,0.044,negative
0.255,0.169,0.054,negative
0.38,0.673,0.195,negative
0.385,0.498,0.17,negative
0.385,0.6785,0.195,negative
0.36,0.498,0.14,negative
0.405,0.658,0.225,negative
0.335,0.322,0.125,negative
0.305,0.2815,0.09,negative
0.415,0.944,0.265,negative
0.265,0.1835,0.065,negative
0.365,0.49,0.1335,negative
0.36,0.5225,0.165,negative
0.34,0.391,0.1405,negative
0.365,0.467,0.158,negative
0.295,0.2105,0.075,negative
0.265,0.168,0.063,negative
0.235,0.258,0.08,negative
0.26,0.1905,0.055,negative
0.345,0.487,0.16,negative
0.4,0.5735,0.195,negative
0.24,0.173,0.05,negative
0.485,1.1785,0.39,negative
0.45,0.9,0.315,positive
0.255,0.1875,0.06,negative
0.34,0.3715,0.105,negative
0.33,0.347,0.105,negative
0.215,0.1145,0.035,negative
0.375,0.777,0.17,negative
0.35,0.4885,0.155,negative
0.18,0.079,0.025,negative
0.245,0.1665,0.06,negative
0.35,0.466,0.145,negative
0.36,0.447,0.14,negative
0.225,0.1345,0.05,negative
0.28,0.2305,0.075,negative
0.215,0.129,0.04,negative
0.515,1.14,0.42,negative
0.435,0.97,0.295,negative
0.49,1.3165,0.41,negative
0.525,1.626,0.53,negative
0.475,0.9585,0.33,negative
0.45,0.781,0.295,negative
0.305,0.281,0.09,negative
0.34,0.3675,0.12,negative
0.355,0.412,0.16,positive
0.35,0.4835,0.16,negative
0.295,0.2245,0.08,negative
0.38,0.605,0.18,negative
0.425,0.9175,0.335,negative
0.35,0.5425,0.175,negative
0.385,0.6175,0.215,negative
0.38,0.655,0.205,negative
0.41,0.8115,0.24,positive
0.39,0.573,0.17,negative
0.385,0.7865,0.24,negative
0.395,0.64,0.245,negative
0.375,0.5945,0.19,negative
0.415,0.74,0.245,negative
0.38,0.8165,0.265,negative
0.275,0.2225,0.08,negative
0.275,0.2295,0.07,negative
0.325,0.3915,0.12,negative
0.37,0.5725,0.175,negative
0.405,0.8345,0.29,negative
0.4,0.6515,0.185,negative
0.4,0.8045,0.21,negative
0.44,0.909,0.255,negative
0.405,0.927,0.345,negative
0.4,0.7305,0.195,negative
0.44,0.9555,0.295,negative
0.375,0.636,0.19,negative
0.19,0.0865,0.025,negative
0.325,0.3865,0.11,negative
0.29,0.283,0.085,negative
0.23,0.1285,0.04,negative
0.11,0.019,0.005,negative
0.105,0.0175,0.005,negative
0.205,0.1165,0.03,negative
0.335,0.444,0.14,negative
0.315,0.3515,0.1195,negative
0.285,0.2905,0.0875,negative
0.385,0.536,0.173,negative
0.33,0.4525,0.123,negative
0.3,0.417,0.1175,negative
0.295,0.316,0.1105,negative
0.325,0.417,0.144,negative
0.25,0.203,0.0795,negative
0.26,0.207,0.0765,negative
0.295,0.2765,0.1005,negative
0.225,0.1105,0.032,negative
0.25,0.176,0.063,negative
0.205,0.1135,0.0335,negative
0.3,0.2465,0.083,negative
0.265,0.201,0.0695,negative
0.255,0.1915,0.063,negative
0.2,0.1035,0.03,negative
0.19,0.0765,0.0245,negative
0.125,0.0265,0.0085,negative
0.1,0.015,0.005,negative
0.11,0.018,0.005,negative
0.455,1.0575,0.293,negative
0.44,1.092,0.4405,negative
0.41,0.99,0.295,negative
0.36,0.488,0.155,negative
0.36,0.5005,0.195,negative
0.4,0.77,0.255,negative
0.4,0.6515,0.165,negative
0.4,0.8295,0.275,negative
0.42,0.879,0.23,negative
0.305,0.297,0.1,negative
0.375,0.525,0.155,negative
0.4,0.823,0.265,negative
0.38,0.656,0.22,negative
0.425,0.8665,0.29,negative
0.39,0.6565,0.175,negative
0.385,0.669,0.205,negative
0.405,0.6435,0.21,negative
0.41,0.862,0.32,negative
0.345,0.3795,0.125,negative
0.44,0.835,0.245,negative
0.265,0.2065,0.06,negative
0.42,0.7365,0.215,negative
0.405,0.8175,0.26,negative
0.415,0.8425,0.265,negative
0.42,1.001,0.265,negative
0.52,1.676,0.45,negative
0.385,0.6595,0.16,negative
0.42,0.8055,0.28,negative
0.515,1.5165,0.39,negative
0.39,0.612,0.195,negative
0.355,0.547,0.14,negative
0.46,1.122,0.315,negative
0.455,1.1365,0.275,negative
0.515,1.4805,0.525,negative
0.505,1.5275,0.35,negative
0.525,1.1375,0.37,negative
0.43,1.0615,0.31,negative
0.495,1.437,0.41,negative
0.405,1.2565,0.325,negative
0.44,0.946,0.335,negative
0.44,1.116,0.27,negative
0.44,0.959,0.3,negative
0.51,1.613,0.47,negative
0.47,1.153,0.32,negative
0.45,0.978,0.3,negative
0.27,0.197,0.07,negative
0.445,1.1325,0.32,negative
0.43,0.785,0.233,negative
0.425,0.949,0.278,negative
0.455,0.9805,0.2965,negative
0.375,0.521,0.17,negative
0.275,0.2685,0.085,negative
0.34,0.462,0.12,negative
0.38,0.7605,0.185,negative
0.41,0.732,0.31,negative
0.385,0.6775,0.2,negative
0.38,0.6385,0.195,negative
0.35,0.5755,0.19,negative
0.36,0.537,0.195,negative
0.41,0.93,0.3,negative
0.385,0.6415,0.215,negative
0.435,0.8815,0.255,negative
0.28,0.244,0.085,negative
0.155,0.0525,0.015,negative
0.415,1.042,0.2905,negative
0.39,0.5755,0.1845,negative
0.385,0.709,0.262,negative
0.39,0.644,0.1635,negative
0.465,0.8875,0.262,negative
0.465,0.8935,0.263,negative
0.375,0.556,0.1685,negative
0.37,0.51,0.1625,negative
0.465,1.0345,0.3635,negative
0.45,0.9215,0.256,negative
0.405,0.695,0.234,negative
0.41,0.7155,0.214,negative
0.335,0.394,0.122,negative
0.42,0.745,0.2885,negative
0.34,0.495,0.185,negative
0.345,0.3665,0.117,negative
0.335,0.349,0.115,negative
0.33,0.4405,0.155,negative
0.275,0.22,0.065,negative
0.38,0.6615,0.155,negative
0.205,0.1015,0.03,negative
0.4,0.759,0.24,negative
0.34,0.4195,0.13,negative
0.405,0.875,0.285,negative
0.365,0.6835,0.205,negative
0.41,0.807,0.235,negative
0.185,0.088,0.023,negative
0.175,0.067,0.018,negative
0.25,0.1735,0.049,negative
0.24,0.1715,0.0535,negative
0.25,0.183,0.0575,negative
0.27,0.2055,0.062,negative
0.3,0.27,0.0745,negative
0.25,0.18,0.054,negative
0.275,0.24,0.0735,negative
0.275,0.2215,0.0615,negative
0.275,0.1375,0.0605,negative
0.29,0.312,0.086,negative
0.3,0.2895,0.09,negative
0.29,0.319,0.082,negative
0.29,0.304,0.077,negative
0.31,0.306,0.094,negative
0.325,0.394,0.106,negative
0.305,0.325,0.091,negative
0.32,0.3735,0.109,negative
0.325,0.398,0.0945,negative
0.365,0.501,0.1465,negative
0.335,0.4895,0.1105,negative
0.35,0.547,0.1405,negative
0.375,0.5805,0.169,negative
0.325,0.378,0.089,negative
0.365,0.5465,0.172,negative
0.365,0.6395,0.175,negative
0.355,0.498,0.1525,negative
0.385,0.609,0.1775,negative
0.41,0.7555,0.214,negative
0.4,0.5975,0.166,negative
0.44,0.8275,0.239,negative
0.395,0.7635,0.225,negative
0.405,0.891,0.202,negative
0.42,0.805,0.21,negative
0.44,0.9185,0.2375,negative
0.43,0.923,0.283,negative
0.45,1.0145,0.2875,negative
0.45,0.875,0.2765,negative
0.435,0.9685,0.2385,negative
0.45,1.0595,0.265,negative
0.455,0.952,0.2745,negative
0.435,0.7535,0.194,negative
0.48,1.11,0.33,negative
0.48,1.2095,0.32,negative
0.475,1.1405,0.271,negative
0.475,1.077,0.3095,negative
0.475,1.3445,0.36,negative
0.475,1.21,0.3205,negative
0.495,1.29,0.3445,negative
0.475,1.382,0.3985,negative
0.455,1.1035,0.325,negative
0.5,1.377,0.292,negative
0.52,1.3435,0.345,negative
0.51,1.296,0.32,negative
0.465,0.958,0.2705,negative
0.505,1.3725,0.3685,negative
0.5,1.307,0.315,negative
0.505,1.34,0.41,negative
0.49,1.2085,0.411,negative
0.49,1.3825,0.381,negative
0.505,1.26,0.406,negative
0.46,1.102,0.33,negative
0.465,1.113,0.305,negative
0.5,1.376,0.31,negative
0.525,1.4715,0.399,negative
0.52,1.4095,0.405,negative
0.58,2.0805,0.601,negative
0.53,1.3905,0.453,negative
0.52,1.558,0.4,negative
0.585,1.309,0.413,negative
0.525,1.8095,0.455,negative
0.51,1.3555,0.39,negative
0.56,1.7775,0.415,negative
0.54,1.6675,0.475,negative
0.56,1.834,0.455,negative
0.595,2.8255,0.897,negative
0.14,0.046,0.0135,negative
0.175,0.0705,0.021,negative
0.175,0.0665,0.017,negative
0.19,0.083,0.027,negative
0.18,0.083,0.02,negative
0.195,0.092,0.0245,negative
0.12,0.117,0.0345,negative
0.23,0.1625,0.0385,negative
0.235,0.131,0.043,negative
