Sex,Length,Diameter,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
F,0.57,0.465,1.295,0.339,0.2225,0.44,negative
M,0.56,0.44,0.8645,0.3305,0.2075,0.26,negative
F,0.575,0.45,0.9775,0.3135,0.231,0.33,negative
M,0.595,0.465,1.115,0.4015,0.254,0.39,negative
M,0.565,0.425,0.8115,0.341,0.1675,0.255,negative
M,0.555,0.44,0.755,0.307,0.1525,0.26,negative
F,0.625,0.495,1.262,0.507,0.318,0.39,negative
M,0.695,0.56,1.494,0.588,0.3425,0.485,negative
M,0.665,0.535,1.606,0.5755,0.388,0.48,negative
M,0.535,0.435,0.725,0.269,0.1385,0.25,negative
M,0.47,0.375,0.523,0.214,0.132,0.145,negative
M,0.47,0.37,0.5225,0.201,0.133,0.165,negative
F,0.475,0.375,0.5785,0.2775,0.085,0.155,negative
M,0.55,0.435,0.843,0.328,0.1915,0.255,negative
I,0.36,0.265,0.2315,0.105,0.046,0.075,negative
M,0.53,0.435,0.883,0.316,0.164,0.335,negative
M,0.53,0.415,0.724,0.3105,0.1675,0.205,negative
M,0.605,0.47,1.1735,0.4975,0.2405,0.345,negative
F,0.51,0.39,0.6335,0.231,0.179,0.2,negative
F,0.435,0.395,0.3635,0.136,0.098,0.13,negative
M,0.495,0.395,0.5415,0.2375,0.1345,0.155,negative
M,0.465,0.36,0.431,0.172,0.107,0.175,negative
I,0.435,0.32,0.3325,0.1485,0.0635,0.105,negative
F,0.52,0.41,0.727,0.291,0.1835,0.235,negative
F,0.545,0.43,0.802,0.2935,0.183,0.28,negative
F,0.5,0.4,0.6675,0.261,0.1315,0.22,negative
M,0.425,0.35,0.393,0.13,0.063,0.165,negative
F,0.545,0.41,0.6935,0.2975,0.146,0.21,negative
F,0.53,0.415,0.5915,0.233,0.1585,0.18,negative
F,0.49,0.375,0.6125,0.2555,0.102,0.22,negative
F,0.56,0.43,0.8825,0.3465,0.172,0.31,negative
M,0.44,0.34,0.402,0.1305,0.0955,0.165,negative
M,0.405,0.305,0.2605,0.1145,0.0595,0.085,negative
F,0.47,0.365,0.4205,0.163,0.1035,0.14,negative
I,0.385,0.295,0.2535,0.103,0.0575,0.085,negative
F,0.515,0.425,0.766,0.304,0.1725,0.255,negative
M,0.37,0.265,0.214,0.09,0.051,0.07,negative
I,0.36,0.28,0.1755,0.081,0.0505,0.07,negative
I,0.375,0.275,0.238,0.1075,0.0545,0.07,negative
I,0.27,0.195,0.073,0.0285,0.0235,0.03,negative
I,0.385,0.29,0.2505,0.112,0.061,0.08,negative
F,0.44,0.35,0.4035,0.175,0.063,0.129,negative
F,0.325,0.26,0.1915,0.085,0.036,0.062,negative
M,0.71,0.54,1.959,0.7665,0.261,0.78,negative
M,0.7,0.535,1.7255,0.63,0.2635,0.54,positive
M,0.595,0.48,1.262,0.4835,0.283,0.41,negative
I,0.35,0.26,0.211,0.086,0.056,0.068,negative
F,0.425,0.33,0.406,0.1635,0.081,0.1355,negative
I,0.265,0.2,0.0975,0.04,0.0205,0.028,negative
F,0.305,0.23,0.156,0.0675,0.0345,0.048,negative
F,0.565,0.445,0.826,0.341,0.2055,0.2475,negative
M,0.345,0.255,0.2005,0.094,0.0295,0.063,negative
F,0.405,0.325,0.3555,0.151,0.063,0.117,negative
M,0.375,0.285,0.253,0.096,0.0575,0.0925,negative
F,0.55,0.45,0.741,0.295,0.1435,0.2665,negative
M,0.65,0.52,1.3445,0.519,0.306,0.4465,negative
M,0.56,0.455,0.797,0.34,0.19,0.2425,negative
M,0.475,0.375,0.5175,0.2075,0.1165,0.17,negative
F,0.49,0.38,0.549,0.245,0.1075,0.174,negative
M,0.46,0.35,0.515,0.224,0.108,0.1565,negative
I,0.28,0.205,0.127,0.052,0.039,0.042,negative
I,0.175,0.13,0.0315,0.0105,0.0065,0.0125,negative
I,0.17,0.13,0.03,0.013,0.008,0.01,negative
M,0.59,0.475,1.053,0.4415,0.262,0.325,negative
F,0.605,0.5,1.1185,0.469,0.2585,0.335,negative
F,0.635,0.515,1.3715,0.5065,0.305,0.45,negative
F,0.605,0.485,1.0565,0.37,0.2355,0.355,negative
F,0.565,0.45,0.9885,0.387,0.1495,0.31,negative
M,0.515,0.405,0.722,0.32,0.131,0.21,negative
F,0.575,0.46,0.994,0.392,0.2425,0.34,negative
F,0.58,0.455,0.9075,0.374,0.2135,0.285,negative
M,0.645,0.485,1.514,0.546,0.2615,0.635,negative
F,0.575,0.46,1.124,0.2985,0.1785,0.44,negative
M,0.605,0.465,1.056,0.4215,0.2475,0.34,negative
F,0.605,0.485,1.222,0.53,0.2575,0.28,negative
M,0.61,0.485,1.2445,0.544,0.297,0.345,negative
M,0.725,0.57,2.55,1.0705,0.483,0.725,negative
F,0.725,0.56,2.141,0.65,0.398,1.005,negative
F,0.725,0.575,2.124,0.765,0.4515,0.85,negative
F,0.65,0.545,1.752,0.5605,0.2895,0.815,negative
F,0.68,0.57,1.842,0.625,0.408,0.65,negative
M,0.705,0.56,1.981,0.8175,0.3085,0.76,negative
M,0.695,0.55,1.9565,0.7125,0.541,0.59,negative
F,0.68,0.515,1.6185,0.5125,0.409,0.62,negative
F,0.53,0.395,0.775,0.308,0.169,0.255,negative
M,0.525,0.435,1.065,0.486,0.233,0.285,negative
I,0.235,0.16,0.048,0.0185,0.018,0.015,negative
F,0.52,0.405,0.776,0.32,0.1845,0.22,negative
I,0.36,0.26,0.1785,0.0645,0.037,0.075,negative
I,0.315,0.21,0.125,0.06,0.0375,0.035,negative
I,0.315,0.245,0.1435,0.053,0.0475,0.05,negative
I,0.225,0.16,0.0465,0.025,0.015,0.015,negative
M,0.58,0.475,0.97,0.385,0.2165,0.35,negative
M,0.57,0.48,0.9395,0.399,0.2,0.295,negative
M,0.64,0.51,1.368,0.515,0.266,0.57,negative
F,0.56,0.45,1.0235,0.429,0.268,0.3,negative
F,0.62,0.475,1.0165,0.4355,0.214,0.325,negative
F,0.645,0.51,1.5675,0.621,0.367,0.46,negative
M,0.62,0.49,1.218,0.5455,0.2965,0.355,negative
F,0.63,0.48,1.0525,0.392,0.336,0.285,negative
F,0.63,0.5,1.383,0.54,0.3315,0.38,negative
F,0.63,0.48,1.199,0.5265,0.335,0.315,negative
F,0.585,0.46,0.9325,0.365,0.271,0.29,negative
M,0.615,0.48,1.1595,0.4845,0.2165,0.325,negative
M,0.61,0.485,1.0225,0.419,0.2405,0.36,negative
M,0.58,0.45,0.927,0.276,0.1815,0.36,negative
I,0.355,0.275,0.22,0.092,0.06,0.15,negative
F,0.51,0.4,0.8145,0.459,0.1965,0.195,negative
M,0.5,0.405,0.772,0.346,0.1535,0.245,negative
F,0.505,0.41,0.644,0.285,0.145,0.21,negative
M,0.64,0.5,1.3035,0.4445,0.2635,0.465,negative
M,0.56,0.45,0.922,0.432,0.178,0.26,negative
M,0.585,0.46,0.922,0.3635,0.213,0.285,negative
F,0.45,0.345,0.4165,0.1655,0.095,0.135,negative
M,0.5,0.4,0.825,0.254,0.205,0.285,negative
F,0.5,0.4,0.63,0.234,0.1465,0.23,negative
F,0.53,0.435,0.8155,0.2985,0.155,0.275,negative
M,0.42,0.335,0.369,0.171,0.071,0.12,negative
F,0.44,0.34,0.482,0.186,0.1085,0.16,negative
I,0.4,0.3,0.315,0.109,0.067,0.12,negative
I,0.435,0.34,0.3795,0.1495,0.085,0.12,negative
F,0.525,0.415,0.8325,0.2755,0.1685,0.31,negative
I,0.37,0.28,0.2655,0.122,0.052,0.08,negative
F,0.49,0.365,0.6345,0.1995,0.1625,0.22,negative
F,0.415,0.325,0.38,0.1595,0.0785,0.12,negative
M,0.335,0.25,0.181,0.0755,0.0415,0.06,negative
M,0.5,0.405,0.6155,0.241,0.1355,0.205,negative
F,0.485,0.395,0.66,0.2475,0.128,0.235,negative
M,0.45,0.35,0.46,0.174,0.111,0.135,negative
M,0.55,0.405,0.8025,0.244,0.1635,0.255,negative
I,0.405,0.3,0.324,0.1265,0.07,0.11,negative
M,0.47,0.36,0.501,0.1665,0.115,0.165,negative
F,0.415,0.305,0.32,0.1305,0.0755,0.105,negative
F,0.47,0.35,0.5175,0.187,0.1235,0.18,negative
F,0.49,0.375,0.5755,0.22,0.144,0.19,negative
F,0.445,0.355,0.485,0.181,0.125,0.155,negative
F,0.445,0.325,0.455,0.1785,0.1125,0.14,negative
I,0.425,0.38,0.3265,0.1285,0.0785,0.1,negative
F,0.5,0.37,0.45,0.1715,0.1055,0.155,negative
F,0.39,0.29,0.3055,0.121,0.082,0.09,negative
I,0.365,0.27,0.205,0.078,0.0485,0.07,negative
F,0.58,0.465,1.1015,0.404,0.2095,0.35,negative
F,0.53,0.415,0.783,0.2935,0.158,0.245,negative
M,0.565,0.44,0.9025,0.31,0.193,0.325,negative
M,0.555,0.445,0.836,0.336,0.1625,0.275,negative
M,0.625,0.505,1.4455,0.496,0.287,0.435,negative
I,0.275,0.215,0.1155,0.0485,0.029,0.035,negative
I,0.295,0.225,0.124,0.0485,0.032,0.04,negative
I,0.44,0.35,0.435,0.1815,0.083,0.125,negative
I,0.075,0.055,0.002,0.001,5e-04,0.0015,negative
I,0.13,0.1,0.013,0.0045,0.003,0.004,negative
I,0.16,0.12,0.021,0.0075,0.0045,0.005,negative
I,0.11,0.09,0.008,0.0025,0.002,0.003,negative
M,0.565,0.425,0.9425,0.3495,0.2185,0.275,negative
I,0.27,0.2,0.1,0.034,0.0245,0.035,negative
I,0.23,0.175,0.0645,0.026,0.0105,0.02,negative
I,0.3,0.23,0.1275,0.0435,0.0265,0.04,negative
I,0.33,0.255,0.1655,0.063,0.039,0.06,negative
I,0.35,0.26,0.174,0.0705,0.0345,0.06,negative
I,0.32,0.245,0.1585,0.0635,0.0325,0.05,negative
I,0.33,0.25,0.1715,0.0655,0.035,0.06,negative
I,0.305,0.245,0.156,0.0675,0.038,0.045,negative
M,0.59,0.47,1.1235,0.4205,0.2805,0.36,negative
F,0.595,0.455,1.0605,0.5135,0.2165,0.3,negative
F,0.575,0.46,1.094,0.4485,0.217,0.345,negative
M,0.6,0.495,1.2415,0.485,0.2775,0.34,negative
M,0.56,0.45,1.011,0.3835,0.2065,0.37,negative
I,0.36,0.275,0.1975,0.0745,0.0415,0.07,negative
I,0.345,0.27,0.2135,0.082,0.0545,0.07,negative
M,0.56,0.45,1.07,0.3805,0.175,0.41,positive
M,0.545,0.46,0.8975,0.341,0.1655,0.345,negative
F,0.635,0.505,1.415,0.605,0.297,0.365,negative
M,0.53,0.42,0.8945,0.319,0.239,0.245,negative
F,0.59,0.475,1.1015,0.4775,0.2555,0.295,negative
F,0.54,0.475,0.928,0.394,0.194,0.26,negative
M,0.27,0.2,0.1205,0.0465,0.028,0.04,negative
F,0.46,0.38,0.639,0.3,0.1525,0.16,negative
M,0.52,0.45,0.895,0.3615,0.186,0.235,negative
F,0.57,0.44,0.865,0.3675,0.1725,0.27,negative
I,0.245,0.195,0.095,0.0445,0.0245,0.026,negative
M,0.35,0.275,0.2925,0.1225,0.0635,0.0905,negative
M,0.47,0.39,0.6355,0.2185,0.0885,0.255,negative
F,0.45,0.36,0.4995,0.2035,0.1,0.17,negative
F,0.64,0.525,1.779,0.4535,0.2855,0.55,negative
M,0.59,0.5,1.187,0.412,0.2705,0.37,negative
M,0.62,0.485,1.219,0.3875,0.2505,0.385,negative
M,0.63,0.505,1.525,0.56,0.3335,0.45,negative
M,0.63,0.515,1.259,0.4105,0.197,0.41,negative
M,0.655,0.54,1.844,0.7425,0.327,0.585,negative
F,0.66,0.53,1.3485,0.493,0.245,0.49,negative
M,0.61,0.5,1.642,0.532,0.3345,0.69,negative
M,0.635,0.525,1.484,0.55,0.3115,0.43,negative
F,0.515,0.425,0.712,0.2665,0.1605,0.25,negative
F,0.535,0.415,0.8415,0.314,0.1585,0.3,negative
I,0.36,0.285,0.2415,0.0915,0.057,0.075,negative
M,0.485,0.395,0.6295,0.2285,0.127,0.225,negative
F,0.455,0.355,0.4495,0.177,0.104,0.15,negative
M,0.515,0.38,0.9565,0.325,0.158,0.31,negative
F,0.495,0.4,0.6445,0.242,0.1325,0.205,negative
F,0.535,0.415,0.879,0.295,0.1965,0.285,negative
M,0.53,0.435,0.699,0.288,0.1595,0.205,negative
F,0.565,0.505,1.2765,0.501,0.279,0.355,negative
M,0.61,0.475,1.116,0.428,0.2205,0.315,negative
F,0.565,0.455,1.013,0.342,0.207,0.35,positive
M,0.6,0.495,1.0575,0.384,0.19,0.375,negative
I,0.295,0.215,0.128,0.049,0.034,0.04,negative
I,0.275,0.205,0.1105,0.045,0.0285,0.035,negative
I,0.28,0.21,0.1065,0.039,0.0295,0.03,negative
M,0.49,0.395,0.549,0.2215,0.1275,0.15,negative
M,0.37,0.28,0.234,0.0905,0.0585,0.075,negative
F,0.405,0.305,0.3485,0.1455,0.0895,0.1,negative
F,0.54,0.435,0.892,0.322,0.174,0.335,negative
M,0.37,0.28,0.252,0.1065,0.0595,0.074,negative
M,0.36,0.27,0.217,0.0885,0.0495,0.0715,negative
F,0.47,0.36,0.472,0.182,0.114,0.15,negative
I,0.2,0.145,0.037,0.0125,0.0095,0.011,negative
I,0.165,0.12,0.0215,0.007,0.005,0.005,negative
M,0.44,0.355,0.4775,0.132,0.0815,0.19,negative
F,0.535,0.435,0.8105,0.3155,0.1795,0.24,negative
M,0.54,0.435,0.996,0.3835,0.226,0.325,negative
M,0.645,0.515,1.5415,0.471,0.369,0.535,negative
M,0.55,0.41,0.7605,0.2505,0.1635,0.195,negative
M,0.57,0.435,0.9055,0.3925,0.2355,0.275,negative
F,0.63,0.485,1.2435,0.4635,0.3055,0.39,negative
M,0.56,0.44,0.971,0.443,0.2045,0.265,negative
M,0.595,0.455,1.3305,0.4595,0.3235,0.345,positive
F,0.62,0.47,1.2255,0.381,0.27,0.435,negative
M,0.63,0.485,1.3,0.4335,0.2945,0.46,negative
F,0.635,0.535,1.242,0.576,0.2475,0.39,negative
I,0.45,0.355,0.4585,0.194,0.067,0.14,negative
M,0.45,0.35,0.3675,0.1465,0.1015,0.12,negative
F,0.58,0.455,0.8365,0.315,0.1385,0.32,negative
I,0.265,0.21,0.0965,0.0425,0.022,0.03,negative
I,0.265,0.205,0.1055,0.039,0.041,0.035,negative
I,0.33,0.255,0.172,0.066,0.0255,0.06,negative
I,0.19,0.145,0.038,0.0165,0.0065,0.015,negative
M,0.385,0.31,0.2845,0.1065,0.075,0.1,negative
M,0.335,0.265,0.222,0.0935,0.056,0.075,negative
I,0.355,0.275,0.251,0.097,0.053,0.08,negative
I,0.32,0.255,0.1755,0.073,0.0415,0.065,negative
M,0.51,0.4,0.6435,0.27,0.1665,0.205,negative
M,0.36,0.295,0.241,0.0865,0.053,0.095,negative
I,0.36,0.28,0.2255,0.0885,0.04,0.09,negative
M,0.5,0.38,0.5955,0.2135,0.161,0.2,negative
F,0.4,0.325,0.3185,0.134,0.0565,0.095,negative
I,0.3,0.22,0.121,0.0475,0.042,0.035,negative
I,0.235,0.175,0.0705,0.0335,0.015,0.02,negative
F,0.74,0.6,1.974,0.598,0.4085,0.71,negative
M,0.6,0.475,1.0875,0.403,0.2655,0.325,negative
M,0.62,0.465,1.3415,0.5705,0.3175,0.355,negative
F,0.565,0.45,1.0035,0.406,0.2505,0.285,negative
M,0.59,0.45,1.283,0.473,0.276,0.425,negative
M,0.62,0.475,1.325,0.6045,0.325,0.33,negative
M,0.575,0.455,1.165,0.581,0.2275,0.3,negative
F,0.62,0.51,1.3475,0.4775,0.2565,0.48,negative
M,0.62,0.465,1.274,0.579,0.3065,0.32,negative
F,0.505,0.375,0.568,0.2325,0.1495,0.17,negative
F,0.46,0.425,0.746,0.3005,0.152,0.24,negative
M,0.49,0.39,0.707,0.2795,0.2185,0.18,negative
F,0.525,0.42,0.756,0.2745,0.173,0.275,negative
I,0.34,0.26,0.2,0.08,0.0555,0.055,negative
I,0.375,0.305,0.2715,0.092,0.074,0.09,negative
M,0.61,0.48,1.2,0.56,0.2455,0.28,negative
F,0.61,0.495,1.153,0.536,0.2905,0.245,negative
M,0.57,0.46,0.9535,0.4465,0.2065,0.245,negative
F,0.585,0.45,0.8685,0.3325,0.1635,0.27,negative
M,0.7,0.58,2.13,0.7415,0.49,0.58,negative
M,0.675,0.525,1.587,0.6935,0.336,0.395,negative
M,0.745,0.585,2.499,0.9265,0.472,0.7,negative
F,0.685,0.545,1.768,0.7495,0.392,0.485,negative
M,0.605,0.49,1.227,0.48,0.287,0.35,negative
M,0.58,0.455,0.93,0.408,0.259,0.22,negative
M,0.635,0.515,1.275,0.509,0.286,0.34,negative
F,0.59,0.465,0.997,0.392,0.246,0.34,negative
F,0.65,0.525,1.4225,0.61,0.2995,0.445,negative
F,0.6,0.48,1.029,0.4085,0.2705,0.295,negative
F,0.645,0.525,1.8085,0.7035,0.3885,0.395,negative
F,0.62,0.5,1.186,0.4985,0.3015,0.35,negative
M,0.63,0.515,1.016,0.4215,0.244,0.355,positive
M,0.63,0.49,1.13,0.458,0.2765,0.315,negative
F,0.58,0.455,1.0735,0.479,0.2735,0.265,negative
M,0.58,0.465,0.887,0.4405,0.1655,0.265,negative
F,0.65,0.545,1.566,0.6645,0.3455,0.415,negative
F,0.69,0.56,1.719,0.68,0.299,0.47,negative
F,0.66,0.565,1.7605,0.692,0.3265,0.5,negative
F,0.68,0.58,1.787,0.585,0.453,0.6,positive
F,0.7,0.575,1.31,0.5095,0.314,0.42,negative
M,0.685,0.52,1.343,0.4635,0.292,0.4,negative
F,0.675,0.545,1.7345,0.6845,0.3695,0.605,negative
M,0.63,0.49,1.1775,0.4935,0.3365,0.285,negative
F,0.585,0.45,1.077,0.4995,0.2875,0.25,negative
M,0.565,0.465,0.995,0.3895,0.183,0.37,negative
F,0.61,0.495,1.1085,0.3705,0.3135,0.33,negative
M,0.535,0.42,0.791,0.33,0.189,0.25,negative
M,0.605,0.47,1.1405,0.3755,0.2805,0.385,negative
M,0.485,0.4,0.663,0.313,0.137,0.2,negative
M,0.47,0.375,0.5565,0.226,0.122,0.195,negative
M,0.545,0.425,0.8445,0.373,0.21,0.235,negative
F,0.455,0.37,0.4925,0.216,0.1245,0.135,negative
M,0.54,0.42,0.7385,0.3515,0.152,0.215,negative
M,0.46,0.38,0.482,0.207,0.1225,0.145,negative
M,0.49,0.42,0.609,0.239,0.1435,0.22,negative
I,0.465,0.375,0.471,0.222,0.119,0.14,negative
I,0.415,0.325,0.3215,0.1535,0.0595,0.105,negative
M,0.475,0.375,0.593,0.277,0.115,0.18,negative
F,0.47,0.375,0.5615,0.252,0.137,0.18,negative
I,0.365,0.295,0.25,0.1075,0.0545,0.08,negative
I,0.345,0.275,0.1995,0.0755,0.0535,0.07,negative
I,0.39,0.31,0.302,0.116,0.064,0.115,negative
F,0.5,0.395,0.7155,0.3165,0.176,0.24,negative
M,0.535,0.44,0.6765,0.256,0.139,0.26,negative
M,0.47,0.38,0.5865,0.2385,0.144,0.185,negative
F,0.485,0.365,0.5885,0.27,0.131,0.175,negative
M,0.515,0.455,0.7225,0.295,0.1625,0.235,negative
F,0.435,0.325,0.4335,0.178,0.0985,0.155,negative
M,0.585,0.455,0.987,0.4355,0.2075,0.31,negative
F,0.515,0.415,0.6935,0.3115,0.152,0.2,negative
F,0.525,0.44,0.8425,0.3685,0.1985,0.24,negative
I,0.44,0.345,0.365,0.1655,0.083,0.11,negative
M,0.45,0.355,0.479,0.2125,0.1045,0.15,negative
M,0.59,0.485,0.911,0.39,0.182,0.29,negative
M,0.555,0.45,0.915,0.4,0.246,0.285,negative
M,0.59,0.5,1.1045,0.4565,0.2425,0.34,negative
M,0.57,0.44,0.827,0.3395,0.2215,0.235,negative
M,0.585,0.475,0.945,0.41,0.2115,0.28,negative
F,0.58,0.46,0.9935,0.4625,0.2385,0.28,negative
M,0.545,0.44,0.8565,0.3475,0.1715,0.24,negative
F,0.605,0.495,1.2385,0.528,0.2465,0.39,negative
F,0.63,0.5,1.3135,0.5595,0.267,0.4,negative
F,0.62,0.47,1.0325,0.3605,0.224,0.36,negative
F,0.63,0.5,1.005,0.367,0.199,0.36,negative
M,0.63,0.515,1.352,0.488,0.349,0.45,negative
M,0.545,0.41,0.625,0.223,0.16,0.235,negative
F,0.67,0.54,1.5015,0.518,0.358,0.505,negative
I,0.49,0.38,0.529,0.2165,0.139,0.155,negative
F,0.49,0.39,0.5785,0.2465,0.123,0.2,negative
I,0.29,0.225,0.101,0.036,0.0235,0.035,negative
I,0.26,0.2,0.092,0.037,0.02,0.03,negative
M,0.58,0.45,1.068,0.425,0.203,0.32,negative
M,0.6,0.5,1.015,0.3995,0.1735,0.33,positive
F,0.61,0.485,1.0915,0.3935,0.2435,0.33,negative
F,0.56,0.455,0.943,0.344,0.129,0.375,negative
F,0.575,0.45,1.0475,0.3775,0.1705,0.385,negative
F,0.57,0.45,0.9555,0.38,0.1665,0.295,negative
M,0.565,0.455,0.9065,0.342,0.156,0.32,negative
M,0.6,0.47,1.036,0.4375,0.196,0.325,negative
M,0.545,0.42,0.7505,0.2475,0.13,0.255,negative
I,0.44,0.345,0.366,0.122,0.0905,0.12,negative
M,0.5,0.41,0.662,0.2815,0.137,0.22,negative
I,0.36,0.275,0.217,0.084,0.0435,0.09,negative
I,0.385,0.305,0.252,0.0915,0.055,0.09,negative
M,0.39,0.3,0.3055,0.143,0.0645,0.085,negative
M,0.5,0.415,0.6885,0.249,0.138,0.25,negative
I,0.335,0.26,0.192,0.0785,0.0585,0.07,negative
I,0.36,0.275,0.2335,0.095,0.0525,0.085,negative
F,0.41,0.325,0.3635,0.159,0.077,0.12,negative
F,0.56,0.455,0.714,0.283,0.129,0.275,negative
F,0.505,0.425,0.85,0.275,0.1625,0.285,positive
I,0.395,0.295,0.2715,0.134,0.0325,0.085,negative
M,0.565,0.435,0.9815,0.329,0.136,0.39,negative
M,0.565,0.455,0.9265,0.354,0.1575,0.375,negative
M,0.605,0.5,1.098,0.4765,0.232,0.375,negative
F,0.565,0.455,0.8205,0.365,0.159,0.26,negative
M,0.725,0.565,1.891,0.6975,0.4725,0.58,negative
F,0.675,0.535,1.41,0.592,0.3175,0.42,negative
F,0.665,0.555,1.4385,0.581,0.354,0.36,negative
F,0.565,0.49,0.9245,0.405,0.2195,0.255,negative
F,0.645,0.55,1.2915,0.57,0.3045,0.33,negative
M,0.575,0.47,0.8375,0.3485,0.1735,0.24,negative
