Sex,Length,Diameter,Whole_weight,Shucked_weight,Shell_weight,Class
I,0.315,0.245,0.1435,0.053,0.05,negative
I,0.225,0.16,0.0465,0.025,0.015,negative
M,0.58,0.475,0.97,0.385,0.35,negative
M,0.57,0.48,0.9395,0.399,0.295,negative
M,0.64,0.51,1.368,0.515,0.57,negative
F,0.56,0.45,1.0235,0.429,0.3,negative
F,0.62,0.475,1.0165,0.4355,0.325,negative
F,0.645,0.51,1.5675,0.621,0.46,negative
M,0.62,0.49,1.218,0.5455,0.355,negative
F,0.63,0.48,1.0525,0.392,0.285,negative
F,0.63,0.5,1.383,0.54,0.38,negative
F,0.63,0.48,1.199,0.5265,0.315,negative
F,0.585,0.46,0.9325,0.365,0.29,negative
M,0.615,0.48,1.1595,0.4845,0.325,negative
M,0.61,0.485,1.0225,0.419,0.36,negative
M,0.58,0.45,0.927,0.276,0.36,negative
I,0.355,0.275,0.22,0.092,0.15,negative
F,0.51,0.4,0.8145,0.459,0.195,negative
M,0.5,0.405,0.772,0.346,0.245,negative
F,0.505,0.41,0.644,0.285,0.21,negative
M,0.64,0.5,1.3035,0.4445,0.465,negative
M,0.56,0.45,0.922,0.432,0.26,negative
M,0.585,0.46,0.922,0.3635,0.285,negative
F,0.45,0.345,0.4165,0.1655,0.135,negative
M,0.5,0.4,0.825,0.254,0.285,negative
F,0.5,0.4,0.63,0.234,0.23,negative
F,0.53,0.435,0.8155,0.2985,0.275,negative
M,0.42,0.335,0.369,0.171,0.12,negative
F,0.44,0.34,0.482,0.186,0.16,negative
I,0.4,0.3,0.315,0.109,0.12,negative
I,0.435,0.34,0.3795,0.1495,0.12,negative
F,0.525,0.415,0.8325,0.2755,0.31,negative
I,0.37,0.28,0.2655,0.122,0.08,negative
F,0.49,0.365,0.6345,0.1995,0.22,negative
F,0.415,0.325,0.38,0.1595,0.12,negative
M,0.335,0.25,0.181,0.0755,0.06,negative
M,0.5,0.405,0.6155,0.241,0.205,negative
F,0.485,0.395,0.66,0.2475,0.235,negative
M,0.45,0.35,0.46,0.174,0.135,negative
M,0.55,0.405,0.8025,0.244,0.255,negative
I,0.405,0.3,0.324,0.1265,0.11,negative
M,0.47,0.36,0.501,0.1665,0.165,negative
F,0.415,0.305,0.32,0.1305,0.105,negative
F,0.47,0.35,0.5175,0.187,0.18,negative
F,0.49,0.375,0.5755,0.22,0.19,negative
F,0.445,0.355,0.485,0.181,0.155,negative
F,0.445,0.325,0.455,0.1785,0.14,negative
I,0.425,0.38,0.3265,0.1285,0.1,negative
F,0.5,0.37,0.45,0.1715,0.155,negative
F,0.39,0.29,0.3055,0.121,0.09,negative
I,0.365,0.27,0.205,0.078,0.07,negative
F,0.58,0.465,1.1015,0.404,0.35,negative
F,0.53,0.415,0.783,0.2935,0.245,negative
M,0.565,0.44,0.9025,0.31,0.325,negative
M,0.555,0.445,0.836,0.336,0.275,negative
M,0.625,0.505,1.4455,0.496,0.435,negative
I,0.275,0.215,0.1155,0.0485,0.035,negative
I,0.295,0.225,0.124,0.0485,0.04,negative
I,0.44,0.35,0.435,0.1815,0.125,negative
I,0.075,0.055,0.002,0.001,0.0015,negative
I,0.13,0.1,0.013,0.0045,0.004,negative
I,0.16,0.12,0.021,0.0075,0.005,negative
I,0.11,0.09,0.008,0.0025,0.003,negative
M,0.565,0.425,0.9425,0.3495,0.275,negative
I,0.27,0.2,0.1,0.034,0.035,negative
I,0.23,0.175,0.0645,0.026,0.02,negative
I,0.3,0.23,0.1275,0.0435,0.04,negative
I,0.33,0.255,0.1655,0.063,0.06,negative
I,0.35,0.26,0.174,0.0705,0.06,negative
I,0.32,0.245,0.1585,0.0635,0.05,negative
I,0.33,0.25,0.1715,0.0655,0.06,negative
I,0.305,0.245,0.156,0.0675,0.045,negative
M,0.59,0.47,1.1235,0.4205,0.36,negative
F,0.595,0.455,1.0605,0.5135,0.3,negative
F,0.575,0.46,1.094,0.4485,0.345,negative
M,0.6,0.495,1.2415,0.485,0.34,negative
M,0.56,0.45,1.011,0.3835,0.37,negative
I,0.36,0.275,0.1975,0.0745,0.07,negative
I,0.345,0.27,0.2135,0.082,0.07,negative
M,0.56,0.45,1.07,0.3805,0.41,positive
M,0.545,0.46,0.8975,0.341,0.345,negative
F,0.635,0.505,1.415,0.605,0.365,negative
M,0.53,0.42,0.8945,0.319,0.245,negative
F,0.59,0.475,1.1015,0.4775,0.295,negative
F,0.54,0.475,0.928,0.394,0.26,negative
M,0.27,0.2,0.1205,0.0465,0.04,negative
F,0.46,0.38,0.639,0.3,0.16,negative
M,0.52,0.45,0.895,0.3615,0.235,negative
F,0.57,0.44,0.865,0.3675,0.27,negative
I,0.245,0.195,0.095,0.0445,0.026,negative
M,0.35,0.275,0.2925,0.1225,0.0905,negative
M,0.47,0.39,0.6355,0.2185,0.255,negative
F,0.45,0.36,0.4995,0.2035,0.17,negative
F,0.64,0.525,1.779,0.4535,0.55,negative
M,0.59,0.5,1.187,0.412,0.37,negative
M,0.62,0.485,1.219,0.3875,0.385,negative
M,0.63,0.505,1.525,0.56,0.45,negative
M,0.63,0.515,1.259,0.4105,0.41,negative
M,0.655,0.54,1.844,0.7425,0.585,negative
F,0.66,0.53,1.3485,0.493,0.49,negative
M,0.61,0.5,1.642,0.532,0.69,negative
M,0.635,0.525,1.484,0.55,0.43,negative
F,0.515,0.425,0.712,0.2665,0.25,negative
F,0.535,0.415,0.8415,0.314,0.3,negative
I,0.36,0.285,0.2415,0.0915,0.075,negative
M,0.485,0.395,0.6295,0.2285,0.225,negative
F,0.455,0.355,0.4495,0.177,0.15,negative
M,0.515,0.38,0.9565,0.325,0.31,negative
F,0.495,0.4,0.6445,0.242,0.205,negative
F,0.535,0.415,0.879,0.295,0.285,negative
M,0.53,0.435,0.699,0.288,0.205,negative
F,0.565,0.505,1.2765,0.501,0.355,negative
M,0.61,0.475,1.116,0.428,0.315,negative
F,0.565,0.455,1.013,0.342,0.35,positive
M,0.6,0.495,1.0575,0.384,0.375,negative
I,0.295,0.215,0.128,0.049,0.04,negative
I,0.275,0.205,0.1105,0.045,0.035,negative
I,0.28,0.21,0.1065,0.039,0.03,negative
M,0.49,0.395,0.549,0.2215,0.15,negative
M,0.37,0.28,0.234,0.0905,0.075,negative
F,0.405,0.305,0.3485,0.1455,0.1,negative
F,0.54,0.435,0.892,0.322,0.335,negative
M,0.37,0.28,0.252,0.1065,0.074,negative
M,0.36,0.27,0.217,0.0885,0.0715,negative
F,0.47,0.36,0.472,0.182,0.15,negative
I,0.2,0.145,0.037,0.0125,0.011,negative
I,0.165,0.12,0.0215,0.007,0.005,negative
M,0.44,0.355,0.4775,0.132,0.19,negative
F,0.535,0.435,0.8105,0.3155,0.24,negative
M,0.54,0.435,0.996,0.3835,0.325,negative
M,0.645,0.515,1.5415,0.471,0.535,negative
M,0.55,0.41,0.7605,0.2505,0.195,negative
M,0.57,0.435,0.9055,0.3925,0.275,negative
F,0.63,0.485,1.2435,0.4635,0.39,negative
M,0.56,0.44,0.971,0.443,0.265,negative
M,0.595,0.455,1.3305,0.4595,0.345,positive
F,0.62,0.47,1.2255,0.381,0.435,negative
M,0.63,0.485,1.3,0.4335,0.46,negative
F,0.635,0.535,1.242,0.576,0.39,negative
I,0.45,0.355,0.4585,0.194,0.14,negative
M,0.45,0.35,0.3675,0.1465,0.12,negative
F,0.58,0.455,0.8365,0.315,0.32,negative
I,0.265,0.21,0.0965,0.0425,0.03,negative
I,0.265,0.205,0.1055,0.039,0.035,negative
I,0.33,0.255,0.172,0.066,0.06,negative
I,0.19,0.145,0.038,0.0165,0.015,negative
M,0.385,0.31,0.2845,0.1065,0.1,negative
M,0.335,0.265,0.222,0.0935,0.075,negative
I,0.355,0.275,0.251,0.097,0.08,negative
I,0.32,0.255,0.1755,0.073,0.065,negative
M,0.51,0.4,0.6435,0.27,0.205,negative
M,0.36,0.295,0.241,0.0865,0.095,negative
I,0.36,0.28,0.2255,0.0885,0.09,negative
M,0.5,0.38,0.5955,0.2135,0.2,negative
F,0.4,0.325,0.3185,0.134,0.095,negative
I,0.3,0.22,0.121,0.0475,0.035,negative
I,0.235,0.175,0.0705,0.0335,0.02,negative
F,0.74,0.6,1.974,0.598,0.71,negative
M,0.6,0.475,1.0875,0.403,0.325,negative
M,0.62,0.465,1.3415,0.5705,0.355,negative
F,0.565,0.45,1.0035,0.406,0.285,negative
M,0.59,0.45,1.283,0.473,0.425,negative
M,0.62,0.475,1.325,0.6045,0.33,negative
M,0.575,0.455,1.165,0.581,0.3,negative
F,0.62,0.51,1.3475,0.4775,0.48,negative
M,0.62,0.465,1.274,0.579,0.32,negative
F,0.505,0.375,0.568,0.2325,0.17,negative
F,0.46,0.425,0.746,0.3005,0.24,negative
M,0.49,0.39,0.707,0.2795,0.18,negative
F,0.525,0.42,0.756,0.2745,0.275,negative
I,0.34,0.26,0.2,0.08,0.055,negative
I,0.375,0.305,0.2715,0.092,0.09,negative
M,0.61,0.48,1.2,0.56,0.28,negative
F,0.61,0.495,1.153,0.536,0.245,negative
M,0.57,0.46,0.9535,0.4465,0.245,negative
F,0.585,0.45,0.8685,0.3325,0.27,negative
M,0.7,0.58,2.13,0.7415,0.58,negative
M,0.675,0.525,1.587,0.6935,0.395,negative
M,0.745,0.585,2.499,0.9265,0.7,negative
F,0.685,0.545,1.768,0.7495,0.485,negative
M,0.605,0.49,1.227,0.48,0.35,negative
M,0.58,0.455,0.93,0.408,0.22,negative
M,0.635,0.515,1.275,0.509,0.34,negative
F,0.59,0.465,0.997,0.392,0.34,negative
F,0.65,0.525,1.4225,0.61,0.445,negative
F,0.6,0.48,1.029,0.4085,0.295,negative
F,0.645,0.525,1.8085,0.7035,0.395,negative
F,0.62,0.5,1.186,0.4985,0.35,negative
M,0.63,0.515,1.016,0.4215,0.355,positive
M,0.63,0.49,1.13,0.458,0.315,negative
F,0.58,0.455,1.0735,0.479,0.265,negative
M,0.58,0.465,0.887,0.4405,0.265,negative
F,0.65,0.545,1.566,0.6645,0.415,negative
F,0.69,0.56,1.719,0.68,0.47,negative
F,0.66,0.565,1.7605,0.692,0.5,negative
F,0.68,0.58,1.787,0.585,0.6,positive
F,0.7,0.575,1.31,0.5095,0.42,negative
M,0.685,0.52,1.343,0.4635,0.4,negative
F,0.675,0.545,1.7345,0.6845,0.605,negative
M,0.63,0.49,1.1775,0.4935,0.285,negative
F,0.585,0.45,1.077,0.4995,0.25,negative
M,0.565,0.465,0.995,0.3895,0.37,negative
F,0.61,0.495,1.1085,0.3705,0.33,negative
M,0.535,0.42,0.791,0.33,0.25,negative
M,0.605,0.47,1.1405,0.3755,0.385,negative
M,0.485,0.4,0.663,0.313,0.2,negative
M,0.47,0.375,0.5565,0.226,0.195,negative
M,0.545,0.425,0.8445,0.373,0.235,negative
F,0.455,0.37,0.4925,0.216,0.135,negative
M,0.54,0.42,0.7385,0.3515,0.215,negative
M,0.46,0.38,0.482,0.207,0.145,negative
M,0.49,0.42,0.609,0.239,0.22,negative
I,0.465,0.375,0.471,0.222,0.14,negative
I,0.415,0.325,0.3215,0.1535,0.105,negative
M,0.475,0.375,0.593,0.277,0.18,negative
F,0.47,0.375,0.5615,0.252,0.18,negative
I,0.365,0.295,0.25,0.1075,0.08,negative
I,0.345,0.275,0.1995,0.0755,0.07,negative
I,0.39,0.31,0.302,0.116,0.115,negative
F,0.5,0.395,0.7155,0.3165,0.24,negative
M,0.535,0.44,0.6765,0.256,0.26,negative
M,0.47,0.38,0.5865,0.2385,0.185,negative
F,0.485,0.365,0.5885,0.27,0.175,negative
M,0.515,0.455,0.7225,0.295,0.235,negative
F,0.435,0.325,0.4335,0.178,0.155,negative
M,0.585,0.455,0.987,0.4355,0.31,negative
F,0.515,0.415,0.6935,0.3115,0.2,negative
F,0.525,0.44,0.8425,0.3685,0.24,negative
I,0.44,0.345,0.365,0.1655,0.11,negative
M,0.45,0.355,0.479,0.2125,0.15,negative
M,0.59,0.485,0.911,0.39,0.29,negative
M,0.555,0.45,0.915,0.4,0.285,negative
M,0.59,0.5,1.1045,0.4565,0.34,negative
M,0.57,0.44,0.827,0.3395,0.235,negative
M,0.585,0.475,0.945,0.41,0.28,negative
F,0.58,0.46,0.9935,0.4625,0.28,negative
M,0.545,0.44,0.8565,0.3475,0.24,negative
F,0.605,0.495,1.2385,0.528,0.39,negative
F,0.63,0.5,1.3135,0.5595,0.4,negative
F,0.62,0.47,1.0325,0.3605,0.36,negative
F,0.63,0.5,1.005,0.367,0.36,negative
M,0.63,0.515,1.352,0.488,0.45,negative
M,0.545,0.41,0.625,0.223,0.235,negative
F,0.67,0.54,1.5015,0.518,0.505,negative
I,0.49,0.38,0.529,0.2165,0.155,negative
F,0.49,0.39,0.5785,0.2465,0.2,negative
I,0.29,0.225,0.101,0.036,0.035,negative
I,0.26,0.2,0.092,0.037,0.03,negative
M,0.58,0.45,1.068,0.425,0.32,negative
M,0.6,0.5,1.015,0.3995,0.33,positive
F,0.61,0.485,1.0915,0.3935,0.33,negative
F,0.56,0.455,0.943,0.344,0.375,negative
F,0.575,0.45,1.0475,0.3775,0.385,negative
F,0.57,0.45,0.9555,0.38,0.295,negative
M,0.565,0.455,0.9065,0.342,0.32,negative
M,0.6,0.47,1.036,0.4375,0.325,negative
M,0.545,0.42,0.7505,0.2475,0.255,negative
I,0.44,0.345,0.366,0.122,0.12,negative
M,0.5,0.41,0.662,0.2815,0.22,negative
I,0.36,0.275,0.217,0.084,0.09,negative
I,0.385,0.305,0.252,0.0915,0.09,negative
M,0.39,0.3,0.3055,0.143,0.085,negative
M,0.5,0.415,0.6885,0.249,0.25,negative
I,0.335,0.26,0.192,0.0785,0.07,negative
I,0.36,0.275,0.2335,0.095,0.085,negative
F,0.41,0.325,0.3635,0.159,0.12,negative
F,0.56,0.455,0.714,0.283,0.275,negative
F,0.505,0.425,0.85,0.275,0.285,positive
I,0.395,0.295,0.2715,0.134,0.085,negative
M,0.565,0.435,0.9815,0.329,0.39,negative
M,0.565,0.455,0.9265,0.354,0.375,negative
M,0.605,0.5,1.098,0.4765,0.375,negative
F,0.565,0.455,0.8205,0.365,0.26,negative
M,0.725,0.565,1.891,0.6975,0.58,negative
F,0.675,0.535,1.41,0.592,0.42,negative
F,0.665,0.555,1.4385,0.581,0.36,negative
F,0.565,0.49,0.9245,0.405,0.255,negative
F,0.645,0.55,1.2915,0.57,0.33,negative
M,0.575,0.47,0.8375,0.3485,0.24,negative
F,0.64,0.54,1.221,0.51,0.39,negative
I,0.36,0.28,0.199,0.0695,0.08,negative
I,0.415,0.31,0.2965,0.123,0.0995,negative
F,0.525,0.41,0.7085,0.293,0.235,negative
M,0.38,0.285,0.2665,0.115,0.075,negative
F,0.585,0.465,0.9915,0.3865,0.265,negative
I,0.24,0.185,0.0715,0.026,0.025,negative
I,0.22,0.165,0.0545,0.0215,0.02,negative
I,0.255,0.195,0.0735,0.0255,0.025,negative
I,0.175,0.125,0.0235,0.008,0.008,negative
M,0.655,0.53,1.388,0.567,0.41,negative
F,0.67,0.55,1.3905,0.5425,0.4,negative
M,0.675,0.555,1.4385,0.545,0.465,negative
F,0.53,0.44,0.7835,0.313,0.2185,negative
F,0.515,0.405,0.646,0.2895,0.177,negative
F,0.68,0.55,1.7445,0.5975,0.625,negative
I,0.43,0.34,0.3575,0.151,0.1045,negative
F,0.52,0.405,0.627,0.2645,0.181,negative
F,0.545,0.415,0.7715,0.272,0.2765,negative
M,0.53,0.415,0.7395,0.261,0.2645,negative
F,0.465,0.35,0.421,0.1565,0.1345,negative
M,0.665,0.54,1.347,0.4955,0.415,negative
M,0.735,0.59,1.756,0.637,0.58,negative
M,0.66,0.545,1.32,0.5305,0.455,negative
F,0.7,0.585,1.8075,0.7055,0.475,negative
M,0.575,0.4,0.9325,0.3605,0.3,negative
M,0.57,0.465,0.849,0.3785,0.24,negative
M,0.63,0.48,1.0115,0.4235,0.305,negative
F,0.58,0.46,0.9955,0.429,0.26,positive
F,0.585,0.465,0.908,0.381,0.315,negative
F,0.625,0.515,1.2415,0.5235,0.36,negative
M,0.55,0.45,0.92,0.378,0.29,negative
M,0.54,0.42,0.8075,0.3485,0.235,negative
M,0.59,0.455,1.073,0.475,0.285,negative
F,0.57,0.455,1.0595,0.44,0.285,negative
F,0.655,0.51,1.2895,0.5345,0.41,negative
M,0.655,0.53,1.2635,0.486,0.415,negative
M,0.625,0.5,1.369,0.5875,0.37,negative
F,0.605,0.485,1.0105,0.435,0.3,positive
F,0.64,0.52,1.248,0.4245,0.48,negative
F,0.625,0.5,0.953,0.3445,0.305,negative
F,0.615,0.525,1.0385,0.427,0.345,negative
M,0.58,0.46,0.921,0.357,0.29,negative
M,0.555,0.45,0.874,0.3275,0.305,negative
F,0.58,0.44,0.854,0.3665,0.245,negative
F,0.62,0.52,1.1835,0.378,0.395,negative
F,0.6,0.505,1.129,0.4385,0.36,negative
F,0.62,0.47,1.115,0.378,0.36,negative
F,0.625,0.485,1.1745,0.4385,0.42,negative
M,0.6,0.47,1.105,0.4865,0.315,negative
M,0.56,0.46,0.8395,0.3325,0.305,negative
M,0.585,0.455,1.055,0.3815,0.365,negative
M,0.56,0.435,0.889,0.36,0.25,negative
I,0.56,0.445,0.8735,0.3005,0.275,negative
I,0.68,0.53,1.1095,0.439,0.34,negative
F,0.455,0.35,0.5185,0.221,0.135,negative
F,0.49,0.38,0.6725,0.249,0.21,negative
M,0.31,0.22,0.146,0.061,0.045,negative
F,0.275,0.195,0.08,0.031,0.025,negative
M,0.325,0.23,0.147,0.06,0.045,negative
M,0.4,0.29,0.2795,0.1115,0.075,negative
M,0.27,0.195,0.1,0.0385,0.03,negative
M,0.28,0.2,0.0915,0.033,0.03,negative
F,0.345,0.25,0.203,0.078,0.055,negative
M,0.21,0.15,0.0385,0.0155,0.01,negative
F,0.36,0.27,0.1885,0.0845,0.055,negative
I,0.365,0.26,0.218,0.0935,0.07,negative
M,0.2,0.14,0.035,0.0145,0.01,negative
M,0.235,0.16,0.0545,0.0265,0.015,negative
M,0.175,0.125,0.024,0.0095,0.005,negative
F,0.57,0.445,0.733,0.282,0.235,negative
F,0.57,0.45,0.9715,0.3965,0.26,negative
M,0.155,0.11,0.0155,0.0065,0.005,negative
M,0.385,0.3,0.24,0.0885,0.085,negative
I,0.53,0.42,0.752,0.299,0.205,negative
F,0.46,0.355,0.458,0.192,0.13,negative
I,0.47,0.37,0.4705,0.1845,0.155,negative
F,0.435,0.335,0.38,0.1695,0.11,negative
I,0.47,0.37,0.4985,0.2095,0.145,negative
