Shell_weight,Class
0.059,negative
0.136,negative
0.081,negative
0.068,negative
0.1515,negative
0.012,negative
0.06,negative
0.1655,negative
0.169,negative
0.148,negative
0.152,negative
0.049,negative
0.0195,negative
0.044,negative
0.054,negative
0.195,negative
0.17,negative
0.195,negative
0.14,negative
0.225,negative
0.125,negative
0.09,negative
0.265,negative
0.065,negative
0.1335,negative
0.165,negative
0.1405,negative
0.158,negative
0.075,negative
0.063,negative
0.08,negative
0.055,negative
0.16,negative
0.195,negative
0.05,negative
0.39,negative
0.315,positive
0.06,negative
0.105,negative
0.105,negative
0.035,negative
0.17,negative
0.155,negative
0.025,negative
0.06,negative
0.145,negative
0.14,negative
0.05,negative
0.075,negative
0.04,negative
0.42,negative
0.295,negative
0.41,negative
0.53,negative
0.33,negative
0.295,negative
0.09,negative
0.12,negative
0.16,positive
0.16,negative
0.08,negative
0.18,negative
0.335,negative
0.175,negative
0.215,negative
0.205,negative
0.24,positive
0.17,negative
0.24,negative
0.245,negative
0.19,negative
0.245,negative
0.265,negative
0.08,negative
0.07,negative
0.12,negative
0.175,negative
0.29,negative
0.185,negative
0.21,negative
0.255,negative
0.345,negative
0.195,negative
0.295,negative
0.19,negative
0.025,negative
0.11,negative
0.085,negative
0.04,negative
0.005,negative
0.005,negative
0.03,negative
0.14,negative
0.1195,negative
0.0875,negative
0.173,negative
0.123,negative
0.1175,negative
0.1105,negative
0.144,negative
0.0795,negative
0.0765,negative
0.1005,negative
0.032,negative
0.063,negative
0.0335,negative
0.083,negative
0.0695,negative
0.063,negative
0.03,negative
0.0245,negative
0.0085,negative
0.005,negative
0.005,negative
0.293,negative
0.4405,negative
0.295,negative
0.155,negative
0.195,negative
0.255,negative
0.165,negative
0.275,negative
0.23,negative
0.1,negative
0.155,negative
0.265,negative
0.22,negative
0.29,negative
0.175,negative
0.205,negative
0.21,negative
0.32,negative
0.125,negative
0.245,negative
0.06,negative
0.215,negative
0.26,negative
0.265,negative
0.265,negative
0.45,negative
0.16,negative
0.28,negative
0.39,negative
0.195,negative
0.14,negative
0.315,negative
0.275,negative
0.525,negative
0.35,negative
0.37,negative
0.31,negative
0.41,negative
0.325,negative
0.335,negative
0.27,negative
0.3,negative
0.47,negative
0.32,negative
0.3,negative
0.07,negative
0.32,negative
0.233,negative
0.278,negative
0.2965,negative
0.17,negative
0.085,negative
0.12,negative
0.185,negative
0.31,negative
0.2,negative
0.195,negative
0.19,negative
0.195,negative
0.3,negative
0.215,negative
0.255,negative
0.085,negative
0.015,negative
0.2905,negative
0.1845,negative
0.262,negative
0.1635,negative
0.262,negative
0.263,negative
0.1685,negative
0.1625,negative
0.3635,negative
0.256,negative
0.234,negative
0.214,negative
0.122,negative
0.2885,negative
0.185,negative
0.117,negative
0.115,negative
0.155,negative
0.065,negative
0.155,negative
0.03,negative
0.24,negative
0.13,negative
0.285,negative
0.205,negative
0.235,negative
0.023,negative
0.018,negative
0.049,negative
0.0535,negative
0.0575,negative
0.062,negative
0.0745,negative
0.054,negative
0.0735,negative
0.0615,negative
0.0605,negative
0.086,negative
0.09,negative
0.082,negative
0.077,negative
0.094,negative
0.106,negative
0.091,negative
0.109,negative
0.0945,negative
0.1465,negative
0.1105,negative
0.1405,negative
0.169,negative
0.089,negative
0.172,negative
0.175,negative
0.1525,negative
0.1775,negative
0.214,negative
0.166,negative
0.239,negative
0.225,negative
0.202,negative
0.21,negative
0.2375,negative
0.283,negative
0.2875,negative
0.2765,negative
0.2385,negative
0.265,negative
0.2745,negative
0.194,negative
0.33,negative
0.32,negative
0.271,negative
0.3095,negative
0.36,negative
0.3205,negative
0.3445,negative
0.3985,negative
0.325,negative
0.292,negative
0.345,negative
0.32,negative
0.2705,negative
0.3685,negative
0.315,negative
0.41,negative
0.411,negative
0.381,negative
0.406,negative
0.33,negative
0.305,negative
0.31,negative
0.399,negative
0.405,negative
0.601,negative
0.453,negative
0.4,negative
0.413,negative
0.455,negative
0.39,negative
0.415,negative
0.475,negative
0.455,negative
0.897,negative
0.0135,negative
0.021,negative
0.017,negative
0.027,negative
0.02,negative
0.0245,negative
0.0345,negative
0.0385,negative
0.043,negative
0.037,negative
0.037,negative
0.0425,negative
0.04,negative
0.321,negative
0.0425,negative
0.05,negative
0.0445,negative
0.055,negative
0.2715,negative
0.42,negative
0.0445,negative
0.055,negative
0.045,negative
0.065,negative
0.067,negative
0.0795,negative
0.055,negative
0.07,negative
0.09,negative
0.1,negative
0.091,negative
0.09,negative
0.1,negative
0.09,negative
0.105,negative
0.1,negative
0.105,negative
0.095,negative
0.1145,negative
0.1125,negative
0.134,negative
0.105,negative
0.1195,negative
0.1195,negative
0.137,negative
0.1335,negative
0.1135,negative
0.119,negative
0.1465,negative
0.1295,negative
0.115,negative
0.113,negative
0.1265,negative
0.143,negative
0.12,negative
0.1095,negative
0.14,negative
0.15,negative
0.146,negative
0.127,negative
0.1575,negative
0.17,negative
0.115,negative
0.14,negative
0.1695,negative
0.129,negative
0.1495,negative
0.1565,negative
0.144,negative
0.135,negative
0.1535,negative
0.1825,negative
0.1785,negative
0.155,negative
0.156,negative
0.19,negative
0.185,negative
0.175,negative
0.1885,negative
0.18,negative
0.1955,negative
0.23,negative
0.155,negative
0.175,negative
0.17,negative
0.205,negative
0.202,negative
0.186,negative
0.2155,negative
0.2195,negative
0.205,negative
0.218,negative
0.275,negative
0.274,negative
0.18,negative
0.295,negative
0.343,negative
0.27,negative
0.24,negative
0.214,negative
0.29,negative
0.249,negative
0.29,negative
0.276,negative
0.2835,negative
0.29,negative
0.237,negative
0.275,negative
0.309,negative
0.25,negative
0.155,negative
0.25,negative
0.274,negative
0.27,negative
0.275,negative
0.295,negative
0.2925,negative
0.3295,negative
0.3085,negative
0.2515,negative
0.33,negative
0.349,negative
0.315,negative
0.401,negative
0.31,negative
0.315,negative
0.388,negative
0.365,negative
0.3745,negative
0.335,negative
0.409,negative
0.405,negative
0.395,negative
0.3235,negative
0.4,negative
0.432,negative
0.3185,negative
0.4,negative
0.336,negative
0.349,negative
0.3,negative
0.385,negative
0.3725,negative
0.46,negative
0.477,negative
0.1825,negative
0.403,negative
0.441,negative
0.5175,negative
0.485,negative
0.335,negative
0.4005,negative
0.435,negative
0.553,negative
0.498,negative
0.405,negative
0.48,negative
0.503,negative
0.4045,negative
0.5475,negative
0.4135,negative
0.405,negative
0.6,negative
0.6205,negative
0.0095,negative
0.011,negative
0.0095,negative
0.007,negative
0.015,negative
0.0215,negative
0.0225,negative
0.025,negative
0.028,negative
0.034,negative
0.03,negative
0.039,negative
0.039,negative
0.0405,negative
0.0635,negative
0.055,negative
0.067,negative
0.065,negative
0.065,negative
0.087,negative
0.093,negative
0.0875,negative
0.106,negative
0.1035,negative
0.105,negative
0.088,negative
0.1035,negative
0.1045,negative
0.096,negative
0.106,negative
0.12,negative
0.117,negative
0.13,negative
0.109,negative
0.1315,negative
0.12,negative
0.0975,negative
0.098,negative
0.102,negative
0.1175,negative
0.129,negative
0.142,negative
0.13,negative
0.115,negative
0.1665,negative
0.141,negative
0.1585,negative
0.17,negative
0.134,negative
0.131,negative
0.1405,negative
0.182,negative
0.1385,negative
0.1525,negative
0.166,negative
0.15,negative
0.185,negative
0.157,negative
0.167,negative
0.254,negative
0.17,negative
0.1835,negative
0.201,negative
0.1405,negative
0.19,negative
0.156,negative
0.19,negative
0.169,negative
0.175,negative
0.223,negative
0.218,negative
0.1895,negative
0.234,negative
0.2165,negative
0.2215,negative
0.245,negative
0.205,negative
0.23,negative
0.206,negative
0.2645,negative
0.25,negative
0.22,negative
0.224,negative
0.265,negative
0.2575,negative
0.222,negative
0.238,negative
0.245,negative
0.26,negative
0.22,negative
0.228,negative
0.265,negative
0.441,negative
0.22,negative
0.253,negative
0.2295,negative
0.265,negative
0.235,negative
0.265,negative
0.24,negative
0.2565,negative
0.24,negative
0.25,negative
0.225,negative
0.292,negative
0.274,negative
0.317,negative
0.357,negative
0.2865,negative
0.2415,negative
0.267,negative
0.27,negative
0.2415,negative
0.285,negative
0.2475,negative
0.2405,negative
0.281,negative
0.286,negative
0.332,negative
0.287,negative
0.3425,negative
0.2885,negative
0.358,negative
0.3735,negative
0.305,negative
0.4245,negative
0.294,negative
0.345,negative
0.364,negative
0.3595,negative
0.476,negative
0.34,negative
0.353,negative
0.4,negative
0.4735,negative
0.39,negative
0.3865,negative
0.3695,negative
0.4375,negative
0.446,negative
0.638,negative
0.3995,negative
0.301,negative
0.4525,negative
0.5075,negative
0.5375,negative
0.42,negative
0.5215,negative
0.4505,negative
0.2685,negative
0.4825,negative
0.5,negative
0.545,negative
0.6785,negative
0.595,negative
0.586,negative
0.15,negative
0.5,negative
0.0225,negative
0.0215,negative
0.025,negative
0.0355,negative
0.038,negative
0.0385,negative
0.09,negative
0.0445,negative
0.048,negative
0.055,negative
0.055,negative
0.05,negative
0.0435,negative
0.065,negative
0.0525,negative
0.064,negative
0.058,negative
0.052,negative
0.06,negative
0.062,negative
0.061,negative
0.0695,negative
0.0755,negative
0.0775,negative
0.065,negative
0.07,negative
0.0755,negative
0.07,negative
0.0745,negative
0.067,negative
0.04,negative
0.0735,negative
0.0655,negative
0.089,negative
0.0945,negative
0.085,negative
0.082,negative
0.06,negative
0.075,negative
0.075,negative
0.1,negative
0.0765,negative
0.106,negative
0.08,negative
0.115,negative
0.1045,negative
0.17,negative
0.082,negative
0.12,negative
0.12,negative
0.12,negative
0.126,negative
0.1245,negative
0.11,negative
0.11,negative
0.114,negative
0.141,negative
0.113,negative
0.135,negative
0.1505,negative
0.115,negative
0.14,negative
0.1505,negative
0.15,negative
0.165,negative
0.132,negative
0.135,negative
0.167,negative
0.1495,negative
0.16,negative
0.1565,negative
0.2065,negative
0.185,negative
0.157,negative
0.196,negative
0.195,negative
0.18,negative
0.18,negative
0.171,negative
0.16,negative
0.205,negative
0.1905,negative
0.175,negative
0.18,negative
0.2045,negative
0.164,negative
0.192,negative
0.167,negative
0.189,negative
0.21,negative
0.154,negative
0.225,negative
0.2075,negative
0.194,negative
0.2175,negative
0.229,negative
0.227,negative
0.207,negative
0.2545,negative
0.185,negative
0.223,negative
0.2,negative
0.2325,negative
0.248,negative
0.255,negative
0.215,negative
0.28,negative
0.23,negative
0.225,negative
0.236,negative
0.2165,negative
0.2695,negative
0.235,negative
0.21,negative
0.225,negative
0.1685,negative
0.219,negative
0.2215,negative
0.245,negative
0.2655,negative
0.2705,negative
0.2125,negative
0.202,negative
0.275,negative
0.306,negative
0.22,negative
0.2955,negative
0.204,negative
0.253,negative
0.235,negative
0.335,negative
0.285,negative
0.274,negative
0.295,negative
0.237,negative
0.2885,negative
0.23,negative
0.31,negative
0.275,negative
0.2255,negative
0.305,negative
0.309,negative
0.27,negative
0.325,negative
0.28,negative
0.269,negative
0.295,negative
0.33,negative
0.315,negative
0.26,negative
0.335,negative
0.275,negative
0.25,negative
0.305,negative
0.286,negative
0.3035,negative
0.347,negative
0.275,negative
0.34,negative
0.2895,negative
0.295,negative
0.3,negative
0.3035,negative
0.3,negative
0.355,negative
0.39,negative
0.355,negative
0.354,negative
0.33,negative
0.315,negative
0.3045,negative
0.321,negative
0.3185,negative
0.345,negative
0.315,negative
0.3365,negative
0.28,negative
0.315,negative
0.3455,negative
0.39,negative
0.323,negative
0.3665,negative
0.31,negative
0.406,negative
0.4075,negative
0.345,negative
0.3725,negative
0.4325,negative
0.405,negative
0.349,negative
0.435,negative
0.375,negative
0.391,negative
0.3985,negative
0.46,negative
0.383,negative
0.3925,negative
0.365,negative
0.3575,negative
0.435,negative
0.3725,negative
0.3745,negative
0.469,negative
0.4975,negative
0.461,negative
0.195,negative
0.512,negative
0.528,negative
0.43,negative
0.45,negative
0.51,negative
0.5365,negative
0.595,negative
0.52,negative
0.565,negative
0.558,negative
0.612,negative
0.7975,negative
0.004,negative
0.036,negative
0.0605,negative
0.053,negative
0.0615,negative
0.067,negative
0.0675,negative
0.0765,negative
0.0825,negative
0.08,negative
0.0855,negative
0.0815,negative
0.0805,negative
0.073,negative
0.103,negative
0.088,negative
0.1075,negative
0.1015,negative
0.1025,negative
0.1135,negative
0.11,negative
0.1065,negative
0.125,negative
0.116,negative
0.1175,negative
0.1365,negative
0.142,negative
0.1165,negative
0.1335,negative
0.147,negative
0.147,negative
0.198,negative
0.1555,negative
0.144,negative
0.1555,negative
0.161,negative
0.17,negative
0.2185,negative
0.17,negative
0.149,negative
0.1735,negative
0.189,negative
0.175,negative
0.203,negative
0.1945,negative
0.215,negative
0.1835,negative
0.22,negative
0.249,negative
0.238,negative
0.2385,negative
0.3055,negative
0.2095,negative
0.2335,negative
0.245,negative
0.2515,negative
0.275,negative
0.288,negative
0.25,negative
0.357,negative
0.2765,negative
0.38,negative
0.3315,negative
0.305,negative
0.251,negative
0.25,negative
0.275,negative
0.312,negative
0.3465,negative
0.305,negative
0.276,negative
0.3245,negative
0.315,negative
0.377,negative
0.4025,negative
0.415,negative
0.43,negative
0.31,negative
0.305,negative
0.329,negative
0.335,negative
0.495,negative
0.4,negative
0.3195,negative
0.215,negative
0.444,negative
0.4195,negative
0.345,negative
0.395,negative
0.41,negative
0.345,negative
0.415,negative
0.4685,negative
0.395,negative
0.461,negative
0.32,negative
0.595,negative
0.388,negative
0.494,negative
0.5015,negative
0.446,negative
0.445,negative
0.013,negative
0.0335,negative
0.0405,negative
0.0415,negative
0.0415,negative
0.05,negative
0.055,negative
0.054,negative
0.058,negative
0.061,negative
0.066,negative
0.055,negative
0.066,negative
0.065,negative
0.07,negative
0.075,negative
0.082,negative
0.07,negative
0.076,negative
0.08,negative
0.0835,negative
0.077,negative
0.073,negative
0.0955,negative
0.075,negative
0.0965,negative
0.09,negative
0.095,negative
0.11,negative
0.105,negative
0.105,negative
0.1345,negative
0.147,negative
0.1205,negative
0.13,negative
0.147,negative
0.12,negative
0.155,negative
0.19,negative
0.112,negative
0.125,negative
0.175,negative
0.15,negative
0.239,negative
0.16,negative
0.143,negative
0.169,negative
0.15,negative
0.19,negative
0.173,negative
0.1935,negative
0.169,negative
0.162,negative
0.138,negative
0.15,negative
0.1275,negative
0.17,negative
0.185,negative
0.165,negative
0.1895,negative
0.2875,negative
0.178,negative
0.175,negative
0.169,negative
0.225,negative
0.177,negative
0.2135,negative
0.195,negative
0.249,negative
0.175,negative
0.24,negative
0.25,negative
0.2295,negative
0.269,negative
0.235,negative
0.225,negative
0.213,negative
0.18,negative
0.1725,negative
0.22,negative
0.259,negative
0.217,negative
0.23,negative
0.2215,negative
0.21,negative
0.17,negative
0.206,negative
0.2765,negative
0.236,negative
0.2,negative
0.2645,negative
0.231,negative
0.27,negative
0.215,negative
0.219,negative
0.21,negative
0.245,negative
0.25,negative
0.2815,negative
0.28,negative
0.1825,negative
0.268,negative
0.34,negative
0.239,negative
0.235,negative
0.355,negative
0.47,negative
0.25,negative
0.254,negative
0.36,negative
0.239,negative
0.23,negative
0.275,negative
0.295,negative
0.2285,negative
0.235,negative
0.253,negative
0.309,negative
0.265,negative
0.26,negative
0.217,negative
0.265,negative
0.2535,negative
0.235,negative
0.3,negative
0.305,negative
0.2725,negative
0.29,negative
0.325,negative
0.275,negative
0.2635,negative
0.275,negative
0.27,negative
0.22,negative
0.24,negative
0.3345,negative
0.431,negative
0.266,negative
0.28,negative
0.3085,negative
0.2945,negative
0.379,negative
0.26,negative
0.31,negative
0.355,negative
0.28,negative
0.311,negative
0.315,negative
0.335,negative
0.395,negative
0.357,negative
0.305,negative
0.313,negative
0.295,negative
0.2965,negative
0.309,negative
0.3,negative
0.3325,negative
0.3105,negative
0.354,negative
0.3145,negative
0.3705,negative
0.278,negative
0.3,negative
0.3995,negative
0.339,negative
0.3035,negative
0.328,negative
0.3615,negative
0.418,negative
0.305,negative
0.38,negative
0.36,negative
0.3685,negative
0.386,negative
0.4435,negative
0.335,negative
0.3845,negative
0.48,negative
0.3745,negative
0.317,negative
0.315,negative
0.415,negative
0.36,negative
0.33,negative
0.35,negative
0.335,negative
0.391,negative
0.378,negative
0.3665,negative
0.365,negative
0.305,negative
0.425,negative
0.363,negative
0.341,negative
0.415,negative
0.495,negative
0.3925,negative
0.353,negative
0.3665,negative
0.32,negative
0.395,negative
0.315,negative
0.308,negative
0.3,negative
0.4275,negative
0.354,negative
0.465,negative
0.3545,negative
0.3965,negative
0.4125,negative
0.4705,negative
0.32,negative
0.512,negative
0.438,negative
0.46,negative
0.54,negative
0.265,negative
0.502,negative
0.48,negative
0.435,negative
0.566,negative
0.485,negative
0.511,negative
0.435,negative
0.503,negative
0.5655,negative
0.557,negative
0.482,negative
0.575,negative
0.63,negative
0.642,negative
0.578,negative
0.0705,negative
0.1125,negative
0.1645,negative
0.1675,negative
0.143,negative
0.117,negative
0.1,negative
0.211,negative
0.1215,negative
0.209,negative
0.12,negative
0.182,negative
0.2365,negative
0.319,negative
0.2825,negative
0.296,negative
0.273,negative
0.252,negative
0.276,negative
0.159,negative
0.1795,negative
0.2105,negative
0.304,negative
0.228,negative
0.403,negative
0.2845,negative
0.3345,negative
0.29,negative
0.344,negative
0.2485,negative
0.213,negative
0.4155,negative
0.258,negative
0.253,negative
0.3285,negative
0.251,negative
0.343,negative
0.297,negative
0.3005,negative
0.315,negative
0.2565,negative
0.3185,negative
0.344,negative
0.3475,negative
0.291,negative
0.31,negative
0.315,negative
0.3965,negative
0.3075,negative
0.466,negative
0.378,negative
0.4375,negative
0.389,negative
0.4215,negative
0.3965,negative
0.455,negative
0.4645,negative
0.5015,negative
0.4425,negative
0.643,negative
0.009,negative
0.018,negative
0.036,negative
0.06,negative
0.06,negative
0.065,negative
0.075,negative
0.07,negative
0.081,negative
0.11,negative
0.11,negative
0.085,negative
0.105,negative
0.0975,negative
0.115,negative
0.1135,negative
0.12,negative
0.098,negative
0.11,negative
0.105,negative
0.1185,negative
0.1185,negative
0.166,negative
0.135,negative
0.1465,negative
0.147,negative
0.154,negative
0.15,negative
0.165,negative
0.191,negative
0.1505,negative
0.15,negative
0.225,negative
0.207,negative
0.195,negative
0.245,negative
0.235,negative
0.14,negative
0.184,negative
0.168,negative
0.165,negative
0.143,negative
0.1425,negative
0.1695,negative
0.21,negative
0.23,negative
0.175,negative
0.24,negative
0.183,negative
0.1875,negative
0.244,negative
0.192,negative
0.295,negative
0.19,negative
0.244,negative
0.25,negative
0.238,negative
0.23,negative
0.214,negative
0.194,negative
0.18,negative
0.22,negative
0.235,negative
0.279,negative
0.23,negative
0.185,negative
0.26,negative
0.255,negative
0.246,negative
0.25,negative
0.265,negative
0.277,negative
0.283,negative
0.238,negative
0.234,negative
0.2265,negative
0.235,negative
0.239,negative
0.295,negative
0.27,negative
0.35,negative
0.225,negative
0.239,negative
0.22,negative
0.269,negative
0.225,negative
0.3005,negative
0.2795,negative
0.242,negative
0.2485,negative
0.223,negative
0.329,negative
0.264,negative
0.3105,negative
0.298,negative
0.352,negative
0.3,negative
0.321,negative
0.27,negative
0.2985,negative
0.265,negative
0.294,negative
0.285,negative
0.2685,negative
0.3225,negative
0.3885,negative
0.285,negative
0.355,negative
0.34,negative
0.5195,negative
0.325,negative
0.335,negative
0.3215,negative
0.361,negative
0.3535,negative
0.304,negative
0.375,negative
0.265,negative
0.289,negative
0.3395,negative
0.412,negative
0.345,negative
