age,job,marital,education,contact,day,month,duration,Class
50,management,married,secondary,unknown,5,may,180,negative
60,blue-collar,married,unknown,unknown,5,may,22,negative
54,retired,married,secondary,unknown,5,may,1492,negative
58,retired,married,unknown,unknown,5,may,616,negative
36,admin.,single,primary,unknown,5,may,242,negative
58,self-employed,married,tertiary,unknown,5,may,355,negative
44,technician,married,secondary,unknown,5,may,225,negative
55,technician,divorced,secondary,unknown,5,may,160,negative
29,management,single,tertiary,unknown,5,may,363,negative
54,blue-collar,married,secondary,unknown,5,may,266,negative
48,management,divorced,tertiary,unknown,5,may,253,negative
32,management,married,tertiary,unknown,5,may,179,negative
42,admin.,single,secondary,unknown,5,may,787,negative
24,technician,single,secondary,unknown,5,may,145,negative
38,entrepreneur,single,tertiary,unknown,5,may,174,negative
38,management,single,tertiary,unknown,5,may,104,negative
47,blue-collar,married,unknown,unknown,5,may,13,negative
40,blue-collar,single,unknown,unknown,5,may,185,negative
46,services,married,primary,unknown,5,may,1778,negative
32,admin.,married,tertiary,unknown,5,may,138,negative
53,technician,divorced,secondary,unknown,5,may,812,negative
57,blue-collar,married,primary,unknown,5,may,164,negative
33,services,married,secondary,unknown,5,may,391,negative
49,blue-collar,married,unknown,unknown,5,may,357,negative
51,management,married,tertiary,unknown,5,may,91,negative
60,retired,married,tertiary,unknown,5,may,528,negative
59,management,divorced,tertiary,unknown,5,may,273,negative
55,technician,married,secondary,unknown,5,may,158,negative
35,blue-collar,single,secondary,unknown,5,may,177,negative
57,blue-collar,married,secondary,unknown,5,may,258,negative
31,services,married,secondary,unknown,5,may,172,negative
54,management,married,secondary,unknown,5,may,154,negative
55,blue-collar,married,primary,unknown,5,may,291,negative
43,technician,married,secondary,unknown,5,may,181,negative
53,technician,married,secondary,unknown,5,may,176,negative
44,blue-collar,married,secondary,unknown,5,may,211,negative
55,services,divorced,secondary,unknown,5,may,349,negative
49,services,divorced,secondary,unknown,5,may,272,negative
55,services,divorced,secondary,unknown,5,may,208,negative
45,admin.,single,secondary,unknown,5,may,193,negative
47,services,divorced,secondary,unknown,5,may,212,negative
42,technician,single,secondary,unknown,5,may,20,negative
46,self-employed,married,tertiary,unknown,5,may,246,negative
51,blue-collar,married,primary,unknown,5,may,529,negative
56,admin.,married,secondary,unknown,5,may,1467,positive
46,management,divorced,secondary,unknown,5,may,188,negative
57,retired,married,secondary,unknown,5,may,180,negative
42,management,single,secondary,unknown,5,may,48,negative
30,technician,married,secondary,unknown,5,may,213,negative
60,admin.,married,secondary,unknown,5,may,583,negative
60,blue-collar,married,unknown,unknown,5,may,221,negative
57,entrepreneur,divorced,secondary,unknown,5,may,173,negative
36,management,married,tertiary,unknown,5,may,426,negative
55,blue-collar,married,secondary,unknown,5,may,287,negative
60,retired,married,tertiary,unknown,5,may,101,negative
39,technician,married,secondary,unknown,5,may,203,negative
46,management,married,tertiary,unknown,5,may,197,negative
44,blue-collar,married,secondary,unknown,5,may,257,negative
53,blue-collar,married,primary,unknown,5,may,124,negative
52,blue-collar,married,primary,unknown,5,may,229,negative
59,blue-collar,married,primary,unknown,5,may,55,negative
27,technician,single,tertiary,unknown,5,may,400,negative
44,blue-collar,married,secondary,unknown,5,may,197,negative
47,technician,married,tertiary,unknown,5,may,190,negative
34,admin.,married,secondary,unknown,5,may,21,negative
59,retired,single,secondary,unknown,5,may,514,negative
45,management,married,tertiary,unknown,5,may,849,negative
29,services,divorced,secondary,unknown,5,may,194,negative
46,technician,divorced,secondary,unknown,5,may,144,negative
56,self-employed,married,primary,unknown,5,may,212,negative
36,blue-collar,married,primary,unknown,5,may,286,negative
59,retired,divorced,primary,unknown,5,may,107,negative
44,blue-collar,married,secondary,unknown,5,may,247,negative
41,admin.,married,secondary,unknown,5,may,518,negative
33,management,single,tertiary,unknown,5,may,364,negative
59,management,divorced,tertiary,unknown,5,may,178,negative
57,technician,married,primary,unknown,5,may,98,negative
56,technician,divorced,unknown,unknown,5,may,439,negative
51,blue-collar,married,secondary,unknown,5,may,79,negative
34,admin.,married,unknown,unknown,5,may,120,negative
43,services,married,secondary,unknown,5,may,127,negative
52,technician,married,tertiary,unknown,5,may,175,negative
33,technician,single,secondary,unknown,5,may,262,negative
29,admin.,single,secondary,unknown,5,may,61,negative
34,services,married,secondary,unknown,5,may,78,negative
31,blue-collar,married,secondary,unknown,5,may,143,negative
55,services,married,secondary,unknown,5,may,579,positive
55,management,married,unknown,unknown,5,may,677,negative
32,admin.,single,secondary,unknown,5,may,345,negative
38,technician,single,secondary,unknown,5,may,185,negative
55,admin.,single,secondary,unknown,5,may,100,negative
28,unemployed,single,tertiary,unknown,5,may,125,negative
23,blue-collar,married,secondary,unknown,5,may,193,negative
32,technician,single,secondary,unknown,5,may,136,negative
43,services,single,unknown,unknown,5,may,73,negative
32,blue-collar,married,secondary,unknown,5,may,528,negative
46,blue-collar,married,secondary,unknown,5,may,541,negative
53,housemaid,divorced,primary,unknown,5,may,163,negative
34,self-employed,single,secondary,unknown,5,may,301,negative
57,unemployed,married,tertiary,unknown,5,may,46,negative
37,blue-collar,married,secondary,unknown,5,may,204,negative
59,blue-collar,married,secondary,unknown,5,may,98,negative
33,services,married,secondary,unknown,5,may,71,negative
56,blue-collar,divorced,primary,unknown,5,may,157,negative
48,unemployed,married,secondary,unknown,5,may,243,negative
43,services,married,primary,unknown,5,may,186,negative
54,blue-collar,married,primary,unknown,5,may,579,negative
51,blue-collar,married,unknown,unknown,5,may,163,negative
26,student,single,secondary,unknown,5,may,610,negative
40,management,married,tertiary,unknown,5,may,2033,negative
39,management,married,secondary,unknown,5,may,85,negative
50,technician,married,primary,unknown,5,may,114,negative
41,services,married,secondary,unknown,5,may,114,negative
51,blue-collar,married,unknown,unknown,5,may,57,negative
60,retired,divorced,secondary,unknown,5,may,238,negative
52,blue-collar,married,secondary,unknown,5,may,93,negative
48,blue-collar,married,secondary,unknown,5,may,128,negative
48,services,married,unknown,unknown,5,may,107,negative
39,technician,single,tertiary,unknown,5,may,181,negative
47,services,single,secondary,unknown,5,may,303,negative
40,blue-collar,married,secondary,unknown,5,may,558,negative
45,technician,married,secondary,unknown,5,may,270,negative
26,admin.,single,secondary,unknown,5,may,228,negative
52,management,married,tertiary,unknown,5,may,99,negative
54,technician,married,secondary,unknown,5,may,240,negative
50,blue-collar,married,primary,unknown,5,may,233,negative
35,blue-collar,married,secondary,unknown,5,may,1056,negative
44,services,married,secondary,unknown,5,may,250,negative
53,entrepreneur,married,unknown,unknown,5,may,252,negative
35,retired,single,primary,unknown,5,may,138,negative
60,admin.,divorced,secondary,unknown,5,may,130,negative
53,admin.,divorced,secondary,unknown,5,may,412,negative
48,unemployed,married,secondary,unknown,5,may,179,negative
34,technician,married,secondary,unknown,5,may,19,negative
54,services,married,secondary,unknown,5,may,458,negative
51,management,married,secondary,unknown,5,may,717,negative
31,services,married,tertiary,unknown,5,may,313,negative
35,technician,divorced,secondary,unknown,5,may,683,negative
35,services,married,secondary,unknown,5,may,1077,negative
38,technician,married,secondary,unknown,5,may,416,negative
36,admin.,married,tertiary,unknown,5,may,146,negative
58,retired,married,primary,unknown,5,may,167,negative
40,services,divorced,unknown,unknown,5,may,315,negative
54,management,married,secondary,unknown,5,may,140,negative
34,blue-collar,single,secondary,unknown,5,may,346,negative
31,management,single,tertiary,unknown,5,may,562,negative
51,retired,married,secondary,unknown,5,may,172,negative
33,management,married,tertiary,unknown,5,may,217,negative
55,management,married,tertiary,unknown,5,may,142,negative
42,admin.,married,secondary,unknown,5,may,67,negative
34,blue-collar,married,secondary,unknown,5,may,291,negative
33,blue-collar,single,secondary,unknown,5,may,309,negative
38,services,married,secondary,unknown,5,may,248,negative
50,technician,divorced,tertiary,unknown,5,may,98,negative
43,management,married,tertiary,unknown,5,may,256,negative
61,blue-collar,divorced,primary,unknown,5,may,82,negative
47,admin.,married,secondary,unknown,5,may,577,negative
48,self-employed,married,tertiary,unknown,5,may,286,negative
44,blue-collar,married,secondary,unknown,5,may,477,negative
35,student,single,unknown,unknown,5,may,611,negative
35,services,married,secondary,unknown,5,may,471,negative
50,services,married,secondary,unknown,5,may,381,negative
41,management,married,tertiary,unknown,5,may,42,negative
41,management,married,tertiary,unknown,5,may,251,negative
39,services,single,unknown,unknown,5,may,408,negative
42,retired,married,secondary,unknown,5,may,215,negative
38,blue-collar,married,secondary,unknown,5,may,287,negative
53,retired,married,secondary,unknown,5,may,216,negative
59,housemaid,divorced,primary,unknown,5,may,366,negative
36,services,married,secondary,unknown,5,may,210,negative
54,blue-collar,married,primary,unknown,5,may,288,negative
40,technician,married,tertiary,unknown,5,may,168,negative
47,unknown,married,unknown,unknown,5,may,338,negative
53,unemployed,married,unknown,unknown,5,may,410,negative
46,housemaid,married,primary,unknown,5,may,177,negative
39,management,married,tertiary,unknown,5,may,127,negative
40,unemployed,married,secondary,unknown,5,may,357,negative
28,blue-collar,married,primary,unknown,5,may,175,negative
35,entrepreneur,divorced,secondary,unknown,5,may,300,negative
55,retired,married,secondary,unknown,5,may,136,negative
43,technician,divorced,unknown,unknown,5,may,1419,negative
48,blue-collar,married,primary,unknown,5,may,125,negative
58,management,married,unknown,unknown,5,may,213,negative
33,management,single,tertiary,unknown,5,may,27,negative
36,blue-collar,married,unknown,unknown,5,may,238,negative
53,services,divorced,secondary,unknown,5,may,124,negative
47,blue-collar,married,primary,unknown,5,may,18,negative
31,services,married,secondary,unknown,5,may,730,negative
57,entrepreneur,married,secondary,unknown,5,may,746,negative
53,blue-collar,married,unknown,unknown,5,may,121,negative
55,blue-collar,married,primary,unknown,5,may,247,negative
45,blue-collar,married,primary,unknown,5,may,40,negative
53,admin.,divorced,secondary,unknown,5,may,181,negative
37,blue-collar,married,primary,unknown,5,may,79,negative
44,admin.,divorced,secondary,unknown,5,may,206,negative
49,blue-collar,divorced,primary,unknown,5,may,389,negative
46,technician,married,secondary,unknown,5,may,127,negative
43,entrepreneur,married,unknown,unknown,5,may,702,negative
38,admin.,married,secondary,unknown,5,may,151,negative
43,technician,married,secondary,unknown,5,may,117,negative
49,management,married,tertiary,unknown,5,may,232,negative
42,management,married,unknown,unknown,5,may,408,negative
22,blue-collar,single,secondary,unknown,5,may,179,negative
40,management,married,tertiary,unknown,5,may,39,negative
39,blue-collar,married,secondary,unknown,5,may,282,negative
51,services,married,secondary,unknown,5,may,714,negative
49,admin.,married,secondary,unknown,5,may,50,negative
53,blue-collar,married,secondary,unknown,5,may,181,negative
34,services,single,secondary,unknown,5,may,142,negative
33,technician,divorced,secondary,unknown,5,may,227,negative
50,management,single,tertiary,unknown,5,may,119,negative
39,blue-collar,married,primary,unknown,5,may,361,negative
59,entrepreneur,divorced,secondary,unknown,5,may,73,negative
30,technician,single,secondary,unknown,5,may,67,negative
36,services,married,secondary,unknown,5,may,350,negative
40,blue-collar,married,secondary,unknown,5,may,332,negative
53,blue-collar,married,secondary,unknown,5,may,611,negative
34,management,single,tertiary,unknown,5,may,113,negative
37,technician,married,secondary,unknown,5,may,132,negative
42,management,divorced,tertiary,unknown,5,may,58,negative
41,entrepreneur,married,primary,unknown,5,may,151,negative
30,student,single,tertiary,unknown,5,may,89,negative
37,management,single,tertiary,unknown,5,may,152,negative
39,admin.,divorced,secondary,unknown,5,may,611,negative
41,blue-collar,married,primary,unknown,5,may,110,negative
40,blue-collar,married,primary,unknown,5,may,463,negative
42,management,single,tertiary,unknown,5,may,562,positive
40,blue-collar,divorced,primary,unknown,5,may,962,negative
57,technician,married,secondary,unknown,5,may,10,negative
56,entrepreneur,divorced,secondary,unknown,5,may,118,negative
37,admin.,married,secondary,unknown,5,may,92,negative
59,retired,married,secondary,unknown,5,may,143,negative
39,services,divorced,secondary,unknown,5,may,189,negative
49,services,married,secondary,unknown,5,may,234,negative
38,services,single,secondary,unknown,5,may,75,negative
36,self-employed,married,tertiary,unknown,5,may,189,negative
50,blue-collar,married,primary,unknown,5,may,621,negative
41,admin.,married,secondary,unknown,5,may,55,negative
54,technician,married,tertiary,unknown,5,may,310,negative
58,blue-collar,married,primary,unknown,5,may,156,negative
30,blue-collar,single,secondary,unknown,5,may,5,negative
33,admin.,single,secondary,unknown,5,may,225,negative
47,admin.,married,secondary,unknown,5,may,125,negative
50,technician,single,tertiary,unknown,5,may,2,negative
32,blue-collar,married,secondary,unknown,5,may,286,negative
40,self-employed,married,secondary,unknown,5,may,164,negative
37,management,married,tertiary,unknown,5,may,98,negative
54,technician,single,unknown,unknown,5,may,742,negative
24,student,single,secondary,unknown,5,may,226,negative
54,management,married,tertiary,unknown,5,may,120,negative
34,technician,married,secondary,unknown,5,may,362,negative
56,technician,divorced,primary,unknown,5,may,357,negative
31,blue-collar,single,secondary,unknown,5,may,200,negative
24,student,single,secondary,unknown,5,may,204,negative
42,blue-collar,divorced,primary,unknown,5,may,126,negative
57,technician,married,secondary,unknown,5,may,65,negative
42,blue-collar,married,unknown,unknown,5,may,107,negative
51,admin.,married,secondary,unknown,5,may,267,negative
57,retired,married,secondary,unknown,5,may,248,negative
36,services,single,secondary,unknown,5,may,215,negative
53,services,married,unknown,unknown,5,may,209,negative
50,technician,married,secondary,unknown,5,may,205,negative
54,management,married,tertiary,unknown,5,may,83,negative
55,blue-collar,married,secondary,unknown,5,may,106,negative
44,blue-collar,married,secondary,unknown,5,may,189,negative
43,management,married,unknown,unknown,5,may,105,negative
56,admin.,married,secondary,unknown,5,may,106,negative
54,technician,married,unknown,unknown,5,may,108,negative
55,services,divorced,primary,unknown,5,may,311,negative
37,services,divorced,secondary,unknown,5,may,214,negative
33,admin.,single,tertiary,unknown,5,may,132,negative
46,admin.,married,secondary,unknown,5,may,358,negative
36,blue-collar,married,secondary,unknown,5,may,453,negative
51,technician,single,secondary,unknown,5,may,364,negative
40,retired,single,primary,unknown,5,may,136,negative
42,blue-collar,married,secondary,unknown,5,may,386,negative
51,blue-collar,married,secondary,unknown,5,may,173,negative
49,blue-collar,married,unknown,unknown,5,may,241,negative
48,management,married,secondary,unknown,5,may,224,negative
32,technician,divorced,tertiary,unknown,5,may,148,negative
31,admin.,single,secondary,unknown,5,may,196,negative
55,management,single,tertiary,unknown,5,may,111,negative
40,blue-collar,single,secondary,unknown,5,may,231,negative
47,technician,married,tertiary,unknown,5,may,316,negative
57,technician,married,unknown,unknown,5,may,216,negative
41,blue-collar,married,secondary,unknown,5,may,240,negative
48,blue-collar,married,secondary,unknown,5,may,669,negative
42,blue-collar,married,unknown,unknown,5,may,425,negative
30,blue-collar,single,secondary,unknown,5,may,143,negative
58,management,single,tertiary,unknown,5,may,174,negative
45,management,divorced,tertiary,unknown,5,may,313,negative
49,blue-collar,married,secondary,unknown,5,may,135,negative
42,admin.,single,secondary,unknown,5,may,146,negative
53,technician,married,secondary,unknown,5,may,152,negative
51,admin.,single,secondary,unknown,5,may,402,negative
32,services,single,secondary,unknown,5,may,213,negative
41,blue-collar,single,secondary,unknown,5,may,144,negative
43,management,divorced,secondary,unknown,5,may,124,negative
40,blue-collar,divorced,secondary,unknown,5,may,183,negative
50,blue-collar,married,primary,unknown,5,may,325,negative
34,management,married,tertiary,unknown,5,may,39,negative
53,services,married,unknown,unknown,5,may,503,negative
45,technician,married,secondary,unknown,5,may,95,negative
39,blue-collar,married,primary,unknown,5,may,680,negative
44,services,married,tertiary,unknown,5,may,421,negative
55,management,married,tertiary,unknown,5,may,174,negative
46,management,single,tertiary,unknown,5,may,113,negative
45,blue-collar,married,secondary,unknown,5,may,808,negative
34,admin.,married,secondary,unknown,5,may,198,negative
36,blue-collar,married,secondary,unknown,5,may,195,negative
59,unknown,divorced,unknown,unknown,5,may,347,negative
31,admin.,single,secondary,unknown,5,may,208,negative
44,blue-collar,single,secondary,unknown,5,may,404,negative
33,entrepreneur,single,tertiary,unknown,5,may,396,negative
40,blue-collar,married,secondary,unknown,5,may,216,negative
46,admin.,single,tertiary,unknown,5,may,98,negative
48,management,married,tertiary,unknown,5,may,350,negative
42,services,married,secondary,unknown,6,may,114,negative
27,services,married,secondary,unknown,6,may,88,negative
48,admin.,married,secondary,unknown,6,may,379,negative
59,admin.,married,secondary,unknown,6,may,190,negative
46,technician,married,tertiary,unknown,6,may,158,negative
38,admin.,divorced,secondary,unknown,6,may,102,negative
43,management,divorced,tertiary,unknown,6,may,306,negative
38,admin.,divorced,tertiary,unknown,6,may,218,negative
23,student,single,secondary,unknown,6,may,54,negative
34,services,married,secondary,unknown,6,may,344,negative
38,admin.,married,secondary,unknown,6,may,195,negative
37,blue-collar,married,secondary,unknown,6,may,652,negative
25,admin.,single,secondary,unknown,6,may,286,negative
48,blue-collar,married,unknown,unknown,6,may,189,negative
49,blue-collar,single,secondary,unknown,6,may,83,negative
38,admin.,single,secondary,unknown,6,may,184,negative
43,blue-collar,married,primary,unknown,6,may,235,negative
33,management,married,tertiary,unknown,6,may,290,negative
55,blue-collar,married,secondary,unknown,6,may,232,negative
38,blue-collar,married,secondary,unknown,6,may,133,negative
49,services,married,secondary,unknown,6,may,318,negative
40,management,married,secondary,unknown,6,may,260,negative
43,admin.,married,unknown,unknown,6,may,437,negative
38,blue-collar,married,secondary,unknown,6,may,402,negative
58,services,married,secondary,unknown,6,may,85,negative
57,technician,married,unknown,unknown,6,may,125,negative
32,unemployed,married,secondary,unknown,6,may,501,negative
58,blue-collar,divorced,unknown,unknown,6,may,253,negative
37,technician,married,tertiary,unknown,6,may,149,negative
46,technician,divorced,tertiary,unknown,6,may,114,negative
27,admin.,married,secondary,unknown,6,may,243,negative
43,blue-collar,married,secondary,unknown,6,may,769,negative
32,technician,single,secondary,unknown,6,may,135,negative
40,admin.,single,secondary,unknown,6,may,231,negative
38,admin.,married,secondary,unknown,6,may,76,negative
34,blue-collar,married,secondary,unknown,6,may,199,negative
47,blue-collar,married,primary,unknown,6,may,152,negative
42,housemaid,married,primary,unknown,6,may,124,negative
48,technician,married,secondary,unknown,6,may,424,negative
29,self-employed,single,tertiary,unknown,6,may,43,negative
50,services,married,secondary,unknown,6,may,154,negative
52,technician,married,unknown,unknown,6,may,203,negative
50,management,married,tertiary,unknown,6,may,326,negative
58,retired,married,tertiary,unknown,6,may,393,negative
46,blue-collar,divorced,primary,unknown,6,may,241,negative
38,technician,married,secondary,unknown,6,may,483,negative
46,blue-collar,married,secondary,unknown,6,may,259,negative
32,services,single,secondary,unknown,6,may,227,negative
51,blue-collar,married,primary,unknown,6,may,673,negative
39,admin.,single,secondary,unknown,6,may,576,negative
48,admin.,married,secondary,unknown,6,may,180,negative
36,entrepreneur,married,tertiary,unknown,6,may,168,negative
34,admin.,divorced,secondary,unknown,6,may,90,negative
40,technician,married,secondary,unknown,6,may,505,negative
43,unemployed,married,secondary,unknown,6,may,245,negative
52,blue-collar,divorced,primary,unknown,6,may,186,negative
33,technician,married,secondary,unknown,6,may,623,negative
49,management,single,tertiary,unknown,6,may,496,negative
32,management,single,tertiary,unknown,6,may,118,negative
39,admin.,single,secondary,unknown,6,may,342,negative
40,blue-collar,married,secondary,unknown,6,may,225,negative
38,technician,single,tertiary,unknown,6,may,185,negative
43,management,married,secondary,unknown,6,may,196,negative
39,services,married,secondary,unknown,6,may,276,negative
54,blue-collar,married,primary,unknown,6,may,76,negative
38,technician,single,tertiary,unknown,6,may,87,negative
40,blue-collar,married,secondary,unknown,6,may,195,negative
55,admin.,married,secondary,unknown,6,may,744,negative
42,management,married,tertiary,unknown,6,may,765,negative
39,blue-collar,married,secondary,unknown,6,may,262,negative
40,blue-collar,married,primary,unknown,6,may,119,negative
32,blue-collar,married,secondary,unknown,6,may,198,negative
55,admin.,married,secondary,unknown,6,may,150,negative
45,blue-collar,married,secondary,unknown,6,may,241,negative
35,management,single,tertiary,unknown,6,may,181,negative
58,technician,divorced,secondary,unknown,6,may,196,negative
35,admin.,married,secondary,unknown,6,may,149,negative
49,services,married,primary,unknown,6,may,246,negative
34,technician,single,tertiary,unknown,6,may,112,negative
36,blue-collar,married,secondary,unknown,6,may,309,negative
24,self-employed,single,secondary,unknown,6,may,278,negative
34,technician,married,secondary,unknown,6,may,140,negative
51,admin.,divorced,secondary,unknown,6,may,136,negative
50,self-employed,married,unknown,unknown,6,may,101,negative
32,services,single,secondary,unknown,6,may,144,negative
42,blue-collar,married,unknown,unknown,6,may,238,negative
50,technician,married,secondary,unknown,6,may,354,negative
40,services,married,secondary,unknown,6,may,79,negative
46,management,divorced,unknown,unknown,6,may,187,negative
37,management,married,tertiary,unknown,6,may,451,negative
34,blue-collar,married,secondary,unknown,6,may,159,negative
44,blue-collar,married,secondary,unknown,6,may,409,negative
40,admin.,single,secondary,unknown,6,may,170,negative
37,technician,married,secondary,unknown,6,may,608,positive
33,blue-collar,single,secondary,unknown,6,may,243,negative
35,blue-collar,married,secondary,unknown,6,may,145,negative
58,blue-collar,divorced,secondary,unknown,6,may,112,negative
39,blue-collar,married,primary,unknown,6,may,262,negative
43,blue-collar,married,secondary,unknown,6,may,124,negative
39,unemployed,married,primary,unknown,6,may,53,negative
36,services,single,primary,unknown,6,may,134,negative
57,retired,single,secondary,unknown,6,may,204,negative
36,admin.,single,secondary,unknown,6,may,186,negative
50,blue-collar,married,primary,unknown,6,may,678,negative
55,blue-collar,married,secondary,unknown,6,may,182,negative
44,self-employed,married,tertiary,unknown,6,may,162,negative
44,services,divorced,secondary,unknown,6,may,27,negative
39,housemaid,single,primary,unknown,6,may,699,negative
46,blue-collar,married,unknown,unknown,6,may,43,negative
39,blue-collar,married,secondary,unknown,6,may,97,negative
40,blue-collar,married,primary,unknown,6,may,283,negative
50,management,married,tertiary,unknown,6,may,323,negative
31,management,single,secondary,unknown,6,may,82,negative
37,admin.,single,secondary,unknown,6,may,310,negative
39,management,single,secondary,unknown,6,may,185,negative
51,blue-collar,married,primary,unknown,6,may,47,negative
41,technician,married,secondary,unknown,6,may,145,negative
41,technician,married,secondary,unknown,6,may,204,negative
43,blue-collar,married,secondary,unknown,6,may,187,negative
30,services,single,secondary,unknown,6,may,30,negative
54,management,divorced,primary,unknown,6,may,472,negative
43,blue-collar,divorced,secondary,unknown,6,may,448,negative
59,management,divorced,tertiary,unknown,6,may,264,negative
47,technician,married,unknown,unknown,6,may,169,negative
40,blue-collar,married,primary,unknown,6,may,288,negative
32,technician,married,secondary,unknown,6,may,176,negative
29,blue-collar,married,secondary,unknown,6,may,215,negative
36,blue-collar,married,secondary,unknown,6,may,337,negative
55,unemployed,married,tertiary,unknown,6,may,278,negative
30,blue-collar,divorced,secondary,unknown,6,may,188,negative
39,admin.,single,secondary,unknown,6,may,174,negative
39,blue-collar,divorced,secondary,unknown,6,may,226,negative
50,blue-collar,divorced,secondary,unknown,6,may,190,negative
44,blue-collar,married,secondary,unknown,6,may,111,negative
37,technician,single,secondary,unknown,6,may,164,negative
46,admin.,married,primary,unknown,6,may,157,negative
32,technician,single,unknown,unknown,6,may,46,negative
37,management,single,tertiary,unknown,6,may,374,negative
29,blue-collar,married,secondary,unknown,6,may,349,negative
41,blue-collar,married,secondary,unknown,6,may,325,negative
45,blue-collar,married,primary,unknown,6,may,233,negative
57,retired,divorced,secondary,unknown,6,may,531,negative
48,blue-collar,single,secondary,unknown,6,may,153,negative
60,retired,married,secondary,unknown,6,may,80,negative
26,admin.,single,secondary,unknown,6,may,232,negative
58,retired,married,secondary,unknown,6,may,118,negative
34,admin.,married,secondary,unknown,6,may,190,negative
41,blue-collar,married,primary,unknown,6,may,238,negative
50,management,divorced,secondary,unknown,6,may,82,negative
49,entrepreneur,married,secondary,unknown,6,may,198,negative
44,admin.,married,unknown,unknown,6,may,160,negative
44,blue-collar,married,primary,unknown,6,may,211,negative
31,technician,married,secondary,unknown,6,may,120,negative
34,blue-collar,single,tertiary,unknown,6,may,136,negative
46,management,single,unknown,unknown,6,may,269,negative
42,management,married,tertiary,unknown,6,may,157,negative
52,admin.,married,secondary,unknown,6,may,128,negative
29,management,single,tertiary,unknown,6,may,211,negative
53,retired,married,primary,unknown,6,may,267,negative
43,blue-collar,married,secondary,unknown,6,may,371,negative
38,management,married,secondary,unknown,6,may,288,negative
46,management,married,tertiary,unknown,6,may,221,negative
48,management,divorced,unknown,unknown,6,may,427,negative
30,admin.,divorced,secondary,unknown,6,may,310,negative
44,blue-collar,married,primary,unknown,6,may,158,negative
31,housemaid,married,primary,unknown,6,may,604,negative
42,services,single,secondary,unknown,6,may,198,negative
40,management,single,tertiary,unknown,6,may,145,negative
52,admin.,married,secondary,unknown,6,may,247,negative
45,blue-collar,divorced,secondary,unknown,6,may,179,negative
48,blue-collar,married,secondary,unknown,6,may,73,negative
45,blue-collar,married,primary,unknown,6,may,263,negative
34,blue-collar,married,unknown,unknown,6,may,13,negative
34,blue-collar,married,primary,unknown,6,may,79,negative
46,blue-collar,married,secondary,unknown,6,may,416,negative
49,services,divorced,secondary,unknown,6,may,162,negative
50,technician,married,primary,unknown,6,may,129,negative
34,admin.,single,secondary,unknown,6,may,150,negative
40,unemployed,single,secondary,unknown,6,may,43,negative
36,admin.,married,secondary,unknown,6,may,191,negative
59,blue-collar,divorced,unknown,unknown,6,may,26,negative
45,blue-collar,married,secondary,unknown,6,may,250,negative
36,self-employed,married,tertiary,unknown,6,may,146,negative
56,services,married,secondary,unknown,6,may,416,negative
42,services,divorced,secondary,unknown,6,may,121,negative
30,admin.,married,secondary,unknown,6,may,114,negative
30,student,single,tertiary,unknown,6,may,289,negative
47,self-employed,married,unknown,unknown,6,may,225,negative
33,blue-collar,married,secondary,unknown,6,may,123,negative
36,admin.,married,secondary,unknown,6,may,130,negative
39,services,divorced,primary,unknown,6,may,161,negative
56,admin.,divorced,secondary,unknown,6,may,149,negative
39,blue-collar,divorced,unknown,unknown,6,may,268,negative
