age,job,marital,education,housing,loan,contact,day,month,duration,pdays,poutcome,Class
52,blue-collar,married,primary,yes,no,unknown,5,may,229,-1,unknown,negative
59,blue-collar,married,primary,yes,no,unknown,5,may,55,-1,unknown,negative
27,technician,single,tertiary,yes,no,unknown,5,may,400,-1,unknown,negative
44,blue-collar,married,secondary,yes,no,unknown,5,may,197,-1,unknown,negative
47,technician,married,tertiary,yes,no,unknown,5,may,190,-1,unknown,negative
34,admin.,married,secondary,no,yes,unknown,5,may,21,-1,unknown,negative
59,retired,single,secondary,yes,no,unknown,5,may,514,-1,unknown,negative
45,management,married,tertiary,yes,no,unknown,5,may,849,-1,unknown,negative
29,services,divorced,secondary,yes,no,unknown,5,may,194,-1,unknown,negative
46,technician,divorced,secondary,no,no,unknown,5,may,144,-1,unknown,negative
56,self-employed,married,primary,yes,yes,unknown,5,may,212,-1,unknown,negative
36,blue-collar,married,primary,yes,no,unknown,5,may,286,-1,unknown,negative
59,retired,divorced,primary,yes,no,unknown,5,may,107,-1,unknown,negative
44,blue-collar,married,secondary,yes,no,unknown,5,may,247,-1,unknown,negative
41,admin.,married,secondary,yes,no,unknown,5,may,518,-1,unknown,negative
33,management,single,tertiary,yes,no,unknown,5,may,364,-1,unknown,negative
59,management,divorced,tertiary,no,no,unknown,5,may,178,-1,unknown,negative
57,technician,married,primary,no,no,unknown,5,may,98,-1,unknown,negative
56,technician,divorced,unknown,yes,no,unknown,5,may,439,-1,unknown,negative
51,blue-collar,married,secondary,yes,no,unknown,5,may,79,-1,unknown,negative
34,admin.,married,unknown,yes,no,unknown,5,may,120,-1,unknown,negative
43,services,married,secondary,yes,yes,unknown,5,may,127,-1,unknown,negative
52,technician,married,tertiary,no,yes,unknown,5,may,175,-1,unknown,negative
33,technician,single,secondary,yes,no,unknown,5,may,262,-1,unknown,negative
29,admin.,single,secondary,yes,yes,unknown,5,may,61,-1,unknown,negative
34,services,married,secondary,yes,yes,unknown,5,may,78,-1,unknown,negative
31,blue-collar,married,secondary,yes,no,unknown,5,may,143,-1,unknown,negative
55,services,married,secondary,yes,no,unknown,5,may,579,-1,unknown,positive
55,management,married,unknown,no,no,unknown,5,may,677,-1,unknown,negative
32,admin.,single,secondary,yes,no,unknown,5,may,345,-1,unknown,negative
38,technician,single,secondary,yes,no,unknown,5,may,185,-1,unknown,negative
55,admin.,single,secondary,yes,yes,unknown,5,may,100,-1,unknown,negative
28,unemployed,single,tertiary,yes,no,unknown,5,may,125,-1,unknown,negative
23,blue-collar,married,secondary,yes,no,unknown,5,may,193,-1,unknown,negative
32,technician,single,secondary,yes,no,unknown,5,may,136,-1,unknown,negative
43,services,single,unknown,no,no,unknown,5,may,73,-1,unknown,negative
32,blue-collar,married,secondary,yes,no,unknown,5,may,528,-1,unknown,negative
46,blue-collar,married,secondary,yes,no,unknown,5,may,541,-1,unknown,negative
53,housemaid,divorced,primary,yes,no,unknown,5,may,163,-1,unknown,negative
34,self-employed,single,secondary,yes,no,unknown,5,may,301,-1,unknown,negative
57,unemployed,married,tertiary,no,no,unknown,5,may,46,-1,unknown,negative
37,blue-collar,married,secondary,yes,no,unknown,5,may,204,-1,unknown,negative
59,blue-collar,married,secondary,yes,no,unknown,5,may,98,-1,unknown,negative
33,services,married,secondary,yes,no,unknown,5,may,71,-1,unknown,negative
56,blue-collar,divorced,primary,yes,no,unknown,5,may,157,-1,unknown,negative
48,unemployed,married,secondary,yes,no,unknown,5,may,243,-1,unknown,negative
43,services,married,primary,yes,no,unknown,5,may,186,-1,unknown,negative
54,blue-collar,married,primary,yes,no,unknown,5,may,579,-1,unknown,negative
51,blue-collar,married,unknown,yes,no,unknown,5,may,163,-1,unknown,negative
26,student,single,secondary,yes,no,unknown,5,may,610,-1,unknown,negative
40,management,married,tertiary,yes,no,unknown,5,may,2033,-1,unknown,negative
39,management,married,secondary,yes,no,unknown,5,may,85,-1,unknown,negative
50,technician,married,primary,no,no,unknown,5,may,114,-1,unknown,negative
41,services,married,secondary,yes,no,unknown,5,may,114,-1,unknown,negative
51,blue-collar,married,unknown,yes,no,unknown,5,may,57,-1,unknown,negative
60,retired,divorced,secondary,yes,no,unknown,5,may,238,-1,unknown,negative
52,blue-collar,married,secondary,yes,no,unknown,5,may,93,-1,unknown,negative
48,blue-collar,married,secondary,yes,no,unknown,5,may,128,-1,unknown,negative
48,services,married,unknown,yes,no,unknown,5,may,107,-1,unknown,negative
39,technician,single,tertiary,yes,no,unknown,5,may,181,-1,unknown,negative
47,services,single,secondary,yes,no,unknown,5,may,303,-1,unknown,negative
40,blue-collar,married,secondary,yes,no,unknown,5,may,558,-1,unknown,negative
45,technician,married,secondary,yes,no,unknown,5,may,270,-1,unknown,negative
26,admin.,single,secondary,yes,no,unknown,5,may,228,-1,unknown,negative
52,management,married,tertiary,yes,no,unknown,5,may,99,-1,unknown,negative
54,technician,married,secondary,yes,no,unknown,5,may,240,-1,unknown,negative
50,blue-collar,married,primary,no,no,unknown,5,may,233,-1,unknown,negative
35,blue-collar,married,secondary,yes,no,unknown,5,may,1056,-1,unknown,negative
44,services,married,secondary,yes,yes,unknown,5,may,250,-1,unknown,negative
53,entrepreneur,married,unknown,yes,no,unknown,5,may,252,-1,unknown,negative
35,retired,single,primary,no,no,unknown,5,may,138,-1,unknown,negative
60,admin.,divorced,secondary,yes,no,unknown,5,may,130,-1,unknown,negative
53,admin.,divorced,secondary,yes,no,unknown,5,may,412,-1,unknown,negative
48,unemployed,married,secondary,yes,no,unknown,5,may,179,-1,unknown,negative
34,technician,married,secondary,yes,no,unknown,5,may,19,-1,unknown,negative
54,services,married,secondary,yes,no,unknown,5,may,458,-1,unknown,negative
51,management,married,secondary,yes,no,unknown,5,may,717,-1,unknown,negative
31,services,married,tertiary,yes,no,unknown,5,may,313,-1,unknown,negative
35,technician,divorced,secondary,yes,no,unknown,5,may,683,-1,unknown,negative
35,services,married,secondary,yes,no,unknown,5,may,1077,-1,unknown,negative
38,technician,married,secondary,yes,no,unknown,5,may,416,-1,unknown,negative
36,admin.,married,tertiary,yes,no,unknown,5,may,146,-1,unknown,negative
58,retired,married,primary,yes,no,unknown,5,may,167,-1,unknown,negative
40,services,divorced,unknown,yes,no,unknown,5,may,315,-1,unknown,negative
54,management,married,secondary,no,no,unknown,5,may,140,-1,unknown,negative
34,blue-collar,single,secondary,yes,yes,unknown,5,may,346,-1,unknown,negative
31,management,single,tertiary,yes,no,unknown,5,may,562,-1,unknown,negative
51,retired,married,secondary,yes,no,unknown,5,may,172,-1,unknown,negative
33,management,married,tertiary,yes,no,unknown,5,may,217,-1,unknown,negative
55,management,married,tertiary,yes,no,unknown,5,may,142,-1,unknown,negative
42,admin.,married,secondary,yes,no,unknown,5,may,67,-1,unknown,negative
34,blue-collar,married,secondary,yes,no,unknown,5,may,291,-1,unknown,negative
33,blue-collar,single,secondary,yes,no,unknown,5,may,309,-1,unknown,negative
38,services,married,secondary,yes,no,unknown,5,may,248,-1,unknown,negative
50,technician,divorced,tertiary,no,yes,unknown,5,may,98,-1,unknown,negative
43,management,married,tertiary,yes,no,unknown,5,may,256,-1,unknown,negative
61,blue-collar,divorced,primary,yes,no,unknown,5,may,82,-1,unknown,negative
47,admin.,married,secondary,yes,no,unknown,5,may,577,-1,unknown,negative
48,self-employed,married,tertiary,yes,no,unknown,5,may,286,-1,unknown,negative
44,blue-collar,married,secondary,yes,no,unknown,5,may,477,-1,unknown,negative
35,student,single,unknown,yes,no,unknown,5,may,611,-1,unknown,negative
35,services,married,secondary,yes,no,unknown,5,may,471,-1,unknown,negative
50,services,married,secondary,yes,no,unknown,5,may,381,-1,unknown,negative
41,management,married,tertiary,yes,yes,unknown,5,may,42,-1,unknown,negative
41,management,married,tertiary,yes,no,unknown,5,may,251,-1,unknown,negative
39,services,single,unknown,yes,no,unknown,5,may,408,-1,unknown,negative
42,retired,married,secondary,yes,no,unknown,5,may,215,-1,unknown,negative
38,blue-collar,married,secondary,yes,no,unknown,5,may,287,-1,unknown,negative
53,retired,married,secondary,yes,no,unknown,5,may,216,-1,unknown,negative
59,housemaid,divorced,primary,no,no,unknown,5,may,366,-1,unknown,negative
36,services,married,secondary,yes,no,unknown,5,may,210,-1,unknown,negative
54,blue-collar,married,primary,yes,no,unknown,5,may,288,-1,unknown,negative
40,technician,married,tertiary,yes,no,unknown,5,may,168,-1,unknown,negative
47,unknown,married,unknown,no,no,unknown,5,may,338,-1,unknown,negative
53,unemployed,married,unknown,no,no,unknown,5,may,410,-1,unknown,negative
46,housemaid,married,primary,no,no,unknown,5,may,177,-1,unknown,negative
39,management,married,tertiary,yes,yes,unknown,5,may,127,-1,unknown,negative
40,unemployed,married,secondary,yes,no,unknown,5,may,357,-1,unknown,negative
28,blue-collar,married,primary,yes,no,unknown,5,may,175,-1,unknown,negative
35,entrepreneur,divorced,secondary,yes,no,unknown,5,may,300,-1,unknown,negative
55,retired,married,secondary,no,yes,unknown,5,may,136,-1,unknown,negative
43,technician,divorced,unknown,yes,no,unknown,5,may,1419,-1,unknown,negative
48,blue-collar,married,primary,yes,no,unknown,5,may,125,-1,unknown,negative
58,management,married,unknown,yes,no,unknown,5,may,213,-1,unknown,negative
33,management,single,tertiary,yes,no,unknown,5,may,27,-1,unknown,negative
36,blue-collar,married,unknown,no,no,unknown,5,may,238,-1,unknown,negative
53,services,divorced,secondary,yes,no,unknown,5,may,124,-1,unknown,negative
47,blue-collar,married,primary,yes,no,unknown,5,may,18,-1,unknown,negative
31,services,married,secondary,yes,no,unknown,5,may,730,-1,unknown,negative
57,entrepreneur,married,secondary,yes,no,unknown,5,may,746,-1,unknown,negative
53,blue-collar,married,unknown,no,no,unknown,5,may,121,-1,unknown,negative
55,blue-collar,married,primary,yes,no,unknown,5,may,247,-1,unknown,negative
45,blue-collar,married,primary,yes,no,unknown,5,may,40,-1,unknown,negative
53,admin.,divorced,secondary,yes,no,unknown,5,may,181,-1,unknown,negative
37,blue-collar,married,primary,yes,no,unknown,5,may,79,-1,unknown,negative
44,admin.,divorced,secondary,yes,no,unknown,5,may,206,-1,unknown,negative
49,blue-collar,divorced,primary,yes,yes,unknown,5,may,389,-1,unknown,negative
46,technician,married,secondary,yes,yes,unknown,5,may,127,-1,unknown,negative
43,entrepreneur,married,unknown,yes,no,unknown,5,may,702,-1,unknown,negative
38,admin.,married,secondary,no,no,unknown,5,may,151,-1,unknown,negative
43,technician,married,secondary,yes,no,unknown,5,may,117,-1,unknown,negative
49,management,married,tertiary,yes,no,unknown,5,may,232,-1,unknown,negative
42,management,married,unknown,no,no,unknown,5,may,408,-1,unknown,negative
22,blue-collar,single,secondary,yes,no,unknown,5,may,179,-1,unknown,negative
40,management,married,tertiary,yes,no,unknown,5,may,39,-1,unknown,negative
39,blue-collar,married,secondary,yes,no,unknown,5,may,282,-1,unknown,negative
51,services,married,secondary,yes,no,unknown,5,may,714,-1,unknown,negative
49,admin.,married,secondary,yes,no,unknown,5,may,50,-1,unknown,negative
53,blue-collar,married,secondary,yes,yes,unknown,5,may,181,-1,unknown,negative
34,services,single,secondary,yes,no,unknown,5,may,142,-1,unknown,negative
33,technician,divorced,secondary,yes,no,unknown,5,may,227,-1,unknown,negative
50,management,single,tertiary,yes,no,unknown,5,may,119,-1,unknown,negative
39,blue-collar,married,primary,yes,no,unknown,5,may,361,-1,unknown,negative
59,entrepreneur,divorced,secondary,yes,no,unknown,5,may,73,-1,unknown,negative
30,technician,single,secondary,yes,no,unknown,5,may,67,-1,unknown,negative
36,services,married,secondary,yes,yes,unknown,5,may,350,-1,unknown,negative
40,blue-collar,married,secondary,yes,no,unknown,5,may,332,-1,unknown,negative
53,blue-collar,married,secondary,yes,no,unknown,5,may,611,-1,unknown,negative
34,management,single,tertiary,yes,no,unknown,5,may,113,-1,unknown,negative
37,technician,married,secondary,yes,no,unknown,5,may,132,-1,unknown,negative
42,management,divorced,tertiary,yes,no,unknown,5,may,58,-1,unknown,negative
41,entrepreneur,married,primary,yes,no,unknown,5,may,151,-1,unknown,negative
30,student,single,tertiary,yes,no,unknown,5,may,89,-1,unknown,negative
37,management,single,tertiary,yes,no,unknown,5,may,152,-1,unknown,negative
39,admin.,divorced,secondary,yes,no,unknown,5,may,611,-1,unknown,negative
41,blue-collar,married,primary,yes,yes,unknown,5,may,110,-1,unknown,negative
40,blue-collar,married,primary,yes,no,unknown,5,may,463,-1,unknown,negative
42,management,single,tertiary,yes,yes,unknown,5,may,562,-1,unknown,positive
40,blue-collar,divorced,primary,yes,no,unknown,5,may,962,-1,unknown,negative
57,technician,married,secondary,yes,no,unknown,5,may,10,-1,unknown,negative
56,entrepreneur,divorced,secondary,no,no,unknown,5,may,118,-1,unknown,negative
37,admin.,married,secondary,yes,no,unknown,5,may,92,-1,unknown,negative
59,retired,married,secondary,yes,no,unknown,5,may,143,-1,unknown,negative
39,services,divorced,secondary,yes,no,unknown,5,may,189,-1,unknown,negative
49,services,married,secondary,no,no,unknown,5,may,234,-1,unknown,negative
38,services,single,secondary,yes,no,unknown,5,may,75,-1,unknown,negative
36,self-employed,married,tertiary,no,no,unknown,5,may,189,-1,unknown,negative
50,blue-collar,married,primary,yes,no,unknown,5,may,621,-1,unknown,negative
41,admin.,married,secondary,yes,yes,unknown,5,may,55,-1,unknown,negative
54,technician,married,tertiary,no,no,unknown,5,may,310,-1,unknown,negative
58,blue-collar,married,primary,yes,no,unknown,5,may,156,-1,unknown,negative
30,blue-collar,single,secondary,yes,no,unknown,5,may,5,-1,unknown,negative
33,admin.,single,secondary,yes,no,unknown,5,may,225,-1,unknown,negative
47,admin.,married,secondary,yes,no,unknown,5,may,125,-1,unknown,negative
50,technician,single,tertiary,yes,no,unknown,5,may,2,-1,unknown,negative
32,blue-collar,married,secondary,yes,no,unknown,5,may,286,-1,unknown,negative
40,self-employed,married,secondary,yes,no,unknown,5,may,164,-1,unknown,negative
37,management,married,tertiary,yes,no,unknown,5,may,98,-1,unknown,negative
54,technician,single,unknown,yes,no,unknown,5,may,742,-1,unknown,negative
24,student,single,secondary,yes,no,unknown,5,may,226,-1,unknown,negative
54,management,married,tertiary,no,no,unknown,5,may,120,-1,unknown,negative
34,technician,married,secondary,yes,no,unknown,5,may,362,-1,unknown,negative
56,technician,divorced,primary,yes,no,unknown,5,may,357,-1,unknown,negative
31,blue-collar,single,secondary,yes,no,unknown,5,may,200,-1,unknown,negative
24,student,single,secondary,yes,no,unknown,5,may,204,-1,unknown,negative
42,blue-collar,divorced,primary,yes,no,unknown,5,may,126,-1,unknown,negative
57,technician,married,secondary,yes,no,unknown,5,may,65,-1,unknown,negative
42,blue-collar,married,unknown,yes,no,unknown,5,may,107,-1,unknown,negative
51,admin.,married,secondary,yes,no,unknown,5,may,267,-1,unknown,negative
57,retired,married,secondary,yes,no,unknown,5,may,248,-1,unknown,negative
36,services,single,secondary,yes,no,unknown,5,may,215,-1,unknown,negative
53,services,married,unknown,yes,no,unknown,5,may,209,-1,unknown,negative
50,technician,married,secondary,yes,no,unknown,5,may,205,-1,unknown,negative
54,management,married,tertiary,yes,no,unknown,5,may,83,-1,unknown,negative
55,blue-collar,married,secondary,yes,no,unknown,5,may,106,-1,unknown,negative
44,blue-collar,married,secondary,yes,yes,unknown,5,may,189,-1,unknown,negative
43,management,married,unknown,yes,no,unknown,5,may,105,-1,unknown,negative
56,admin.,married,secondary,yes,no,unknown,5,may,106,-1,unknown,negative
54,technician,married,unknown,yes,no,unknown,5,may,108,-1,unknown,negative
55,services,divorced,primary,yes,yes,unknown,5,may,311,-1,unknown,negative
37,services,divorced,secondary,yes,yes,unknown,5,may,214,-1,unknown,negative
33,admin.,single,tertiary,no,no,unknown,5,may,132,-1,unknown,negative
46,admin.,married,secondary,yes,no,unknown,5,may,358,-1,unknown,negative
36,blue-collar,married,secondary,yes,yes,unknown,5,may,453,-1,unknown,negative
51,technician,single,secondary,yes,no,unknown,5,may,364,-1,unknown,negative
40,retired,single,primary,no,no,unknown,5,may,136,-1,unknown,negative
42,blue-collar,married,secondary,yes,no,unknown,5,may,386,-1,unknown,negative
51,blue-collar,married,secondary,yes,no,unknown,5,may,173,-1,unknown,negative
49,blue-collar,married,unknown,yes,no,unknown,5,may,241,-1,unknown,negative
48,management,married,secondary,yes,no,unknown,5,may,224,-1,unknown,negative
32,technician,divorced,tertiary,no,no,unknown,5,may,148,-1,unknown,negative
31,admin.,single,secondary,yes,no,unknown,5,may,196,-1,unknown,negative
55,management,single,tertiary,no,no,unknown,5,may,111,-1,unknown,negative
40,blue-collar,single,secondary,yes,no,unknown,5,may,231,-1,unknown,negative
47,technician,married,tertiary,yes,no,unknown,5,may,316,-1,unknown,negative
57,technician,married,unknown,yes,no,unknown,5,may,216,-1,unknown,negative
41,blue-collar,married,secondary,yes,no,unknown,5,may,240,-1,unknown,negative
48,blue-collar,married,secondary,no,no,unknown,5,may,669,-1,unknown,negative
42,blue-collar,married,unknown,yes,no,unknown,5,may,425,-1,unknown,negative
30,blue-collar,single,secondary,yes,no,unknown,5,may,143,-1,unknown,negative
58,management,single,tertiary,yes,no,unknown,5,may,174,-1,unknown,negative
45,management,divorced,tertiary,yes,no,unknown,5,may,313,-1,unknown,negative
49,blue-collar,married,secondary,yes,no,unknown,5,may,135,-1,unknown,negative
42,admin.,single,secondary,yes,no,unknown,5,may,146,-1,unknown,negative
53,technician,married,secondary,yes,yes,unknown,5,may,152,-1,unknown,negative
51,admin.,single,secondary,no,no,unknown,5,may,402,-1,unknown,negative
32,services,single,secondary,yes,no,unknown,5,may,213,-1,unknown,negative
41,blue-collar,single,secondary,yes,no,unknown,5,may,144,-1,unknown,negative
43,management,divorced,secondary,yes,no,unknown,5,may,124,-1,unknown,negative
40,blue-collar,divorced,secondary,yes,no,unknown,5,may,183,-1,unknown,negative
50,blue-collar,married,primary,yes,no,unknown,5,may,325,-1,unknown,negative
34,management,married,tertiary,yes,no,unknown,5,may,39,-1,unknown,negative
53,services,married,unknown,no,no,unknown,5,may,503,-1,unknown,negative
45,technician,married,secondary,yes,no,unknown,5,may,95,-1,unknown,negative
39,blue-collar,married,primary,yes,no,unknown,5,may,680,-1,unknown,negative
44,services,married,tertiary,yes,no,unknown,5,may,421,-1,unknown,negative
55,management,married,tertiary,yes,no,unknown,5,may,174,-1,unknown,negative
46,management,single,tertiary,yes,no,unknown,5,may,113,-1,unknown,negative
45,blue-collar,married,secondary,yes,no,unknown,5,may,808,-1,unknown,negative
34,admin.,married,secondary,yes,no,unknown,5,may,198,-1,unknown,negative
36,blue-collar,married,secondary,yes,no,unknown,5,may,195,-1,unknown,negative
59,unknown,divorced,unknown,no,no,unknown,5,may,347,-1,unknown,negative
31,admin.,single,secondary,yes,no,unknown,5,may,208,-1,unknown,negative
44,blue-collar,single,secondary,yes,no,unknown,5,may,404,-1,unknown,negative
33,entrepreneur,single,tertiary,yes,no,unknown,5,may,396,-1,unknown,negative
40,blue-collar,married,secondary,yes,no,unknown,5,may,216,-1,unknown,negative
46,admin.,single,tertiary,yes,no,unknown,5,may,98,-1,unknown,negative
48,management,married,tertiary,yes,no,unknown,5,may,350,-1,unknown,negative
42,services,married,secondary,yes,no,unknown,6,may,114,-1,unknown,negative
27,services,married,secondary,yes,no,unknown,6,may,88,-1,unknown,negative
48,admin.,married,secondary,yes,yes,unknown,6,may,379,-1,unknown,negative
59,admin.,married,secondary,yes,no,unknown,6,may,190,-1,unknown,negative
46,technician,married,tertiary,yes,no,unknown,6,may,158,-1,unknown,negative
38,admin.,divorced,secondary,yes,no,unknown,6,may,102,-1,unknown,negative
43,management,divorced,tertiary,yes,no,unknown,6,may,306,-1,unknown,negative
38,admin.,divorced,tertiary,yes,no,unknown,6,may,218,-1,unknown,negative
23,student,single,secondary,yes,no,unknown,6,may,54,-1,unknown,negative
34,services,married,secondary,yes,no,unknown,6,may,344,-1,unknown,negative
38,admin.,married,secondary,yes,yes,unknown,6,may,195,-1,unknown,negative
37,blue-collar,married,secondary,no,no,unknown,6,may,652,-1,unknown,negative
25,admin.,single,secondary,yes,no,unknown,6,may,286,-1,unknown,negative
48,blue-collar,married,unknown,yes,no,unknown,6,may,189,-1,unknown,negative
49,blue-collar,single,secondary,yes,no,unknown,6,may,83,-1,unknown,negative
38,admin.,single,secondary,no,no,unknown,6,may,184,-1,unknown,negative
