age,job,marital,education,housing,contact,day,month,duration,poutcome,Class
34,blue-collar,single,secondary,yes,unknown,5,may,346,unknown,negative
31,management,single,tertiary,yes,unknown,5,may,562,unknown,negative
51,retired,married,secondary,yes,unknown,5,may,172,unknown,negative
33,management,married,tertiary,yes,unknown,5,may,217,unknown,negative
55,management,married,tertiary,yes,unknown,5,may,142,unknown,negative
42,admin.,married,secondary,yes,unknown,5,may,67,unknown,negative
34,blue-collar,married,secondary,yes,unknown,5,may,291,unknown,negative
33,blue-collar,single,secondary,yes,unknown,5,may,309,unknown,negative
38,services,married,secondary,yes,unknown,5,may,248,unknown,negative
50,technician,divorced,tertiary,no,unknown,5,may,98,unknown,negative
43,management,married,tertiary,yes,unknown,5,may,256,unknown,negative
61,blue-collar,divorced,primary,yes,unknown,5,may,82,unknown,negative
47,admin.,married,secondary,yes,unknown,5,may,577,unknown,negative
48,self-employed,married,tertiary,yes,unknown,5,may,286,unknown,negative
44,blue-collar,married,secondary,yes,unknown,5,may,477,unknown,negative
35,student,single,unknown,yes,unknown,5,may,611,unknown,negative
35,services,married,secondary,yes,unknown,5,may,471,unknown,negative
50,services,married,secondary,yes,unknown,5,may,381,unknown,negative
41,management,married,tertiary,yes,unknown,5,may,42,unknown,negative
41,management,married,tertiary,yes,unknown,5,may,251,unknown,negative
39,services,single,unknown,yes,unknown,5,may,408,unknown,negative
42,retired,married,secondary,yes,unknown,5,may,215,unknown,negative
38,blue-collar,married,secondary,yes,unknown,5,may,287,unknown,negative
53,retired,married,secondary,yes,unknown,5,may,216,unknown,negative
59,housemaid,divorced,primary,no,unknown,5,may,366,unknown,negative
36,services,married,secondary,yes,unknown,5,may,210,unknown,negative
54,blue-collar,married,primary,yes,unknown,5,may,288,unknown,negative
40,technician,married,tertiary,yes,unknown,5,may,168,unknown,negative
47,unknown,married,unknown,no,unknown,5,may,338,unknown,negative
53,unemployed,married,unknown,no,unknown,5,may,410,unknown,negative
46,housemaid,married,primary,no,unknown,5,may,177,unknown,negative
39,management,married,tertiary,yes,unknown,5,may,127,unknown,negative
40,unemployed,married,secondary,yes,unknown,5,may,357,unknown,negative
28,blue-collar,married,primary,yes,unknown,5,may,175,unknown,negative
35,entrepreneur,divorced,secondary,yes,unknown,5,may,300,unknown,negative
55,retired,married,secondary,no,unknown,5,may,136,unknown,negative
43,technician,divorced,unknown,yes,unknown,5,may,1419,unknown,negative
48,blue-collar,married,primary,yes,unknown,5,may,125,unknown,negative
58,management,married,unknown,yes,unknown,5,may,213,unknown,negative
33,management,single,tertiary,yes,unknown,5,may,27,unknown,negative
36,blue-collar,married,unknown,no,unknown,5,may,238,unknown,negative
53,services,divorced,secondary,yes,unknown,5,may,124,unknown,negative
47,blue-collar,married,primary,yes,unknown,5,may,18,unknown,negative
31,services,married,secondary,yes,unknown,5,may,730,unknown,negative
57,entrepreneur,married,secondary,yes,unknown,5,may,746,unknown,negative
53,blue-collar,married,unknown,no,unknown,5,may,121,unknown,negative
55,blue-collar,married,primary,yes,unknown,5,may,247,unknown,negative
45,blue-collar,married,primary,yes,unknown,5,may,40,unknown,negative
53,admin.,divorced,secondary,yes,unknown,5,may,181,unknown,negative
37,blue-collar,married,primary,yes,unknown,5,may,79,unknown,negative
44,admin.,divorced,secondary,yes,unknown,5,may,206,unknown,negative
49,blue-collar,divorced,primary,yes,unknown,5,may,389,unknown,negative
46,technician,married,secondary,yes,unknown,5,may,127,unknown,negative
43,entrepreneur,married,unknown,yes,unknown,5,may,702,unknown,negative
38,admin.,married,secondary,no,unknown,5,may,151,unknown,negative
43,technician,married,secondary,yes,unknown,5,may,117,unknown,negative
49,management,married,tertiary,yes,unknown,5,may,232,unknown,negative
42,management,married,unknown,no,unknown,5,may,408,unknown,negative
22,blue-collar,single,secondary,yes,unknown,5,may,179,unknown,negative
40,management,married,tertiary,yes,unknown,5,may,39,unknown,negative
39,blue-collar,married,secondary,yes,unknown,5,may,282,unknown,negative
51,services,married,secondary,yes,unknown,5,may,714,unknown,negative
49,admin.,married,secondary,yes,unknown,5,may,50,unknown,negative
53,blue-collar,married,secondary,yes,unknown,5,may,181,unknown,negative
34,services,single,secondary,yes,unknown,5,may,142,unknown,negative
33,technician,divorced,secondary,yes,unknown,5,may,227,unknown,negative
50,management,single,tertiary,yes,unknown,5,may,119,unknown,negative
39,blue-collar,married,primary,yes,unknown,5,may,361,unknown,negative
59,entrepreneur,divorced,secondary,yes,unknown,5,may,73,unknown,negative
30,technician,single,secondary,yes,unknown,5,may,67,unknown,negative
36,services,married,secondary,yes,unknown,5,may,350,unknown,negative
40,blue-collar,married,secondary,yes,unknown,5,may,332,unknown,negative
53,blue-collar,married,secondary,yes,unknown,5,may,611,unknown,negative
34,management,single,tertiary,yes,unknown,5,may,113,unknown,negative
37,technician,married,secondary,yes,unknown,5,may,132,unknown,negative
42,management,divorced,tertiary,yes,unknown,5,may,58,unknown,negative
41,entrepreneur,married,primary,yes,unknown,5,may,151,unknown,negative
30,student,single,tertiary,yes,unknown,5,may,89,unknown,negative
37,management,single,tertiary,yes,unknown,5,may,152,unknown,negative
39,admin.,divorced,secondary,yes,unknown,5,may,611,unknown,negative
41,blue-collar,married,primary,yes,unknown,5,may,110,unknown,negative
40,blue-collar,married,primary,yes,unknown,5,may,463,unknown,negative
42,management,single,tertiary,yes,unknown,5,may,562,unknown,positive
40,blue-collar,divorced,primary,yes,unknown,5,may,962,unknown,negative
57,technician,married,secondary,yes,unknown,5,may,10,unknown,negative
56,entrepreneur,divorced,secondary,no,unknown,5,may,118,unknown,negative
37,admin.,married,secondary,yes,unknown,5,may,92,unknown,negative
59,retired,married,secondary,yes,unknown,5,may,143,unknown,negative
39,services,divorced,secondary,yes,unknown,5,may,189,unknown,negative
49,services,married,secondary,no,unknown,5,may,234,unknown,negative
38,services,single,secondary,yes,unknown,5,may,75,unknown,negative
36,self-employed,married,tertiary,no,unknown,5,may,189,unknown,negative
50,blue-collar,married,primary,yes,unknown,5,may,621,unknown,negative
41,admin.,married,secondary,yes,unknown,5,may,55,unknown,negative
54,technician,married,tertiary,no,unknown,5,may,310,unknown,negative
58,blue-collar,married,primary,yes,unknown,5,may,156,unknown,negative
30,blue-collar,single,secondary,yes,unknown,5,may,5,unknown,negative
33,admin.,single,secondary,yes,unknown,5,may,225,unknown,negative
47,admin.,married,secondary,yes,unknown,5,may,125,unknown,negative
50,technician,single,tertiary,yes,unknown,5,may,2,unknown,negative
32,blue-collar,married,secondary,yes,unknown,5,may,286,unknown,negative
40,self-employed,married,secondary,yes,unknown,5,may,164,unknown,negative
37,management,married,tertiary,yes,unknown,5,may,98,unknown,negative
54,technician,single,unknown,yes,unknown,5,may,742,unknown,negative
24,student,single,secondary,yes,unknown,5,may,226,unknown,negative
54,management,married,tertiary,no,unknown,5,may,120,unknown,negative
34,technician,married,secondary,yes,unknown,5,may,362,unknown,negative
56,technician,divorced,primary,yes,unknown,5,may,357,unknown,negative
31,blue-collar,single,secondary,yes,unknown,5,may,200,unknown,negative
24,student,single,secondary,yes,unknown,5,may,204,unknown,negative
42,blue-collar,divorced,primary,yes,unknown,5,may,126,unknown,negative
57,technician,married,secondary,yes,unknown,5,may,65,unknown,negative
42,blue-collar,married,unknown,yes,unknown,5,may,107,unknown,negative
51,admin.,married,secondary,yes,unknown,5,may,267,unknown,negative
57,retired,married,secondary,yes,unknown,5,may,248,unknown,negative
36,services,single,secondary,yes,unknown,5,may,215,unknown,negative
53,services,married,unknown,yes,unknown,5,may,209,unknown,negative
50,technician,married,secondary,yes,unknown,5,may,205,unknown,negative
54,management,married,tertiary,yes,unknown,5,may,83,unknown,negative
55,blue-collar,married,secondary,yes,unknown,5,may,106,unknown,negative
44,blue-collar,married,secondary,yes,unknown,5,may,189,unknown,negative
43,management,married,unknown,yes,unknown,5,may,105,unknown,negative
56,admin.,married,secondary,yes,unknown,5,may,106,unknown,negative
54,technician,married,unknown,yes,unknown,5,may,108,unknown,negative
55,services,divorced,primary,yes,unknown,5,may,311,unknown,negative
37,services,divorced,secondary,yes,unknown,5,may,214,unknown,negative
33,admin.,single,tertiary,no,unknown,5,may,132,unknown,negative
46,admin.,married,secondary,yes,unknown,5,may,358,unknown,negative
36,blue-collar,married,secondary,yes,unknown,5,may,453,unknown,negative
51,technician,single,secondary,yes,unknown,5,may,364,unknown,negative
40,retired,single,primary,no,unknown,5,may,136,unknown,negative
42,blue-collar,married,secondary,yes,unknown,5,may,386,unknown,negative
51,blue-collar,married,secondary,yes,unknown,5,may,173,unknown,negative
49,blue-collar,married,unknown,yes,unknown,5,may,241,unknown,negative
48,management,married,secondary,yes,unknown,5,may,224,unknown,negative
32,technician,divorced,tertiary,no,unknown,5,may,148,unknown,negative
31,admin.,single,secondary,yes,unknown,5,may,196,unknown,negative
55,management,single,tertiary,no,unknown,5,may,111,unknown,negative
40,blue-collar,single,secondary,yes,unknown,5,may,231,unknown,negative
47,technician,married,tertiary,yes,unknown,5,may,316,unknown,negative
57,technician,married,unknown,yes,unknown,5,may,216,unknown,negative
41,blue-collar,married,secondary,yes,unknown,5,may,240,unknown,negative
48,blue-collar,married,secondary,no,unknown,5,may,669,unknown,negative
42,blue-collar,married,unknown,yes,unknown,5,may,425,unknown,negative
30,blue-collar,single,secondary,yes,unknown,5,may,143,unknown,negative
58,management,single,tertiary,yes,unknown,5,may,174,unknown,negative
45,management,divorced,tertiary,yes,unknown,5,may,313,unknown,negative
49,blue-collar,married,secondary,yes,unknown,5,may,135,unknown,negative
42,admin.,single,secondary,yes,unknown,5,may,146,unknown,negative
53,technician,married,secondary,yes,unknown,5,may,152,unknown,negative
51,admin.,single,secondary,no,unknown,5,may,402,unknown,negative
32,services,single,secondary,yes,unknown,5,may,213,unknown,negative
41,blue-collar,single,secondary,yes,unknown,5,may,144,unknown,negative
43,management,divorced,secondary,yes,unknown,5,may,124,unknown,negative
40,blue-collar,divorced,secondary,yes,unknown,5,may,183,unknown,negative
50,blue-collar,married,primary,yes,unknown,5,may,325,unknown,negative
34,management,married,tertiary,yes,unknown,5,may,39,unknown,negative
53,services,married,unknown,no,unknown,5,may,503,unknown,negative
45,technician,married,secondary,yes,unknown,5,may,95,unknown,negative
39,blue-collar,married,primary,yes,unknown,5,may,680,unknown,negative
44,services,married,tertiary,yes,unknown,5,may,421,unknown,negative
55,management,married,tertiary,yes,unknown,5,may,174,unknown,negative
46,management,single,tertiary,yes,unknown,5,may,113,unknown,negative
45,blue-collar,married,secondary,yes,unknown,5,may,808,unknown,negative
34,admin.,married,secondary,yes,unknown,5,may,198,unknown,negative
36,blue-collar,married,secondary,yes,unknown,5,may,195,unknown,negative
59,unknown,divorced,unknown,no,unknown,5,may,347,unknown,negative
31,admin.,single,secondary,yes,unknown,5,may,208,unknown,negative
44,blue-collar,single,secondary,yes,unknown,5,may,404,unknown,negative
33,entrepreneur,single,tertiary,yes,unknown,5,may,396,unknown,negative
40,blue-collar,married,secondary,yes,unknown,5,may,216,unknown,negative
46,admin.,single,tertiary,yes,unknown,5,may,98,unknown,negative
48,management,married,tertiary,yes,unknown,5,may,350,unknown,negative
42,services,married,secondary,yes,unknown,6,may,114,unknown,negative
27,services,married,secondary,yes,unknown,6,may,88,unknown,negative
48,admin.,married,secondary,yes,unknown,6,may,379,unknown,negative
59,admin.,married,secondary,yes,unknown,6,may,190,unknown,negative
46,technician,married,tertiary,yes,unknown,6,may,158,unknown,negative
38,admin.,divorced,secondary,yes,unknown,6,may,102,unknown,negative
43,management,divorced,tertiary,yes,unknown,6,may,306,unknown,negative
38,admin.,divorced,tertiary,yes,unknown,6,may,218,unknown,negative
23,student,single,secondary,yes,unknown,6,may,54,unknown,negative
34,services,married,secondary,yes,unknown,6,may,344,unknown,negative
38,admin.,married,secondary,yes,unknown,6,may,195,unknown,negative
37,blue-collar,married,secondary,no,unknown,6,may,652,unknown,negative
25,admin.,single,secondary,yes,unknown,6,may,286,unknown,negative
48,blue-collar,married,unknown,yes,unknown,6,may,189,unknown,negative
49,blue-collar,single,secondary,yes,unknown,6,may,83,unknown,negative
38,admin.,single,secondary,no,unknown,6,may,184,unknown,negative
43,blue-collar,married,primary,yes,unknown,6,may,235,unknown,negative
33,management,married,tertiary,yes,unknown,6,may,290,unknown,negative
55,blue-collar,married,secondary,yes,unknown,6,may,232,unknown,negative
38,blue-collar,married,secondary,yes,unknown,6,may,133,unknown,negative
49,services,married,secondary,yes,unknown,6,may,318,unknown,negative
40,management,married,secondary,no,unknown,6,may,260,unknown,negative
43,admin.,married,unknown,no,unknown,6,may,437,unknown,negative
38,blue-collar,married,secondary,yes,unknown,6,may,402,unknown,negative
58,services,married,secondary,yes,unknown,6,may,85,unknown,negative
57,technician,married,unknown,yes,unknown,6,may,125,unknown,negative
32,unemployed,married,secondary,yes,unknown,6,may,501,unknown,negative
58,blue-collar,divorced,unknown,yes,unknown,6,may,253,unknown,negative
37,technician,married,tertiary,yes,unknown,6,may,149,unknown,negative
46,technician,divorced,tertiary,yes,unknown,6,may,114,unknown,negative
27,admin.,married,secondary,yes,unknown,6,may,243,unknown,negative
43,blue-collar,married,secondary,yes,unknown,6,may,769,unknown,negative
32,technician,single,secondary,yes,unknown,6,may,135,unknown,negative
40,admin.,single,secondary,yes,unknown,6,may,231,unknown,negative
38,admin.,married,secondary,no,unknown,6,may,76,unknown,negative
34,blue-collar,married,secondary,no,unknown,6,may,199,unknown,negative
47,blue-collar,married,primary,yes,unknown,6,may,152,unknown,negative
42,housemaid,married,primary,yes,unknown,6,may,124,unknown,negative
48,technician,married,secondary,yes,unknown,6,may,424,unknown,negative
29,self-employed,single,tertiary,yes,unknown,6,may,43,unknown,negative
50,services,married,secondary,yes,unknown,6,may,154,unknown,negative
52,technician,married,unknown,no,unknown,6,may,203,unknown,negative
50,management,married,tertiary,no,unknown,6,may,326,unknown,negative
58,retired,married,tertiary,no,unknown,6,may,393,unknown,negative
46,blue-collar,divorced,primary,yes,unknown,6,may,241,unknown,negative
38,technician,married,secondary,yes,unknown,6,may,483,unknown,negative
46,blue-collar,married,secondary,yes,unknown,6,may,259,unknown,negative
32,services,single,secondary,yes,unknown,6,may,227,unknown,negative
51,blue-collar,married,primary,yes,unknown,6,may,673,unknown,negative
39,admin.,single,secondary,yes,unknown,6,may,576,unknown,negative
48,admin.,married,secondary,yes,unknown,6,may,180,unknown,negative
36,entrepreneur,married,tertiary,yes,unknown,6,may,168,unknown,negative
34,admin.,divorced,secondary,yes,unknown,6,may,90,unknown,negative
40,technician,married,secondary,no,unknown,6,may,505,unknown,negative
43,unemployed,married,secondary,yes,unknown,6,may,245,unknown,negative
52,blue-collar,divorced,primary,yes,unknown,6,may,186,unknown,negative
33,technician,married,secondary,yes,unknown,6,may,623,unknown,negative
49,management,single,tertiary,yes,unknown,6,may,496,unknown,negative
32,management,single,tertiary,yes,unknown,6,may,118,unknown,negative
39,admin.,single,secondary,yes,unknown,6,may,342,unknown,negative
40,blue-collar,married,secondary,yes,unknown,6,may,225,unknown,negative
38,technician,single,tertiary,yes,unknown,6,may,185,unknown,negative
43,management,married,secondary,yes,unknown,6,may,196,unknown,negative
39,services,married,secondary,yes,unknown,6,may,276,unknown,negative
54,blue-collar,married,primary,yes,unknown,6,may,76,unknown,negative
38,technician,single,tertiary,yes,unknown,6,may,87,unknown,negative
40,blue-collar,married,secondary,yes,unknown,6,may,195,unknown,negative
55,admin.,married,secondary,yes,unknown,6,may,744,unknown,negative
42,management,married,tertiary,yes,unknown,6,may,765,unknown,negative
39,blue-collar,married,secondary,yes,unknown,6,may,262,unknown,negative
40,blue-collar,married,primary,yes,unknown,6,may,119,unknown,negative
32,blue-collar,married,secondary,yes,unknown,6,may,198,unknown,negative
55,admin.,married,secondary,yes,unknown,6,may,150,unknown,negative
45,blue-collar,married,secondary,no,unknown,6,may,241,unknown,negative
35,management,single,tertiary,yes,unknown,6,may,181,unknown,negative
58,technician,divorced,secondary,no,unknown,6,may,196,unknown,negative
