job,day,month,duration,Class
retired,5,may,107,negative
blue-collar,5,may,247,negative
admin.,5,may,518,negative
management,5,may,364,negative
management,5,may,178,negative
technician,5,may,98,negative
technician,5,may,439,negative
blue-collar,5,may,79,negative
admin.,5,may,120,negative
services,5,may,127,negative
technician,5,may,175,negative
technician,5,may,262,negative
admin.,5,may,61,negative
services,5,may,78,negative
blue-collar,5,may,143,negative
services,5,may,579,positive
management,5,may,677,negative
admin.,5,may,345,negative
technician,5,may,185,negative
admin.,5,may,100,negative
unemployed,5,may,125,negative
blue-collar,5,may,193,negative
technician,5,may,136,negative
services,5,may,73,negative
blue-collar,5,may,528,negative
blue-collar,5,may,541,negative
housemaid,5,may,163,negative
self-employed,5,may,301,negative
unemployed,5,may,46,negative
blue-collar,5,may,204,negative
blue-collar,5,may,98,negative
services,5,may,71,negative
blue-collar,5,may,157,negative
unemployed,5,may,243,negative
services,5,may,186,negative
blue-collar,5,may,579,negative
blue-collar,5,may,163,negative
student,5,may,610,negative
management,5,may,2033,negative
management,5,may,85,negative
technician,5,may,114,negative
services,5,may,114,negative
blue-collar,5,may,57,negative
retired,5,may,238,negative
blue-collar,5,may,93,negative
blue-collar,5,may,128,negative
services,5,may,107,negative
technician,5,may,181,negative
services,5,may,303,negative
blue-collar,5,may,558,negative
technician,5,may,270,negative
admin.,5,may,228,negative
management,5,may,99,negative
technician,5,may,240,negative
blue-collar,5,may,233,negative
blue-collar,5,may,1056,negative
services,5,may,250,negative
entrepreneur,5,may,252,negative
retired,5,may,138,negative
admin.,5,may,130,negative
admin.,5,may,412,negative
unemployed,5,may,179,negative
technician,5,may,19,negative
services,5,may,458,negative
management,5,may,717,negative
services,5,may,313,negative
technician,5,may,683,negative
services,5,may,1077,negative
technician,5,may,416,negative
admin.,5,may,146,negative
retired,5,may,167,negative
services,5,may,315,negative
management,5,may,140,negative
blue-collar,5,may,346,negative
management,5,may,562,negative
retired,5,may,172,negative
management,5,may,217,negative
management,5,may,142,negative
admin.,5,may,67,negative
blue-collar,5,may,291,negative
blue-collar,5,may,309,negative
services,5,may,248,negative
technician,5,may,98,negative
management,5,may,256,negative
blue-collar,5,may,82,negative
admin.,5,may,577,negative
self-employed,5,may,286,negative
blue-collar,5,may,477,negative
student,5,may,611,negative
services,5,may,471,negative
services,5,may,381,negative
management,5,may,42,negative
management,5,may,251,negative
services,5,may,408,negative
retired,5,may,215,negative
blue-collar,5,may,287,negative
retired,5,may,216,negative
housemaid,5,may,366,negative
services,5,may,210,negative
blue-collar,5,may,288,negative
technician,5,may,168,negative
unknown,5,may,338,negative
unemployed,5,may,410,negative
housemaid,5,may,177,negative
management,5,may,127,negative
unemployed,5,may,357,negative
blue-collar,5,may,175,negative
entrepreneur,5,may,300,negative
retired,5,may,136,negative
technician,5,may,1419,negative
blue-collar,5,may,125,negative
management,5,may,213,negative
management,5,may,27,negative
blue-collar,5,may,238,negative
services,5,may,124,negative
blue-collar,5,may,18,negative
services,5,may,730,negative
entrepreneur,5,may,746,negative
blue-collar,5,may,121,negative
blue-collar,5,may,247,negative
blue-collar,5,may,40,negative
admin.,5,may,181,negative
blue-collar,5,may,79,negative
admin.,5,may,206,negative
blue-collar,5,may,389,negative
technician,5,may,127,negative
entrepreneur,5,may,702,negative
admin.,5,may,151,negative
technician,5,may,117,negative
management,5,may,232,negative
management,5,may,408,negative
blue-collar,5,may,179,negative
management,5,may,39,negative
blue-collar,5,may,282,negative
services,5,may,714,negative
admin.,5,may,50,negative
blue-collar,5,may,181,negative
services,5,may,142,negative
technician,5,may,227,negative
management,5,may,119,negative
blue-collar,5,may,361,negative
entrepreneur,5,may,73,negative
technician,5,may,67,negative
services,5,may,350,negative
blue-collar,5,may,332,negative
blue-collar,5,may,611,negative
management,5,may,113,negative
technician,5,may,132,negative
management,5,may,58,negative
entrepreneur,5,may,151,negative
student,5,may,89,negative
management,5,may,152,negative
admin.,5,may,611,negative
blue-collar,5,may,110,negative
blue-collar,5,may,463,negative
management,5,may,562,positive
blue-collar,5,may,962,negative
technician,5,may,10,negative
entrepreneur,5,may,118,negative
admin.,5,may,92,negative
retired,5,may,143,negative
services,5,may,189,negative
services,5,may,234,negative
services,5,may,75,negative
self-employed,5,may,189,negative
blue-collar,5,may,621,negative
admin.,5,may,55,negative
technician,5,may,310,negative
blue-collar,5,may,156,negative
blue-collar,5,may,5,negative
admin.,5,may,225,negative
admin.,5,may,125,negative
technician,5,may,2,negative
blue-collar,5,may,286,negative
self-employed,5,may,164,negative
management,5,may,98,negative
technician,5,may,742,negative
student,5,may,226,negative
management,5,may,120,negative
technician,5,may,362,negative
technician,5,may,357,negative
blue-collar,5,may,200,negative
student,5,may,204,negative
blue-collar,5,may,126,negative
technician,5,may,65,negative
blue-collar,5,may,107,negative
admin.,5,may,267,negative
retired,5,may,248,negative
services,5,may,215,negative
services,5,may,209,negative
technician,5,may,205,negative
management,5,may,83,negative
blue-collar,5,may,106,negative
blue-collar,5,may,189,negative
management,5,may,105,negative
admin.,5,may,106,negative
technician,5,may,108,negative
services,5,may,311,negative
services,5,may,214,negative
admin.,5,may,132,negative
admin.,5,may,358,negative
blue-collar,5,may,453,negative
technician,5,may,364,negative
retired,5,may,136,negative
blue-collar,5,may,386,negative
blue-collar,5,may,173,negative
blue-collar,5,may,241,negative
management,5,may,224,negative
technician,5,may,148,negative
admin.,5,may,196,negative
management,5,may,111,negative
blue-collar,5,may,231,negative
technician,5,may,316,negative
technician,5,may,216,negative
blue-collar,5,may,240,negative
blue-collar,5,may,669,negative
blue-collar,5,may,425,negative
blue-collar,5,may,143,negative
management,5,may,174,negative
management,5,may,313,negative
blue-collar,5,may,135,negative
admin.,5,may,146,negative
technician,5,may,152,negative
admin.,5,may,402,negative
services,5,may,213,negative
blue-collar,5,may,144,negative
management,5,may,124,negative
blue-collar,5,may,183,negative
blue-collar,5,may,325,negative
management,5,may,39,negative
services,5,may,503,negative
technician,5,may,95,negative
blue-collar,5,may,680,negative
services,5,may,421,negative
management,5,may,174,negative
management,5,may,113,negative
blue-collar,5,may,808,negative
admin.,5,may,198,negative
blue-collar,5,may,195,negative
unknown,5,may,347,negative
admin.,5,may,208,negative
blue-collar,5,may,404,negative
entrepreneur,5,may,396,negative
blue-collar,5,may,216,negative
admin.,5,may,98,negative
management,5,may,350,negative
services,6,may,114,negative
services,6,may,88,negative
admin.,6,may,379,negative
admin.,6,may,190,negative
technician,6,may,158,negative
admin.,6,may,102,negative
management,6,may,306,negative
admin.,6,may,218,negative
student,6,may,54,negative
services,6,may,344,negative
admin.,6,may,195,negative
blue-collar,6,may,652,negative
admin.,6,may,286,negative
blue-collar,6,may,189,negative
blue-collar,6,may,83,negative
admin.,6,may,184,negative
blue-collar,6,may,235,negative
management,6,may,290,negative
blue-collar,6,may,232,negative
blue-collar,6,may,133,negative
services,6,may,318,negative
management,6,may,260,negative
admin.,6,may,437,negative
blue-collar,6,may,402,negative
services,6,may,85,negative
technician,6,may,125,negative
unemployed,6,may,501,negative
blue-collar,6,may,253,negative
technician,6,may,149,negative
technician,6,may,114,negative
admin.,6,may,243,negative
blue-collar,6,may,769,negative
technician,6,may,135,negative
admin.,6,may,231,negative
admin.,6,may,76,negative
blue-collar,6,may,199,negative
blue-collar,6,may,152,negative
housemaid,6,may,124,negative
technician,6,may,424,negative
self-employed,6,may,43,negative
services,6,may,154,negative
technician,6,may,203,negative
management,6,may,326,negative
retired,6,may,393,negative
blue-collar,6,may,241,negative
technician,6,may,483,negative
blue-collar,6,may,259,negative
services,6,may,227,negative
blue-collar,6,may,673,negative
admin.,6,may,576,negative
admin.,6,may,180,negative
entrepreneur,6,may,168,negative
admin.,6,may,90,negative
technician,6,may,505,negative
unemployed,6,may,245,negative
blue-collar,6,may,186,negative
technician,6,may,623,negative
management,6,may,496,negative
management,6,may,118,negative
admin.,6,may,342,negative
blue-collar,6,may,225,negative
technician,6,may,185,negative
management,6,may,196,negative
services,6,may,276,negative
blue-collar,6,may,76,negative
technician,6,may,87,negative
blue-collar,6,may,195,negative
admin.,6,may,744,negative
management,6,may,765,negative
blue-collar,6,may,262,negative
blue-collar,6,may,119,negative
blue-collar,6,may,198,negative
admin.,6,may,150,negative
blue-collar,6,may,241,negative
management,6,may,181,negative
technician,6,may,196,negative
admin.,6,may,149,negative
services,6,may,246,negative
technician,6,may,112,negative
blue-collar,6,may,309,negative
self-employed,6,may,278,negative
technician,6,may,140,negative
admin.,6,may,136,negative
self-employed,6,may,101,negative
services,6,may,144,negative
blue-collar,6,may,238,negative
technician,6,may,354,negative
services,6,may,79,negative
management,6,may,187,negative
management,6,may,451,negative
blue-collar,6,may,159,negative
blue-collar,6,may,409,negative
admin.,6,may,170,negative
technician,6,may,608,positive
blue-collar,6,may,243,negative
blue-collar,6,may,145,negative
blue-collar,6,may,112,negative
blue-collar,6,may,262,negative
blue-collar,6,may,124,negative
unemployed,6,may,53,negative
services,6,may,134,negative
retired,6,may,204,negative
admin.,6,may,186,negative
blue-collar,6,may,678,negative
blue-collar,6,may,182,negative
self-employed,6,may,162,negative
services,6,may,27,negative
housemaid,6,may,699,negative
blue-collar,6,may,43,negative
blue-collar,6,may,97,negative
blue-collar,6,may,283,negative
management,6,may,323,negative
management,6,may,82,negative
admin.,6,may,310,negative
management,6,may,185,negative
blue-collar,6,may,47,negative
technician,6,may,145,negative
technician,6,may,204,negative
blue-collar,6,may,187,negative
services,6,may,30,negative
management,6,may,472,negative
blue-collar,6,may,448,negative
management,6,may,264,negative
technician,6,may,169,negative
blue-collar,6,may,288,negative
technician,6,may,176,negative
blue-collar,6,may,215,negative
blue-collar,6,may,337,negative
unemployed,6,may,278,negative
blue-collar,6,may,188,negative
admin.,6,may,174,negative
blue-collar,6,may,226,negative
blue-collar,6,may,190,negative
blue-collar,6,may,111,negative
technician,6,may,164,negative
admin.,6,may,157,negative
technician,6,may,46,negative
management,6,may,374,negative
blue-collar,6,may,349,negative
blue-collar,6,may,325,negative
blue-collar,6,may,233,negative
retired,6,may,531,negative
blue-collar,6,may,153,negative
retired,6,may,80,negative
admin.,6,may,232,negative
retired,6,may,118,negative
admin.,6,may,190,negative
blue-collar,6,may,238,negative
management,6,may,82,negative
entrepreneur,6,may,198,negative
admin.,6,may,160,negative
blue-collar,6,may,211,negative
technician,6,may,120,negative
blue-collar,6,may,136,negative
management,6,may,269,negative
management,6,may,157,negative
admin.,6,may,128,negative
management,6,may,211,negative
retired,6,may,267,negative
blue-collar,6,may,371,negative
management,6,may,288,negative
management,6,may,221,negative
management,6,may,427,negative
admin.,6,may,310,negative
blue-collar,6,may,158,negative
housemaid,6,may,604,negative
services,6,may,198,negative
management,6,may,145,negative
admin.,6,may,247,negative
blue-collar,6,may,179,negative
blue-collar,6,may,73,negative
blue-collar,6,may,263,negative
blue-collar,6,may,13,negative
blue-collar,6,may,79,negative
blue-collar,6,may,416,negative
services,6,may,162,negative
technician,6,may,129,negative
admin.,6,may,150,negative
unemployed,6,may,43,negative
admin.,6,may,191,negative
blue-collar,6,may,26,negative
blue-collar,6,may,250,negative
self-employed,6,may,146,negative
services,6,may,416,negative
services,6,may,121,negative
admin.,6,may,114,negative
student,6,may,289,negative
self-employed,6,may,225,negative
blue-collar,6,may,123,negative
admin.,6,may,130,negative
services,6,may,161,negative
admin.,6,may,149,negative
blue-collar,6,may,268,negative
technician,6,may,259,negative
blue-collar,6,may,26,negative
admin.,6,may,153,negative
entrepreneur,6,may,424,negative
technician,6,may,179,negative
services,6,may,97,negative
blue-collar,6,may,383,negative
management,6,may,440,negative
unemployed,6,may,23,negative
blue-collar,6,may,195,negative
technician,6,may,87,negative
blue-collar,6,may,427,negative
blue-collar,6,may,189,negative
technician,6,may,195,negative
services,6,may,179,negative
retired,6,may,179,negative
entrepreneur,6,may,69,negative
technician,6,may,105,negative
blue-collar,6,may,266,negative
services,6,may,524,negative
blue-collar,6,may,96,negative
technician,6,may,155,negative
services,6,may,162,negative
management,6,may,352,negative
technician,6,may,76,negative
blue-collar,6,may,154,negative
blue-collar,6,may,310,negative
services,6,may,390,negative
technician,6,may,369,negative
blue-collar,6,may,112,negative
technician,6,may,341,negative
technician,6,may,79,negative
admin.,6,may,140,negative
retired,6,may,315,negative
services,6,may,262,negative
services,6,may,174,negative
services,6,may,138,negative
blue-collar,6,may,526,negative
technician,6,may,135,negative
self-employed,6,may,36,negative
blue-collar,6,may,1906,negative
blue-collar,6,may,219,negative
services,6,may,147,negative
blue-collar,6,may,407,negative
blue-collar,6,may,121,negative
blue-collar,6,may,209,negative
technician,6,may,92,negative
blue-collar,6,may,208,negative
self-employed,6,may,193,negative
services,6,may,144,negative
technician,6,may,65,negative
management,6,may,339,negative
services,6,may,285,negative
blue-collar,6,may,231,negative
technician,6,may,168,negative
management,6,may,278,negative
blue-collar,6,may,389,negative
blue-collar,6,may,158,negative
blue-collar,6,may,145,negative
technician,6,may,78,negative
technician,6,may,142,negative
technician,6,may,87,negative
technician,6,may,147,negative
retired,6,may,289,negative
technician,6,may,703,positive
management,6,may,170,negative
unemployed,6,may,802,negative
technician,6,may,381,negative
admin.,6,may,218,negative
technician,6,may,57,negative
admin.,6,may,304,negative
admin.,6,may,241,negative
blue-collar,6,may,230,negative
services,6,may,262,negative
entrepreneur,6,may,392,negative
services,6,may,201,negative
blue-collar,6,may,145,negative
unemployed,6,may,252,negative
services,6,may,235,negative
admin.,6,may,235,negative
management,6,may,328,negative
blue-collar,6,may,116,negative
blue-collar,6,may,246,negative
technician,6,may,293,negative
unemployed,6,may,37,negative
entrepreneur,6,may,132,negative
technician,6,may,530,negative
student,6,may,175,negative
management,6,may,524,negative
technician,6,may,29,negative
student,6,may,311,negative
admin.,6,may,211,negative
self-employed,6,may,312,negative
admin.,6,may,412,negative
technician,6,may,392,negative
blue-collar,6,may,191,negative
services,6,may,284,negative
blue-collar,6,may,144,negative
admin.,6,may,328,negative
management,6,may,100,negative
admin.,6,may,226,negative
services,6,may,507,negative
admin.,6,may,392,negative
blue-collar,6,may,684,negative
entrepreneur,6,may,333,negative
blue-collar,6,may,311,negative
admin.,6,may,128,negative
technician,6,may,322,negative
self-employed,6,may,202,negative
services,6,may,92,negative
blue-collar,6,may,739,negative
blue-collar,6,may,273,negative
self-employed,6,may,260,negative
blue-collar,6,may,268,negative
management,6,may,396,negative
management,6,may,262,negative
blue-collar,6,may,308,negative
technician,6,may,467,negative
management,6,may,320,negative
admin.,6,may,160,negative
services,6,may,245,negative
services,6,may,189,negative
admin.,6,may,477,negative
admin.,6,may,310,negative
management,6,may,65,negative
services,6,may,196,negative
management,6,may,221,negative
admin.,6,may,197,negative
management,6,may,221,negative
blue-collar,6,may,64,negative
student,6,may,75,negative
blue-collar,6,may,400,negative
technician,6,may,378,negative
services,6,may,118,negative
technician,6,may,1597,positive
entrepreneur,6,may,346,negative
admin.,6,may,60,negative
blue-collar,6,may,276,negative
technician,6,may,152,negative
management,6,may,251,negative
services,6,may,390,negative
blue-collar,6,may,306,negative
admin.,6,may,189,negative
services,6,may,125,negative
admin.,6,may,234,negative
blue-collar,6,may,79,negative
technician,6,may,13,negative
technician,6,may,283,negative
technician,6,may,109,negative
blue-collar,6,may,132,negative
admin.,6,may,144,negative
blue-collar,6,may,121,negative
entrepreneur,6,may,95,negative
retired,6,may,31,negative
admin.,6,may,112,negative
admin.,6,may,87,negative
retired,6,may,593,negative
blue-collar,6,may,99,negative
blue-collar,6,may,198,negative
admin.,6,may,285,negative
technician,6,may,190,negative
management,6,may,172,negative
blue-collar,6,may,213,negative
admin.,6,may,178,negative
blue-collar,6,may,174,negative
retired,6,may,631,negative
services,6,may,176,negative
admin.,6,may,32,negative
management,6,may,1529,negative
blue-collar,6,may,254,negative
blue-collar,6,may,200,negative
entrepreneur,6,may,135,negative
blue-collar,6,may,112,negative
management,6,may,314,negative
services,6,may,597,negative
blue-collar,6,may,207,negative
blue-collar,6,may,410,negative
technician,6,may,160,negative
retired,6,may,42,negative
management,6,may,55,negative
blue-collar,6,may,155,negative
management,6,may,336,negative
blue-collar,6,may,233,negative
blue-collar,6,may,211,negative
blue-collar,6,may,88,negative
blue-collar,6,may,208,negative
self-employed,6,may,305,negative
entrepreneur,6,may,206,negative
blue-collar,6,may,128,negative
management,6,may,122,negative
admin.,6,may,66,negative
blue-collar,6,may,66,negative
management,6,may,164,negative
unemployed,6,may,343,negative
admin.,6,may,126,negative
housemaid,6,may,59,negative
admin.,6,may,249,negative
housemaid,6,may,406,negative
services,6,may,250,negative
technician,6,may,183,negative
blue-collar,6,may,190,negative
blue-collar,6,may,220,negative
technician,6,may,153,negative
self-employed,6,may,95,negative
technician,6,may,191,negative
blue-collar,6,may,216,negative
admin.,7,may,89,negative
technician,7,may,51,negative
student,7,may,169,negative
blue-collar,7,may,148,negative
services,7,may,132,negative
blue-collar,7,may,117,negative
technician,7,may,275,negative
admin.,7,may,124,negative
technician,7,may,118,negative
services,7,may,479,negative
blue-collar,7,may,285,negative
management,7,may,35,negative
blue-collar,7,may,322,negative
admin.,7,may,202,negative
admin.,7,may,172,negative
blue-collar,7,may,201,negative
services,7,may,216,negative
technician,7,may,195,negative
technician,7,may,96,negative
management,7,may,720,negative
technician,7,may,188,negative
management,7,may,70,negative
student,7,may,141,negative
retired,7,may,106,negative
blue-collar,7,may,395,negative
blue-collar,7,may,629,negative
retired,7,may,502,negative
blue-collar,7,may,446,negative
self-employed,7,may,241,negative
management,7,may,131,negative
services,7,may,312,negative
management,7,may,275,negative
blue-collar,7,may,120,negative
retired,7,may,333,negative
technician,7,may,113,negative
blue-collar,7,may,91,negative
services,7,may,128,negative
blue-collar,7,may,200,negative
admin.,7,may,326,negative
blue-collar,7,may,292,negative
services,7,may,68,negative
services,7,may,215,negative
retired,7,may,97,negative
technician,7,may,32,negative
blue-collar,7,may,162,negative
self-employed,7,may,152,negative
blue-collar,7,may,268,negative
technician,7,may,104,negative
services,7,may,852,negative
blue-collar,7,may,923,negative
blue-collar,7,may,159,negative
management,7,may,953,negative
technician,7,may,416,negative
technician,7,may,174,negative
services,7,may,180,negative
services,7,may,139,negative
blue-collar,7,may,294,negative
blue-collar,7,may,102,negative
services,7,may,124,negative
services,7,may,128,negative
services,7,may,130,negative
blue-collar,7,may,143,negative
retired,7,may,74,negative
management,7,may,105,negative
management,7,may,477,negative
blue-collar,7,may,158,negative
blue-collar,7,may,250,negative
management,7,may,168,negative
technician,7,may,520,negative
technician,7,may,171,negative
services,7,may,113,negative
entrepreneur,7,may,254,negative
blue-collar,7,may,149,negative
admin.,7,may,133,negative
blue-collar,7,may,293,negative
blue-collar,7,may,485,negative
technician,7,may,374,negative
blue-collar,7,may,425,negative
services,7,may,207,negative
blue-collar,7,may,83,negative
management,7,may,228,negative
services,7,may,149,negative
blue-collar,7,may,139,negative
services,7,may,142,negative
technician,7,may,359,negative
management,7,may,112,negative
blue-collar,7,may,1521,negative
blue-collar,7,may,216,negative
admin.,7,may,161,negative
blue-collar,7,may,122,negative
services,7,may,800,negative
blue-collar,7,may,615,negative
services,7,may,254,negative
retired,7,may,111,negative
admin.,7,may,354,negative
services,7,may,359,negative
management,7,may,97,negative
blue-collar,7,may,327,negative
technician,7,may,236,negative
blue-collar,7,may,160,negative
blue-collar,7,may,180,negative
management,7,may,184,negative
self-employed,7,may,227,negative
services,7,may,109,negative
admin.,7,may,492,negative
blue-collar,7,may,298,negative
blue-collar,7,may,83,negative
management,7,may,241,negative
blue-collar,7,may,204,negative
unknown,7,may,131,negative
technician,7,may,123,negative
admin.,7,may,125,negative
services,7,may,295,negative
blue-collar,7,may,287,negative
housemaid,7,may,109,negative
blue-collar,7,may,140,negative
management,7,may,204,negative
unemployed,7,may,233,negative
management,7,may,254,negative
blue-collar,7,may,184,negative
management,7,may,193,negative
management,7,may,126,negative
student,7,may,230,negative
services,7,may,591,positive
services,7,may,294,negative
blue-collar,7,may,173,negative
entrepreneur,7,may,336,negative
blue-collar,7,may,19,negative
blue-collar,7,may,153,negative
admin.,7,may,99,negative
blue-collar,7,may,243,negative
admin.,7,may,260,negative
admin.,7,may,164,negative
services,7,may,255,negative
admin.,7,may,47,negative
management,7,may,463,negative
management,7,may,192,negative
services,7,may,388,negative
blue-collar,7,may,221,negative
retired,7,may,126,negative
self-employed,7,may,175,negative
blue-collar,7,may,256,negative
admin.,7,may,202,negative
management,7,may,104,negative
admin.,7,may,283,negative
self-employed,7,may,448,negative
admin.,7,may,127,negative
services,7,may,378,negative
blue-collar,7,may,67,negative
blue-collar,7,may,221,negative
unemployed,7,may,150,negative
admin.,7,may,144,negative
technician,7,may,296,negative
self-employed,7,may,401,negative
services,7,may,435,negative
blue-collar,7,may,388,negative
management,7,may,245,negative
services,7,may,143,negative
blue-collar,7,may,223,negative
blue-collar,7,may,423,negative
admin.,7,may,231,negative
retired,7,may,634,negative
blue-collar,7,may,107,negative
blue-collar,7,may,227,negative
blue-collar,7,may,69,negative
blue-collar,7,may,799,negative
blue-collar,7,may,109,negative
blue-collar,7,may,127,negative
admin.,7,may,120,negative
management,7,may,68,negative
services,7,may,180,negative
blue-collar,7,may,112,negative
blue-collar,7,may,444,negative
services,7,may,246,negative
blue-collar,7,may,259,negative
services,7,may,223,negative
admin.,7,may,566,negative
services,7,may,274,negative
entrepreneur,7,may,49,negative
management,7,may,380,negative
technician,7,may,138,negative
management,7,may,376,negative
technician,7,may,421,negative
blue-collar,7,may,121,negative
management,7,may,36,negative
admin.,7,may,328,negative
technician,7,may,19,negative
blue-collar,7,may,866,negative
retired,7,may,229,negative
services,7,may,154,negative
blue-collar,7,may,56,negative
technician,7,may,1581,negative
retired,7,may,117,negative
management,7,may,185,negative
services,7,may,202,negative
blue-collar,7,may,279,negative
admin.,7,may,180,negative
services,7,may,218,negative
services,7,may,129,negative
blue-collar,7,may,530,negative
services,7,may,104,negative
management,7,may,60,negative
technician,7,may,432,negative
blue-collar,7,may,113,negative
retired,7,may,516,negative
unemployed,7,may,179,negative
admin.,7,may,125,negative
retired,7,may,386,negative
management,7,may,262,negative
unemployed,7,may,396,negative
admin.,7,may,294,negative
blue-collar,7,may,171,negative
technician,7,may,614,negative
entrepreneur,7,may,118,negative
admin.,7,may,485,negative
blue-collar,7,may,406,negative
unemployed,7,may,287,negative
admin.,7,may,216,negative
entrepreneur,7,may,650,negative
technician,7,may,55,negative
admin.,7,may,371,negative
unemployed,7,may,166,negative
management,7,may,48,negative
blue-collar,7,may,72,negative
blue-collar,7,may,55,negative
blue-collar,7,may,144,negative
blue-collar,7,may,474,negative
admin.,7,may,559,negative
blue-collar,7,may,261,negative
services,7,may,1101,negative
technician,7,may,236,negative
admin.,7,may,164,negative
technician,7,may,93,negative
blue-collar,7,may,912,negative
services,7,may,179,negative
blue-collar,7,may,485,negative
services,7,may,206,negative
blue-collar,7,may,311,negative
blue-collar,7,may,690,negative
blue-collar,7,may,362,negative
services,7,may,274,negative
blue-collar,7,may,163,negative
technician,7,may,345,negative
admin.,7,may,329,negative
management,7,may,68,negative
services,7,may,143,negative
blue-collar,7,may,1062,negative
blue-collar,7,may,71,negative
admin.,7,may,106,negative
entrepreneur,7,may,688,negative
blue-collar,7,may,103,negative
entrepreneur,7,may,349,negative
technician,7,may,78,negative
admin.,7,may,194,negative
technician,7,may,224,negative
blue-collar,7,may,98,negative
blue-collar,7,may,607,negative
technician,7,may,398,negative
management,7,may,103,negative
blue-collar,7,may,241,negative
blue-collar,7,may,203,negative
management,7,may,96,negative
services,7,may,238,negative
technician,7,may,153,negative
blue-collar,7,may,481,negative
blue-collar,7,may,2177,negative
blue-collar,7,may,119,negative
blue-collar,7,may,245,negative
blue-collar,7,may,152,negative
technician,7,may,418,negative
services,7,may,198,negative
blue-collar,7,may,198,negative
admin.,7,may,374,negative
blue-collar,7,may,51,negative
blue-collar,7,may,263,negative
admin.,7,may,229,negative
blue-collar,7,may,154,negative
management,7,may,278,negative
technician,7,may,306,negative
management,7,may,114,negative
technician,7,may,94,negative
technician,7,may,208,negative
blue-collar,7,may,169,negative
student,7,may,332,negative
blue-collar,7,may,263,negative
blue-collar,7,may,353,negative
blue-collar,7,may,108,negative
blue-collar,7,may,441,negative
blue-collar,7,may,46,negative
blue-collar,7,may,266,negative
services,7,may,223,negative
blue-collar,7,may,105,negative
technician,7,may,165,negative
technician,7,may,381,negative
blue-collar,7,may,228,negative
services,7,may,128,negative
management,7,may,764,negative
entrepreneur,7,may,113,negative
services,7,may,396,negative
blue-collar,7,may,133,negative
management,7,may,42,negative
management,7,may,234,negative
admin.,7,may,297,negative
unknown,7,may,50,negative
blue-collar,7,may,214,negative
blue-collar,7,may,110,negative
services,7,may,99,negative
housemaid,7,may,274,negative
blue-collar,7,may,191,negative
management,7,may,305,negative
technician,7,may,134,negative
self-employed,7,may,112,negative
technician,7,may,283,negative
blue-collar,7,may,353,negative
blue-collar,7,may,212,negative
blue-collar,7,may,225,negative
