At3,At6,At7,At8,At9,At10,Class
2.8457,15.8025,11.8249,11.9768,9.59,154.712,negative
2.8609,-10.3243,-23.1846,11.4633,20.7574,199.059,negative
3.1334,-58.1243,43.08,10.3219,1.5926,282.915,negative
3.6809,54.4505,86.0228,16.1472,17.575,258.597,negative
3.0438,-0.5056,37.7755,-9.2036,4.25,165.582,negative
3.0404,5.998,34.4104,13.7756,24.216,131.601,negative
2.6906,10.1326,26.1095,-3.1071,2.572,177.008,negative
3.4533,-48.0377,42.6119,-26.2742,4.471,372.317,negative
3.4233,-48.6381,-19.4147,16.9773,0.64,291.553,negative
2.2989,-0.8645,5.0177,-5.7427,62.618,169.688,negative
2.5422,30.937,20.242,15.143,19.3719,223.241,negative
2.1319,14.7178,2.4666,-11.8517,68.604,107.851,negative
3.4303,54.8329,52.4882,-18.9858,4.2131,234.581,negative
2.4338,-4.2971,16.0316,8.0971,4.7998,55.7509,negative
3.1041,37.2749,22.8564,16.227,5.5119,188.124,negative
2.1021,13.7506,-6.2434,-6.5973,42.2408,168.245,negative
3.4434,-27.3566,54.6506,19.7834,0.9753,302.897,negative
2.5434,5.8044,19.2386,-10.3623,9.862,174.003,negative
2.7466,-34.0069,-25.3956,-6.3628,0.2425,175.99,negative
2.8974,25.9525,-35.1309,19.3011,16.119,210.596,negative
2.7376,-89.2907,-31.2444,-19.7587,4.874,272.68,negative
2.8982,32.9358,38.4208,11.1037,16.25,273.837,negative
2.7969,33.3189,19.1818,-6.8774,12.9506,169.066,negative
3.1553,-25.5033,51.797,-19.0013,7.7301,304.585,negative
2.238,-24.0292,-9.836,-2.8001,63.03,118.341,negative
3.9903,-59.0369,66.0291,-26.431,3.8107,340.996,negative
4.1295,21.1988,88.912,-15.3593,0.084,260.879,negative
2.567,-8.7481,-20.3785,12.765,6.7835,110.258,negative
3.4357,27.3604,67.0539,-7.3935,9.941,223.912,negative
2.699,-10.746,-37.5851,-13.6786,8.718,178.647,negative
2.4362,48.7119,92.2613,7.7025,74.5664,57.7231,negative
2.1255,-1.5465,8.9641,-6.0245,85.103,235.951,negative
3.359,-34.801,61.0636,20.5479,9.782,307.321,negative
2.4526,-32.2094,-20.1641,-5.1006,0.9075,74.5242,negative
2.1414,-22.9802,-12.1656,6.0883,40.656,146.512,negative
3.2641,44.0893,26.0127,22.939,0.67,150.761,negative
2.3064,-12.3167,16.287,1.6476,3.675,197.338,negative
2.7372,10.0066,23.9409,15.0702,15.9328,222.184,negative
2.2188,-25.6063,-10.429,5.5499,33.4008,210.819,negative
3.1984,42.2957,50.5528,-12.7104,11.5159,160.519,negative
3.0663,-12.5192,11.1413,-7.5776,17.6684,201.404,negative
2.4661,-15.6487,-18.8315,-9.9017,43.565,194.384,negative
2.4425,2.48,-10.4986,-3.923,13.8089,55.4986,negative
2.7997,51.0255,54.5868,-14.0979,5.094,217.856,negative
2.1492,23.4366,18.6537,-10.8294,14.3756,251.28,negative
3.0885,18.6509,48.5227,14.2821,3.497,358.99,negative
3.8026,-24.0564,60.9768,26.1668,2.643,306.55,negative
2.7763,18.1724,13.6391,6.5266,3.7449,201.01,negative
3.1361,23.2559,43.3331,12.715,7.6147,219.077,negative
3.8899,22.0971,98.5182,14.069,3.689,158.618,negative
2.5993,-16.3719,-25.5307,14.8483,81.8671,120.263,negative
2.2934,-6.8054,17.3916,-4.9889,13.17,130.918,negative
2.1804,25.981,-0.1704,6.6103,35.4993,95.7374,negative
3.9208,99.2131,75.0174,-14.3854,2.428,255.315,negative
2.4298,-45.8108,-40.3603,-9.3853,1.886,32.6827,negative
2.8429,29.9825,29.1531,12.4846,8.376,227.336,negative
2.7308,47.4405,37.9125,16.1237,17.671,213.317,negative
2.8052,3.5656,55.2047,8.5485,1.3841,230.089,negative
3.1573,-66.4032,48.4611,-24.9966,2.936,294.746,negative
2.9914,-36.5281,63.076,-12.2594,4.029,363.489,negative
3.7043,-2.4392,58.1668,-14.371,0.2442,327.992,negative
2.7966,-38.1241,25.4219,17.0574,6.4974,299.173,negative
2.2718,1.7266,-7.66,-6.3001,43.3661,147.236,negative
2.4048,7.0323,15.7982,6.2085,24.847,193.349,negative
2.5605,-8.8017,-15.9867,10.389,83.8081,235.203,negative
2.5072,-2.3114,-17.7455,-11.3244,12.1807,193.794,negative
2.4074,-0.0948,-6.5384,11.397,69.2291,219.394,negative
3.0414,39.265,30.5051,-23.3496,0.6344,91.228,negative
3.0071,-68.649,-48.92,6.7814,2.5099,293.081,negative
2.5496,-51.8263,23.7665,7.7365,39.189,168.084,negative
2.747,28.7838,-29.0817,-7.859,4.798,159.704,negative
2.5545,-44.1258,34.5939,16.6915,23.149,282.616,negative
2.4099,16.3451,14.9018,5.6343,4.1527,183.852,negative
2.7727,-97.071,50.552,-14.982,1.854,302.219,negative
2.3927,-21.4336,-29.3931,13.3864,13.741,154.264,negative
2.5821,-49.0296,-7.6514,5.127,25.657,166.95,negative
3.3959,38.7703,41.463,9.3292,3.6565,189.155,negative
2.5391,-12.5331,-8.9993,12.3285,65.2451,72.7386,negative
2.8439,-1.6706,-8.159,-15.8111,23.821,109.02,negative
2.2504,-7.7092,-17.4113,-2.8594,27.549,146.596,negative
2.57,17.8018,20.673,-6.2792,23.123,142.372,negative
2.6464,6.1452,-19.1932,11.3697,24.109,69.2467,negative
2.2,-0.5678,5.2697,0,34.817,182.016,negative
2.3181,23.9812,14.1032,-7.0892,27.014,128.707,negative
2.8639,2.8405,6.1522,-10.0668,23.5868,188.636,negative
3.1921,98.9071,129.932,-17.914,2.582,188.983,negative
2.7657,-12.9068,4.6154,8.1139,41.065,152.596,negative
2.224,-14.5262,1.8356,-11.7029,54.0277,181.817,negative
2.4564,-24.1639,11.1073,7.8713,47.777,149.657,negative
2.4526,18.9639,18.329,5.3072,2.5957,48.9988,negative
3.1041,-96.9809,52.5046,-12.6086,0.45,288.263,negative
3.9457,-157.872,70.4115,22.1504,4.0677,327.251,negative
2.8837,-49.22,-33.4621,11.5684,20.194,94.0063,negative
2.5916,11.7553,17.0726,-12.0534,25.7775,91.6373,negative
2.8943,71.8585,39.648,10.7621,1.574,250.91,negative
3.3917,83.3498,48.9676,-12.3834,2.9261,233.617,negative
3.7262,35.5667,66.9446,12.8892,4.155,295.38,negative
2.5804,46.6935,13.1053,15.3472,40.3711,99.7447,negative
3.2909,-4.4911,26.362,-11.1395,0.6925,182.477,negative
2.8445,36.0787,76.0508,-10.599,5.066,272.617,negative
2.2911,16.7068,25.194,-14.8757,74.308,316.47,negative
2.4116,-1.2345,5.8021,6.0007,18.5125,190.039,negative
2.5821,-14.6576,-16.9343,-14.4939,17.1286,114.938,negative
2.9974,-4.6579,-11.6112,11.8667,11.6079,163.722,negative
2.934,23.3297,17.6318,-18.5123,27.943,151.522,negative
2.7938,-20.4985,28.2927,28.1989,9.628,308.373,negative
2.3738,-12.181,-12.8844,11.3032,66.649,78.9436,negative
2.316,5.8526,-17.6826,10.2235,1.5485,232.154,negative
2.4191,12.5054,12.7741,-8.1001,26.586,199.96,negative
2.3701,10.6071,21.1038,3.9151,41.563,147.489,negative
2.3664,-32.1031,-25.7479,7.0429,1.2543,201.751,negative
3.2496,-100.913,-25.4533,16.5613,3.121,229.768,negative
2.1383,-3.5091,10.3719,-4.8598,24.7838,173.073,negative
2.9917,19.6222,46.8981,-10.5913,6.955,203.072,negative
2.1629,5.3609,-15.2145,0,80.3449,210.833,negative
2.2529,22.8063,10.1469,5.3027,15.8259,159.544,negative
2.4778,28.2765,20.1871,10.6797,13.6965,136.651,negative
2.8092,41.1158,33.8544,8.2134,2.608,178.462,negative
2.7551,15.898,27.6711,-8.487,8.709,196.918,negative
3.5327,29.7042,95.3544,12.0158,3.2128,256.435,negative
2.1973,12.3051,7.4928,10.0776,58.845,166.287,negative
2.9462,-53.2694,27.9502,-20.7681,6.087,309.622,negative
2.9117,-5.5945,16.0028,-10.1794,0.774,233.346,negative
3.8528,-84.0021,43.5019,-23.9483,0.7567,246.341,negative
3.5143,44.5465,46.5522,18.3607,1.919,284.652,negative
2.2068,-4.0544,16.5945,10.4839,9.215,236.65,negative
2.8808,-110.45,53.9825,12.1712,5.235,289.536,negative
2.4241,-12.2606,-14.8614,-11.7431,29.844,225.566,negative
2.356,8.4346,15.5208,-9.1862,22.3655,120.076,negative
2.2844,20.3461,14.9016,5.7986,2.7533,175.992,negative
4.0942,-105.167,83.687,32.7482,3.0094,256.828,negative
2.6128,42.4917,33.7518,12.0692,4.182,146.803,negative
2.9805,15.679,14.3568,4.1406,2.0711,225.707,negative
2.7197,-23.7309,2.8864,-11.5139,22.951,157.613,negative
3.0755,-44.0508,-20.0659,-14.117,4.7597,335.983,negative
2.404,14.1429,15.066,7.8845,36.457,132.889,negative
3.4791,26.7671,54.7397,-29.0666,1.1057,264.642,negative
3.008,-47.3236,42.1489,-10.2088,4.087,291.175,negative
2.2443,1.5153,-8.8118,5.9528,88.4999,189.577,negative
2.4289,7.3563,16.856,-7.645,10.378,216.895,negative
2.616,17.1472,19.777,-14.2938,0.8652,256.869,negative
2.4786,-57.2893,29.2074,-5.1062,12.715,109.517,negative
2.5085,8.3826,17.2241,8.0364,58.903,174.401,negative
2.534,-19.4911,-14.9193,8.3832,6.2472,131.247,negative
2.7404,-55.8407,-62.4659,-17.9965,10.08,288.194,negative
3.096,-54.9261,58.5437,-5.9832,0.644,286.265,negative
2.1775,2.1721,-9.6562,-5.7228,9.1256,159.126,negative
2.5224,-1.574,-15.0956,-11.354,47.786,86.2468,negative
3.6714,20.4369,24.4273,-24.8336,4.142,228.254,negative
2.081,-23.7708,-10.7906,-5.9792,28.79,177.459,negative
2.7882,4.4937,31.5053,-11.6112,1.713,184.572,negative
2.2753,10.5704,18.3557,-14.0925,4.2353,169.08,negative
2.4969,-37.9885,-22.3351,14.4754,12.9801,220.713,negative
2.5302,16.4085,14.006,-13.2107,10.288,125.972,negative
2.3075,1.5604,11.248,15.5561,44.74,225.809,negative
2.5434,7.9688,9.6019,14.4923,10.615,186.555,negative
2.8868,88.6317,-19.3902,13.1675,5.097,237.768,negative
3.7751,82.1473,66.0231,15.8013,3.227,161.776,negative
3.8949,43.638,73.8035,16.3734,3.7714,260.378,negative
3.2671,46.2902,94.0484,12.4317,1.892,213.191,negative
2.4829,21.9631,14.7728,9.8037,44.9,207.691,negative
2.7941,39.2425,30.9736,-6.915,32.377,140.921,negative
3.0824,-14.268,44.4184,-26.1683,3.9746,313.967,negative
2.2201,18.2871,9.4278,-8.0678,82.0505,193.769,negative
2.7459,31.7383,19.1549,7.9992,1.7038,228.537,negative
2.3793,37.1098,-17.1724,8.4708,26.3559,147.636,negative
3.2412,59.8813,83.1157,-21.7603,31.553,211.97,negative
4.1837,78.3723,90.4413,-27.5737,6.1992,265.012,negative
2.8011,44.9467,40.3342,-4.6509,7.6914,154.427,negative
2.9015,47.4507,38.9838,13.6166,2.926,234.109,negative
2.7466,22.8049,22.652,11.7008,2.8462,51.4993,negative
2.6191,13.6337,11.1564,-7.5994,81.6368,229.061,negative
3.2357,57.955,86.1356,16.129,12.616,217.965,negative
2.3324,33.1918,21.022,-7.3445,10.2785,189.48,negative
2.9978,11.2262,44.4537,14.2419,12.267,247.114,negative
2.6522,-30.4934,-15.3203,-12.6072,27.835,194.042,negative
2.4065,-48.0214,22.4139,-9.317,1.7371,227.008,negative
2.8534,36.9605,31.7324,5.2607,9.1923,225.515,negative
2.6435,-25.0167,-41.2341,6.56,5.096,185.44,negative
2.1319,25.3507,15.0322,0,61.5621,147.73,negative
2.3664,3.6595,-11.2892,-10.7783,18.354,182.91,negative
2.8561,25.8408,21.2875,15.2061,27.297,136.814,negative
2.8065,28.0575,19.6679,16.5609,27.621,78.7331,negative
3.0876,-2.4734,-13.2831,8.1078,1.9727,135.037,negative
2.5441,-9.3565,21.4041,10.0929,1.925,216.048,negative
2.944,-110.411,74.4191,-14.7132,0.305,230.713,negative
3.3971,17.6816,46.0987,10.205,12.727,107.747,negative
2.6862,1.7249,-9.9052,8.066,5.2437,215.956,negative
2.2999,27.7037,24.3173,8.5655,0.352,209.784,negative
4.1111,35.8899,74.5456,25.1406,4.8152,219.069,negative
2.7168,104.88,-54.6747,-6.9935,10.304,261.443,negative
3.1281,65.7484,41.2256,-11.1654,1.0067,224.491,negative
2.0233,-1.1217,7.933,-5.933,56.923,137.98,negative
2.7835,-132.189,67.6255,-8.8232,0.137,248.86,negative
2.8618,7.1639,22.6167,13.2218,50.0234,38.7816,negative
2.8293,-129.945,37.1621,7.5805,3.241,303.714,negative
2.3274,16.9437,5.9588,-8.9597,47.8491,218.66,negative
2.2188,-14.0863,5.2668,10.5095,74.1884,175.677,negative
3.1602,53.3845,87.6757,16.2707,17.7108,171.441,negative
3.03,-19.3494,-12.726,-18.4786,46.1539,15.3696,negative
2.4878,29.0377,20.5257,-8.2908,29.5051,135.119,negative
3.0195,43.5397,68.1553,-10.9792,34.2372,216.957,negative
2.9834,11.2818,8.5158,10.8997,46.43,93.9373,negative
2.3464,-0.8501,4.6868,3.9635,69.7431,224.031,negative
2.9445,68.4368,71.1737,-9.5179,7.615,223.184,negative
2.5653,43.4461,-19.3437,2.9659,4.6366,192.525,negative
2.7792,-13.7784,-31.4401,-25.3331,29.644,28.8145,negative
2.9287,37.3736,31.5782,-12.4757,20.664,140.19,negative
3.1942,33.813,36.6852,8.7702,0.556,220.971,negative
3.3769,-42.0608,-33.4996,-13.6411,4.4376,299.45,negative
2.4955,-29.8832,23.1758,6.9027,27.604,182.12,negative
2.5735,-6.2041,-19.0011,-6.9374,6.6462,147.737,negative
2.5843,-28.1468,-21.6535,-10.4241,1.818,245.343,negative
3.5469,-57.3109,62.6011,-13.1964,6.878,273.371,negative
2.6532,-14.0759,-25.0816,7.2235,16.2095,168.025,negative
3.0388,42.9603,19.7787,-11.2019,2.8523,201.766,negative
3.1096,56.2044,57.895,8.1977,3.473,243.311,negative
3.1307,-76.6982,52.6603,21.812,0.402,253.006,negative
3.5386,-49.9844,88.2266,-25.3392,30.763,280.767,negative
3.1746,17.9069,-25.4435,8.9821,5.4509,197.243,negative
2.2355,-13.6277,-12.0722,-7.9568,33.5573,164.843,negative
3.0586,10.7891,35.9762,19.5228,8.44,270.007,negative
2.5938,1.5724,-20.7925,-4.5251,53.815,139.193,negative
2.8561,24.9532,37.9769,6.2648,7.803,184.216,negative
2.2967,18.4225,20.1723,-11.544,75.3948,167.109,negative
2.7906,-88.956,43.637,-17.9763,4.5199,251.386,negative
2.6107,13.4573,9.0185,6.0375,6.6995,169.81,negative
2.4556,-1,9.8855,-10.4173,53.7383,202.139,negative
2.4417,16.1166,11.5546,-8.1819,31.4965,163.805,negative
2.4742,33.7307,27.5196,2.2896,6.8985,199.944,negative
2.7509,20.2038,38.108,-11.145,1.985,177.428,negative
2.6716,-50.8563,-130.103,24.28,41.91,127.577,negative
2.6628,10.2036,12.6949,8.5211,26.996,165.258,negative
2.2844,3.4739,4.489,5.2467,19.79,217.318,negative
2.8756,48.9056,72.2829,4.4207,1.53,245.673,negative
2.2516,11.2062,8.4149,-5.4993,40.035,146.03,negative
3.1178,14.0562,20.1419,14.7248,33.371,142.269,negative
2.5599,29.268,-11.5756,14.5016,35.595,122.94,negative
2.1569,14.6416,-4.0114,11.6445,88.1516,98.8626,negative
3.5737,39.2808,58.4267,14.9922,7.596,171.407,negative
2.635,11.2887,26.7753,-10.7571,36.953,190.445,negative
2.9717,18.4636,76.5354,-9.3669,5.847,286.639,negative
2.4526,-14.6546,-15.5914,8.1478,45.059,142.487,negative
3.2122,29.9765,-24.5987,8.9177,8.364,169.123,negative
2.9647,13.8792,25.8841,7.6886,6.891,90.7788,negative
3.3537,-43.2684,61.6568,-19.4233,0.7472,318.342,negative
2.2304,-4.4301,16.7152,-8.5553,14.8311,207.058,negative
2.5224,-5.9833,-17.4181,12.4547,2.969,131.396,negative
3.0384,-2.0615,27.1747,-7.9478,7.8488,156.407,negative
2.6915,40.987,17.3007,6.6499,14.233,197.379,negative
2.7427,21.8132,13.6714,-14.6917,39.0829,143.347,negative
2.7675,24.2257,-13.6964,-11.409,31.2269,68.9708,negative
2.2467,-13.3907,-4.7953,10.6172,27.3603,225.093,negative
2.3149,2.7603,-12.9376,0,0,122.76,negative
2.3838,-22.2515,-24.4503,-5.3397,27.4653,53.5635,negative
2.873,1.2051,14.7875,12.6812,1.6985,183.056,negative
3.7285,30.1971,73.1529,-12.4444,0.57,286.451,negative
2.9263,33.8612,24.1014,-10.3577,3.378,214.16,negative
2.3531,9.9865,14.0662,8.7369,1.701,205.635,negative
3.3842,41.6122,91.629,11.0464,0.71,279.442,negative
2.639,-16.3651,-17.0472,-11.9383,20.646,118.458,negative
2.5521,-22.4237,-21.0367,-13.4138,12.24,232.553,negative
2.7271,15.6316,30.4684,-10.7728,6.915,93.2392,negative
3.3654,-48.1293,43.1926,22.0904,4.1635,291.833,negative
2.8048,37.0506,20.0806,14.8701,11.287,214.847,negative
2.0233,15.6692,-8.7521,10.1028,79.5407,164.163,negative
2.7251,11.7908,20.3361,-7.0757,24.8586,168.656,negative
2.9609,38.0039,23.6864,5.8435,2.4098,168.887,negative
2.8109,-2.201,-29.0313,-12.3771,48.259,30.8191,negative
3.4718,14.543,53.802,-10.5164,17.073,93.8376,negative
3.1313,-27.2263,-20.6041,14.3218,6.846,189.616,negative
2.5955,-16.8541,-16.6278,5.8666,8.0075,190.772,negative
2.7882,8.9986,-21.5671,-8.7772,3.655,188.205,negative
2.6289,25.683,27.794,9.2649,6.484,182.24,negative
2.7945,-10.5469,22.0225,6.9349,13.69,166.058,negative
2.2788,21.4803,11.3674,-4.8388,45.778,145.226,negative
2.6721,-19.4629,-17.4883,7.5957,29.1324,184.927,negative
2.3502,-15.7609,-6.2242,-10.7083,9.822,228.486,negative
2.4807,-4.6572,13.4459,-5.3479,42.523,104.52,negative
3.3429,46.2421,59.0347,12.2292,7.4414,206.648,negative
2.4464,3.1824,-10.1699,-11.3148,20.997,130.658,negative
2.3054,-24.1813,-9.5954,3.0192,25.149,174.422,negative
3.0948,96.7367,-55.23,-17.7369,2.0919,246.786,negative
2.1414,-3.1037,8.6013,-3.4053,76.0739,165.641,negative
3.0257,15.7854,11.6545,-18.0274,2.3112,119.196,negative
2.4116,-50.3473,-90.9952,5.8806,0.589,371.095,negative
2.5218,-37.1024,-15.7849,-7.8747,8.2969,189.763,negative
3.6018,19.5589,28.2246,-12.2202,20.1948,71.4024,negative
3.1733,19.6607,76.9693,23.1282,3.4614,178.712,negative
2.2889,-25.018,-12.1896,-12.0047,37.2132,173.349,negative
2.6693,20.5709,77.5674,4.8373,9.402,235.075,negative
2.7348,-31.1356,53.6291,19.484,4.802,300.163,negative
2.9342,82.5458,42.7297,16.8556,3.1218,265.076,negative
3.4072,-15.0925,43.1847,11.8992,3.4278,222.286,negative
2.4031,21.682,11.9557,-4.6444,50.86,194.863,negative
2.7853,3.201,-13.1804,3.5891,89.2231,80.7012,negative
3.2899,-64.0511,50.385,-16.7292,2.245,297.823,negative
2.6217,-14.1093,-62.4836,-16.2378,1.7076,211.699,negative
2.6821,-19.1665,-15.8836,11.4315,83.8778,50.7506,negative
2.1414,2.3508,-10.1138,-5.857,25.643,87.5154,negative
2.8048,-33.6288,-22.3987,14.2476,0.803,295.812,negative
3.9109,50.724,90.2158,18.3796,1.873,230.846,negative
3.5062,22.1605,56.6713,-9.7075,1.569,209.056,negative
2.5877,45.3996,63.7663,10.6671,20.872,122.622,negative
2.372,-46.6986,-30.2335,10.8811,14.103,92.7215,negative
2.7181,57.3802,33.9482,-11.3089,11.762,223.254,negative
2.6794,-40.125,-31.0859,17.9862,12.8677,225.89,negative
2.9363,30.0344,40.5783,-6.9531,7.132,180.522,negative
3.1274,-77.6508,48.7238,12.3933,11.138,253.993,negative
3.5894,35.167,40.3408,20.895,0.4,261.59,negative
2.968,27.1233,22.0479,-15.7731,7.208,107.15,negative
2.8695,20.2522,53.7607,-12.9033,11.677,252.365,negative
3.3244,10.1771,-28.5291,-18.2423,2.129,340.809,negative
2.6946,-1.3097,17.8866,-9.1995,2.103,154.642,negative
2.5815,6.1544,11.5784,14.5851,72.2425,228.28,negative
2.4893,-17.8425,14.9077,7.5929,47.377,183.708,negative
2.8979,-96.7076,-28.5553,-22.971,5.1606,325.446,negative
2.7864,21.3774,-18.5377,17.1248,6.11,151.76,negative
2.8497,88.1908,-36.4026,14.4477,8.217,193.871,negative
3.7026,34.1638,64.2319,-10.954,4.1234,171.784,negative
3.0177,-18.1745,-15.7373,9.9684,6.7334,160.596,negative
2.3243,28.3051,4.9827,-7.8915,33.8435,94.5324,negative
3.1982,58.0917,109.953,17.8454,3.1693,170.111,negative
2.7396,47.5036,37.0007,-4.512,11.679,254.953,negative
2.2162,15.1407,-4.8943,-11.5795,1.2142,105.064,negative
2.7202,-16.3295,-18.29,11.951,4.939,238.184,negative
2.2455,-23.5159,-19.3164,-10.2216,7.755,114.905,negative
2.5676,-9.9563,30.6469,10.863,12.089,149.596,negative
2.4669,2.6314,-10.302,-8.5521,16.395,151.372,negative
2.5231,28.8057,10.4378,-11.5998,18.82,206.474,negative
3.466,73.8548,71.5445,18.1939,2.3084,270.704,negative
2.4175,20.9195,26.5732,-10.0969,71.066,65.1353,negative
2.9398,63.7436,29.51,-13.7127,11.1868,196.59,negative
2.7657,0.2545,-7.5265,-11.0293,5.4609,182.494,negative
3.3093,43.8255,22.922,-18.7429,1.6058,147.6,negative
2.4822,3.915,-16.1011,-9.6919,14.71,170.615,negative
2.7202,-10.3197,-22.4855,10.0655,21.329,66.8513,negative
2.243,-32.3346,16.0048,10.2052,26.831,126.2,negative
2.6862,26.7542,12.1834,-16.0947,25.431,30.4329,negative
3.3192,-74.3157,60.8729,14.111,3.902,256.658,negative
3.5405,34.9796,74.514,15.0871,4.2311,202.542,negative
2.2253,-19.9214,-13.3648,-4.5491,0.0648,129.373,negative
3.1159,-10.5013,20.5008,-5.0981,11.3154,177.42,negative
2.4616,39.4292,16.4468,-6.6409,7.923,220.319,negative
2.7316,6.2344,22.7043,-0.9389,49.1483,67.7852,negative
2.2304,-20.4804,-14.1482,2.7477,81.0899,211.998,negative
2.7447,-27.2832,-27.861,-23.4385,13.269,277.779,negative
2.634,-18.8146,12.5722,-8.6566,60.493,185.734,negative
2.7404,6.1052,21.3123,10.0353,28.521,220.166,negative
2.2529,0.7829,10.3637,9.4599,32.6097,185.545,negative
2.7263,-28.9954,12.4763,-11.2782,3.3162,187.61,negative
2.4057,-26.9401,-12.1122,-10.1223,81.2274,168.833,negative
2.6196,-14.2964,-16.8821,9.1943,8.977,173.972,negative
2.5993,-1.0313,-21.8471,11.3766,10.6245,196.962,negative
2.3598,-19.5487,-12.7659,6.8677,84.2593,185.565,negative
2.9001,-0.1913,29.7202,15.8403,9.654,232.656,negative
2.882,-12.7839,-19.3784,9.745,4.1367,213.389,negative
2.772,-98.2812,25.5609,24.6676,16.194,237.432,negative
2.4997,8.6813,14.9779,-13.7075,39.4624,212.326,negative
3.1828,-19.6781,65.1319,-19.9625,1.562,321.541,negative
2.5599,33.6157,16.5571,-9.5372,13.7301,112.276,negative
2.6243,12.7534,6.2127,11.7229,36.077,194.115,negative
2.8264,-19.2304,-15.1459,11.1788,10.721,162.78,negative
3.2844,23.2233,27.294,-13.0111,13.913,131.992,negative
2.437,-26.4809,-10.5577,-9.4669,68.6674,100.45,negative
3.2456,77.0907,78.2005,2.3756,6.986,243.888,negative
3.5361,48.3117,45.5126,-17.2875,1.8811,206.842,negative
3.4649,21.7908,75.6075,-11.0191,1.6851,267.36,negative
4.3237,10.6809,83.0956,-23.9498,0.624,244.643,negative
3.0222,4.3277,13.4747,16.9388,4.075,94.4528,negative
2.1688,15.9987,-8.5835,10.5907,45.6611,217.134,negative
3.2007,-27.225,-27.5871,9.9968,5.4306,233.588,negative
2.9251,46.1909,45.2258,-11.3574,9.3666,153.897,negative
2.5557,79.1655,-40.6169,-7.4207,0.47,198.596,negative
2.6258,14.159,-5.5612,12.28,29.603,135.206,negative
2.8238,40.6911,26.0716,-5.8822,0.1899,177.974,negative
2.7716,19.6874,33.9511,7.8238,15.834,256.048,negative
2.6556,19.1387,14.3378,-11.7582,66.0281,57.7037,negative
2.5126,12.1478,-23.3928,-7.7522,29.307,97.1445,negative
2.4829,45.024,17.3649,-9.1849,10.7626,124.56,negative
2.9664,-126.614,59.9437,10.6782,13.9446,204.926,negative
2.7574,60.5019,49.8049,7.7899,73.9247,122.613,negative
3.2033,65.4462,46.0652,-11.9541,8.519,245.152,negative
3.0052,19.2474,29.5049,6.2066,8.877,98.7117,negative
2.8041,40.2922,14.8127,-9.8638,3.952,148.485,negative
3.146,33.752,43.2779,-4.8554,6.527,154.146,negative
3.6856,74.4441,72.9694,10.4241,0.8794,230.344,negative
3.1065,36.2267,34.9348,11.3817,1.2137,167.026,negative
2.2504,1.2627,-6.3159,5.3486,40.0799,206.442,negative
2.4281,-15.7757,-11.8597,10.5502,21.8327,202.634,negative
2.6871,44.3245,29.9203,-9.4979,5.231,151.136,negative
2.5484,-17.5294,-25.4043,-12.3432,4.661,192.529,negative
2.9206,26.5122,32.6991,-13.6362,2.447,264.805,negative
2.9763,13.9659,39.1249,-7.5246,2.621,180.709,negative
2.6248,7.4801,13.3605,-13.2124,31.983,132.292,negative
3.2348,13.4766,28.0548,-17.264,13.181,130.225,negative
2.9827,23.7303,21.7099,10.6866,27.914,96.3967,negative
3.233,67.6469,77.1651,-10.7477,19.558,201.848,negative
3.4757,-26.1392,61.4417,-17.0144,2.8019,335.801,negative
3.0257,6.9242,27.5978,-18.7103,7.341,162.335,negative
