At3,At9,At10,Class
2.1629,80.3449,210.833,negative
2.2529,15.8259,159.544,negative
2.4778,13.6965,136.651,negative
2.8092,2.608,178.462,negative
2.7551,8.709,196.918,negative
3.5327,3.2128,256.435,negative
2.1973,58.845,166.287,negative
2.9462,6.087,309.622,negative
2.9117,0.774,233.346,negative
3.8528,0.7567,246.341,negative
3.5143,1.919,284.652,negative
2.2068,9.215,236.65,negative
2.8808,5.235,289.536,negative
2.4241,29.844,225.566,negative
2.356,22.3655,120.076,negative
2.2844,2.7533,175.992,negative
4.0942,3.0094,256.828,negative
2.6128,4.182,146.803,negative
2.9805,2.0711,225.707,negative
2.7197,22.951,157.613,negative
3.0755,4.7597,335.983,negative
2.404,36.457,132.889,negative
3.4791,1.1057,264.642,negative
3.008,4.087,291.175,negative
2.2443,88.4999,189.577,negative
2.4289,10.378,216.895,negative
2.616,0.8652,256.869,negative
2.4786,12.715,109.517,negative
2.5085,58.903,174.401,negative
2.534,6.2472,131.247,negative
2.7404,10.08,288.194,negative
3.096,0.644,286.265,negative
2.1775,9.1256,159.126,negative
2.5224,47.786,86.2468,negative
3.6714,4.142,228.254,negative
2.081,28.79,177.459,negative
2.7882,1.713,184.572,negative
2.2753,4.2353,169.08,negative
2.4969,12.9801,220.713,negative
2.5302,10.288,125.972,negative
2.3075,44.74,225.809,negative
2.5434,10.615,186.555,negative
2.8868,5.097,237.768,negative
3.7751,3.227,161.776,negative
3.8949,3.7714,260.378,negative
3.2671,1.892,213.191,negative
2.4829,44.9,207.691,negative
2.7941,32.377,140.921,negative
3.0824,3.9746,313.967,negative
2.2201,82.0505,193.769,negative
2.7459,1.7038,228.537,negative
2.3793,26.3559,147.636,negative
3.2412,31.553,211.97,negative
4.1837,6.1992,265.012,negative
2.8011,7.6914,154.427,negative
2.9015,2.926,234.109,negative
2.7466,2.8462,51.4993,negative
2.6191,81.6368,229.061,negative
3.2357,12.616,217.965,negative
2.3324,10.2785,189.48,negative
2.9978,12.267,247.114,negative
2.6522,27.835,194.042,negative
2.4065,1.7371,227.008,negative
2.8534,9.1923,225.515,negative
2.6435,5.096,185.44,negative
2.1319,61.5621,147.73,negative
2.3664,18.354,182.91,negative
2.8561,27.297,136.814,negative
2.8065,27.621,78.7331,negative
3.0876,1.9727,135.037,negative
2.5441,1.925,216.048,negative
2.944,0.305,230.713,negative
3.3971,12.727,107.747,negative
2.6862,5.2437,215.956,negative
2.2999,0.352,209.784,negative
4.1111,4.8152,219.069,negative
2.7168,10.304,261.443,negative
3.1281,1.0067,224.491,negative
2.0233,56.923,137.98,negative
2.7835,0.137,248.86,negative
2.8618,50.0234,38.7816,negative
2.8293,3.241,303.714,negative
2.3274,47.8491,218.66,negative
2.2188,74.1884,175.677,negative
3.1602,17.7108,171.441,negative
3.03,46.1539,15.3696,negative
2.4878,29.5051,135.119,negative
3.0195,34.2372,216.957,negative
2.9834,46.43,93.9373,negative
2.3464,69.7431,224.031,negative
2.9445,7.615,223.184,negative
2.5653,4.6366,192.525,negative
2.7792,29.644,28.8145,negative
2.9287,20.664,140.19,negative
3.1942,0.556,220.971,negative
3.3769,4.4376,299.45,negative
2.4955,27.604,182.12,negative
2.5735,6.6462,147.737,negative
2.5843,1.818,245.343,negative
3.5469,6.878,273.371,negative
2.6532,16.2095,168.025,negative
3.0388,2.8523,201.766,negative
3.1096,3.473,243.311,negative
3.1307,0.402,253.006,negative
3.5386,30.763,280.767,negative
3.1746,5.4509,197.243,negative
2.2355,33.5573,164.843,negative
3.0586,8.44,270.007,negative
2.5938,53.815,139.193,negative
2.8561,7.803,184.216,negative
2.2967,75.3948,167.109,negative
2.7906,4.5199,251.386,negative
2.6107,6.6995,169.81,negative
2.4556,53.7383,202.139,negative
2.4417,31.4965,163.805,negative
2.4742,6.8985,199.944,negative
2.7509,1.985,177.428,negative
2.6716,41.91,127.577,negative
2.6628,26.996,165.258,negative
2.2844,19.79,217.318,negative
2.8756,1.53,245.673,negative
2.2516,40.035,146.03,negative
3.1178,33.371,142.269,negative
2.5599,35.595,122.94,negative
2.1569,88.1516,98.8626,negative
3.5737,7.596,171.407,negative
2.635,36.953,190.445,negative
2.9717,5.847,286.639,negative
2.4526,45.059,142.487,negative
3.2122,8.364,169.123,negative
2.9647,6.891,90.7788,negative
3.3537,0.7472,318.342,negative
2.2304,14.8311,207.058,negative
2.5224,2.969,131.396,negative
3.0384,7.8488,156.407,negative
2.6915,14.233,197.379,negative
2.7427,39.0829,143.347,negative
2.7675,31.2269,68.9708,negative
2.2467,27.3603,225.093,negative
2.3149,0,122.76,negative
2.3838,27.4653,53.5635,negative
2.873,1.6985,183.056,negative
3.7285,0.57,286.451,negative
2.9263,3.378,214.16,negative
2.3531,1.701,205.635,negative
3.3842,0.71,279.442,negative
2.639,20.646,118.458,negative
2.5521,12.24,232.553,negative
2.7271,6.915,93.2392,negative
3.3654,4.1635,291.833,negative
2.8048,11.287,214.847,negative
2.0233,79.5407,164.163,negative
2.7251,24.8586,168.656,negative
2.9609,2.4098,168.887,negative
2.8109,48.259,30.8191,negative
3.4718,17.073,93.8376,negative
3.1313,6.846,189.616,negative
2.5955,8.0075,190.772,negative
2.7882,3.655,188.205,negative
2.6289,6.484,182.24,negative
2.7945,13.69,166.058,negative
2.2788,45.778,145.226,negative
2.6721,29.1324,184.927,negative
2.3502,9.822,228.486,negative
2.4807,42.523,104.52,negative
3.3429,7.4414,206.648,negative
2.4464,20.997,130.658,negative
2.3054,25.149,174.422,negative
3.0948,2.0919,246.786,negative
2.1414,76.0739,165.641,negative
3.0257,2.3112,119.196,negative
2.4116,0.589,371.095,negative
2.5218,8.2969,189.763,negative
3.6018,20.1948,71.4024,negative
3.1733,3.4614,178.712,negative
2.2889,37.2132,173.349,negative
2.6693,9.402,235.075,negative
2.7348,4.802,300.163,negative
2.9342,3.1218,265.076,negative
3.4072,3.4278,222.286,negative
2.4031,50.86,194.863,negative
2.7853,89.2231,80.7012,negative
3.2899,2.245,297.823,negative
2.6217,1.7076,211.699,negative
2.6821,83.8778,50.7506,negative
2.1414,25.643,87.5154,negative
2.8048,0.803,295.812,negative
3.9109,1.873,230.846,negative
3.5062,1.569,209.056,negative
2.5877,20.872,122.622,negative
2.372,14.103,92.7215,negative
2.7181,11.762,223.254,negative
2.6794,12.8677,225.89,negative
2.9363,7.132,180.522,negative
3.1274,11.138,253.993,negative
3.5894,0.4,261.59,negative
2.968,7.208,107.15,negative
2.8695,11.677,252.365,negative
3.3244,2.129,340.809,negative
2.6946,2.103,154.642,negative
2.5815,72.2425,228.28,negative
2.4893,47.377,183.708,negative
2.8979,5.1606,325.446,negative
2.7864,6.11,151.76,negative
2.8497,8.217,193.871,negative
3.7026,4.1234,171.784,negative
3.0177,6.7334,160.596,negative
2.3243,33.8435,94.5324,negative
3.1982,3.1693,170.111,negative
2.7396,11.679,254.953,negative
2.2162,1.2142,105.064,negative
2.7202,4.939,238.184,negative
2.2455,7.755,114.905,negative
2.5676,12.089,149.596,negative
2.4669,16.395,151.372,negative
2.5231,18.82,206.474,negative
3.466,2.3084,270.704,negative
2.4175,71.066,65.1353,negative
2.9398,11.1868,196.59,negative
2.7657,5.4609,182.494,negative
3.3093,1.6058,147.6,negative
2.4822,14.71,170.615,negative
2.7202,21.329,66.8513,negative
2.243,26.831,126.2,negative
2.6862,25.431,30.4329,negative
3.3192,3.902,256.658,negative
3.5405,4.2311,202.542,negative
2.2253,0.0648,129.373,negative
3.1159,11.3154,177.42,negative
2.4616,7.923,220.319,negative
2.7316,49.1483,67.7852,negative
2.2304,81.0899,211.998,negative
2.7447,13.269,277.779,negative
2.634,60.493,185.734,negative
2.7404,28.521,220.166,negative
2.2529,32.6097,185.545,negative
2.7263,3.3162,187.61,negative
2.4057,81.2274,168.833,negative
2.6196,8.977,173.972,negative
2.5993,10.6245,196.962,negative
2.3598,84.2593,185.565,negative
2.9001,9.654,232.656,negative
2.882,4.1367,213.389,negative
2.772,16.194,237.432,negative
2.4997,39.4624,212.326,negative
3.1828,1.562,321.541,negative
2.5599,13.7301,112.276,negative
2.6243,36.077,194.115,negative
2.8264,10.721,162.78,negative
3.2844,13.913,131.992,negative
2.437,68.6674,100.45,negative
3.2456,6.986,243.888,negative
3.5361,1.8811,206.842,negative
3.4649,1.6851,267.36,negative
4.3237,0.624,244.643,negative
3.0222,4.075,94.4528,negative
2.1688,45.6611,217.134,negative
3.2007,5.4306,233.588,negative
2.9251,9.3666,153.897,negative
2.5557,0.47,198.596,negative
2.6258,29.603,135.206,negative
2.8238,0.1899,177.974,negative
2.7716,15.834,256.048,negative
2.6556,66.0281,57.7037,negative
2.5126,29.307,97.1445,negative
2.4829,10.7626,124.56,negative
2.9664,13.9446,204.926,negative
2.7574,73.9247,122.613,negative
3.2033,8.519,245.152,negative
3.0052,8.877,98.7117,negative
2.8041,3.952,148.485,negative
3.146,6.527,154.146,negative
3.6856,0.8794,230.344,negative
3.1065,1.2137,167.026,negative
2.2504,40.0799,206.442,negative
2.4281,21.8327,202.634,negative
2.6871,5.231,151.136,negative
2.5484,4.661,192.529,negative
2.9206,2.447,264.805,negative
2.9763,2.621,180.709,negative
2.6248,31.983,132.292,negative
3.2348,13.181,130.225,negative
2.9827,27.914,96.3967,negative
3.233,19.558,201.848,negative
3.4757,2.8019,335.801,negative
3.0257,7.341,162.335,negative
4.0896,1.024,192.106,negative
3.2331,25.6015,78.4666,negative
3.058,16.169,234.602,negative
2.78,56.0565,197.445,negative
2.3149,38.1314,162.358,negative
2.9834,0.226,132.719,negative
2.8454,1.228,171.96,negative
3.0837,6.845,263.348,negative
3.0101,2.1522,329.579,negative
2.5933,14.19,107.513,negative
3.9713,1.9921,346.239,negative
2.4031,23.3338,76.7357,negative
2.4928,23.425,184.21,negative
2.5752,6.518,242.106,negative
2.5658,1.3937,210.866,negative
2.5145,0.638,145.696,negative
2.4433,18.419,192.16,negative
3.7987,2.712,218.662,negative
2.3096,79.4844,161.749,negative
2.3324,17.929,53.4503,negative
2.1945,42.315,135.144,negative
2.932,1.129,198.882,negative
2.9868,17.724,277.313,negative
2.4281,17.2732,157.231,negative
3.5292,6.2195,285.997,negative
3.0245,3.713,262.058,negative
2.4456,1.9639,187.887,negative
2.1055,4.176,200.477,negative
2.4141,78.748,169.005,negative
2.2055,17.4488,116.823,negative
2.6107,3.5355,226.558,negative
2.2516,31.8219,175.094,negative
3.0874,14.573,305.318,negative
3.3217,2.984,319.867,negative
2.1156,32.0404,203.513,negative
2.3918,65.011,65.8902,negative
3.6211,0.1081,383.599,negative
2.7243,6.93,173.789,negative
2.4698,19.724,228.153,negative
2.9172,1.087,169.837,negative
2.9368,19.977,118.517,negative
2.5821,17.831,186.169,negative
3.0253,8.6575,211.858,negative
2.8698,82.8799,83.9734,negative
2.3883,68.464,158.83,negative
3.5485,0.2763,237.781,negative
3.9639,0.6696,254.693,negative
2.971,5.3847,256.118,negative
2.7189,4.5898,282.387,negative
3.5981,0.794,273.901,negative
2.0986,8.5814,133.457,negative
2.081,56.521,182.309,negative
3.2177,5.7152,212.955,negative
2.8264,14.53,215.223,negative
3.7411,4.122,364.982,negative
2.3454,35.625,43.7536,negative
2.667,7.608,170.48,negative
2.7619,7.1441,137.348,negative
2.3579,8.5878,141.871,negative
2.6959,8.7515,215.707,negative
2.5308,8.526,217.377,negative
2.4871,47.9304,128.131,negative
3.1594,1.0148,69.6275,negative
2.2989,54.2205,223.327,negative
2.5539,20.8407,171.033,negative
2.541,78.773,140.182,negative
3.972,1.2669,349.885,negative
2.6493,2.073,180.333,negative
2.2553,56.4005,142.859,negative
2.1833,33.97,252.016,negative
3.7827,2.5821,332.585,negative
3.5604,5.9931,219.884,negative
2.7275,5.308,254.139,negative
2.6959,0.125,210.714,negative
2.9472,69.094,94.9161,negative
2.3838,37.287,230.014,negative
2.3483,12.938,134.474,negative
2.7033,0.2976,248.599,negative
2.1222,2e-04,118.189,negative
3.0927,3.4724,217.62,negative
2.7694,4.4274,191.113,negative
3.444,0.533,295.65,negative
2.4099,0.3082,262.888,negative
2.8132,8.2676,142.795,negative
2.3829,35.2698,165.139,negative
2.5051,21.817,141.462,negative
3.6898,0.123,340.839,negative
2.8379,5.173,233.504,negative
2.3655,24.262,222.838,negative
3.5029,2.957,310.397,negative
2.1222,74.6152,179.885,negative
2.86,0.4341,197.124,negative
2.5682,48.5567,228.125,negative
3.6294,5.254,283.419,negative
2.6794,18.65,77.5384,negative
2.3551,8.3828,179.516,negative
2.4191,46.9567,97.3209,negative
2.4249,5.932,159.226,negative
2.3784,20.643,128.14,negative
3.4348,9.0346,210.203,negative
2.4362,23.367,197.529,negative
2.2742,30.652,125.416,negative
2.9883,8.191,215.527,negative
3.4283,8.2377,233.607,negative
2.5587,23.721,118.679,negative
4.1613,3.2764,264.476,negative
2.7551,6.166,309.411,negative
3.3116,0.6261,213.416,negative
3.4713,22.529,277.398,negative
2.5653,21.073,99.2327,negative
2.3589,29.7652,177.847,negative
2.6405,20.1575,159.01,negative
2.8663,7.136,217.28,negative
2.6212,21.0958,158.988,negative
2.6942,5.153,174.052,negative
2.2577,19.4594,76.6494,negative
2.4914,30.148,99.3175,negative
3.1154,8.293,230.3,negative
2.2014,6.251,155.282,negative
2.1477,29.7285,172.714,negative
2.9763,10.4919,209.684,negative
2.2175,0.572,162.121,negative
2.8159,10.1148,237.736,negative
3.0746,9.437,229.416,negative
2.5735,15.71,76.5837,negative
2.4571,6.437,161.127,negative
2.6702,5.8315,194.634,negative
2.9183,0.619,113.551,negative
2.07,53.587,43.9599,negative
3.2249,1.5388,408.453,negative
2.634,2.8508,277.881,negative
3.9738,5.931,254.744,negative
2.3531,10.9465,242.224,negative
2.5283,7.067,226.629,negative
2.0512,77.229,79.9193,negative
2.2923,11.5884,209.775,negative
2.73,3.9659,203.657,negative
2.567,27.8917,181.831,negative
2.7392,2.0311,175.065,negative
2.4116,33.041,44.4753,negative
2.6556,4.752,94.0805,negative
2.6232,11.7582,138.647,negative
2.7271,20.244,87.6333,negative
2.9292,0.875,317.562,negative
3.1074,1.357,258.131,negative
3.1173,5.16,324.141,negative
3.2367,1.57,243.295,negative
2.617,37.1267,127.82,negative
2.6253,8.782,182.141,negative
2.3627,20.6196,96.7668,negative
2.3541,9.3744,180.579,negative
2.0065,5.88,171.3,negative
3.5263,14.1164,204.233,negative
2.7288,4.412,146.661,negative
2.48,11.235,159.082,negative
3.0092,1.8934,236.85,negative
2.5205,9.697,299.406,negative
2.3253,4.575,107.02,negative
2.608,16.232,84.9105,negative
2.3212,15.7217,170.12,negative
2.3385,77.7643,149.374,negative
2.1287,17.9072,137.714,negative
3.3687,6.423,314.41,negative
2.5334,11.74,161.406,negative
2.3054,9.438,179.16,negative
2.5434,5.736,148.227,negative
2.4005,12.5354,166.636,negative
2.5152,14.4579,113.943,negative
2.0881,29.2598,236.766,negative
3.1956,4.4386,138.361,negative
3.2369,19.89,237.713,negative
2.3909,37.7264,178.868,negative
2.5257,44.407,198.768,negative
2.2999,62.18,203.754,negative
4.3035,1.102,275.318,negative
2.9859,47.392,198.364,negative
2.6522,54.509,175.194,negative
3.3015,2.379,234.512,negative
2.7555,3.597,255.342,negative
2.5871,27.593,190.35,negative
2.8918,6.3982,288.958,negative
2.5179,10.1102,76.8999,negative
2.1732,14.4397,172.572,negative
3.6494,1.7505,279.018,negative
2.5775,6.219,180.699,negative
3.2262,10.685,84.5853,negative
2.8293,10.9128,199.445,negative
2.9365,10.159,305.255,negative
2.1629,81.1385,168.663,negative
2.4969,1.5977,145.424,negative
2.8132,7.4795,146.09,negative
2.7427,9.4384,221.48,negative
3.654,2.762,288.565,negative
2.94,27.4184,155.091,negative
2.1945,76.331,189.484,negative
2.7243,10.5513,103.707,negative
2.7903,1.9542,104.142,negative
2.5296,17.533,173.458,negative
2.2,47.7751,154.638,negative
2.5521,6.6964,132.384,negative
3.5863,6.999,228.298,negative
2.7987,8.988,211.217,negative
2.5617,0.6027,229.513,negative
3.3922,0.468,215.892,negative
2.5682,8.767,119.08,negative
3.1534,3.628,285.788,negative
2.9759,7.0604,170.414,negative
3.1984,18.082,108.385,negative
2.1319,81.2793,136.507,negative
2.673,5.014,212.108,negative
2.8407,39.0638,267.019,negative
2.42,17.1252,248.03,negative
2.637,9.9904,164.816,negative
2.4914,16.1307,186.619,negative
2.2788,34.5976,178.035,negative
2.7147,0.0821,231.651,negative
2.4401,64.5349,143.721,negative
2.8351,3.9914,334.944,negative
2.7455,37.9035,202.109,negative
2.1599,61.216,237.147,negative
3.1119,8.372,277,negative
2.9146,2.1651,225.079,negative
2.5971,41.0922,212.261,negative
2.1351,32.861,251.47,negative
2.3473,45.299,244.401,negative
2.1569,31.776,172.725,negative
2.5916,56.2862,24.4249,negative
2.8058,4.6368,295.183,negative
2.3075,51.0269,226.682,negative
2.5809,1.472,169.177,negative
3.3729,3.5171,337.57,negative
3.0086,13.0282,193.971,negative
3.7121,5.7611,228,negative
2.7903,24.196,123.845,negative
2.8382,2.939,195.604,negative
2.6599,7.651,299.782,negative
2.0881,24.5335,141.78,negative
4.0213,0.6513,264.63,negative
2.6599,2.8753,139.923,negative
2.2,18.3994,221.305,negative
2.9809,8.915,91.0665,negative
2.2822,27.282,133.77,negative
2.4713,3.1678,119.874,negative
2.854,27.696,260.092,negative
2.8573,16.8734,272.352,negative
3.1915,18.3709,126.665,negative
2.6508,1.338,160.99,negative
2.2041,21.49,108.234,negative
2.2467,16.7394,77.5018,negative
3.0465,14.874,179.055,negative
2.8156,30.825,117.54,negative
2.5955,81.7955,89.9973,negative
2.2553,79.283,122.258,negative
3.853,0.983,161.938,negative
3.6719,6.811,283.679,negative
2.0273,23.962,84.7853,negative
3.1546,3.131,183.871,negative
3.4572,11.476,242.005,negative
2.7408,5.5742,172.991,negative
3.528,2.433,173.885,negative
3.1908,5.2373,182.452,negative
2.9309,11.9427,181.511,negative
2.8837,69.0844,37.6417,negative
3.6457,4.034,253.121,negative
3.7361,1.932,275.424,negative
3.0137,11.117,177.301,negative
3.0654,5.7949,227.657,negative
2.5453,47.847,193.412,negative
2.5289,1.318,199.388,negative
4.2401,2.931,333.991,negative
2.3304,9.3001,102.422,negative
2.4057,21.175,163.808,negative
3.2394,3.4835,293.046,negative
2.2967,17.392,196.769,negative
2.0273,66.733,131.543,negative
2.6946,6.303,243.653,negative
3.1101,21.156,189.873,negative
3.328,7.0973,226.194,negative
3.4263,22.7735,221.971,negative
4.4451,2.9341,257.85,negative
3.1002,23.4123,69.8538,negative
2.7392,4.6236,267.363,negative
2.3636,62.452,170.972,negative
2.9731,1.197,242.81,negative
2.6469,23.0914,259.555,negative
3.0312,1.2986,232.56,negative
2.702,41.559,124.563,negative
3.4586,0.146,315.008,negative
2.4742,44.799,56.6157,negative
2.6721,9.203,78.6901,negative
2.4108,58.2819,192.35,negative
2.5629,56.148,73.9966,negative
2.5315,25.1126,155.765,negative
2.7536,10.25,165.614,negative
2.8162,6.1626,79.0171,negative
2.0774,21.21,228.697,negative
2.7181,56.785,131.205,negative
3.0243,8.986,261.066,negative
2.7497,8.974,86.0026,negative
2.382,10.896,207.304,negative
2.2856,35.7431,125.86,negative
3.5398,3.737,233.673,negative
2.382,18.0235,190.144,negative
2.7189,8.262,184.267,negative
3.0086,13.377,309.814,negative
2.2833,89.7323,89.1692,negative
2.499,89.9535,123.945,negative
2.7945,1.8977,148.198,negative
2.7135,18.6544,136.253,negative
3.4298,2.628,337.462,negative
2.2292,68.5155,71.3941,negative
2.2455,23.936,110.033,negative
2.3627,19.5461,145.109,negative
2.4949,15.096,101.912,negative
2.7292,21.6256,195.583,negative
2.6518,48.493,150.95,negative
3.1064,6.1306,238.417,negative
2.6299,7.038,129.592,negative
3.742,1.687,200.465,negative
2.179,3.5463,208.628,negative
2.5145,42.108,85.2292,negative
2.6212,3.1526,221.526,negative
2.3802,0.7494,204.643,negative
3.0013,8.691,185.927,negative
2.7694,2.646,186.887,negative
2.3128,19.3573,145.145,negative
3.0527,17.086,271.141,negative
2.9172,2.5772,194.185,negative
3.0212,38.976,187.149,negative
2.1818,56.732,226.456,negative
2.0986,70.3421,218.094,negative
3.0434,18.3976,146.372,negative
2.8142,7.886,215.599,negative
3.63,9.612,328.604,negative
2.3945,15.4009,207.913,negative
3.3115,5.185,318.982,negative
3.0263,5.5932,309.468,negative
2.2648,78.1246,114.414,negative
2.4322,33.344,146.562,negative
2.3243,4.875,239.226,negative
3.3073,1.3107,237.622,negative
3.6349,9.4551,224.235,negative
3.0092,6.121,123.831,negative
3.7525,0.035,263.59,negative
2.7352,10.506,133.345,negative
2.3444,9.323,178.204,negative
3.9898,3.0278,253.311,negative
3.2475,4.366,277.076,negative
2.8774,7.2099,158.941,negative
2.1319,66.374,154.086,negative
3.293,6.85,240.119,negative
2.4495,9.393,93.9195,negative
2.7962,15.638,113.718,negative
2.9894,6.159,256.009,negative
2.9031,4.9132,133.565,negative
3.3256,3.174,235.107,negative
2.7701,11.5874,195.272,negative
2.6042,5.3844,180.055,negative
2.8876,19.187,208.484,negative
2.3865,15.312,166.529,negative
2.4771,39.8253,75.9838,negative
2.596,9.868,128.034,negative
2.5051,0.085,170.775,negative
2.3181,60.5491,26.0889,negative
3.0959,9.5897,279.075,negative
2.8873,36.8773,49.882,negative
3.071,9.0883,230.897,negative
3.7968,2.555,256.515,negative
2.3473,35.801,160.436,negative
2.4556,13.729,159.411,negative
2.3522,35.427,155.95,negative
2.6566,12.3195,206.939,negative
3.1921,2.661,373.445,negative
3.7798,1.3536,288.764,negative
2.9865,8.724,174.955,negative
2.9474,14.5122,102.807,negative
2.4048,9.2572,138.538,negative
4.0443,3.7039,198.406,negative
3.2015,0.857,271.063,negative
2.8442,61.5552,124.957,negative
2.6527,34.613,168.147,negative
2.9248,4.324,137.016,negative
3.1524,0.36,322.166,negative
2.953,47.7302,81.4037,negative
3.2543,10.649,198.327,negative
2.4893,55.7262,103.012,negative
3.3511,10.34,188.939,negative
2.7024,4.2637,231.15,negative
3.07,3.4,195.922,negative
2.1688,80.3533,218.84,negative
2.7435,10.618,124.78,negative
2.6758,11.018,193.054,negative
3.1161,3.361,166.899,negative
3.1174,2.6399,144.71,negative
2.5484,4.286,209.891,negative
3.0461,12.842,169.65,negative
2.6866,9.097,190.807,negative
2.404,58.7535,188.468,negative
3.3438,7.119,283.268,negative
2.2601,16.7407,182.889,negative
3.1391,13.285,247.465,negative
3.5455,3.186,251.291,negative
2.3865,34.6822,204.302,negative
2.8085,1.695,273.085,negative
2.2923,63.8216,190.409,negative
4.2992,8.6871,174.871,negative
2.6857,8.4913,176.372,negative
3.321,9.428,243.375,negative
2.8516,0.7406,262.22,negative
2.6599,0.9412,237.867,negative
2.6026,14.0812,215.501,negative
2.0434,24.743,113.793,negative
2.1287,8.886,123.191,negative
3.5497,8.3983,238.259,negative
2.5781,9.141,186.334,negative
2.4778,23.914,233.308,negative
2.8834,67.903,257.241,negative
