At1,At3,At4,At6,At7,At8,At9,At10,Class
66.7336,3.4357,0.1683,27.3604,67.0539,-7.3935,9.941,223.912,negative
45.0172,2.699,0.284,-10.746,-37.5851,-13.6786,8.718,178.647,negative
99.6416,2.4362,0.3846,48.7119,92.2613,7.7025,74.5664,57.7231,negative
20.8112,2.1255,0.7041,-1.5465,8.9641,-6.0245,85.103,235.951,negative
96.3755,3.359,0.2179,-34.801,61.0636,20.5479,9.782,307.321,negative
30.3331,2.4526,0.4762,-32.2094,-20.1641,-5.1006,0.9075,74.5242,negative
20.9491,2.1414,0.7292,-22.9802,-12.1656,6.0883,40.656,146.512,negative
49.6143,3.2641,0.1769,44.0893,26.0127,22.939,0.67,150.761,negative
26.9766,2.3064,0.4593,-12.3167,16.287,1.6476,3.675,197.338,negative
29.817,2.7372,0.3718,10.0066,23.9409,15.0702,15.9328,222.184,negative
23.0242,2.2188,0.4471,-25.6063,-10.429,5.5499,33.4008,210.819,negative
66.1331,3.1984,0.1495,42.2957,50.5528,-12.7104,11.5159,160.519,negative
34.9502,3.0663,0.297,-12.5192,11.1413,-7.5776,17.6684,201.404,negative
23.6353,2.4661,0.6291,-15.6487,-18.8315,-9.9017,43.565,194.384,negative
20.4754,2.4425,0.4116,2.48,-10.4986,-3.923,13.8089,55.4986,negative
59.7337,2.7997,0.2966,51.0255,54.5868,-14.0979,5.094,217.856,negative
22.6397,2.1492,0.5603,23.4366,18.6537,-10.8294,14.3756,251.28,negative
92.937,3.0885,0.3108,18.6509,48.5227,14.2821,3.497,358.99,negative
86.5636,3.8026,0.1508,-24.0564,60.9768,26.1668,2.643,306.55,negative
39.3737,2.7763,0.3213,18.1724,13.6391,6.5266,3.7449,201.01,negative
41.2629,3.1361,0.2807,23.2559,43.3331,12.715,7.6147,219.077,negative
89.8648,3.8899,0.1487,22.0971,98.5182,14.069,3.689,158.618,negative
24.999,2.5993,0.4327,-16.3719,-25.5307,14.8483,81.8671,120.263,negative
19.5793,2.2934,0.514,-6.8054,17.3916,-4.9889,13.17,130.918,negative
21.8344,2.1804,0.7063,25.981,-0.1704,6.6103,35.4993,95.7374,negative
87.5837,3.9208,0.125,99.2131,75.0174,-14.3854,2.428,255.315,negative
53.7339,2.4298,0.4572,-45.8108,-40.3603,-9.3853,1.886,32.6827,negative
34.889,2.8429,0.3747,29.9825,29.1531,12.4846,8.376,227.336,negative
41.0677,2.7308,0.3532,47.4405,37.9125,16.1237,17.671,213.317,negative
60.0261,2.8052,0.26,3.5656,55.2047,8.5485,1.3841,230.089,negative
70.0322,3.1573,0.1775,-66.4032,48.4611,-24.9966,2.936,294.746,negative
74.5714,2.9914,0.3182,-36.5281,63.076,-12.2594,4.029,363.489,negative
77.9219,3.7043,0.2059,-2.4392,58.1668,-14.371,0.2442,327.992,negative
39.1755,2.7966,0.345,-38.1241,25.4219,17.0574,6.4974,299.173,negative
18.1607,2.2718,0.6043,1.7266,-7.66,-6.3001,43.3661,147.236,negative
25.4762,2.4048,0.4134,7.0323,15.7982,6.2085,24.847,193.349,negative
23.4494,2.5605,0.4539,-8.8017,-15.9867,10.389,83.8081,235.203,negative
32.0586,2.5072,0.3826,-2.3114,-17.7455,-11.3244,12.1807,193.794,negative
18.4475,2.4074,0.5714,-0.0948,-6.5384,11.397,69.2291,219.394,negative
41.4001,3.0414,0.2036,39.265,30.5051,-23.3496,0.6344,91.228,negative
92.5854,3.0071,0.3119,-68.649,-48.92,6.7814,2.5099,293.081,negative
29.3424,2.5496,0.3272,-51.8263,23.7665,7.7365,39.189,168.084,negative
47.8275,2.747,0.2775,28.7838,-29.0817,-7.859,4.798,159.704,negative
73.2547,2.5545,0.357,-44.1258,34.5939,16.6915,23.149,282.616,negative
26.0862,2.4099,0.4397,16.3451,14.9018,5.6343,4.1527,183.852,negative
94.2369,2.7727,0.297,-97.071,50.552,-14.982,1.854,302.219,negative
38.1089,2.3927,0.3887,-21.4336,-29.3931,13.3864,13.741,154.264,negative
33.5874,2.5821,0.3979,-49.0296,-7.6514,5.127,25.657,166.95,negative
50.8293,3.3959,0.2162,38.7703,41.463,9.3292,3.6565,189.155,negative
25.0275,2.5391,0.4884,-12.5331,-8.9993,12.3285,65.2451,72.7386,negative
26.8928,2.8439,0.3782,-1.6706,-8.159,-15.8111,23.821,109.02,negative
28.0883,2.2504,0.5899,-7.7092,-17.4113,-2.8594,27.549,146.596,negative
35.8144,2.57,0.393,17.8018,20.673,-6.2792,23.123,142.372,negative
29.3108,2.6464,0.4402,6.1452,-19.1932,11.3697,24.109,69.2467,negative
19.6419,2.2,0.795,-0.5678,5.2697,0,34.817,182.016,negative
23.6924,2.3181,0.6683,23.9812,14.1032,-7.0892,27.014,128.707,negative
27.4888,2.8639,0.3078,2.8405,6.1522,-10.0668,23.5868,188.636,negative
117.749,3.1921,0.1606,98.9071,129.932,-17.914,2.582,188.983,negative
26.8971,2.7657,0.319,-12.9068,4.6154,8.1139,41.065,152.596,negative
13.1994,2.224,0.7761,-14.5262,1.8356,-11.7029,54.0277,181.817,negative
25.1576,2.4564,0.4615,-24.1639,11.1073,7.8713,47.777,149.657,negative
18.2028,2.4526,0.5115,18.9639,18.329,5.3072,2.5957,48.9988,negative
70.6584,3.1041,0.2541,-96.9809,52.5046,-12.6086,0.45,288.263,negative
101.703,3.9457,0.1462,-157.872,70.4115,22.1504,4.0677,327.251,negative
58.1232,2.8837,0.1791,-49.22,-33.4621,11.5684,20.194,94.0063,negative
20.7445,2.5916,0.4686,11.7553,17.0726,-12.0534,25.7775,91.6373,negative
56.2418,2.8943,0.2092,71.8585,39.648,10.7621,1.574,250.91,negative
70.2768,3.3917,0.1294,83.3498,48.9676,-12.3834,2.9261,233.617,negative
81.2317,3.7262,0.1694,35.5667,66.9446,12.8892,4.155,295.38,negative
32.7059,2.5804,0.4074,46.6935,13.1053,15.3472,40.3711,99.7447,negative
42.3725,3.2909,0.2533,-4.4911,26.362,-11.1395,0.6925,182.477,negative
80.3994,2.8445,0.3004,36.0787,76.0508,-10.599,5.066,272.617,negative
25.5688,2.2911,0.7161,16.7068,25.194,-14.8757,74.308,316.47,negative
16.9286,2.4116,0.5736,-1.2345,5.8021,6.0007,18.5125,190.039,negative
18.8734,2.5821,0.4686,-14.6576,-16.9343,-14.4939,17.1286,114.938,negative
34.1619,2.9974,0.2907,-4.6579,-11.6112,11.8667,11.6079,163.722,negative
30.0005,2.934,0.3062,23.3297,17.6318,-18.5123,27.943,151.522,negative
41.3848,2.7938,0.3521,-20.4985,28.2927,28.1989,9.628,308.373,negative
25.2228,2.3738,0.4989,-12.181,-12.8844,11.3032,66.649,78.9436,negative
21.6891,2.316,0.5604,5.8526,-17.6826,10.2235,1.5485,232.154,negative
20.5839,2.4191,0.4724,12.5054,12.7741,-8.1001,26.586,199.96,negative
25.2091,2.3701,0.4989,10.6071,21.1038,3.9151,41.563,147.489,negative
35.7062,2.3664,0.5204,-32.1031,-25.7479,7.0429,1.2543,201.751,negative
62.6886,3.2496,0.2077,-100.913,-25.4533,16.5613,3.121,229.768,negative
19.7366,2.1383,0.7636,-3.5091,10.3719,-4.8598,24.7838,173.073,negative
48.4695,2.9917,0.2345,19.6222,46.8981,-10.5913,6.955,203.072,negative
22.5702,2.1629,0.7904,5.3609,-15.2145,0,80.3449,210.833,negative
18.249,2.2529,0.6034,22.8063,10.1469,5.3027,15.8259,159.544,negative
28.4148,2.4778,0.5923,28.2765,20.1871,10.6797,13.6965,136.651,negative
47.6,2.8092,0.2762,41.1158,33.8544,8.2134,2.608,178.462,negative
33.3528,2.7551,0.3796,15.898,27.6711,-8.487,8.709,196.918,negative
97.794,3.5327,0.1516,29.7042,95.3544,12.0158,3.2128,256.435,negative
13.1155,2.1973,0.8,12.3051,7.4928,10.0776,58.845,166.287,negative
52.8479,2.9462,0.3667,-53.2694,27.9502,-20.7681,6.087,309.622,negative
40.6097,2.9117,0.2304,-5.5945,16.0028,-10.1794,0.774,233.346,negative
65.6069,3.8528,0.1433,-84.0021,43.5019,-23.9483,0.7567,246.341,negative
63.8128,3.5143,0.1958,44.5465,46.5522,18.3607,1.919,284.652,negative
22.5539,2.2068,0.559,-4.0544,16.5945,10.4839,9.215,236.65,negative
59.817,2.8808,0.3132,-110.45,53.9825,12.1712,5.235,289.536,negative
27.1044,2.4241,0.5198,-12.2606,-14.8614,-11.7431,29.844,225.566,negative
21.776,2.356,0.6344,8.4346,15.5208,-9.1862,22.3655,120.076,negative
20.6454,2.2844,0.774,20.3461,14.9016,5.7986,2.7533,175.992,negative
91.6174,4.0942,0.0806,-105.167,83.687,32.7482,3.0094,256.828,negative
60.8598,2.6128,0.2561,42.4917,33.7518,12.0692,4.182,146.803,negative
35.577,2.9805,0.3964,15.679,14.3568,4.1406,2.0711,225.707,negative
31.6173,2.7197,0.2402,-23.7309,2.8864,-11.5139,22.951,157.613,negative
85.9355,3.0755,0.3134,-44.0508,-20.0659,-14.117,4.7597,335.983,negative
20.0777,2.404,0.5286,14.1429,15.066,7.8845,36.457,132.889,negative
59.6124,3.4791,0.1888,26.7671,54.7397,-29.0666,1.1057,264.642,negative
72.969,3.008,0.2749,-47.3236,42.1489,-10.2088,4.087,291.175,negative
20.7154,2.2443,0.7066,1.5153,-8.8118,5.9528,88.4999,189.577,negative
23.807,2.4289,0.5624,7.3563,16.856,-7.645,10.378,216.895,negative
24.38,2.616,0.4915,17.1472,19.777,-14.2938,0.8652,256.869,negative
36.5237,2.4786,0.4252,-57.2893,29.2074,-5.1062,12.715,109.517,negative
19.0154,2.5085,0.6326,8.3826,17.2241,8.0364,58.903,174.401,negative
23.8915,2.534,0.5088,-19.4911,-14.9193,8.3832,6.2472,131.247,negative
82.3156,2.7404,0.3636,-55.8407,-62.4659,-17.9965,10.08,288.194,negative
72.8104,3.096,0.307,-54.9261,58.5437,-5.9832,0.644,286.265,negative
20.4525,2.1775,0.7243,2.1721,-9.6562,-5.7228,9.1256,159.126,negative
23.6179,2.5224,0.5495,-1.574,-15.0956,-11.354,47.786,86.2468,negative
80.0169,3.6714,0.1577,20.4369,24.4273,-24.8336,4.142,228.254,negative
20.7779,2.081,0.722,-23.7708,-10.7906,-5.9792,28.79,177.459,negative
37.3516,2.7882,0.3958,4.4937,31.5053,-11.6112,1.713,184.572,negative
25.0056,2.2753,0.4562,10.5704,18.3557,-14.0925,4.2353,169.08,negative
42.1289,2.4969,0.3121,-37.9885,-22.3351,14.4754,12.9801,220.713,negative
24.3343,2.5302,0.3953,16.4085,14.006,-13.2107,10.288,125.972,negative
17.8912,2.3075,0.6404,1.5604,11.248,15.5561,44.74,225.809,negative
21.6327,2.5434,0.4206,7.9688,9.6019,14.4923,10.615,186.555,negative
60.7883,2.8868,0.2336,88.6317,-19.3902,13.1675,5.097,237.768,negative
78.6493,3.7751,0.1103,82.1473,66.0231,15.8013,3.227,161.776,negative
84.2741,3.8949,0.1233,43.638,73.8035,16.3734,3.7714,260.378,negative
77.5343,3.2671,0.2584,46.2902,94.0484,12.4317,1.892,213.191,negative
20.5321,2.4829,0.4803,21.9631,14.7728,9.8037,44.9,207.691,negative
33.7616,2.7941,0.3759,39.2425,30.9736,-6.915,32.377,140.921,negative
68.0121,3.0824,0.2738,-14.268,44.4184,-26.1683,3.9746,313.967,negative
23.1657,2.2201,0.5723,18.2871,9.4278,-8.0678,82.0505,193.769,negative
42.1441,2.7459,0.3339,31.7383,19.1549,7.9992,1.7038,228.537,negative
36.079,2.3793,0.4301,37.1098,-17.1724,8.4708,26.3559,147.636,negative
74.3456,3.2412,0.1521,59.8813,83.1157,-21.7603,31.553,211.97,negative
101.424,4.1837,0.0793,78.3723,90.4413,-27.5737,6.1992,265.012,negative
43.1994,2.8011,0.2735,44.9467,40.3342,-4.6509,7.6914,154.427,negative
61.6933,2.9015,0.276,47.4507,38.9838,13.6166,2.926,234.109,negative
23.2114,2.7466,0.414,22.8049,22.652,11.7008,2.8462,51.4993,negative
25.2455,2.6191,0.3678,13.6337,11.1564,-7.5994,81.6368,229.061,negative
78.2002,3.2357,0.2005,57.955,86.1356,16.129,12.616,217.965,negative
31.5256,2.3324,0.6093,33.1918,21.022,-7.3445,10.2785,189.48,negative
57.1656,2.9978,0.197,11.2262,44.4537,14.2419,12.267,247.114,negative
26.3353,2.6522,0.343,-30.4934,-15.3203,-12.6072,27.835,194.042,negative
45.8894,2.4065,0.4,-48.0214,22.4139,-9.317,1.7371,227.008,negative
39.2192,2.8534,0.4064,36.9605,31.7324,5.2607,9.1923,225.515,negative
52.221,2.6435,0.4523,-25.0167,-41.2341,6.56,5.096,185.44,negative
23.1587,2.1319,0.7675,25.3507,15.0322,0,61.5621,147.73,negative
19.7592,2.3664,0.5419,3.6595,-11.2892,-10.7783,18.354,182.91,negative
32.5377,2.8561,0.2925,25.8408,21.2875,15.2061,27.297,136.814,negative
23.153,2.8065,0.3622,28.0575,19.6679,16.5609,27.621,78.7331,negative
36.9017,3.0876,0.1855,-2.4734,-13.2831,8.1078,1.9727,135.037,negative
29.1556,2.5441,0.5257,-9.3565,21.4041,10.0929,1.925,216.048,negative
100.747,2.944,0.3322,-110.411,74.4191,-14.7132,0.305,230.713,negative
46.5588,3.3971,0.1864,17.6816,46.0987,10.205,12.727,107.747,negative
33.3045,2.6862,0.3687,1.7249,-9.9052,8.066,5.2437,215.956,negative
29.8023,2.2999,0.4862,27.7037,24.3173,8.5655,0.352,209.784,negative
86.5346,4.1111,0.0915,35.8899,74.5456,25.1406,4.8152,219.069,negative
64.6445,2.7168,0.3186,104.88,-54.6747,-6.9935,10.304,261.443,negative
64.4081,3.1281,0.1951,65.7484,41.2256,-11.1654,1.0067,224.491,negative
20.683,2.0233,0.7014,-1.1217,7.933,-5.933,56.923,137.98,negative
68.8466,2.7835,0.3029,-132.189,67.6255,-8.8232,0.137,248.86,negative
31.5283,2.8618,0.3368,7.1639,22.6167,13.2218,50.0234,38.7816,negative
90.239,2.8293,0.3526,-129.945,37.1621,7.5805,3.241,303.714,negative
20.9663,2.3274,0.4282,16.9437,5.9588,-8.9597,47.8491,218.66,negative
13.0557,2.2188,0.7613,-14.0863,5.2668,10.5095,74.1884,175.677,negative
79.9539,3.1602,0.2497,53.3845,87.6757,16.2707,17.7108,171.441,negative
44.9999,3.03,0.2231,-19.3494,-12.726,-18.4786,46.1539,15.3696,negative
26.611,2.4878,0.4195,29.0377,20.5257,-8.2908,29.5051,135.119,negative
70.457,3.0195,0.2562,43.5397,68.1553,-10.9792,34.2372,216.957,negative
36.9794,2.9834,0.2213,11.2818,8.5158,10.8997,46.43,93.9373,negative
16.3371,2.3464,0.6036,-0.8501,4.6868,3.9635,69.7431,224.031,negative
71.2234,2.9445,0.2557,68.4368,71.1737,-9.5179,7.615,223.184,negative
45.8732,2.5653,0.3837,43.4461,-19.3437,2.9659,4.6366,192.525,negative
33.429,2.7792,0.2976,-13.7784,-31.4401,-25.3331,29.644,28.8145,negative
43.351,2.9287,0.3477,37.3736,31.5782,-12.4757,20.664,140.19,negative
56.2479,3.1942,0.2168,33.813,36.6852,8.7702,0.556,220.971,negative
100.226,3.3769,0.2179,-42.0608,-33.4996,-13.6411,4.4376,299.45,negative
34.4244,2.4955,0.4888,-29.8832,23.1758,6.9027,27.604,182.12,negative
22.2442,2.5735,0.5581,-6.2041,-19.0011,-6.9374,6.6462,147.737,negative
37.3887,2.5843,0.3333,-28.1468,-21.6535,-10.4241,1.818,245.343,negative
92.6284,3.5469,0.1703,-57.3109,62.6011,-13.1964,6.878,273.371,negative
32.2468,2.6532,0.3867,-14.0759,-25.0816,7.2235,16.2095,168.025,negative
50.0122,3.0388,0.257,42.9603,19.7787,-11.2019,2.8523,201.766,negative
63.7616,3.1096,0.2712,56.2044,57.895,8.1977,3.473,243.311,negative
68.9648,3.1307,0.2102,-76.6982,52.6603,21.812,0.402,253.006,negative
80.7093,3.5386,0.1276,-49.9844,88.2266,-25.3392,30.763,280.767,negative
49.6601,3.1746,0.3017,17.9069,-25.4435,8.9821,5.4509,197.243,negative
22.8274,2.2355,0.5581,-13.6277,-12.0722,-7.9568,33.5573,164.843,negative
50.5984,3.0586,0.2464,10.7891,35.9762,19.5228,8.44,270.007,negative
22.4236,2.5938,0.4968,1.5724,-20.7925,-4.5251,53.815,139.193,negative
37.6518,2.8561,0.4805,24.9532,37.9769,6.2648,7.803,184.216,negative
21.1221,2.2967,0.697,18.4225,20.1723,-11.544,75.3948,167.109,negative
70.4799,2.7906,0.3142,-88.956,43.637,-17.9763,4.5199,251.386,negative
26.466,2.6107,0.4044,13.4573,9.0185,6.0375,6.6995,169.81,negative
19.4731,2.4556,0.5219,-1,9.8855,-10.4173,53.7383,202.139,negative
18.9671,2.4417,0.557,16.1166,11.5546,-8.1819,31.4965,163.805,negative
33.5123,2.4742,0.4866,33.7307,27.5196,2.2896,6.8985,199.944,negative
49.2754,2.7509,0.3141,20.2038,38.108,-11.145,1.985,177.428,negative
114.806,2.6716,0.3706,-50.8563,-130.103,24.28,41.91,127.577,negative
24.5581,2.6628,0.3957,10.2036,12.6949,8.5211,26.996,165.258,negative
17.1997,2.2844,0.8312,3.4739,4.489,5.2467,19.79,217.318,negative
86.5389,2.8756,0.3023,48.9056,72.2829,4.4207,1.53,245.673,negative
12.871,2.2516,0.7899,11.2062,8.4149,-5.4993,40.035,146.03,negative
36.1618,3.1178,0.2127,14.0562,20.1419,14.7248,33.371,142.269,negative
21.1474,2.5599,0.4435,29.268,-11.5756,14.5016,35.595,122.94,negative
13.123,2.1569,0.7666,14.6416,-4.0114,11.6445,88.1516,98.8626,negative
53.5736,3.5737,0.1956,39.2808,58.4267,14.9922,7.596,171.407,negative
29.1123,2.635,0.3175,11.2887,26.7753,-10.7571,36.953,190.445,negative
74.4746,2.9717,0.2818,18.4636,76.5354,-9.3669,5.847,286.639,negative
29.4259,2.4526,0.3633,-14.6546,-15.5914,8.1478,45.059,142.487,negative
40.749,3.2122,0.1933,29.9765,-24.5987,8.9177,8.364,169.123,negative
33.8898,2.9647,0.3026,13.8792,25.8841,7.6886,6.891,90.7788,negative
85.6478,3.3537,0.2719,-43.2684,61.6568,-19.4233,0.7472,318.342,negative
21.4944,2.2304,0.5588,-4.4301,16.7152,-8.5553,14.8311,207.058,negative
35.9225,2.5224,0.3093,-5.9833,-17.4181,12.4547,2.969,131.396,negative
38.5491,3.0384,0.2947,-2.0615,27.1747,-7.9478,7.8488,156.407,negative
32.0949,2.6915,0.4049,40.987,17.3007,6.6499,14.233,197.379,negative
29.9358,2.7427,0.302,21.8132,13.6714,-14.6917,39.0829,143.347,negative
24.8738,2.7675,0.3194,24.2257,-13.6964,-11.409,31.2269,68.9708,negative
13.1469,2.2467,0.7819,-13.3907,-4.7953,10.6172,27.3603,225.093,negative
23.6426,2.3149,0.7312,2.7603,-12.9376,0,0,122.76,negative
36.2124,2.3838,0.3884,-22.2515,-24.4503,-5.3397,27.4653,53.5635,negative
31.3143,2.873,0.284,1.2051,14.7875,12.6812,1.6985,183.056,negative
80.0634,3.7285,0.1104,30.1971,73.1529,-12.4444,0.57,286.451,negative
45.5567,2.9263,0.2749,33.8612,24.1014,-10.3577,3.378,214.16,negative
20.5056,2.3531,0.51,9.9865,14.0662,8.7369,1.701,205.635,negative
88.6611,3.3842,0.1866,41.6122,91.629,11.0464,0.71,279.442,negative
23.8669,2.639,0.4271,-16.3651,-17.0472,-11.9383,20.646,118.458,negative
29.669,2.5521,0.4011,-22.4237,-21.0367,-13.4138,12.24,232.553,negative
32.4734,2.7271,0.4799,15.6316,30.4684,-10.7728,6.915,93.2392,negative
91.9495,3.3654,0.2233,-48.1293,43.1926,22.0904,4.1635,291.833,negative
48.6413,2.8048,0.2978,37.0506,20.0806,14.8701,11.287,214.847,negative
12.691,2.0233,0.7109,15.6692,-8.7521,10.1028,79.5407,164.163,negative
23.2097,2.7251,0.3823,11.7908,20.3361,-7.0757,24.8586,168.656,negative
43.1149,2.9609,0.2615,38.0039,23.6864,5.8435,2.4098,168.887,negative
34.3373,2.8109,0.3246,-2.201,-29.0313,-12.3771,48.259,30.8191,negative
50.1872,3.4718,0.1859,14.543,53.802,-10.5164,17.073,93.8376,negative
43.9615,3.1313,0.2092,-27.2263,-20.6041,14.3218,6.846,189.616,negative
24.598,2.5955,0.4492,-16.8541,-16.6278,5.8666,8.0075,190.772,negative
40.9468,2.7882,0.2492,8.9986,-21.5671,-8.7772,3.655,188.205,negative
33.1959,2.6289,0.4324,25.683,27.794,9.2649,6.484,182.24,negative
35.5524,2.7945,0.3579,-10.5469,22.0225,6.9349,13.69,166.058,negative
18.1069,2.2788,0.6158,21.4803,11.3674,-4.8388,45.778,145.226,negative
23.3353,2.6721,0.3298,-19.4629,-17.4883,7.5957,29.1324,184.927,negative
31.8025,2.3502,0.3929,-15.7609,-6.2242,-10.7083,9.822,228.486,negative
19.8547,2.4807,0.6017,-4.6572,13.4459,-5.3479,42.523,104.52,negative
72.7983,3.3429,0.1589,46.2421,59.0347,12.2292,7.4414,206.648,negative
18.0762,2.4464,0.5868,3.1824,-10.1699,-11.3148,20.997,130.658,negative
19.6908,2.3054,0.5792,-24.1813,-9.5954,3.0192,25.149,174.422,negative
92.3205,3.0948,0.1704,96.7367,-55.23,-17.7369,2.0919,246.786,negative
18.9658,2.1414,0.7798,-3.1037,8.6013,-3.4053,76.0739,165.641,negative
38.525,3.0257,0.2375,15.7854,11.6545,-18.0274,2.3112,119.196,negative
109.37,2.4116,0.6705,-50.3473,-90.9952,5.8806,0.589,371.095,negative
31.0208,2.5218,0.5444,-37.1024,-15.7849,-7.8747,8.2969,189.763,negative
37.6758,3.6018,0.2457,19.5589,28.2246,-12.2202,20.1948,71.4024,negative
68.6967,3.1733,0.1858,19.6607,76.9693,23.1282,3.4614,178.712,negative
22.7946,2.2889,0.473,-25.018,-12.1896,-12.0047,37.2132,173.349,negative
72.912,2.6693,0.394,20.5709,77.5674,4.8373,9.402,235.075,negative
74.1464,2.7348,0.2799,-31.1356,53.6291,19.484,4.802,300.163,negative
58.4387,2.9342,0.2641,82.5458,42.7297,16.8556,3.1218,265.076,negative
62.1547,3.4072,0.1805,-15.0925,43.1847,11.8992,3.4278,222.286,negative
18.7703,2.4031,0.6166,21.682,11.9557,-4.6444,50.86,194.863,negative
24.1417,2.7853,0.3885,3.201,-13.1804,3.5891,89.2231,80.7012,negative
85.4576,3.2899,0.1354,-64.0511,50.385,-16.7292,2.245,297.823,negative
54.2845,2.6217,0.4683,-14.1093,-62.4836,-16.2378,1.7076,211.699,negative
19.7692,2.6821,0.5489,-19.1665,-15.8836,11.4315,83.8778,50.7506,negative
20.6147,2.1414,0.722,2.3508,-10.1138,-5.857,25.643,87.5154,negative
