At9,At10,Class
12.715,109.517,negative
58.903,174.401,negative
6.2472,131.247,negative
10.08,288.194,negative
0.644,286.265,negative
9.1256,159.126,negative
47.786,86.2468,negative
4.142,228.254,negative
28.79,177.459,negative
1.713,184.572,negative
4.2353,169.08,negative
12.9801,220.713,negative
10.288,125.972,negative
44.74,225.809,negative
10.615,186.555,negative
5.097,237.768,negative
3.227,161.776,negative
3.7714,260.378,negative
1.892,213.191,negative
44.9,207.691,negative
32.377,140.921,negative
3.9746,313.967,negative
82.0505,193.769,negative
1.7038,228.537,negative
26.3559,147.636,negative
31.553,211.97,negative
6.1992,265.012,negative
7.6914,154.427,negative
2.926,234.109,negative
2.8462,51.4993,negative
81.6368,229.061,negative
12.616,217.965,negative
10.2785,189.48,negative
12.267,247.114,negative
27.835,194.042,negative
1.7371,227.008,negative
9.1923,225.515,negative
5.096,185.44,negative
61.5621,147.73,negative
18.354,182.91,negative
27.297,136.814,negative
27.621,78.7331,negative
1.9727,135.037,negative
1.925,216.048,negative
0.305,230.713,negative
12.727,107.747,negative
5.2437,215.956,negative
0.352,209.784,negative
4.8152,219.069,negative
10.304,261.443,negative
1.0067,224.491,negative
56.923,137.98,negative
0.137,248.86,negative
50.0234,38.7816,negative
3.241,303.714,negative
47.8491,218.66,negative
74.1884,175.677,negative
17.7108,171.441,negative
46.1539,15.3696,negative
29.5051,135.119,negative
34.2372,216.957,negative
46.43,93.9373,negative
69.7431,224.031,negative
7.615,223.184,negative
4.6366,192.525,negative
29.644,28.8145,negative
20.664,140.19,negative
0.556,220.971,negative
4.4376,299.45,negative
27.604,182.12,negative
6.6462,147.737,negative
1.818,245.343,negative
6.878,273.371,negative
16.2095,168.025,negative
2.8523,201.766,negative
3.473,243.311,negative
0.402,253.006,negative
30.763,280.767,negative
5.4509,197.243,negative
33.5573,164.843,negative
8.44,270.007,negative
53.815,139.193,negative
7.803,184.216,negative
75.3948,167.109,negative
4.5199,251.386,negative
6.6995,169.81,negative
53.7383,202.139,negative
31.4965,163.805,negative
6.8985,199.944,negative
1.985,177.428,negative
41.91,127.577,negative
26.996,165.258,negative
19.79,217.318,negative
1.53,245.673,negative
40.035,146.03,negative
33.371,142.269,negative
35.595,122.94,negative
88.1516,98.8626,negative
7.596,171.407,negative
36.953,190.445,negative
5.847,286.639,negative
45.059,142.487,negative
8.364,169.123,negative
6.891,90.7788,negative
0.7472,318.342,negative
14.8311,207.058,negative
2.969,131.396,negative
7.8488,156.407,negative
14.233,197.379,negative
39.0829,143.347,negative
31.2269,68.9708,negative
27.3603,225.093,negative
0,122.76,negative
27.4653,53.5635,negative
1.6985,183.056,negative
0.57,286.451,negative
3.378,214.16,negative
1.701,205.635,negative
0.71,279.442,negative
20.646,118.458,negative
12.24,232.553,negative
6.915,93.2392,negative
4.1635,291.833,negative
11.287,214.847,negative
79.5407,164.163,negative
24.8586,168.656,negative
2.4098,168.887,negative
48.259,30.8191,negative
17.073,93.8376,negative
6.846,189.616,negative
8.0075,190.772,negative
3.655,188.205,negative
6.484,182.24,negative
13.69,166.058,negative
45.778,145.226,negative
29.1324,184.927,negative
9.822,228.486,negative
42.523,104.52,negative
7.4414,206.648,negative
20.997,130.658,negative
25.149,174.422,negative
2.0919,246.786,negative
76.0739,165.641,negative
2.3112,119.196,negative
0.589,371.095,negative
8.2969,189.763,negative
20.1948,71.4024,negative
3.4614,178.712,negative
37.2132,173.349,negative
9.402,235.075,negative
4.802,300.163,negative
3.1218,265.076,negative
3.4278,222.286,negative
50.86,194.863,negative
89.2231,80.7012,negative
2.245,297.823,negative
1.7076,211.699,negative
83.8778,50.7506,negative
25.643,87.5154,negative
0.803,295.812,negative
1.873,230.846,negative
1.569,209.056,negative
20.872,122.622,negative
14.103,92.7215,negative
11.762,223.254,negative
12.8677,225.89,negative
7.132,180.522,negative
11.138,253.993,negative
0.4,261.59,negative
7.208,107.15,negative
11.677,252.365,negative
2.129,340.809,negative
2.103,154.642,negative
72.2425,228.28,negative
47.377,183.708,negative
5.1606,325.446,negative
6.11,151.76,negative
8.217,193.871,negative
4.1234,171.784,negative
6.7334,160.596,negative
33.8435,94.5324,negative
3.1693,170.111,negative
11.679,254.953,negative
1.2142,105.064,negative
4.939,238.184,negative
7.755,114.905,negative
12.089,149.596,negative
16.395,151.372,negative
18.82,206.474,negative
2.3084,270.704,negative
71.066,65.1353,negative
11.1868,196.59,negative
5.4609,182.494,negative
1.6058,147.6,negative
14.71,170.615,negative
21.329,66.8513,negative
26.831,126.2,negative
25.431,30.4329,negative
3.902,256.658,negative
4.2311,202.542,negative
0.0648,129.373,negative
11.3154,177.42,negative
7.923,220.319,negative
49.1483,67.7852,negative
81.0899,211.998,negative
13.269,277.779,negative
60.493,185.734,negative
28.521,220.166,negative
32.6097,185.545,negative
3.3162,187.61,negative
81.2274,168.833,negative
8.977,173.972,negative
10.6245,196.962,negative
84.2593,185.565,negative
9.654,232.656,negative
4.1367,213.389,negative
16.194,237.432,negative
39.4624,212.326,negative
1.562,321.541,negative
13.7301,112.276,negative
36.077,194.115,negative
10.721,162.78,negative
13.913,131.992,negative
68.6674,100.45,negative
6.986,243.888,negative
1.8811,206.842,negative
1.6851,267.36,negative
0.624,244.643,negative
4.075,94.4528,negative
45.6611,217.134,negative
5.4306,233.588,negative
9.3666,153.897,negative
0.47,198.596,negative
29.603,135.206,negative
0.1899,177.974,negative
15.834,256.048,negative
66.0281,57.7037,negative
29.307,97.1445,negative
10.7626,124.56,negative
13.9446,204.926,negative
73.9247,122.613,negative
8.519,245.152,negative
8.877,98.7117,negative
3.952,148.485,negative
6.527,154.146,negative
0.8794,230.344,negative
1.2137,167.026,negative
40.0799,206.442,negative
21.8327,202.634,negative
5.231,151.136,negative
4.661,192.529,negative
2.447,264.805,negative
2.621,180.709,negative
31.983,132.292,negative
13.181,130.225,negative
27.914,96.3967,negative
19.558,201.848,negative
2.8019,335.801,negative
7.341,162.335,negative
1.024,192.106,negative
25.6015,78.4666,negative
16.169,234.602,negative
56.0565,197.445,negative
38.1314,162.358,negative
0.226,132.719,negative
1.228,171.96,negative
6.845,263.348,negative
2.1522,329.579,negative
14.19,107.513,negative
1.9921,346.239,negative
23.3338,76.7357,negative
23.425,184.21,negative
6.518,242.106,negative
1.3937,210.866,negative
0.638,145.696,negative
18.419,192.16,negative
2.712,218.662,negative
79.4844,161.749,negative
17.929,53.4503,negative
42.315,135.144,negative
1.129,198.882,negative
17.724,277.313,negative
17.2732,157.231,negative
6.2195,285.997,negative
3.713,262.058,negative
1.9639,187.887,negative
4.176,200.477,negative
78.748,169.005,negative
17.4488,116.823,negative
3.5355,226.558,negative
31.8219,175.094,negative
14.573,305.318,negative
2.984,319.867,negative
32.0404,203.513,negative
65.011,65.8902,negative
0.1081,383.599,negative
6.93,173.789,negative
19.724,228.153,negative
1.087,169.837,negative
19.977,118.517,negative
17.831,186.169,negative
8.6575,211.858,negative
82.8799,83.9734,negative
68.464,158.83,negative
0.2763,237.781,negative
0.6696,254.693,negative
5.3847,256.118,negative
4.5898,282.387,negative
0.794,273.901,negative
8.5814,133.457,negative
56.521,182.309,negative
5.7152,212.955,negative
14.53,215.223,negative
4.122,364.982,negative
35.625,43.7536,negative
7.608,170.48,negative
7.1441,137.348,negative
8.5878,141.871,negative
8.7515,215.707,negative
8.526,217.377,negative
47.9304,128.131,negative
1.0148,69.6275,negative
54.2205,223.327,negative
20.8407,171.033,negative
78.773,140.182,negative
1.2669,349.885,negative
2.073,180.333,negative
56.4005,142.859,negative
33.97,252.016,negative
2.5821,332.585,negative
5.9931,219.884,negative
5.308,254.139,negative
0.125,210.714,negative
69.094,94.9161,negative
37.287,230.014,negative
12.938,134.474,negative
0.2976,248.599,negative
2e-04,118.189,negative
3.4724,217.62,negative
4.4274,191.113,negative
0.533,295.65,negative
0.3082,262.888,negative
8.2676,142.795,negative
35.2698,165.139,negative
21.817,141.462,negative
0.123,340.839,negative
5.173,233.504,negative
24.262,222.838,negative
2.957,310.397,negative
74.6152,179.885,negative
0.4341,197.124,negative
48.5567,228.125,negative
5.254,283.419,negative
18.65,77.5384,negative
8.3828,179.516,negative
46.9567,97.3209,negative
5.932,159.226,negative
20.643,128.14,negative
9.0346,210.203,negative
23.367,197.529,negative
30.652,125.416,negative
8.191,215.527,negative
8.2377,233.607,negative
23.721,118.679,negative
3.2764,264.476,negative
6.166,309.411,negative
0.6261,213.416,negative
22.529,277.398,negative
21.073,99.2327,negative
29.7652,177.847,negative
20.1575,159.01,negative
7.136,217.28,negative
21.0958,158.988,negative
5.153,174.052,negative
19.4594,76.6494,negative
30.148,99.3175,negative
8.293,230.3,negative
6.251,155.282,negative
29.7285,172.714,negative
10.4919,209.684,negative
0.572,162.121,negative
10.1148,237.736,negative
9.437,229.416,negative
15.71,76.5837,negative
6.437,161.127,negative
5.8315,194.634,negative
0.619,113.551,negative
53.587,43.9599,negative
1.5388,408.453,negative
2.8508,277.881,negative
5.931,254.744,negative
10.9465,242.224,negative
7.067,226.629,negative
77.229,79.9193,negative
11.5884,209.775,negative
3.9659,203.657,negative
27.8917,181.831,negative
2.0311,175.065,negative
33.041,44.4753,negative
4.752,94.0805,negative
11.7582,138.647,negative
20.244,87.6333,negative
0.875,317.562,negative
1.357,258.131,negative
5.16,324.141,negative
1.57,243.295,negative
37.1267,127.82,negative
8.782,182.141,negative
20.6196,96.7668,negative
9.3744,180.579,negative
5.88,171.3,negative
14.1164,204.233,negative
4.412,146.661,negative
11.235,159.082,negative
1.8934,236.85,negative
9.697,299.406,negative
4.575,107.02,negative
16.232,84.9105,negative
15.7217,170.12,negative
77.7643,149.374,negative
17.9072,137.714,negative
6.423,314.41,negative
11.74,161.406,negative
9.438,179.16,negative
5.736,148.227,negative
12.5354,166.636,negative
14.4579,113.943,negative
29.2598,236.766,negative
4.4386,138.361,negative
19.89,237.713,negative
37.7264,178.868,negative
44.407,198.768,negative
62.18,203.754,negative
1.102,275.318,negative
47.392,198.364,negative
54.509,175.194,negative
2.379,234.512,negative
3.597,255.342,negative
27.593,190.35,negative
6.3982,288.958,negative
10.1102,76.8999,negative
14.4397,172.572,negative
1.7505,279.018,negative
6.219,180.699,negative
10.685,84.5853,negative
10.9128,199.445,negative
10.159,305.255,negative
81.1385,168.663,negative
1.5977,145.424,negative
7.4795,146.09,negative
9.4384,221.48,negative
2.762,288.565,negative
27.4184,155.091,negative
76.331,189.484,negative
10.5513,103.707,negative
1.9542,104.142,negative
17.533,173.458,negative
47.7751,154.638,negative
6.6964,132.384,negative
6.999,228.298,negative
8.988,211.217,negative
0.6027,229.513,negative
0.468,215.892,negative
8.767,119.08,negative
3.628,285.788,negative
7.0604,170.414,negative
18.082,108.385,negative
81.2793,136.507,negative
5.014,212.108,negative
39.0638,267.019,negative
17.1252,248.03,negative
9.9904,164.816,negative
16.1307,186.619,negative
34.5976,178.035,negative
0.0821,231.651,negative
64.5349,143.721,negative
3.9914,334.944,negative
37.9035,202.109,negative
61.216,237.147,negative
8.372,277,negative
2.1651,225.079,negative
41.0922,212.261,negative
32.861,251.47,negative
45.299,244.401,negative
31.776,172.725,negative
56.2862,24.4249,negative
4.6368,295.183,negative
51.0269,226.682,negative
1.472,169.177,negative
3.5171,337.57,negative
13.0282,193.971,negative
5.7611,228,negative
24.196,123.845,negative
2.939,195.604,negative
7.651,299.782,negative
24.5335,141.78,negative
0.6513,264.63,negative
2.8753,139.923,negative
18.3994,221.305,negative
8.915,91.0665,negative
27.282,133.77,negative
3.1678,119.874,negative
27.696,260.092,negative
16.8734,272.352,negative
18.3709,126.665,negative
1.338,160.99,negative
21.49,108.234,negative
16.7394,77.5018,negative
14.874,179.055,negative
30.825,117.54,negative
81.7955,89.9973,negative
79.283,122.258,negative
0.983,161.938,negative
6.811,283.679,negative
23.962,84.7853,negative
3.131,183.871,negative
11.476,242.005,negative
5.5742,172.991,negative
2.433,173.885,negative
5.2373,182.452,negative
11.9427,181.511,negative
69.0844,37.6417,negative
4.034,253.121,negative
1.932,275.424,negative
11.117,177.301,negative
5.7949,227.657,negative
47.847,193.412,negative
1.318,199.388,negative
2.931,333.991,negative
9.3001,102.422,negative
21.175,163.808,negative
3.4835,293.046,negative
17.392,196.769,negative
66.733,131.543,negative
6.303,243.653,negative
21.156,189.873,negative
7.0973,226.194,negative
22.7735,221.971,negative
2.9341,257.85,negative
23.4123,69.8538,negative
4.6236,267.363,negative
62.452,170.972,negative
1.197,242.81,negative
23.0914,259.555,negative
1.2986,232.56,negative
41.559,124.563,negative
0.146,315.008,negative
44.799,56.6157,negative
9.203,78.6901,negative
58.2819,192.35,negative
56.148,73.9966,negative
25.1126,155.765,negative
10.25,165.614,negative
6.1626,79.0171,negative
21.21,228.697,negative
56.785,131.205,negative
8.986,261.066,negative
8.974,86.0026,negative
10.896,207.304,negative
35.7431,125.86,negative
3.737,233.673,negative
18.0235,190.144,negative
8.262,184.267,negative
13.377,309.814,negative
89.7323,89.1692,negative
89.9535,123.945,negative
1.8977,148.198,negative
18.6544,136.253,negative
2.628,337.462,negative
68.5155,71.3941,negative
23.936,110.033,negative
19.5461,145.109,negative
15.096,101.912,negative
21.6256,195.583,negative
48.493,150.95,negative
6.1306,238.417,negative
7.038,129.592,negative
1.687,200.465,negative
3.5463,208.628,negative
42.108,85.2292,negative
3.1526,221.526,negative
0.7494,204.643,negative
8.691,185.927,negative
2.646,186.887,negative
19.3573,145.145,negative
17.086,271.141,negative
2.5772,194.185,negative
38.976,187.149,negative
56.732,226.456,negative
70.3421,218.094,negative
18.3976,146.372,negative
7.886,215.599,negative
9.612,328.604,negative
15.4009,207.913,negative
5.185,318.982,negative
5.5932,309.468,negative
78.1246,114.414,negative
33.344,146.562,negative
4.875,239.226,negative
1.3107,237.622,negative
9.4551,224.235,negative
6.121,123.831,negative
0.035,263.59,negative
10.506,133.345,negative
9.323,178.204,negative
3.0278,253.311,negative
4.366,277.076,negative
7.2099,158.941,negative
66.374,154.086,negative
6.85,240.119,negative
9.393,93.9195,negative
15.638,113.718,negative
6.159,256.009,negative
4.9132,133.565,negative
3.174,235.107,negative
11.5874,195.272,negative
5.3844,180.055,negative
19.187,208.484,negative
15.312,166.529,negative
39.8253,75.9838,negative
9.868,128.034,negative
0.085,170.775,negative
60.5491,26.0889,negative
9.5897,279.075,negative
36.8773,49.882,negative
9.0883,230.897,negative
2.555,256.515,negative
35.801,160.436,negative
13.729,159.411,negative
35.427,155.95,negative
12.3195,206.939,negative
2.661,373.445,negative
1.3536,288.764,negative
8.724,174.955,negative
14.5122,102.807,negative
9.2572,138.538,negative
3.7039,198.406,negative
0.857,271.063,negative
61.5552,124.957,negative
34.613,168.147,negative
4.324,137.016,negative
0.36,322.166,negative
47.7302,81.4037,negative
10.649,198.327,negative
55.7262,103.012,negative
10.34,188.939,negative
4.2637,231.15,negative
3.4,195.922,negative
80.3533,218.84,negative
10.618,124.78,negative
11.018,193.054,negative
3.361,166.899,negative
2.6399,144.71,negative
4.286,209.891,negative
12.842,169.65,negative
9.097,190.807,negative
58.7535,188.468,negative
7.119,283.268,negative
16.7407,182.889,negative
13.285,247.465,negative
3.186,251.291,negative
34.6822,204.302,negative
1.695,273.085,negative
63.8216,190.409,negative
8.6871,174.871,negative
8.4913,176.372,negative
9.428,243.375,negative
0.7406,262.22,negative
0.9412,237.867,negative
14.0812,215.501,negative
24.743,113.793,negative
8.886,123.191,negative
8.3983,238.259,negative
9.141,186.334,negative
23.914,233.308,negative
67.903,257.241,negative
19.1106,178.983,negative
22.3269,85.2293,negative
8.2426,220.549,negative
6.211,182.619,negative
5.203,191.337,negative
9.0544,273.848,negative
3.9509,243.299,negative
67.7358,139.591,negative
13.812,206.123,negative
0.7341,338.055,negative
4.565,160.43,negative
79.959,23.2363,negative
24.191,148.568,negative
5.6357,190.942,negative
22.241,123.806,negative
0.0323,327.064,negative
5.18,251.602,negative
18.5462,214.975,negative
25.394,117.962,negative
1.0624,205.399,negative
15.0753,142.12,negative
6.0359,162.968,negative
18.537,194.358,negative
8.3799,211.69,negative
11.409,137.124,negative
9.383,212.222,negative
5.9374,183.554,negative
17.2162,279.399,negative
10.4419,198.015,negative
11.766,265.93,negative
31.951,98.5724,negative
5.528,164.086,negative
15.2609,81.9486,negative
17.466,136.065,negative
19.6343,154.066,negative
0.3,298.697,negative
4.829,199.522,negative
72.391,120.73,negative
4.841,226.351,negative
0.211,72.582,negative
11.7823,116.856,negative
8.7949,154.341,negative
25.804,167.898,negative
0.6419,140.188,negative
9.3139,213.371,negative
19.267,147.791,negative
34.644,92.012,negative
29.746,85.5765,negative
62.975,167.615,negative
22.732,181.272,negative
0.583,187.046,negative
3.4588,119.997,negative
24.26,132.917,negative
19.242,142.68,negative
8.6808,134.782,negative
0.5805,354.892,negative
1.851,326.515,negative
9.5021,86.2246,negative
9.4355,282.022,negative
12.3224,215.724,negative
4.233,253.606,negative
0.0787,330.463,negative
7.1492,197.201,negative
1.57,208.832,negative
21.696,173.343,negative
15.671,238.572,negative
16.2105,139.812,negative
41.3192,177.506,negative
38.817,196.181,negative
28.6298,166.603,negative
20.656,150.146,negative
30.194,181.687,negative
8.831,216.123,negative
1.0866,234.332,negative
2.562,103.858,negative
5.3918,228.839,negative
1.6337,270.772,negative
16.8825,93.1668,negative
12.21,212.898,negative
12.169,139.725,negative
4.4339,229.086,negative
25.199,62.981,negative
4.6616,219.963,negative
10.8031,54.6152,negative
0.853,241.374,negative
7.817,231.201,negative
5.055,288.892,negative
4.582,197.56,negative
35.821,61.3409,negative
34.0936,115.582,negative
23.884,120.316,negative
3.201,219.342,negative
3.9627,114.525,negative
16.037,125.595,negative
26.733,132.136,negative
4.63,233.579,negative
3.348,336.62,negative
20.518,233.833,negative
1.2109,315.243,negative
17.478,173.991,negative
7.8731,219.853,negative
4.1,140.794,negative
69.383,194.141,negative
30.845,205.247,negative
56.523,53.5987,negative
22.0158,134.089,negative
18.7586,160.018,negative
70.14,138.836,negative
3.827,157.37,negative
12.098,255.46,negative
1.493,149.654,negative
0.0276,155.316,negative
8.174,167.285,negative
4.6718,194.419,negative
1.861,260.741,negative
10.6062,213.579,negative
27.354,95.8773,negative
5.2051,286.396,negative
5.397,220.885,negative
7.414,100.548,negative
44.3455,133.272,negative
10.1168,214.872,negative
12.4588,225.281,negative
6.118,334.597,negative
27.583,189.783,negative
5.515,184.565,negative
3.919,227.332,negative
8.976,219.284,negative
2.3935,88.3223,negative
15.3487,279.069,negative
32.5233,121.915,negative
43.561,99.4016,negative
13.0285,265.334,negative
16.42,209.194,negative
8.947,129.518,negative
75.0613,202.863,negative
19.4898,121.798,negative
35.99,134.778,negative
0.3485,254.455,negative
25.505,285.696,negative
48.5893,119.225,negative
3.499,297.614,negative
0.834,244.819,negative
0.109,229.045,negative
59.4506,158.947,negative
7.705,268.733,negative
25.883,187.847,negative
10.7959,182.91,negative
6.0457,183.495,negative
47.559,102.779,negative
40.4341,137.81,negative
5.806,285.14,negative
10.2947,141.498,negative
75.1784,78.8644,negative
13.807,232.74,negative
4.177,227.323,negative
83.7969,63.9129,negative
6.69,263.173,negative
15.135,313.443,negative
77.1166,173.218,negative
5.565,171.184,negative
26.4137,197.957,negative
6.7129,185.06,negative
17.709,196.225,negative
0.0345,67.9435,negative
49.52,78.8784,negative
37.1081,181.296,negative
2.17,373.103,negative
4.825,266.665,negative
8.477,194.475,negative
16.948,175.412,negative
6.259,206.543,negative
3.2586,229.629,negative
1.23,192.577,negative
23.115,178.094,negative
4.358,297.014,negative
37.4068,106.041,negative
19.0193,168.601,negative
13.2274,89.1136,negative
5.164,265.753,negative
10.098,187.362,negative
1.9326,292.894,negative
36.3065,198.109,negative
28.508,180.939,negative
9.7478,50.9291,negative
3.915,266.534,negative
5.761,166.709,negative
3.3724,379.671,negative
7.211,126.849,negative
31.805,142.002,negative
5.534,220.734,negative
2.2059,303.754,negative
1.4663,262.124,negative
3.6622,200.644,negative
63.9721,129.362,negative
30.76,189.635,negative
50.6366,40.0383,negative
1.5563,345.29,negative
1.4241,209.889,negative
6.479,298.592,negative
33.3381,188.921,negative
15.651,174.136,negative
17.999,169.105,negative
31.6319,118.559,negative
3.3842,261.617,negative
3.6974,242.699,negative
8.5297,266.917,negative
39.2593,186.727,negative
5.926,179.803,negative
18.1924,181.397,negative
15.148,192.916,negative
47.2228,124.216,negative
35.72,113.426,negative
30.327,222.339,negative
6.021,191.946,negative
12.026,306.025,negative
33.539,154.681,negative
0.8713,283.766,negative
18.0262,173.904,negative
69.8177,186.95,negative
2.701,219.142,negative
4.4298,131.81,negative
0.598,169.314,negative
2.271,246.465,negative
10.206,171.726,negative
39.8357,86.0558,negative
0.244,129.236,negative
15.151,274.292,negative
5.627,309.746,negative
11.2109,133.319,negative
49.707,167.443,negative
31.6682,151.889,negative
11.7922,129.98,negative
10.4927,223.697,negative
35.9057,160.38,negative
15.8702,236.856,negative
34.405,189.145,negative
72.654,120.608,negative
77.35,230.022,negative
0.7859,249.506,negative
1.42,293.528,negative
9.2006,182.865,negative
31.498,92.534,negative
6.594,224.921,negative
5.3213,155.295,negative
0.2545,299.367,negative
20.441,80.6911,negative
30.8438,186.608,negative
10.6904,195.724,negative
15.0428,269.481,negative
2.809,251.223,negative
40.0066,125.103,negative
1.8847,162.441,negative
4.1632,231.966,negative
1.621,218.27,negative
0.908,391.912,negative
0.604,335.745,negative
28.267,29.4987,negative
24.6377,228.76,negative
63.4398,211.318,negative
6.661,179.298,negative
16.73,238.833,negative
14.6097,196.169,negative
39.092,164.469,negative
2.6291,163.381,negative
1.8023,172.03,negative
3.5017,260.422,negative
9.1961,143.43,negative
80.473,65.16,negative
6.397,166.396,negative
49.667,209.13,negative
3.8476,81.8432,negative
9.37,170.193,negative
1.092,186.807,negative
53.4211,62.528,negative
20.5187,159.024,negative
8.0884,254.084,negative
1.1708,244.602,negative
30.4393,116.741,negative
0.2816,220.423,negative
2.1911,269.566,negative
27.3402,207.87,negative
15.75,162.036,negative
3.0159,256.056,negative
6.997,204.724,negative
30.8451,269.021,negative
6.8749,149.3,negative
37.555,68.2,negative
5.245,199.55,negative
0.6868,337.138,negative
14.976,220.277,negative
51.816,198.319,negative
46.068,144.821,negative
4.251,255.654,negative
3.667,337.885,negative
33.509,170.349,negative
64.95,148.504,negative
27.3043,89.7217,negative
60.543,163.281,negative
8.041,179.109,negative
2.673,187.199,negative
7.337,61.5099,negative
44.0434,110.704,negative
3.896,209.442,negative
2.594,204.329,negative
10.742,156.387,negative
3.3282,203.344,negative
8.0926,189.243,negative
5.0667,220.885,negative
4.1807,181.842,negative
12.2293,244.394,negative
6.736,166.044,negative
33.4353,47.4001,negative
9.4008,230.392,negative
77.476,227.178,negative
34.0559,74.4097,negative
8.1501,252.15,negative
12.833,140.745,negative
0.102,337.661,negative
0.817,226.644,negative
19.4794,114.037,negative
36.511,90.9553,negative
4.941,226.152,negative
0.2501,321.117,negative
6.947,120.583,negative
68.753,63.5686,negative
12.0413,174.492,negative
61.03,216.368,negative
5.452,165.305,negative
7.346,131.925,negative
0.864,108.972,negative
75.817,122.801,negative
8.787,171.613,negative
0.795,226.359,negative
18.458,158.451,negative
20.661,152.639,negative
70.525,44.5714,negative
1.479,347.008,negative
30.7241,165.615,negative
13.3149,181.029,negative
0.2999,353.683,negative
6.1251,160.041,negative
79.712,160.751,negative
1.9409,160.222,negative
54.01,219.179,negative
0.975,173.38,negative
53.01,111.763,negative
25.187,252.577,negative
0.951,116.309,negative
27.9849,169.517,negative
3.026,161.4,negative
3.2554,191.222,negative
89.7035,194.478,negative
3.8218,208.743,negative
30.1483,192.601,negative
45.3284,206.3,negative
26.8401,179.895,negative
6.1874,377.914,negative
31.108,158.647,negative
13.0923,149.933,negative
0.709,252.586,negative
6.339,211.164,negative
