At9,Class
29.307,negative
10.7626,negative
13.9446,negative
73.9247,negative
8.519,negative
8.877,negative
3.952,negative
6.527,negative
0.8794,negative
1.2137,negative
40.0799,negative
21.8327,negative
5.231,negative
4.661,negative
2.447,negative
2.621,negative
31.983,negative
13.181,negative
27.914,negative
19.558,negative
2.8019,negative
7.341,negative
1.024,negative
25.6015,negative
16.169,negative
56.0565,negative
38.1314,negative
0.226,negative
1.228,negative
6.845,negative
2.1522,negative
14.19,negative
1.9921,negative
23.3338,negative
23.425,negative
6.518,negative
1.3937,negative
0.638,negative
18.419,negative
2.712,negative
79.4844,negative
17.929,negative
42.315,negative
1.129,negative
17.724,negative
17.2732,negative
6.2195,negative
3.713,negative
1.9639,negative
4.176,negative
78.748,negative
17.4488,negative
3.5355,negative
31.8219,negative
14.573,negative
2.984,negative
32.0404,negative
65.011,negative
0.1081,negative
6.93,negative
19.724,negative
1.087,negative
19.977,negative
17.831,negative
8.6575,negative
82.8799,negative
68.464,negative
0.2763,negative
0.6696,negative
5.3847,negative
4.5898,negative
0.794,negative
8.5814,negative
56.521,negative
5.7152,negative
14.53,negative
4.122,negative
35.625,negative
7.608,negative
7.1441,negative
8.5878,negative
8.7515,negative
8.526,negative
47.9304,negative
1.0148,negative
54.2205,negative
20.8407,negative
78.773,negative
1.2669,negative
2.073,negative
56.4005,negative
33.97,negative
2.5821,negative
5.9931,negative
5.308,negative
0.125,negative
69.094,negative
37.287,negative
12.938,negative
0.2976,negative
2e-04,negative
3.4724,negative
4.4274,negative
0.533,negative
0.3082,negative
8.2676,negative
35.2698,negative
21.817,negative
0.123,negative
5.173,negative
24.262,negative
2.957,negative
74.6152,negative
0.4341,negative
48.5567,negative
5.254,negative
18.65,negative
8.3828,negative
46.9567,negative
5.932,negative
20.643,negative
9.0346,negative
23.367,negative
30.652,negative
8.191,negative
8.2377,negative
23.721,negative
3.2764,negative
6.166,negative
0.6261,negative
22.529,negative
21.073,negative
29.7652,negative
20.1575,negative
7.136,negative
21.0958,negative
5.153,negative
19.4594,negative
30.148,negative
8.293,negative
6.251,negative
29.7285,negative
10.4919,negative
0.572,negative
10.1148,negative
9.437,negative
15.71,negative
6.437,negative
5.8315,negative
0.619,negative
53.587,negative
1.5388,negative
2.8508,negative
5.931,negative
10.9465,negative
7.067,negative
77.229,negative
11.5884,negative
3.9659,negative
27.8917,negative
2.0311,negative
33.041,negative
4.752,negative
11.7582,negative
20.244,negative
0.875,negative
1.357,negative
5.16,negative
1.57,negative
37.1267,negative
8.782,negative
20.6196,negative
9.3744,negative
5.88,negative
14.1164,negative
4.412,negative
11.235,negative
1.8934,negative
9.697,negative
4.575,negative
16.232,negative
15.7217,negative
77.7643,negative
17.9072,negative
6.423,negative
11.74,negative
9.438,negative
5.736,negative
12.5354,negative
14.4579,negative
29.2598,negative
4.4386,negative
19.89,negative
37.7264,negative
44.407,negative
62.18,negative
1.102,negative
47.392,negative
54.509,negative
2.379,negative
3.597,negative
27.593,negative
6.3982,negative
10.1102,negative
14.4397,negative
1.7505,negative
6.219,negative
10.685,negative
10.9128,negative
10.159,negative
81.1385,negative
1.5977,negative
7.4795,negative
9.4384,negative
2.762,negative
27.4184,negative
76.331,negative
10.5513,negative
1.9542,negative
17.533,negative
47.7751,negative
6.6964,negative
6.999,negative
8.988,negative
0.6027,negative
0.468,negative
8.767,negative
3.628,negative
7.0604,negative
18.082,negative
81.2793,negative
5.014,negative
39.0638,negative
17.1252,negative
9.9904,negative
16.1307,negative
34.5976,negative
0.0821,negative
64.5349,negative
3.9914,negative
37.9035,negative
61.216,negative
8.372,negative
2.1651,negative
41.0922,negative
32.861,negative
45.299,negative
31.776,negative
56.2862,negative
4.6368,negative
51.0269,negative
1.472,negative
3.5171,negative
13.0282,negative
5.7611,negative
24.196,negative
2.939,negative
7.651,negative
24.5335,negative
0.6513,negative
2.8753,negative
18.3994,negative
8.915,negative
27.282,negative
3.1678,negative
27.696,negative
16.8734,negative
18.3709,negative
1.338,negative
21.49,negative
16.7394,negative
14.874,negative
30.825,negative
81.7955,negative
79.283,negative
0.983,negative
6.811,negative
23.962,negative
3.131,negative
11.476,negative
5.5742,negative
2.433,negative
5.2373,negative
11.9427,negative
69.0844,negative
4.034,negative
1.932,negative
11.117,negative
5.7949,negative
47.847,negative
1.318,negative
2.931,negative
9.3001,negative
21.175,negative
3.4835,negative
17.392,negative
66.733,negative
6.303,negative
21.156,negative
7.0973,negative
22.7735,negative
2.9341,negative
23.4123,negative
4.6236,negative
62.452,negative
1.197,negative
23.0914,negative
1.2986,negative
41.559,negative
0.146,negative
44.799,negative
9.203,negative
58.2819,negative
56.148,negative
25.1126,negative
10.25,negative
6.1626,negative
21.21,negative
56.785,negative
8.986,negative
8.974,negative
10.896,negative
35.7431,negative
3.737,negative
18.0235,negative
8.262,negative
13.377,negative
89.7323,negative
89.9535,negative
1.8977,negative
18.6544,negative
2.628,negative
68.5155,negative
23.936,negative
19.5461,negative
15.096,negative
21.6256,negative
48.493,negative
6.1306,negative
7.038,negative
1.687,negative
3.5463,negative
42.108,negative
3.1526,negative
0.7494,negative
8.691,negative
2.646,negative
19.3573,negative
17.086,negative
2.5772,negative
38.976,negative
56.732,negative
70.3421,negative
18.3976,negative
7.886,negative
9.612,negative
15.4009,negative
5.185,negative
5.5932,negative
78.1246,negative
33.344,negative
4.875,negative
1.3107,negative
9.4551,negative
6.121,negative
0.035,negative
10.506,negative
9.323,negative
3.0278,negative
4.366,negative
7.2099,negative
66.374,negative
6.85,negative
9.393,negative
15.638,negative
6.159,negative
4.9132,negative
3.174,negative
11.5874,negative
5.3844,negative
19.187,negative
15.312,negative
39.8253,negative
9.868,negative
0.085,negative
60.5491,negative
9.5897,negative
36.8773,negative
9.0883,negative
2.555,negative
35.801,negative
13.729,negative
35.427,negative
12.3195,negative
2.661,negative
1.3536,negative
8.724,negative
14.5122,negative
9.2572,negative
3.7039,negative
0.857,negative
61.5552,negative
34.613,negative
4.324,negative
0.36,negative
47.7302,negative
10.649,negative
55.7262,negative
10.34,negative
4.2637,negative
3.4,negative
80.3533,negative
10.618,negative
11.018,negative
3.361,negative
2.6399,negative
4.286,negative
12.842,negative
9.097,negative
58.7535,negative
7.119,negative
16.7407,negative
13.285,negative
3.186,negative
34.6822,negative
1.695,negative
63.8216,negative
8.6871,negative
8.4913,negative
9.428,negative
0.7406,negative
0.9412,negative
14.0812,negative
24.743,negative
8.886,negative
8.3983,negative
9.141,negative
23.914,negative
67.903,negative
19.1106,negative
22.3269,negative
8.2426,negative
6.211,negative
5.203,negative
9.0544,negative
3.9509,negative
67.7358,negative
13.812,negative
0.7341,negative
4.565,negative
79.959,negative
24.191,negative
5.6357,negative
22.241,negative
0.0323,negative
5.18,negative
18.5462,negative
25.394,negative
1.0624,negative
15.0753,negative
6.0359,negative
18.537,negative
8.3799,negative
11.409,negative
9.383,negative
5.9374,negative
17.2162,negative
10.4419,negative
11.766,negative
31.951,negative
5.528,negative
15.2609,negative
17.466,negative
19.6343,negative
0.3,negative
4.829,negative
72.391,negative
4.841,negative
0.211,negative
11.7823,negative
8.7949,negative
25.804,negative
0.6419,negative
9.3139,negative
19.267,negative
34.644,negative
29.746,negative
62.975,negative
22.732,negative
0.583,negative
3.4588,negative
24.26,negative
19.242,negative
8.6808,negative
0.5805,negative
1.851,negative
9.5021,negative
9.4355,negative
12.3224,negative
4.233,negative
0.0787,negative
7.1492,negative
1.57,negative
21.696,negative
15.671,negative
16.2105,negative
41.3192,negative
38.817,negative
28.6298,negative
20.656,negative
30.194,negative
8.831,negative
1.0866,negative
2.562,negative
5.3918,negative
1.6337,negative
16.8825,negative
12.21,negative
12.169,negative
4.4339,negative
25.199,negative
4.6616,negative
10.8031,negative
0.853,negative
7.817,negative
5.055,negative
4.582,negative
35.821,negative
34.0936,negative
23.884,negative
3.201,negative
3.9627,negative
16.037,negative
26.733,negative
4.63,negative
3.348,negative
20.518,negative
1.2109,negative
17.478,negative
7.8731,negative
4.1,negative
69.383,negative
30.845,negative
56.523,negative
22.0158,negative
18.7586,negative
70.14,negative
3.827,negative
12.098,negative
1.493,negative
0.0276,negative
8.174,negative
4.6718,negative
1.861,negative
10.6062,negative
27.354,negative
5.2051,negative
5.397,negative
7.414,negative
44.3455,negative
10.1168,negative
12.4588,negative
6.118,negative
27.583,negative
5.515,negative
3.919,negative
8.976,negative
2.3935,negative
15.3487,negative
32.5233,negative
43.561,negative
13.0285,negative
16.42,negative
8.947,negative
75.0613,negative
19.4898,negative
35.99,negative
0.3485,negative
25.505,negative
48.5893,negative
3.499,negative
0.834,negative
0.109,negative
59.4506,negative
7.705,negative
25.883,negative
10.7959,negative
6.0457,negative
47.559,negative
40.4341,negative
5.806,negative
10.2947,negative
75.1784,negative
13.807,negative
4.177,negative
83.7969,negative
6.69,negative
15.135,negative
77.1166,negative
5.565,negative
26.4137,negative
6.7129,negative
17.709,negative
0.0345,negative
49.52,negative
37.1081,negative
2.17,negative
4.825,negative
8.477,negative
16.948,negative
6.259,negative
3.2586,negative
1.23,negative
23.115,negative
4.358,negative
37.4068,negative
19.0193,negative
13.2274,negative
5.164,negative
10.098,negative
1.9326,negative
36.3065,negative
28.508,negative
9.7478,negative
3.915,negative
5.761,negative
3.3724,negative
7.211,negative
31.805,negative
5.534,negative
2.2059,negative
1.4663,negative
3.6622,negative
63.9721,negative
30.76,negative
50.6366,negative
1.5563,negative
1.4241,negative
6.479,negative
33.3381,negative
15.651,negative
17.999,negative
31.6319,negative
3.3842,negative
3.6974,negative
8.5297,negative
39.2593,negative
5.926,negative
18.1924,negative
15.148,negative
47.2228,negative
35.72,negative
30.327,negative
6.021,negative
12.026,negative
33.539,negative
0.8713,negative
18.0262,negative
69.8177,negative
2.701,negative
4.4298,negative
0.598,negative
2.271,negative
10.206,negative
39.8357,negative
0.244,negative
15.151,negative
5.627,negative
11.2109,negative
49.707,negative
31.6682,negative
11.7922,negative
10.4927,negative
35.9057,negative
15.8702,negative
34.405,negative
72.654,negative
77.35,negative
0.7859,negative
1.42,negative
9.2006,negative
31.498,negative
6.594,negative
5.3213,negative
0.2545,negative
20.441,negative
30.8438,negative
10.6904,negative
15.0428,negative
2.809,negative
40.0066,negative
1.8847,negative
4.1632,negative
1.621,negative
0.908,negative
0.604,negative
28.267,negative
24.6377,negative
63.4398,negative
6.661,negative
16.73,negative
14.6097,negative
39.092,negative
2.6291,negative
1.8023,negative
3.5017,negative
9.1961,negative
80.473,negative
6.397,negative
49.667,negative
3.8476,negative
9.37,negative
1.092,negative
53.4211,negative
20.5187,negative
8.0884,negative
1.1708,negative
30.4393,negative
0.2816,negative
2.1911,negative
27.3402,negative
15.75,negative
3.0159,negative
6.997,negative
30.8451,negative
6.8749,negative
37.555,negative
5.245,negative
0.6868,negative
14.976,negative
51.816,negative
46.068,negative
4.251,negative
3.667,negative
33.509,negative
64.95,negative
27.3043,negative
60.543,negative
8.041,negative
2.673,negative
7.337,negative
44.0434,negative
3.896,negative
2.594,negative
10.742,negative
3.3282,negative
8.0926,negative
5.0667,negative
4.1807,negative
12.2293,negative
6.736,negative
33.4353,negative
9.4008,negative
77.476,negative
34.0559,negative
8.1501,negative
12.833,negative
0.102,negative
0.817,negative
19.4794,negative
36.511,negative
4.941,negative
0.2501,negative
6.947,negative
68.753,negative
12.0413,negative
61.03,negative
5.452,negative
7.346,negative
0.864,negative
75.817,negative
8.787,negative
0.795,negative
18.458,negative
20.661,negative
70.525,negative
1.479,negative
30.7241,negative
13.3149,negative
0.2999,negative
6.1251,negative
79.712,negative
1.9409,negative
54.01,negative
0.975,negative
53.01,negative
25.187,negative
0.951,negative
27.9849,negative
3.026,negative
3.2554,negative
89.7035,negative
3.8218,negative
30.1483,negative
45.3284,negative
26.8401,negative
6.1874,negative
31.108,negative
13.0923,negative
0.709,negative
6.339,negative
23.006,negative
11.519,negative
26.1461,negative
3.2636,negative
53.3158,negative
2.4674,negative
7.671,negative
11.409,negative
14.451,negative
3.2719,negative
58.693,negative
53.922,negative
80.0642,negative
10.5595,negative
2.3677,negative
12.9511,negative
43.7515,negative
6.8087,negative
6.786,negative
2.72,negative
71.9552,negative
8.993,negative
1.9667,negative
15.5752,negative
0.151,negative
3.4605,negative
50.611,negative
24.6514,negative
13.038,negative
9.3268,negative
65.226,negative
12.2671,negative
14.9307,negative
62.678,negative
22.452,negative
38.2,negative
14.077,negative
54.6896,negative
2.9936,negative
51.983,negative
5.4954,negative
1.6086,negative
1.0087,negative
12.9637,negative
7.916,negative
18.005,negative
9.283,negative
9.834,negative
14.5598,negative
5.247,negative
17.8692,negative
33.902,negative
8.129,negative
4.6995,negative
14.3052,negative
34.0416,negative
34.1383,negative
10.463,negative
9.2202,negative
18.975,negative
5.703,negative
52.2065,negative
15.5661,negative
0.56,negative
2.733,negative
30.5133,negative
30.5107,negative
5.5986,negative
54.004,negative
64.547,negative
3.9115,negative
0.641,negative
4.147,negative
1.5757,negative
5.892,negative
1.2733,negative
3.145,negative
17.406,negative
4.172,negative
7.6707,negative
0.159,negative
51.044,negative
2.135,negative
2.982,negative
9.836,negative
19.163,negative
2.4487,negative
1.1476,negative
71.43,negative
12.2356,negative
54.931,negative
7.052,negative
5.0927,negative
1.6314,negative
71.3754,negative
6.3952,negative
45.687,negative
16.376,negative
70.736,negative
1.4636,negative
12.6028,negative
59.1272,negative
23.761,negative
1.32,negative
3.8253,negative
10.237,negative
39.0498,negative
44.067,negative
0.075,negative
16.332,negative
5.369,negative
31.436,negative
22.684,negative
34.553,negative
1.64,negative
34.976,negative
22.3263,negative
3.9967,negative
7.4925,negative
0.8021,negative
80.2685,negative
8.59,negative
1.967,negative
26.1088,negative
23.9321,negative
12.174,negative
3.5641,negative
13.77,negative
10.3638,negative
2.9967,negative
1.581,negative
74.3282,negative
11.24,negative
41.838,negative
38.1018,negative
43.554,negative
72.426,negative
6.9492,negative
14.967,negative
14.281,negative
5.861,negative
3.2309,negative
58.386,negative
5.836,negative
0.04,negative
0.1023,negative
15.7723,negative
3.6433,negative
9.6984,negative
33.5185,negative
6.005,negative
36.0888,negative
89.9026,negative
32.3979,negative
9.5567,negative
2.555,negative
14.549,negative
14.8675,negative
12.117,negative
3.9292,negative
22.9198,negative
86.5709,negative
54.7684,negative
2.715,negative
26.025,negative
41.763,negative
1.853,negative
11.3951,negative
5.8936,negative
5.6931,negative
16.64,negative
58.2994,negative
2.7873,negative
44.373,negative
4.521,negative
2.148,negative
2.0137,negative
4.1919,negative
1.523,negative
17.749,negative
1.819,negative
5.933,negative
45.009,negative
58.159,negative
42.694,negative
31.265,negative
15.91,negative
52.307,negative
23.851,negative
0.764,negative
53.4984,negative
5.092,negative
27.234,negative
6.105,negative
2.3306,negative
7.7732,negative
0.788,negative
10.429,negative
8.3626,negative
31.2271,negative
9.027,negative
20.2043,negative
58.6846,negative
1.2469,negative
0.436,negative
3.762,negative
3.648,negative
1.676,negative
6.903,negative
8.195,negative
0.225,negative
5.3784,negative
1.3794,negative
4.6486,negative
6.311,negative
8.2751,negative
0.7358,negative
11.03,negative
16.679,negative
5.6891,negative
6.941,negative
15.1543,negative
27.1409,negative
10.6136,negative
3.197,negative
17.5042,negative
12.4053,negative
5.802,negative
46.642,negative
2.304,negative
42.3501,negative
7.388,negative
29.934,negative
6.887,negative
55.1153,negative
17.7272,negative
83.1822,negative
1.447,negative
4.5447,negative
61.8767,negative
85.2337,negative
2.553,negative
3.7101,negative
27.942,negative
9.11,negative
24.9095,negative
2.0627,negative
6.3162,negative
32.312,negative
18.278,negative
2.205,negative
12.949,negative
6.971,negative
0.029,negative
15.563,negative
17.8954,negative
1.308,negative
1.0275,negative
12.5074,negative
15.2606,negative
21.1247,negative
56.8865,negative
24.7086,negative
81.0686,negative
3.2801,negative
2.8825,negative
17.915,negative
21.895,negative
6.445,negative
6.014,negative
3.0779,negative
76.2728,negative
13.895,negative
69.004,negative
7.3785,negative
8.539,negative
9.8612,negative
8.2753,negative
8.6997,negative
71.4495,negative
2.489,negative
2.6206,negative
12.3055,negative
5.5776,negative
0.9333,negative
14.4244,negative
21.3936,negative
6.381,negative
5.8345,negative
8.8454,negative
9.401,negative
35.715,negative
64.571,negative
43.7132,negative
7.247,negative
6.123,negative
79.763,negative
64.622,negative
1.1373,negative
35.4935,negative
5.0887,negative
31.8731,negative
1.216,negative
28.035,negative
12.422,negative
0.3176,negative
9.3668,negative
9.5881,negative
2.3692,negative
7.6181,negative
3.426,negative
1.419,negative
74.6315,negative
2.173,negative
16.575,negative
3.8417,negative
19.4174,negative
29.348,negative
45.9906,negative
6.2066,negative
37.428,negative
19.8739,negative
3.1992,negative
34.5966,negative
12.214,negative
14.047,negative
59.9239,negative
23.739,negative
9.2004,negative
64.3998,negative
73.8778,negative
7.539,negative
18.4082,negative
0.1897,negative
32.28,negative
1.379,negative
6.987,negative
2.569,negative
14.018,negative
1.4349,negative
46.859,negative
12.747,negative
35.694,negative
50.2541,negative
11.8623,negative
1.8662,negative
10.8662,negative
4.584,negative
15.753,negative
49.4271,negative
13.3324,negative
35.2665,negative
63.735,negative
33.3598,negative
9.9206,negative
1.902,negative
0.5325,negative
4.6097,negative
6.481,negative
65.694,negative
4.709,negative
0.5982,negative
89.5011,negative
7.998,negative
3.144,negative
3.2759,negative
13.0126,negative
6.3297,negative
6.4844,negative
1.775,negative
2.8669,negative
26.1855,negative
1.705,negative
82.8542,negative
27.318,negative
13.2097,negative
12.3834,negative
37.165,negative
10.0049,negative
5.6934,negative
4.361,negative
23.451,negative
24.9145,negative
75.6791,negative
25.519,negative
21.283,negative
2.6359,negative
2.39,negative
10.385,negative
38.741,negative
21.05,negative
0.9581,negative
2e-04,negative
1.207,negative
4.2209,negative
0.9214,negative
12.596,negative
7.226,negative
4.199,negative
21.3448,negative
7.6229,negative
6.392,negative
6.6443,negative
59.5071,negative
1.192,negative
66.17,negative
65.8518,negative
5.2442,negative
76.155,negative
0.3188,negative
4.107,negative
28.387,negative
5.1233,negative
84.1039,negative
3.0978,negative
15.288,negative
8.279,negative
32.442,negative
9.976,negative
3.7685,negative
45.2655,negative
3.927,negative
62.969,negative
3.7148,negative
6.198,negative
23.6345,negative
14.7135,negative
50.2519,negative
79.386,negative
1.577,negative
4.988,negative
14.367,negative
4.3666,negative
9.3801,negative
5.1486,negative
7.8499,negative
1.9969,negative
3.53,negative
4.774,negative
6.816,negative
77.961,negative
1.149,negative
19.4896,negative
87.9835,negative
23.651,negative
7.0441,negative
8.3432,negative
26.9064,negative
26.9856,negative
22.4698,negative
8.0678,negative
8.299,negative
19.1984,negative
2.0573,negative
41.9676,negative
11.3232,negative
0.256,negative
1.112,negative
0.4092,negative
1.5576,negative
2.178,negative
17.2109,negative
1.762,negative
52.521,negative
5.9909,negative
4.4023,negative
42.612,negative
47.954,negative
10.0304,negative
19.3195,negative
27.43,negative
1.709,negative
2.2573,negative
8.0243,negative
30.192,negative
80.0895,negative
9.964,negative
64.7773,negative
56.8101,negative
53.939,negative
6.548,negative
56.5669,negative
11.29,negative
7.652,negative
1.1058,negative
14.3483,negative
2.3248,negative
5.225,negative
3.9424,negative
20.588,negative
46.4513,negative
2.2101,negative
3.2776,negative
5.1486,negative
3.665,negative
14.5896,negative
10.218,negative
9.425,negative
0.072,negative
30.6008,negative
10.5649,negative
14.2238,negative
90,negative
1.502,negative
35.758,negative
61.162,negative
67.183,negative
51.8789,negative
2.348,negative
14.393,negative
4.4996,negative
10.8854,negative
69.395,negative
7.352,negative
1.154,negative
6.9109,negative
7.6353,negative
0.206,negative
21.516,negative
2.0522,negative
39.009,negative
0.0865,negative
3.101,negative
7.404,negative
26.3691,negative
10.694,negative
5.0155,negative
0.4554,negative
11.338,negative
13.872,negative
10.1619,negative
12.156,negative
31.8054,negative
13.4306,negative
8.0901,negative
0.441,negative
25.4448,negative
28.516,negative
3.2562,negative
8.264,negative
0.1431,negative
37.32,negative
2.184,negative
26.046,negative
3.6579,negative
10.9987,negative
16.534,negative
0.3395,negative
39.035,negative
1.6001,negative
8.5037,negative
24.2467,negative
9.5101,negative
7.135,negative
4.6031,negative
0.141,negative
0.514,negative
3.404,negative
17.415,negative
1.696,negative
2.337,negative
45.195,negative
32.005,negative
0.141,negative
5.2515,negative
8.295,negative
11.3434,negative
4.5885,negative
32.3548,negative
61.897,negative
87.1479,negative
13.316,negative
11.654,negative
18.4008,negative
7.689,negative
1.884,negative
15.876,negative
5.219,negative
1.0667,negative
0.1665,negative
79.2348,negative
23.325,negative
2.03,negative
2.5884,negative
48.9671,negative
0.4811,negative
18.131,negative
45.5575,negative
4.1472,negative
2.858,negative
1.577,negative
0.5371,negative
2.303,negative
56.2975,negative
38.85,negative
5.526,negative
4.319,negative
76.6517,negative
35.2731,negative
8.3473,negative
58.039,negative
25.544,negative
5.584,negative
35.09,negative
4.933,negative
7.58,negative
41.0503,negative
73.12,negative
26.16,negative
9.6193,negative
7.6823,negative
1.817,negative
51.496,negative
0.933,negative
59.206,negative
0.391,negative
1.0956,negative
70.6744,negative
14.504,negative
1.3878,negative
0.457,negative
77.509,negative
2.072,negative
6.71,negative
4.562,negative
2.0401,negative
27.015,negative
50.8703,negative
26.742,negative
14.756,negative
6.1069,negative
8.6023,negative
17.6368,negative
11.929,negative
12.632,negative
0.0621,negative
17.388,negative
14.5058,negative
17.5095,negative
1.101,negative
7.1147,negative
55.833,negative
16.0875,negative
16.055,negative
1.2147,negative
57.543,negative
52.6428,negative
33.6702,negative
1.7669,negative
11.0181,negative
37.42,negative
26.256,negative
0.7255,negative
11.0853,negative
1.8554,negative
17.1681,negative
8.269,negative
0.0253,negative
2.6075,negative
3.9221,negative
33.034,negative
27.5608,negative
69.277,negative
