At3,At8,At9,At10,Class
2.5434,14.4923,10.615,186.555,negative
2.8868,13.1675,5.097,237.768,negative
3.7751,15.8013,3.227,161.776,negative
3.8949,16.3734,3.7714,260.378,negative
3.2671,12.4317,1.892,213.191,negative
2.4829,9.8037,44.9,207.691,negative
2.7941,-6.915,32.377,140.921,negative
3.0824,-26.1683,3.9746,313.967,negative
2.2201,-8.0678,82.0505,193.769,negative
2.7459,7.9992,1.7038,228.537,negative
2.3793,8.4708,26.3559,147.636,negative
3.2412,-21.7603,31.553,211.97,negative
4.1837,-27.5737,6.1992,265.012,negative
2.8011,-4.6509,7.6914,154.427,negative
2.9015,13.6166,2.926,234.109,negative
2.7466,11.7008,2.8462,51.4993,negative
2.6191,-7.5994,81.6368,229.061,negative
3.2357,16.129,12.616,217.965,negative
2.3324,-7.3445,10.2785,189.48,negative
2.9978,14.2419,12.267,247.114,negative
2.6522,-12.6072,27.835,194.042,negative
2.4065,-9.317,1.7371,227.008,negative
2.8534,5.2607,9.1923,225.515,negative
2.6435,6.56,5.096,185.44,negative
2.1319,0,61.5621,147.73,negative
2.3664,-10.7783,18.354,182.91,negative
2.8561,15.2061,27.297,136.814,negative
2.8065,16.5609,27.621,78.7331,negative
3.0876,8.1078,1.9727,135.037,negative
2.5441,10.0929,1.925,216.048,negative
2.944,-14.7132,0.305,230.713,negative
3.3971,10.205,12.727,107.747,negative
2.6862,8.066,5.2437,215.956,negative
2.2999,8.5655,0.352,209.784,negative
4.1111,25.1406,4.8152,219.069,negative
2.7168,-6.9935,10.304,261.443,negative
3.1281,-11.1654,1.0067,224.491,negative
2.0233,-5.933,56.923,137.98,negative
2.7835,-8.8232,0.137,248.86,negative
2.8618,13.2218,50.0234,38.7816,negative
2.8293,7.5805,3.241,303.714,negative
2.3274,-8.9597,47.8491,218.66,negative
2.2188,10.5095,74.1884,175.677,negative
3.1602,16.2707,17.7108,171.441,negative
3.03,-18.4786,46.1539,15.3696,negative
2.4878,-8.2908,29.5051,135.119,negative
3.0195,-10.9792,34.2372,216.957,negative
2.9834,10.8997,46.43,93.9373,negative
2.3464,3.9635,69.7431,224.031,negative
2.9445,-9.5179,7.615,223.184,negative
2.5653,2.9659,4.6366,192.525,negative
2.7792,-25.3331,29.644,28.8145,negative
2.9287,-12.4757,20.664,140.19,negative
3.1942,8.7702,0.556,220.971,negative
3.3769,-13.6411,4.4376,299.45,negative
2.4955,6.9027,27.604,182.12,negative
2.5735,-6.9374,6.6462,147.737,negative
2.5843,-10.4241,1.818,245.343,negative
3.5469,-13.1964,6.878,273.371,negative
2.6532,7.2235,16.2095,168.025,negative
3.0388,-11.2019,2.8523,201.766,negative
3.1096,8.1977,3.473,243.311,negative
3.1307,21.812,0.402,253.006,negative
3.5386,-25.3392,30.763,280.767,negative
3.1746,8.9821,5.4509,197.243,negative
2.2355,-7.9568,33.5573,164.843,negative
3.0586,19.5228,8.44,270.007,negative
2.5938,-4.5251,53.815,139.193,negative
2.8561,6.2648,7.803,184.216,negative
2.2967,-11.544,75.3948,167.109,negative
2.7906,-17.9763,4.5199,251.386,negative
2.6107,6.0375,6.6995,169.81,negative
2.4556,-10.4173,53.7383,202.139,negative
2.4417,-8.1819,31.4965,163.805,negative
2.4742,2.2896,6.8985,199.944,negative
2.7509,-11.145,1.985,177.428,negative
2.6716,24.28,41.91,127.577,negative
2.6628,8.5211,26.996,165.258,negative
2.2844,5.2467,19.79,217.318,negative
2.8756,4.4207,1.53,245.673,negative
2.2516,-5.4993,40.035,146.03,negative
3.1178,14.7248,33.371,142.269,negative
2.5599,14.5016,35.595,122.94,negative
2.1569,11.6445,88.1516,98.8626,negative
3.5737,14.9922,7.596,171.407,negative
2.635,-10.7571,36.953,190.445,negative
2.9717,-9.3669,5.847,286.639,negative
2.4526,8.1478,45.059,142.487,negative
3.2122,8.9177,8.364,169.123,negative
2.9647,7.6886,6.891,90.7788,negative
3.3537,-19.4233,0.7472,318.342,negative
2.2304,-8.5553,14.8311,207.058,negative
2.5224,12.4547,2.969,131.396,negative
3.0384,-7.9478,7.8488,156.407,negative
2.6915,6.6499,14.233,197.379,negative
2.7427,-14.6917,39.0829,143.347,negative
2.7675,-11.409,31.2269,68.9708,negative
2.2467,10.6172,27.3603,225.093,negative
2.3149,0,0,122.76,negative
2.3838,-5.3397,27.4653,53.5635,negative
2.873,12.6812,1.6985,183.056,negative
3.7285,-12.4444,0.57,286.451,negative
2.9263,-10.3577,3.378,214.16,negative
2.3531,8.7369,1.701,205.635,negative
3.3842,11.0464,0.71,279.442,negative
2.639,-11.9383,20.646,118.458,negative
2.5521,-13.4138,12.24,232.553,negative
2.7271,-10.7728,6.915,93.2392,negative
3.3654,22.0904,4.1635,291.833,negative
2.8048,14.8701,11.287,214.847,negative
2.0233,10.1028,79.5407,164.163,negative
2.7251,-7.0757,24.8586,168.656,negative
2.9609,5.8435,2.4098,168.887,negative
2.8109,-12.3771,48.259,30.8191,negative
3.4718,-10.5164,17.073,93.8376,negative
3.1313,14.3218,6.846,189.616,negative
2.5955,5.8666,8.0075,190.772,negative
2.7882,-8.7772,3.655,188.205,negative
2.6289,9.2649,6.484,182.24,negative
2.7945,6.9349,13.69,166.058,negative
2.2788,-4.8388,45.778,145.226,negative
2.6721,7.5957,29.1324,184.927,negative
2.3502,-10.7083,9.822,228.486,negative
2.4807,-5.3479,42.523,104.52,negative
3.3429,12.2292,7.4414,206.648,negative
2.4464,-11.3148,20.997,130.658,negative
2.3054,3.0192,25.149,174.422,negative
3.0948,-17.7369,2.0919,246.786,negative
2.1414,-3.4053,76.0739,165.641,negative
3.0257,-18.0274,2.3112,119.196,negative
2.4116,5.8806,0.589,371.095,negative
2.5218,-7.8747,8.2969,189.763,negative
3.6018,-12.2202,20.1948,71.4024,negative
3.1733,23.1282,3.4614,178.712,negative
2.2889,-12.0047,37.2132,173.349,negative
2.6693,4.8373,9.402,235.075,negative
2.7348,19.484,4.802,300.163,negative
2.9342,16.8556,3.1218,265.076,negative
3.4072,11.8992,3.4278,222.286,negative
2.4031,-4.6444,50.86,194.863,negative
2.7853,3.5891,89.2231,80.7012,negative
3.2899,-16.7292,2.245,297.823,negative
2.6217,-16.2378,1.7076,211.699,negative
2.6821,11.4315,83.8778,50.7506,negative
2.1414,-5.857,25.643,87.5154,negative
2.8048,14.2476,0.803,295.812,negative
3.9109,18.3796,1.873,230.846,negative
3.5062,-9.7075,1.569,209.056,negative
2.5877,10.6671,20.872,122.622,negative
2.372,10.8811,14.103,92.7215,negative
2.7181,-11.3089,11.762,223.254,negative
2.6794,17.9862,12.8677,225.89,negative
2.9363,-6.9531,7.132,180.522,negative
3.1274,12.3933,11.138,253.993,negative
3.5894,20.895,0.4,261.59,negative
2.968,-15.7731,7.208,107.15,negative
2.8695,-12.9033,11.677,252.365,negative
3.3244,-18.2423,2.129,340.809,negative
2.6946,-9.1995,2.103,154.642,negative
2.5815,14.5851,72.2425,228.28,negative
2.4893,7.5929,47.377,183.708,negative
2.8979,-22.971,5.1606,325.446,negative
2.7864,17.1248,6.11,151.76,negative
2.8497,14.4477,8.217,193.871,negative
3.7026,-10.954,4.1234,171.784,negative
3.0177,9.9684,6.7334,160.596,negative
2.3243,-7.8915,33.8435,94.5324,negative
3.1982,17.8454,3.1693,170.111,negative
2.7396,-4.512,11.679,254.953,negative
2.2162,-11.5795,1.2142,105.064,negative
2.7202,11.951,4.939,238.184,negative
2.2455,-10.2216,7.755,114.905,negative
2.5676,10.863,12.089,149.596,negative
2.4669,-8.5521,16.395,151.372,negative
2.5231,-11.5998,18.82,206.474,negative
3.466,18.1939,2.3084,270.704,negative
2.4175,-10.0969,71.066,65.1353,negative
2.9398,-13.7127,11.1868,196.59,negative
2.7657,-11.0293,5.4609,182.494,negative
3.3093,-18.7429,1.6058,147.6,negative
2.4822,-9.6919,14.71,170.615,negative
2.7202,10.0655,21.329,66.8513,negative
2.243,10.2052,26.831,126.2,negative
2.6862,-16.0947,25.431,30.4329,negative
3.3192,14.111,3.902,256.658,negative
3.5405,15.0871,4.2311,202.542,negative
2.2253,-4.5491,0.0648,129.373,negative
3.1159,-5.0981,11.3154,177.42,negative
2.4616,-6.6409,7.923,220.319,negative
2.7316,-0.9389,49.1483,67.7852,negative
2.2304,2.7477,81.0899,211.998,negative
2.7447,-23.4385,13.269,277.779,negative
2.634,-8.6566,60.493,185.734,negative
2.7404,10.0353,28.521,220.166,negative
2.2529,9.4599,32.6097,185.545,negative
2.7263,-11.2782,3.3162,187.61,negative
2.4057,-10.1223,81.2274,168.833,negative
2.6196,9.1943,8.977,173.972,negative
2.5993,11.3766,10.6245,196.962,negative
2.3598,6.8677,84.2593,185.565,negative
2.9001,15.8403,9.654,232.656,negative
2.882,9.745,4.1367,213.389,negative
2.772,24.6676,16.194,237.432,negative
2.4997,-13.7075,39.4624,212.326,negative
3.1828,-19.9625,1.562,321.541,negative
2.5599,-9.5372,13.7301,112.276,negative
2.6243,11.7229,36.077,194.115,negative
2.8264,11.1788,10.721,162.78,negative
3.2844,-13.0111,13.913,131.992,negative
2.437,-9.4669,68.6674,100.45,negative
3.2456,2.3756,6.986,243.888,negative
3.5361,-17.2875,1.8811,206.842,negative
3.4649,-11.0191,1.6851,267.36,negative
4.3237,-23.9498,0.624,244.643,negative
3.0222,16.9388,4.075,94.4528,negative
2.1688,10.5907,45.6611,217.134,negative
3.2007,9.9968,5.4306,233.588,negative
2.9251,-11.3574,9.3666,153.897,negative
2.5557,-7.4207,0.47,198.596,negative
2.6258,12.28,29.603,135.206,negative
2.8238,-5.8822,0.1899,177.974,negative
2.7716,7.8238,15.834,256.048,negative
2.6556,-11.7582,66.0281,57.7037,negative
2.5126,-7.7522,29.307,97.1445,negative
2.4829,-9.1849,10.7626,124.56,negative
2.9664,10.6782,13.9446,204.926,negative
2.7574,7.7899,73.9247,122.613,negative
3.2033,-11.9541,8.519,245.152,negative
3.0052,6.2066,8.877,98.7117,negative
2.8041,-9.8638,3.952,148.485,negative
3.146,-4.8554,6.527,154.146,negative
3.6856,10.4241,0.8794,230.344,negative
3.1065,11.3817,1.2137,167.026,negative
2.2504,5.3486,40.0799,206.442,negative
2.4281,10.5502,21.8327,202.634,negative
2.6871,-9.4979,5.231,151.136,negative
2.5484,-12.3432,4.661,192.529,negative
2.9206,-13.6362,2.447,264.805,negative
2.9763,-7.5246,2.621,180.709,negative
2.6248,-13.2124,31.983,132.292,negative
3.2348,-17.264,13.181,130.225,negative
2.9827,10.6866,27.914,96.3967,negative
3.233,-10.7477,19.558,201.848,negative
3.4757,-17.0144,2.8019,335.801,negative
3.0257,-18.7103,7.341,162.335,negative
4.0896,22.9415,1.024,192.106,negative
3.2331,-13.6954,25.6015,78.4666,negative
3.058,-13.4637,16.169,234.602,negative
2.78,-9.4908,56.0565,197.445,negative
2.3149,-9.6018,38.1314,162.358,negative
2.9834,11.7761,0.226,132.719,negative
2.8454,11.334,1.228,171.96,negative
3.0837,-12.0952,6.845,263.348,negative
3.0101,-20.6375,2.1522,329.579,negative
2.5933,-7.8032,14.19,107.513,negative
3.9713,-29.1995,1.9921,346.239,negative
2.4031,3.5509,23.3338,76.7357,negative
2.4928,6.3908,23.425,184.21,negative
2.5752,-3.8536,6.518,242.106,negative
2.5658,-8.1753,1.3937,210.866,negative
2.5145,-5.5475,0.638,145.696,negative
2.4433,-6.9568,18.419,192.16,negative
3.7987,14.2353,2.712,218.662,negative
2.3096,10.9604,79.4844,161.749,negative
2.3324,9.9813,17.929,53.4503,negative
2.1945,2.9172,42.315,135.144,negative
2.932,6.6446,1.129,198.882,negative
2.9868,23.0827,17.724,277.313,negative
2.4281,9.8976,17.2732,157.231,negative
3.5292,18.8744,6.2195,285.997,negative
3.0245,15.9629,3.713,262.058,negative
2.4456,5.4537,1.9639,187.887,negative
2.1055,11.1393,4.176,200.477,negative
2.4141,4.8509,78.748,169.005,negative
2.2055,11.5805,17.4488,116.823,negative
2.6107,10.4323,3.5355,226.558,negative
2.2516,-7.2618,31.8219,175.094,negative
3.0874,16.3129,14.573,305.318,negative
3.3217,22.2258,2.984,319.867,negative
2.1156,-10.4481,32.0404,203.513,negative
2.3918,-8.0259,65.011,65.8902,negative
3.6211,-8.1588,0.1081,383.599,negative
2.7243,-9.0885,6.93,173.789,negative
2.4698,-3.6981,19.724,228.153,negative
2.9172,13.6138,1.087,169.837,negative
2.9368,19.037,19.977,118.517,negative
2.5821,-11.5562,17.831,186.169,negative
3.0253,14.6913,8.6575,211.858,negative
2.8698,-15.0672,82.8799,83.9734,negative
2.3883,-11.02,68.464,158.83,negative
3.5485,-8.6471,0.2763,237.781,negative
3.9639,-15.8098,0.6696,254.693,negative
2.971,-18.6999,5.3847,256.118,negative
2.7189,9.545,4.5898,282.387,negative
3.5981,-19.4972,0.794,273.901,negative
2.0986,-4.8491,8.5814,133.457,negative
2.081,-11.4327,56.521,182.309,negative
3.2177,-12.2948,5.7152,212.955,negative
2.8264,-9.8419,14.53,215.223,negative
3.7411,19.7623,4.122,364.982,negative
2.3454,-10.2571,35.625,43.7536,negative
2.667,7.7843,7.608,170.48,negative
2.7619,8.4213,7.1441,137.348,negative
2.3579,2.6727,8.5878,141.871,negative
2.6959,-9.913,8.7515,215.707,negative
2.5308,13.6102,8.526,217.377,negative
2.4871,11.9746,47.9304,128.131,negative
3.1594,10.4483,1.0148,69.6275,negative
2.2989,4.3863,54.2205,223.327,negative
2.5539,4.5104,20.8407,171.033,negative
2.541,-15.8225,78.773,140.182,negative
3.972,-22.4139,1.2669,349.885,negative
2.6493,-13.7786,2.073,180.333,negative
2.2553,4.9075,56.4005,142.859,negative
2.1833,3.8834,33.97,252.016,negative
3.7827,20.7582,2.5821,332.585,negative
3.5604,11.1907,5.9931,219.884,negative
2.7275,-5.2842,5.308,254.139,negative
2.6959,-9.4184,0.125,210.714,negative
2.9472,19.2442,69.094,94.9161,negative
2.3838,-3.9695,37.287,230.014,negative
2.3483,-1.8324,12.938,134.474,negative
2.7033,5.16,0.2976,248.599,negative
2.1222,0,2e-04,118.189,negative
3.0927,-5.7971,3.4724,217.62,negative
2.7694,9.2888,4.4274,191.113,negative
3.444,19.3974,0.533,295.65,negative
2.4099,-10.5491,0.3082,262.888,negative
2.8132,-5.4943,8.2676,142.795,negative
2.3829,9.4186,35.2698,165.139,negative
2.5051,5.2721,21.817,141.462,negative
3.6898,14.4934,0.123,340.839,negative
2.8379,-5.9572,5.173,233.504,negative
2.3655,8.9212,24.262,222.838,negative
3.5029,-18.0331,2.957,310.397,negative
2.1222,4.2152,74.6152,179.885,negative
2.86,-2.6712,0.4341,197.124,negative
2.5682,-14.7233,48.5567,228.125,negative
3.6294,-6.9685,5.254,283.419,negative
2.6794,18.9498,18.65,77.5384,negative
2.3551,-6.7637,8.3828,179.516,negative
2.4191,10.5847,46.9567,97.3209,negative
2.4249,-9.2264,5.932,159.226,negative
2.3784,-4.0712,20.643,128.14,negative
3.4348,-22.0443,9.0346,210.203,negative
2.4362,10.3602,23.367,197.529,negative
2.2742,11.3888,30.652,125.416,negative
2.9883,12.0407,8.191,215.527,negative
3.4283,-10.1769,8.2377,233.607,negative
2.5587,-5.6478,23.721,118.679,negative
4.1613,-29.6453,3.2764,264.476,negative
2.7551,-16.013,6.166,309.411,negative
3.3116,13.8125,0.6261,213.416,negative
3.4713,58.148,22.529,277.398,negative
2.5653,4.5179,21.073,99.2327,negative
2.3589,-10.408,29.7652,177.847,negative
2.6405,4.5488,20.1575,159.01,negative
2.8663,6.632,7.136,217.28,negative
2.6212,-11.1086,21.0958,158.988,negative
2.6942,8.7423,5.153,174.052,negative
2.2577,-4.1332,19.4594,76.6494,negative
2.4914,7.1181,30.148,99.3175,negative
3.1154,11.8901,8.293,230.3,negative
2.2014,-9.4155,6.251,155.282,negative
2.1477,11.4311,29.7285,172.714,negative
2.9763,-10.1393,10.4919,209.684,negative
2.2175,-10.7838,0.572,162.121,negative
2.8159,11.2755,10.1148,237.736,negative
3.0746,-13.6801,9.437,229.416,negative
2.5735,-9.7642,15.71,76.5837,negative
2.4571,5.7761,6.437,161.127,negative
2.6702,-10.1084,5.8315,194.634,negative
2.9183,18.4333,0.619,113.551,negative
2.07,6.0936,53.587,43.9599,negative
3.2249,-21.6704,1.5388,408.453,negative
2.634,8.3743,2.8508,277.881,negative
3.9738,31.2204,5.931,254.744,negative
2.3531,16.9149,10.9465,242.224,negative
2.5283,-9.7801,7.067,226.629,negative
2.0512,1e-04,77.229,79.9193,negative
2.2923,-5.4483,11.5884,209.775,negative
2.73,7.3276,3.9659,203.657,negative
2.567,-4.5372,27.8917,181.831,negative
2.7392,-8.7253,2.0311,175.065,negative
2.4116,10.5489,33.041,44.4753,negative
2.6556,7.689,4.752,94.0805,negative
2.6232,-8.2808,11.7582,138.647,negative
2.7271,9.2319,20.244,87.6333,negative
2.9292,17.5967,0.875,317.562,negative
3.1074,17.2717,1.357,258.131,negative
3.1173,-12.9796,5.16,324.141,negative
3.2367,-6.1278,1.57,243.295,negative
2.617,19.8442,37.1267,127.82,negative
2.6253,-2.2054,8.782,182.141,negative
2.3627,10.7756,20.6196,96.7668,negative
2.3541,-0.9055,9.3744,180.579,negative
2.0065,11.0509,5.88,171.3,negative
3.5263,-20.9311,14.1164,204.233,negative
2.7288,8.1883,4.412,146.661,negative
2.48,4.161,11.235,159.082,negative
3.0092,12.1553,1.8934,236.85,negative
2.5205,-6.1091,9.697,299.406,negative
2.3253,9.0712,4.575,107.02,negative
2.608,-13.8577,16.232,84.9105,negative
2.3212,8.0624,15.7217,170.12,negative
2.3385,8.4352,77.7643,149.374,negative
2.1287,-5.4224,17.9072,137.714,negative
3.3687,14.7941,6.423,314.41,negative
2.5334,-14.1437,11.74,161.406,negative
2.3054,2.9013,9.438,179.16,negative
2.5434,-14.6188,5.736,148.227,negative
2.4005,6.042,12.5354,166.636,negative
2.5152,13.9186,14.4579,113.943,negative
2.0881,-4.8478,29.2598,236.766,negative
3.1956,8.8946,4.4386,138.361,negative
3.2369,-15.5018,19.89,237.713,negative
2.3909,1.8099,37.7264,178.868,negative
2.5257,15.8738,44.407,198.768,negative
2.2999,-6.1496,62.18,203.754,negative
4.3035,35.7266,1.102,275.318,negative
2.9859,-8.8212,47.392,198.364,negative
2.6522,31.5966,54.509,175.194,negative
3.3015,-17.3517,2.379,234.512,negative
2.7555,5.4596,3.597,255.342,negative
2.5871,-2.9455,27.593,190.35,negative
2.8918,12.6148,6.3982,288.958,negative
2.5179,8.841,10.1102,76.8999,negative
2.1732,10.7376,14.4397,172.572,negative
3.6494,50.38,1.7505,279.018,negative
2.5775,-7.3121,6.219,180.699,negative
3.2262,20.9731,10.685,84.5853,negative
2.8293,-15.5974,10.9128,199.445,negative
2.9365,-31.5711,10.159,305.255,negative
2.1629,-10.8913,81.1385,168.663,negative
2.4969,7.4016,1.5977,145.424,negative
2.8132,17.6662,7.4795,146.09,negative
2.7427,7.6861,9.4384,221.48,negative
3.654,-21.2811,2.762,288.565,negative
2.94,-8.7971,27.4184,155.091,negative
2.1945,11.7594,76.331,189.484,negative
2.7243,9.6898,10.5513,103.707,negative
2.7903,-13.8596,1.9542,104.142,negative
2.5296,8.3678,17.533,173.458,negative
2.2,16.4525,47.7751,154.638,negative
2.5521,-6.9135,6.6964,132.384,negative
3.5863,-18.1384,6.999,228.298,negative
2.7987,11.3887,8.988,211.217,negative
2.5617,12.1541,0.6027,229.513,negative
3.3922,-8.7009,0.468,215.892,negative
2.5682,-8.967,8.767,119.08,negative
3.1534,14.3961,3.628,285.788,negative
2.9759,-7.5508,7.0604,170.414,negative
3.1984,-14.3242,18.082,108.385,negative
