Day_Mins,Day_Charge,Eve_Mins,Eve_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
268.6,45.66,178.2,15.15,11.6,3.13,2,negative
193.7,32.93,246.1,20.92,14.6,3.94,2,negative
180.7,30.72,187.8,15.96,12.6,3.4,3,negative
131.2,22.3,162.9,13.85,8.2,2.21,2,negative
148.1,25.18,169.5,14.41,6.2,1.67,2,negative
251.5,42.76,212.8,18.09,9.3,2.51,0,negative
125.2,21.28,206.4,17.54,8.3,2.24,0,negative
211.6,35.97,216.9,18.44,7.8,2.11,1,negative
178.9,30.41,169.1,14.37,13.8,3.73,4,positive
241.8,41.11,170.5,14.49,11.8,3.19,3,negative
224.9,38.23,188.2,16,12.1,3.27,0,negative
248.6,42.26,148.9,12.66,8,2.16,3,negative
203.4,34.58,226.7,19.27,7.3,1.97,1,negative
235.8,40.09,157.2,13.36,12,3.24,0,negative
157.1,26.71,223.3,18.98,6.1,1.65,1,negative
300.3,51.05,181,15.39,11.7,3.16,0,positive
61.6,10.47,77.1,6.55,8.2,2.21,4,positive
214.1,36.4,164.4,13.97,8.2,2.21,2,negative
170.2,28.93,155.2,13.19,15,4.05,1,negative
201.1,34.19,303.5,25.8,13.2,3.56,1,negative
215.4,36.62,204.8,17.41,12.6,3.4,3,negative
165.6,28.15,136.1,11.57,11,2.97,3,negative
249.5,42.42,259.7,22.07,9.8,2.65,1,negative
210.6,35.8,249.2,21.18,12.4,3.35,2,positive
179.3,30.48,225.9,19.2,8.6,2.32,0,negative
157.9,26.84,155,13.18,8,2.16,4,positive
214.3,36.43,208.5,17.72,12,3.24,1,negative
154.1,26.2,123.4,10.49,10.9,2.94,2,negative
237.9,40.44,247.6,21.05,13.9,3.75,1,positive
143.9,24.46,194.9,16.57,11.1,3,1,negative
203.4,34.58,190.9,16.23,8.9,2.4,0,positive
124.3,21.13,173,14.71,7.9,2.13,1,negative
252.9,42.99,178.4,15.16,9.5,2.57,3,negative
179.1,30.45,190.6,16.2,10.6,2.86,3,negative
278.4,47.33,81,6.89,9.8,2.65,1,negative
160.1,27.22,213.3,18.13,13,3.51,0,negative
198.2,33.69,207.3,17.62,8.7,2.35,4,negative
212.1,36.06,209.4,17.8,5.3,1.43,1,positive
251.8,42.81,205.7,17.48,9.8,2.65,2,positive
161.2,27.4,252.2,21.44,4.4,1.19,4,negative
178.3,30.31,189,16.07,14.6,3.94,0,negative
151.7,25.79,119,10.12,10.5,2.84,0,negative
135,22.95,183.6,15.61,12.5,3.38,1,negative
170.5,28.99,173.7,14.76,11.3,3.05,1,negative
238.1,40.48,187.2,15.91,11.8,3.19,4,negative
281.4,47.84,202.2,17.19,9,2.43,2,negative
117.9,20.04,164.5,13.98,9.8,2.65,1,negative
148.6,25.26,131.1,11.14,10.1,2.73,1,negative
229.8,39.07,147.9,12.57,9.6,2.59,3,negative
165,28.05,317.2,26.96,8.3,2.24,1,negative
185,31.45,223.3,18.98,12.6,3.4,2,negative
161,27.37,190.9,16.23,12.1,3.27,4,negative
126.7,21.54,206,17.51,13.3,3.59,1,negative
58.9,10.01,169.6,14.42,9.4,2.54,1,negative
196.8,33.46,254.9,21.67,20,5.4,0,positive
162.6,27.64,152.3,12.95,14.2,3.83,1,negative
282.5,48.03,219.9,18.69,9.4,2.54,1,positive
113.7,19.33,157.5,13.39,10,2.7,2,negative
239.8,40.77,214.8,18.26,8.7,2.35,2,negative
210.2,35.73,227.3,19.32,13.1,3.54,1,negative
213.8,36.35,141.8,12.05,7.2,1.94,0,negative
190.7,32.42,183.5,15.6,9.8,2.65,3,negative
170.9,29.05,132.3,11.25,11.6,3.13,1,negative
154.2,26.21,110.2,9.37,9.2,2.48,2,negative
201.4,34.24,229.4,19.5,12,3.24,1,negative
70.7,12.02,157.5,13.39,9.1,2.46,4,positive
187.5,31.88,146.6,12.46,6.4,1.73,4,positive
91.7,15.59,193.7,16.46,9.2,2.48,2,negative
214.2,36.41,161.7,13.74,9.5,2.57,3,negative
145.5,24.74,217.7,18.5,10.9,2.94,3,negative
166.3,28.27,158.2,13.45,6.1,1.65,1,negative
231,39.27,230.4,19.58,9.5,2.57,1,negative
200.3,34.05,201.2,17.1,7.1,1.92,4,negative
197,33.49,202.6,17.22,9.1,2.46,1,negative
129.9,22.08,173.3,14.73,11.2,3.02,3,negative
175.8,29.89,217.5,18.49,5.3,1.43,5,negative
203.1,34.53,210.1,17.86,12,3.24,3,negative
183.2,31.14,126.8,10.78,11.2,3.02,1,negative
205,34.85,152,12.92,10.2,2.75,2,negative
148.5,25.25,276.4,23.49,12.4,3.35,1,negative
200.3,34.05,220.4,18.73,10.5,2.84,0,negative
192.6,32.74,195.5,16.62,6.8,1.84,3,negative
246.5,41.91,195.5,16.62,11.7,3.16,1,negative
167.1,28.41,177.5,15.09,14.1,3.81,2,positive
231.9,39.42,160.1,13.61,14.3,3.86,3,negative
146.7,24.94,203.5,17.3,13.7,3.7,1,negative
271.5,46.16,216.3,18.39,11.7,3.16,1,negative
181.5,30.86,218.4,18.56,8.5,2.3,1,negative
257.7,43.81,162.1,13.78,11.1,3,2,negative
193.8,32.95,221.4,18.82,10.6,2.86,1,negative
102.8,17.48,206.7,17.57,10.1,2.73,1,negative
187.9,31.94,157.6,13.4,7.5,2.03,1,negative
226,38.42,248.5,21.12,6.9,1.86,1,negative
260.4,44.27,146,12.41,11.5,3.11,5,negative
178.7,30.38,292.1,24.83,9.8,2.65,0,negative
337.4,57.36,227.4,19.33,15.8,4.27,0,positive
157.6,26.79,247,21,13.7,3.7,0,negative
183.6,31.21,256.7,21.82,10.2,2.75,1,negative
142.1,24.16,183.4,15.59,9.6,2.59,1,negative
136.3,23.17,172.2,14.64,7.1,1.92,0,negative
217.1,36.91,241.5,20.53,12,3.24,0,negative
187.5,31.88,241.4,20.52,10.5,2.84,3,negative
98.9,16.81,135.4,11.51,12.2,3.29,1,negative
206.3,35.07,148.6,12.63,6.1,1.65,1,negative
243.1,41.33,213.8,18.17,12.1,3.27,2,negative
189.8,32.27,163.3,13.88,7.5,2.03,1,negative
202,34.34,243.2,20.67,10.9,2.94,1,negative
170.1,28.92,193.3,16.43,12.8,3.46,1,negative
230.9,39.25,187.4,15.93,6.3,1.7,0,negative
237.1,40.31,223.5,19,13.2,3.56,1,negative
182.1,30.96,169.7,14.42,10.6,2.86,2,negative
119.3,20.28,211.5,17.98,10.5,2.84,3,negative
116.8,19.86,178.9,15.21,14.1,3.81,1,negative
219.2,37.26,149.4,12.7,6.1,1.65,0,negative
252.6,42.94,169,14.37,11.1,3,2,negative
147.1,25.01,190.4,16.18,12.2,3.29,0,negative
202.1,34.36,229.4,19.5,11.5,3.11,2,negative
173.5,29.5,194.1,16.5,16.2,4.37,3,negative
232.1,39.46,292.3,24.85,0,0,3,negative
197.1,33.51,214.5,18.23,9.5,2.57,4,negative
58.2,9.89,138.7,11.79,11.9,3.21,5,positive
115.6,19.65,237.7,20.2,9.9,2.67,2,negative
186.1,31.64,254.3,21.62,14.6,3.94,2,negative
259.9,44.18,245,20.83,8.4,2.27,3,negative
214.3,36.43,268.5,22.82,10.8,2.92,1,negative
158.7,26.98,64.3,5.47,10.2,2.75,1,negative
271.6,46.17,229.4,19.5,10.9,2.94,2,negative
160.6,27.3,163.2,13.87,9,2.43,1,negative
232.4,39.51,187.4,15.93,9.1,2.46,1,negative
133.8,22.75,180.5,15.34,8.9,2.4,0,negative
176.9,30.07,90.7,7.71,9.5,2.57,1,negative
209.9,35.68,195.1,16.58,8.8,2.38,2,negative
137.5,23.38,203.2,17.27,13.4,3.62,0,negative
289.5,49.22,166.6,14.16,9.5,2.57,1,negative
198.1,33.68,177,15.05,6.8,1.84,1,negative
149.7,25.45,182.2,15.49,9.7,2.62,0,negative
326.5,55.51,176.3,14.99,10.7,2.89,2,positive
292.9,49.79,199.7,16.97,13.8,3.73,4,positive
83,14.11,177,15.05,13,3.51,0,negative
145.7,24.77,220.5,18.74,13.1,3.54,3,negative
182.3,30.99,328.2,27.9,11.2,3.02,2,negative
218,37.06,184,15.64,6.4,1.73,3,negative
140.6,23.9,178.6,15.18,6.8,1.84,2,negative
152.7,25.96,257.5,21.89,9.4,2.54,1,negative
106.7,18.14,209.8,17.83,12.1,3.27,1,negative
243.8,41.45,83.9,7.13,13.7,3.7,2,negative
194.4,33.05,186.7,15.87,10.8,2.92,3,negative
213.9,36.36,151.9,12.91,12.2,3.29,3,negative
217.2,36.92,246.7,20.97,15.8,4.27,3,negative
241.1,40.99,155.6,13.23,11.6,3.13,1,negative
203.5,34.6,247.6,21.05,11.9,3.21,0,negative
155.2,26.38,244.5,20.78,10.7,2.89,1,negative
167.6,28.49,113,9.61,12.2,3.29,1,negative
226.7,38.54,228.1,19.39,17.6,4.75,2,positive
179.3,30.48,178.6,15.18,11.5,3.11,3,negative
151.4,25.74,186.4,15.84,10.9,2.94,0,negative
180,30.6,224.2,19.06,4.7,1.27,3,negative
250.2,42.53,267.1,22.7,13,3.51,1,positive
223,37.91,110.1,9.36,7.1,1.92,0,negative
183.6,31.21,152.6,12.97,12.2,3.29,3,negative
166,28.22,174.5,14.83,10.2,2.75,1,negative
136.1,23.14,272.9,23.2,4.4,1.19,1,negative
149.3,25.38,242.2,20.59,8.9,2.4,2,negative
65.4,11.12,168.2,14.3,13.8,3.73,2,negative
213.4,36.28,234.5,19.93,2.7,0.73,1,negative
206.9,35.17,244.7,20.8,7.7,2.08,3,negative
186.2,31.65,189.6,16.12,9.6,2.59,2,negative
280.2,47.63,220.5,18.74,13.3,3.59,4,negative
196.6,33.42,313.2,26.62,11.9,3.21,0,negative
312,53.04,129.4,11,10.5,2.84,0,positive
199,33.83,291.3,24.76,11,2.97,1,negative
203.1,34.53,217,18.45,13.5,3.65,3,negative
168.8,28.7,220.3,18.73,10.9,2.94,0,negative
173.1,29.43,240.3,20.43,9,2.43,1,negative
134.4,22.85,211.3,17.96,10.2,2.75,5,positive
202.6,34.44,118.8,10.1,9,2.43,2,negative
74.5,12.67,200.8,17.07,9.8,2.65,3,negative
83.6,14.21,120.9,10.28,10.7,2.89,0,negative
192.2,32.67,168.6,14.33,9.4,2.54,1,negative
220.2,37.43,88.3,7.51,12.9,3.48,0,negative
135.1,22.97,134.1,11.4,12.3,3.32,2,positive
253.4,43.08,182.4,15.5,8.4,2.27,1,negative
225,38.25,176.9,15.04,7.1,1.92,3,negative
198.5,33.75,267.8,22.76,9.4,2.54,0,positive
110.3,18.75,166.5,14.15,9.5,2.57,0,negative
60,10.2,102.2,8.69,11.1,3,0,negative
214.8,36.52,149.7,12.72,10.2,2.75,0,negative
181.8,30.91,202.4,17.2,9.2,2.48,4,negative
154,26.18,278,23.63,11.8,3.19,2,negative
157.4,26.76,117.9,10.02,13.9,3.75,4,positive
207.9,35.34,172,14.62,14.4,3.89,4,negative
207,35.19,232.9,19.8,9.1,2.46,3,negative
119,20.23,230,19.55,9.5,2.57,0,negative
143.7,24.43,273,23.21,10.9,2.94,0,negative
165.9,28.2,216.5,18.4,14.1,3.81,4,negative
138.6,23.56,172.3,14.65,9.8,2.65,1,negative
84.7,14.4,249.9,21.24,14.5,3.92,1,negative
62.6,10.64,180.6,15.35,10.4,2.81,1,positive
155.2,26.38,235.3,20,8.7,2.35,1,negative
164.9,28.03,209.3,17.79,6.7,1.81,1,negative
134.5,22.87,143.1,12.16,15.4,4.16,1,negative
143.3,24.36,211.3,17.96,11.5,3.11,1,negative
168.3,28.61,221.2,18.8,12.5,3.38,1,negative
262.4,44.61,194.6,16.54,8.3,2.24,2,negative
206.2,35.05,260,22.1,11.4,3.08,1,negative
225.8,38.39,193,16.41,8.4,2.27,4,negative
138.3,23.51,170.5,14.49,13.5,3.65,3,negative
94.4,16.05,136.2,11.58,4.5,1.22,0,negative
160,27.2,175.4,14.91,9.9,2.67,2,negative
206.6,35.12,224.9,19.12,14.6,3.94,0,negative
134.7,22.9,180,15.3,7.7,2.08,1,negative
214.4,36.45,235.2,19.99,8,2.16,3,negative
192.8,32.78,234.4,19.92,13,3.51,3,negative
151.1,25.69,194.8,16.56,10,2.7,1,negative
221.4,37.64,231.8,19.7,9.8,2.65,3,negative
218.9,37.21,208,17.68,11.1,3,0,negative
189.8,32.27,123.4,10.49,6.5,1.76,2,positive
192.7,32.76,225.9,19.2,10.9,2.94,2,negative
204.4,34.75,219.1,18.62,10.5,2.84,3,negative
172.3,29.29,174,14.79,13,3.51,2,negative
198.4,33.73,210.9,17.93,10.4,2.81,2,negative
211.7,35.99,159.9,13.59,12.2,3.29,1,negative
221.6,37.67,288.4,24.51,9,2.43,1,negative
197.9,33.64,181.5,15.43,6.7,1.81,3,negative
147.5,25.08,175.7,14.93,15.6,4.21,2,negative
206.4,35.09,128,10.88,8.8,2.38,2,negative
205.9,35,209.3,17.79,14.5,3.92,2,negative
207.6,35.29,132.4,11.25,14.1,3.81,0,negative
303.9,51.66,260.9,22.18,5.3,1.43,1,positive
230.6,39.2,219.4,18.65,8,2.16,0,negative
99.5,16.92,129.1,10.97,9.7,2.62,0,negative
177.1,30.11,194,16.49,5.9,1.59,1,negative
172.7,29.36,120.1,10.21,10.3,2.78,5,positive
172.7,29.36,133.4,11.34,9.8,2.65,1,negative
204.2,34.71,179.9,15.29,9.5,2.57,1,negative
85.7,14.57,247.7,21.05,10.1,2.73,2,negative
157.6,26.79,184.3,15.67,11.9,3.21,0,negative
215.5,36.64,218.7,18.59,6.6,1.78,4,negative
181.5,30.86,199.9,16.99,6.6,1.78,1,negative
171.7,29.19,110.4,9.38,11.9,3.21,2,negative
266.6,45.32,264.8,22.51,5.9,1.59,1,positive
170.4,28.97,350.5,29.79,11.2,3.02,0,positive
158,26.86,292.5,24.86,9.1,2.46,1,negative
92,15.64,253.6,21.56,10.3,2.78,1,negative
234,39.78,249.5,21.21,9.1,2.46,2,negative
272.1,46.26,268.5,22.82,8.5,2.3,1,positive
296.4,50.39,214.8,18.26,11.4,3.08,4,positive
194.4,33.05,190.3,16.18,11.4,3.08,0,negative
227.2,38.62,258.4,21.96,8.9,2.4,3,negative
248.7,42.28,220,18.7,13.2,3.56,1,positive
236.3,40.17,195.9,16.65,9.7,2.62,1,negative
205.6,34.95,169.5,14.41,10.9,2.94,0,negative
94.1,16,280.3,23.83,9.8,2.65,0,negative
125.2,21.28,205.4,17.46,18.9,5.1,0,negative
60.4,10.27,306.2,26.03,12.4,3.35,1,negative
121,20.57,270.4,22.98,7.7,2.08,2,negative
117.8,20.03,256.8,21.83,7.6,2.05,3,negative
232.4,39.51,211.9,18.01,5,1.35,3,negative
223.5,38,188.8,16.05,9.4,2.54,2,positive
176.3,29.97,259.2,22.03,6.2,1.67,0,negative
125.2,21.28,177.8,15.11,12.9,3.48,1,negative
138.7,23.58,256.9,21.84,10,2.7,0,negative
86.3,14.67,246.6,20.96,11.3,3.05,1,negative
207,35.19,154.9,13.17,13.4,3.62,3,negative
58.8,10,219.5,18.66,7.1,1.92,0,negative
68.7,11.68,209.2,17.78,11.4,3.08,1,negative
239.2,40.66,235.5,20.02,9.5,2.57,1,negative
198.3,33.71,217.1,18.45,12.5,3.38,0,negative
205.2,34.88,240.6,20.45,14.4,3.89,0,negative
192.1,32.66,312.9,26.6,7.9,2.13,3,negative
272.6,46.34,248.7,21.14,9.5,2.57,1,positive
128.3,21.81,197.1,16.75,12.2,3.29,7,positive
169.6,28.83,264.1,22.45,9.3,2.51,0,negative
201.3,34.22,152.8,12.99,7.5,2.03,1,negative
214.7,36.5,138.5,11.77,8.6,2.32,1,negative
169.2,28.76,271.5,23.08,10.6,2.86,0,negative
194.1,33,176.6,15.01,7,1.89,2,negative
233.8,39.75,266.5,22.65,7.6,2.05,2,negative
225.1,38.27,199.2,16.93,14.6,3.94,0,negative
213,36.21,176.6,15.01,9.1,2.46,1,positive
183.9,31.26,255.9,21.75,10.8,2.92,1,negative
221.8,37.71,161.7,13.74,14,3.78,0,negative
64.6,10.98,176.1,14.97,0,0,2,negative
154.6,26.28,83.4,7.09,13.3,3.59,1,negative
260.2,44.23,179.2,15.23,7.2,1.94,3,negative
161.6,27.47,123,10.46,12.2,3.29,1,negative
220.6,37.5,155.2,13.19,10.5,2.84,1,negative
155.9,26.5,162.3,13.8,13.1,3.54,3,negative
107,18.19,105.7,8.98,12.8,3.46,4,positive
182.5,31.03,204.7,17.4,11.3,3.05,4,negative
220.1,37.42,234.3,19.92,10.1,2.73,4,negative
152.2,25.87,177.2,15.06,5.3,1.43,1,negative
181.5,30.86,205.1,17.43,14.7,3.97,2,negative
236.2,40.15,218.6,18.58,13.2,3.56,2,positive
166.1,28.24,79.3,6.74,12.7,3.43,1,negative
244.6,41.58,188.8,16.05,11.3,3.05,1,negative
134.2,22.81,227.3,19.32,8.5,2.3,2,negative
149.7,25.45,211.1,17.94,9.2,2.48,1,negative
150.1,25.52,264.7,22.5,5.8,1.57,1,negative
257.1,43.71,312.2,26.54,8.8,2.38,1,positive
124.4,21.15,179.7,15.27,11.3,3.05,0,negative
141.7,24.09,232.3,19.75,12,3.24,1,negative
230,39.1,103.2,8.77,11.3,3.05,2,negative
162.3,27.59,213.7,18.16,10.9,2.94,0,negative
350.8,59.64,216.5,18.4,10.1,2.73,1,positive
193.3,32.86,264.1,22.45,9.1,2.46,4,negative
78.2,13.29,253.4,21.54,18,4.86,1,negative
83.4,14.18,232.2,19.74,7.6,2.05,1,negative
195.6,33.25,267.8,22.76,16,4.32,0,negative
201.8,34.31,225,19.13,10.3,2.78,1,negative
197,33.49,222.8,18.94,10.6,2.86,2,negative
218,37.06,114.4,9.72,12.4,3.35,0,positive
164.8,28.02,229.9,19.54,14.8,4,2,negative
179.2,30.46,210.7,17.91,9.2,2.48,2,negative
214,36.38,180,15.3,10.6,2.86,0,negative
170.5,28.99,118.2,10.05,11.2,3.02,2,negative
205.7,34.97,214.5,18.23,6.7,1.81,1,negative
165.5,28.14,286.2,24.33,11.5,3.11,1,positive
221,37.57,160.7,13.66,6.8,1.84,2,negative
242.1,41.16,191,16.24,14.7,3.97,3,negative
151.6,25.77,155.4,13.21,14.7,3.97,1,negative
176.2,29.95,145,12.33,5.7,1.54,0,negative
196,33.32,322.7,27.43,3.7,1,1,negative
159.5,27.12,247.1,21,7.2,1.94,2,negative
230.2,39.13,220.4,18.73,10.7,2.89,4,negative
146.7,24.94,274,23.29,8.9,2.4,3,negative
210.5,35.79,204.5,17.38,8.5,2.3,1,negative
102,17.34,270.2,22.97,10.7,2.89,1,negative
126,21.42,238.5,20.27,10.2,2.75,3,negative
168.4,28.63,243.8,20.72,11.1,3,1,negative
105.6,17.95,258.2,21.95,8.7,2.35,0,negative
206.5,35.11,176.2,14.98,12.4,3.35,5,negative
217.1,36.91,205.2,17.44,9.4,2.54,2,negative
229.6,39.03,205.7,17.48,10.8,2.92,0,positive
278.3,47.31,93.4,7.94,9.7,2.62,0,negative
138.6,23.56,199,16.92,7.8,2.11,0,negative
234.4,39.85,279.3,23.74,2,0.54,1,positive
181.5,30.86,130.7,11.11,8.5,2.3,1,negative
167.3,28.44,230,19.55,10.6,2.86,1,positive
121,20.57,218.9,18.61,12,3.24,1,negative
221.1,37.59,110.8,9.42,10.6,2.86,0,negative
145.8,24.79,192.2,16.34,9.9,2.67,1,negative
222.8,37.88,163.2,13.87,11.2,3.02,1,negative
183.4,31.18,242,20.57,7.5,2.03,4,negative
264.3,44.93,160.9,13.68,9.3,2.51,0,negative
146,24.82,109.7,9.32,6.8,1.84,0,negative
157.1,26.71,184.9,15.72,8.5,2.3,4,positive
127.3,21.64,251.3,21.36,10.3,2.78,1,negative
187.9,31.94,197,16.75,4.8,1.3,2,negative
178.8,30.4,141.2,12,8.4,2.27,2,negative
97.2,16.52,186.2,15.83,10.4,2.81,2,negative
259.8,44.17,242.3,20.6,5.4,1.46,0,negative
256.5,43.61,199.5,16.96,7,1.89,3,negative
169.5,28.82,124,10.54,10,2.7,0,negative
239.7,40.75,282.9,24.05,8.7,2.35,2,positive
171.5,29.16,160,13.6,5,1.35,1,positive
239.9,40.78,174.8,14.86,9.8,2.65,0,negative
142.3,24.19,194.8,16.56,16,4.32,1,negative
184.1,31.3,327,27.8,7.5,2.03,2,negative
206.9,35.17,264.4,22.47,9.3,2.51,2,negative
259.9,44.18,176.2,14.98,15.3,4.13,1,negative
203.8,34.65,283.1,24.06,12.5,3.38,0,negative
248.8,42.3,140.3,11.93,10.3,2.78,3,negative
221.6,37.67,130.2,11.07,11.3,3.05,1,negative
192.9,32.79,185.5,15.77,10.9,2.94,1,negative
122.4,20.81,113.4,9.64,12.5,3.38,1,negative
104.9,17.83,216.3,18.39,9.6,2.59,1,negative
173.2,29.44,196.8,16.73,11.2,3.02,3,negative
119.4,20.3,273.3,23.23,12.4,3.35,2,negative
250.3,42.55,260.6,22.15,13.3,3.59,2,positive
178.3,30.31,282.6,24.02,11.4,3.08,1,negative
243.4,41.38,182.1,15.48,12.8,3.46,1,negative
155,26.35,175.3,14.9,11.8,3.19,2,negative
288.7,49.08,203.8,17.32,8.6,2.32,0,negative
240.4,40.87,118.9,10.11,11.2,3.02,1,negative
190.3,32.35,301.3,25.61,8,2.16,1,negative
278,47.26,176.7,15.02,8.3,2.24,0,positive
155,26.35,330.6,28.1,13.5,3.65,1,negative
153.5,26.1,197.6,16.8,6.3,1.7,2,negative
273.4,46.48,154,13.09,12.3,3.32,1,negative
155.3,26.4,265.7,22.58,12.4,3.35,0,negative
133.1,22.63,221.2,18.8,6.8,1.84,1,negative
246.8,41.96,187.8,15.96,12.6,3.4,1,negative
165.4,28.12,196,16.66,9.6,2.59,2,negative
59.5,10.12,257.2,21.86,11.1,3,0,negative
138.3,23.51,236,20.06,9.6,2.59,3,negative
286.7,48.74,134.4,11.42,6.9,1.86,2,negative
117.3,19.94,201.1,17.09,12.2,3.29,1,negative
264.3,44.93,202.8,17.24,6.3,1.7,4,negative
127.9,21.74,271.2,23.05,12.5,3.38,0,negative
225.5,38.34,246.3,20.94,9.8,2.65,0,negative
149,25.33,245.3,20.85,8.3,2.24,0,negative
198.9,33.81,274,23.29,14.3,3.86,1,negative
256.4,43.59,273.9,23.28,11.1,3,1,positive
264.8,45.02,245.4,20.86,14.8,4,1,positive
98.2,16.69,180.5,15.34,9.3,2.51,2,negative
159.8,27.17,264,22.44,9.7,2.62,2,negative
190.6,32.4,220.1,18.71,6,1.62,3,negative
184,31.28,120.4,10.23,11,2.97,0,negative
261.8,44.51,220.6,18.75,9.6,2.59,1,negative
147.9,25.14,228.4,19.41,9.6,2.59,3,negative
106.4,18.09,108.1,9.19,10.1,2.73,1,negative
133.7,22.73,195.3,16.6,5.9,1.59,0,negative
193.5,32.9,220.2,18.72,8.5,2.3,0,negative
178.2,30.29,167.8,14.26,13.6,3.67,3,positive
226.2,38.45,181.6,15.44,10.5,2.84,3,positive
170.4,28.97,200.2,17.02,11.6,3.13,1,negative
70.9,12.05,166.7,14.17,11.1,3,3,negative
194.4,33.05,254.9,21.67,17.2,4.64,2,negative
240.3,40.85,164.6,13.99,10.6,2.86,1,negative
75,12.75,248.7,21.14,9.5,2.57,3,negative
69.1,11.75,136.3,11.59,6.3,1.7,1,negative
96.6,16.42,315.4,26.81,6.2,1.67,4,positive
214.6,36.48,235.1,19.98,14.8,4,0,negative
148.5,25.25,146.5,12.45,9.9,2.67,3,negative
258.1,43.88,161.4,13.72,11.7,3.16,1,negative
149.7,25.45,162.5,13.81,7.6,2.05,3,negative
149.8,25.47,164.4,13.97,8.1,2.19,1,negative
190.4,32.37,158.1,13.44,11.2,3.02,2,negative
181.4,30.84,253.8,21.57,11.6,3.13,1,negative
151.1,25.69,187.4,15.93,5.3,1.43,1,negative
155.7,26.47,173.7,14.76,8.1,2.19,0,negative
149.9,25.48,256.1,21.77,13.3,3.59,2,negative
222.3,37.79,231.5,19.68,11,2.97,3,negative
149.4,25.4,131.8,11.2,6.7,1.81,0,negative
233.8,39.75,221.6,18.84,12.8,3.46,0,negative
204.2,34.71,292.6,24.87,10.5,2.84,0,negative
242.9,41.29,209.8,17.83,0,0,1,negative
150.4,25.57,230.5,19.59,12.3,3.32,1,negative
208.9,35.51,252.4,21.45,12.8,3.46,0,negative
