Day_Mins,Day_Charge,Eve_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
206.2,35.05,22.1,11.4,3.08,1,negative
225.8,38.39,16.41,8.4,2.27,4,negative
138.3,23.51,14.49,13.5,3.65,3,negative
94.4,16.05,11.58,4.5,1.22,0,negative
160,27.2,14.91,9.9,2.67,2,negative
206.6,35.12,19.12,14.6,3.94,0,negative
134.7,22.9,15.3,7.7,2.08,1,negative
214.4,36.45,19.99,8,2.16,3,negative
192.8,32.78,19.92,13,3.51,3,negative
151.1,25.69,16.56,10,2.7,1,negative
221.4,37.64,19.7,9.8,2.65,3,negative
218.9,37.21,17.68,11.1,3,0,negative
189.8,32.27,10.49,6.5,1.76,2,positive
192.7,32.76,19.2,10.9,2.94,2,negative
204.4,34.75,18.62,10.5,2.84,3,negative
172.3,29.29,14.79,13,3.51,2,negative
198.4,33.73,17.93,10.4,2.81,2,negative
211.7,35.99,13.59,12.2,3.29,1,negative
221.6,37.67,24.51,9,2.43,1,negative
197.9,33.64,15.43,6.7,1.81,3,negative
147.5,25.08,14.93,15.6,4.21,2,negative
206.4,35.09,10.88,8.8,2.38,2,negative
205.9,35,17.79,14.5,3.92,2,negative
207.6,35.29,11.25,14.1,3.81,0,negative
303.9,51.66,22.18,5.3,1.43,1,positive
230.6,39.2,18.65,8,2.16,0,negative
99.5,16.92,10.97,9.7,2.62,0,negative
177.1,30.11,16.49,5.9,1.59,1,negative
172.7,29.36,10.21,10.3,2.78,5,positive
172.7,29.36,11.34,9.8,2.65,1,negative
204.2,34.71,15.29,9.5,2.57,1,negative
85.7,14.57,21.05,10.1,2.73,2,negative
157.6,26.79,15.67,11.9,3.21,0,negative
215.5,36.64,18.59,6.6,1.78,4,negative
181.5,30.86,16.99,6.6,1.78,1,negative
171.7,29.19,9.38,11.9,3.21,2,negative
266.6,45.32,22.51,5.9,1.59,1,positive
170.4,28.97,29.79,11.2,3.02,0,positive
158,26.86,24.86,9.1,2.46,1,negative
92,15.64,21.56,10.3,2.78,1,negative
234,39.78,21.21,9.1,2.46,2,negative
272.1,46.26,22.82,8.5,2.3,1,positive
296.4,50.39,18.26,11.4,3.08,4,positive
194.4,33.05,16.18,11.4,3.08,0,negative
227.2,38.62,21.96,8.9,2.4,3,negative
248.7,42.28,18.7,13.2,3.56,1,positive
236.3,40.17,16.65,9.7,2.62,1,negative
205.6,34.95,14.41,10.9,2.94,0,negative
94.1,16,23.83,9.8,2.65,0,negative
125.2,21.28,17.46,18.9,5.1,0,negative
60.4,10.27,26.03,12.4,3.35,1,negative
121,20.57,22.98,7.7,2.08,2,negative
117.8,20.03,21.83,7.6,2.05,3,negative
232.4,39.51,18.01,5,1.35,3,negative
223.5,38,16.05,9.4,2.54,2,positive
176.3,29.97,22.03,6.2,1.67,0,negative
125.2,21.28,15.11,12.9,3.48,1,negative
138.7,23.58,21.84,10,2.7,0,negative
86.3,14.67,20.96,11.3,3.05,1,negative
207,35.19,13.17,13.4,3.62,3,negative
58.8,10,18.66,7.1,1.92,0,negative
68.7,11.68,17.78,11.4,3.08,1,negative
239.2,40.66,20.02,9.5,2.57,1,negative
198.3,33.71,18.45,12.5,3.38,0,negative
205.2,34.88,20.45,14.4,3.89,0,negative
192.1,32.66,26.6,7.9,2.13,3,negative
272.6,46.34,21.14,9.5,2.57,1,positive
128.3,21.81,16.75,12.2,3.29,7,positive
169.6,28.83,22.45,9.3,2.51,0,negative
201.3,34.22,12.99,7.5,2.03,1,negative
214.7,36.5,11.77,8.6,2.32,1,negative
169.2,28.76,23.08,10.6,2.86,0,negative
194.1,33,15.01,7,1.89,2,negative
233.8,39.75,22.65,7.6,2.05,2,negative
225.1,38.27,16.93,14.6,3.94,0,negative
213,36.21,15.01,9.1,2.46,1,positive
183.9,31.26,21.75,10.8,2.92,1,negative
221.8,37.71,13.74,14,3.78,0,negative
64.6,10.98,14.97,0,0,2,negative
154.6,26.28,7.09,13.3,3.59,1,negative
260.2,44.23,15.23,7.2,1.94,3,negative
161.6,27.47,10.46,12.2,3.29,1,negative
220.6,37.5,13.19,10.5,2.84,1,negative
155.9,26.5,13.8,13.1,3.54,3,negative
107,18.19,8.98,12.8,3.46,4,positive
182.5,31.03,17.4,11.3,3.05,4,negative
220.1,37.42,19.92,10.1,2.73,4,negative
152.2,25.87,15.06,5.3,1.43,1,negative
181.5,30.86,17.43,14.7,3.97,2,negative
236.2,40.15,18.58,13.2,3.56,2,positive
166.1,28.24,6.74,12.7,3.43,1,negative
244.6,41.58,16.05,11.3,3.05,1,negative
134.2,22.81,19.32,8.5,2.3,2,negative
149.7,25.45,17.94,9.2,2.48,1,negative
150.1,25.52,22.5,5.8,1.57,1,negative
257.1,43.71,26.54,8.8,2.38,1,positive
124.4,21.15,15.27,11.3,3.05,0,negative
141.7,24.09,19.75,12,3.24,1,negative
230,39.1,8.77,11.3,3.05,2,negative
162.3,27.59,18.16,10.9,2.94,0,negative
350.8,59.64,18.4,10.1,2.73,1,positive
193.3,32.86,22.45,9.1,2.46,4,negative
78.2,13.29,21.54,18,4.86,1,negative
83.4,14.18,19.74,7.6,2.05,1,negative
195.6,33.25,22.76,16,4.32,0,negative
201.8,34.31,19.13,10.3,2.78,1,negative
197,33.49,18.94,10.6,2.86,2,negative
218,37.06,9.72,12.4,3.35,0,positive
164.8,28.02,19.54,14.8,4,2,negative
179.2,30.46,17.91,9.2,2.48,2,negative
214,36.38,15.3,10.6,2.86,0,negative
170.5,28.99,10.05,11.2,3.02,2,negative
205.7,34.97,18.23,6.7,1.81,1,negative
165.5,28.14,24.33,11.5,3.11,1,positive
221,37.57,13.66,6.8,1.84,2,negative
242.1,41.16,16.24,14.7,3.97,3,negative
151.6,25.77,13.21,14.7,3.97,1,negative
176.2,29.95,12.33,5.7,1.54,0,negative
196,33.32,27.43,3.7,1,1,negative
159.5,27.12,21,7.2,1.94,2,negative
230.2,39.13,18.73,10.7,2.89,4,negative
146.7,24.94,23.29,8.9,2.4,3,negative
210.5,35.79,17.38,8.5,2.3,1,negative
102,17.34,22.97,10.7,2.89,1,negative
126,21.42,20.27,10.2,2.75,3,negative
168.4,28.63,20.72,11.1,3,1,negative
105.6,17.95,21.95,8.7,2.35,0,negative
206.5,35.11,14.98,12.4,3.35,5,negative
217.1,36.91,17.44,9.4,2.54,2,negative
229.6,39.03,17.48,10.8,2.92,0,positive
278.3,47.31,7.94,9.7,2.62,0,negative
138.6,23.56,16.92,7.8,2.11,0,negative
234.4,39.85,23.74,2,0.54,1,positive
181.5,30.86,11.11,8.5,2.3,1,negative
167.3,28.44,19.55,10.6,2.86,1,positive
121,20.57,18.61,12,3.24,1,negative
221.1,37.59,9.42,10.6,2.86,0,negative
145.8,24.79,16.34,9.9,2.67,1,negative
222.8,37.88,13.87,11.2,3.02,1,negative
183.4,31.18,20.57,7.5,2.03,4,negative
264.3,44.93,13.68,9.3,2.51,0,negative
146,24.82,9.32,6.8,1.84,0,negative
157.1,26.71,15.72,8.5,2.3,4,positive
127.3,21.64,21.36,10.3,2.78,1,negative
187.9,31.94,16.75,4.8,1.3,2,negative
178.8,30.4,12,8.4,2.27,2,negative
97.2,16.52,15.83,10.4,2.81,2,negative
259.8,44.17,20.6,5.4,1.46,0,negative
256.5,43.61,16.96,7,1.89,3,negative
169.5,28.82,10.54,10,2.7,0,negative
239.7,40.75,24.05,8.7,2.35,2,positive
171.5,29.16,13.6,5,1.35,1,positive
239.9,40.78,14.86,9.8,2.65,0,negative
142.3,24.19,16.56,16,4.32,1,negative
184.1,31.3,27.8,7.5,2.03,2,negative
206.9,35.17,22.47,9.3,2.51,2,negative
259.9,44.18,14.98,15.3,4.13,1,negative
203.8,34.65,24.06,12.5,3.38,0,negative
248.8,42.3,11.93,10.3,2.78,3,negative
221.6,37.67,11.07,11.3,3.05,1,negative
192.9,32.79,15.77,10.9,2.94,1,negative
122.4,20.81,9.64,12.5,3.38,1,negative
104.9,17.83,18.39,9.6,2.59,1,negative
173.2,29.44,16.73,11.2,3.02,3,negative
119.4,20.3,23.23,12.4,3.35,2,negative
250.3,42.55,22.15,13.3,3.59,2,positive
178.3,30.31,24.02,11.4,3.08,1,negative
243.4,41.38,15.48,12.8,3.46,1,negative
155,26.35,14.9,11.8,3.19,2,negative
288.7,49.08,17.32,8.6,2.32,0,negative
240.4,40.87,10.11,11.2,3.02,1,negative
190.3,32.35,25.61,8,2.16,1,negative
278,47.26,15.02,8.3,2.24,0,positive
155,26.35,28.1,13.5,3.65,1,negative
153.5,26.1,16.8,6.3,1.7,2,negative
273.4,46.48,13.09,12.3,3.32,1,negative
155.3,26.4,22.58,12.4,3.35,0,negative
133.1,22.63,18.8,6.8,1.84,1,negative
246.8,41.96,15.96,12.6,3.4,1,negative
165.4,28.12,16.66,9.6,2.59,2,negative
59.5,10.12,21.86,11.1,3,0,negative
138.3,23.51,20.06,9.6,2.59,3,negative
286.7,48.74,11.42,6.9,1.86,2,negative
117.3,19.94,17.09,12.2,3.29,1,negative
264.3,44.93,17.24,6.3,1.7,4,negative
127.9,21.74,23.05,12.5,3.38,0,negative
225.5,38.34,20.94,9.8,2.65,0,negative
149,25.33,20.85,8.3,2.24,0,negative
198.9,33.81,23.29,14.3,3.86,1,negative
256.4,43.59,23.28,11.1,3,1,positive
264.8,45.02,20.86,14.8,4,1,positive
98.2,16.69,15.34,9.3,2.51,2,negative
159.8,27.17,22.44,9.7,2.62,2,negative
190.6,32.4,18.71,6,1.62,3,negative
184,31.28,10.23,11,2.97,0,negative
261.8,44.51,18.75,9.6,2.59,1,negative
147.9,25.14,19.41,9.6,2.59,3,negative
106.4,18.09,9.19,10.1,2.73,1,negative
133.7,22.73,16.6,5.9,1.59,0,negative
193.5,32.9,18.72,8.5,2.3,0,negative
178.2,30.29,14.26,13.6,3.67,3,positive
226.2,38.45,15.44,10.5,2.84,3,positive
170.4,28.97,17.02,11.6,3.13,1,negative
70.9,12.05,14.17,11.1,3,3,negative
194.4,33.05,21.67,17.2,4.64,2,negative
240.3,40.85,13.99,10.6,2.86,1,negative
75,12.75,21.14,9.5,2.57,3,negative
69.1,11.75,11.59,6.3,1.7,1,negative
96.6,16.42,26.81,6.2,1.67,4,positive
214.6,36.48,19.98,14.8,4,0,negative
148.5,25.25,12.45,9.9,2.67,3,negative
258.1,43.88,13.72,11.7,3.16,1,negative
149.7,25.45,13.81,7.6,2.05,3,negative
149.8,25.47,13.97,8.1,2.19,1,negative
190.4,32.37,13.44,11.2,3.02,2,negative
181.4,30.84,21.57,11.6,3.13,1,negative
151.1,25.69,15.93,5.3,1.43,1,negative
155.7,26.47,14.76,8.1,2.19,0,negative
149.9,25.48,21.77,13.3,3.59,2,negative
222.3,37.79,19.68,11,2.97,3,negative
149.4,25.4,11.2,6.7,1.81,0,negative
233.8,39.75,18.84,12.8,3.46,0,negative
204.2,34.71,24.87,10.5,2.84,0,negative
242.9,41.29,17.83,0,0,1,negative
150.4,25.57,19.59,12.3,3.32,1,negative
208.9,35.51,21.45,12.8,3.46,0,negative
191.9,32.62,21.77,14.3,3.86,1,positive
130.7,22.22,22.15,9.4,2.54,2,positive
119.6,20.33,23.69,5.9,1.59,2,negative
273.6,46.51,9.74,8.2,2.21,1,negative
156.1,26.54,15.33,11.1,3,2,negative
178.7,30.38,15.18,8,2.16,2,negative
177.5,30.18,24.43,11.9,3.21,2,negative
211.3,35.92,8.98,9.7,2.62,4,positive
175.2,29.78,20.77,7.5,2.03,1,negative
114.3,19.43,16.18,12.6,3.4,3,negative
251.4,42.74,19.13,7.5,2.03,1,negative
216.9,36.87,17.63,17.5,4.73,1,positive
217.2,36.92,12.37,9.3,2.51,0,negative
206.3,35.07,13.17,12.4,3.35,0,negative
159.3,27.08,10.7,11.1,3,1,negative
143.1,24.33,20.11,11.4,3.08,2,negative
154,26.18,28.03,5.6,1.51,3,positive
186.6,31.72,18.87,11.6,3.13,1,negative
170.8,29.04,16.96,9.6,2.59,5,positive
124,21.08,17.25,12.3,3.32,1,negative
198.3,33.71,23.74,14.8,4,3,negative
172.8,29.38,17.41,9.1,2.46,2,negative
217.4,36.96,18.17,6.6,1.78,0,negative
265.9,45.2,18.34,14,3.78,0,positive
93.6,15.91,16.47,17.5,4.73,1,negative
98.2,16.69,26.11,7.6,2.05,2,negative
214.7,36.5,13.48,9.4,2.54,2,negative
168.2,28.59,19.1,12.9,3.48,1,negative
202.9,34.49,13.07,9,2.43,3,negative
261.4,44.44,13.13,11.6,3.13,1,negative
73.3,12.46,13.72,8.2,2.21,4,positive
253.7,43.13,19.48,9.2,2.48,7,negative
45,7.65,12.86,9.8,2.65,2,negative
231.3,39.32,14.59,13,3.51,1,negative
47.4,8.06,14.26,10.5,2.84,2,negative
227.4,38.66,15.51,12.5,3.38,0,negative
40.9,6.95,11.34,11.9,3.21,0,negative
124.8,21.22,13.37,8.6,2.32,2,negative
68.5,11.65,28.65,12.1,3.27,0,negative
163.5,27.8,17.26,7.8,2.11,2,negative
163,27.71,18.62,6.7,1.81,2,negative
213.7,36.33,21.51,10.7,2.89,2,negative
201.3,34.22,3.59,5.4,1.46,1,negative
310.4,52.77,5.65,9.2,2.48,4,negative
48.4,8.23,23.89,18.2,4.91,1,negative
171.2,29.1,12.38,14,3.78,1,negative
166.5,28.31,15.56,8.5,2.3,0,negative
216.6,36.82,16.22,12.4,3.35,0,negative
107.8,18.33,18.41,9.9,2.67,2,negative
141.3,24.02,14.28,7.8,2.11,1,negative
209.9,35.68,13.43,6.6,1.78,0,negative
237.5,40.38,21.54,14.2,3.83,9,positive
234.5,39.87,18.4,3.5,0.95,3,negative
103.1,17.53,20.66,12.2,3.29,3,negative
129.5,22.02,21.16,11.9,3.21,1,negative
279.8,47.57,21.14,8.4,2.27,2,positive
136.8,23.26,17.07,10.3,2.78,5,positive
100.1,17.02,20.94,5.9,1.59,0,negative
237.1,40.31,17.48,10.1,2.73,4,negative
172.8,29.38,15.56,7.9,2.13,4,positive
224.5,38.17,17.06,11.5,3.11,2,negative
288.1,48.98,21.93,10.2,2.75,3,positive
78.2,13.29,16.65,10.1,2.73,2,negative
148.7,25.28,22.02,12.7,3.43,2,negative
194.6,33.08,10.19,13.1,3.54,2,negative
159.5,27.12,25.82,12,3.24,0,negative
194.5,33.07,18.16,9.5,2.57,1,negative
174.1,29.6,21.34,8.3,2.24,2,positive
131.8,22.41,11.62,7.7,2.08,2,negative
160.6,27.3,20.15,10.7,2.89,1,negative
146.8,24.96,26.35,7.2,1.94,0,negative
200.7,34.12,22.46,9.1,2.46,1,negative
145.6,24.75,8.36,10.9,2.94,1,negative
229.4,39,21.88,8,2.16,2,negative
211,35.87,16.07,4.7,1.27,3,negative
121.5,20.66,23.07,11.3,3.05,2,negative
216,36.72,16,3.6,0.97,2,negative
