Day_Mins,Day_Charge,Intl_Charge,CustServ_Calls,Class
158,26.86,2.46,1,negative
92,15.64,2.78,1,negative
234,39.78,2.46,2,negative
272.1,46.26,2.3,1,positive
296.4,50.39,3.08,4,positive
194.4,33.05,3.08,0,negative
227.2,38.62,2.4,3,negative
248.7,42.28,3.56,1,positive
236.3,40.17,2.62,1,negative
205.6,34.95,2.94,0,negative
94.1,16,2.65,0,negative
125.2,21.28,5.1,0,negative
60.4,10.27,3.35,1,negative
121,20.57,2.08,2,negative
117.8,20.03,2.05,3,negative
232.4,39.51,1.35,3,negative
223.5,38,2.54,2,positive
176.3,29.97,1.67,0,negative
125.2,21.28,3.48,1,negative
138.7,23.58,2.7,0,negative
86.3,14.67,3.05,1,negative
207,35.19,3.62,3,negative
58.8,10,1.92,0,negative
68.7,11.68,3.08,1,negative
239.2,40.66,2.57,1,negative
198.3,33.71,3.38,0,negative
205.2,34.88,3.89,0,negative
192.1,32.66,2.13,3,negative
272.6,46.34,2.57,1,positive
128.3,21.81,3.29,7,positive
169.6,28.83,2.51,0,negative
201.3,34.22,2.03,1,negative
214.7,36.5,2.32,1,negative
169.2,28.76,2.86,0,negative
194.1,33,1.89,2,negative
233.8,39.75,2.05,2,negative
225.1,38.27,3.94,0,negative
213,36.21,2.46,1,positive
183.9,31.26,2.92,1,negative
221.8,37.71,3.78,0,negative
64.6,10.98,0,2,negative
154.6,26.28,3.59,1,negative
260.2,44.23,1.94,3,negative
161.6,27.47,3.29,1,negative
220.6,37.5,2.84,1,negative
155.9,26.5,3.54,3,negative
107,18.19,3.46,4,positive
182.5,31.03,3.05,4,negative
220.1,37.42,2.73,4,negative
152.2,25.87,1.43,1,negative
181.5,30.86,3.97,2,negative
236.2,40.15,3.56,2,positive
166.1,28.24,3.43,1,negative
244.6,41.58,3.05,1,negative
134.2,22.81,2.3,2,negative
149.7,25.45,2.48,1,negative
150.1,25.52,1.57,1,negative
257.1,43.71,2.38,1,positive
124.4,21.15,3.05,0,negative
141.7,24.09,3.24,1,negative
230,39.1,3.05,2,negative
162.3,27.59,2.94,0,negative
350.8,59.64,2.73,1,positive
193.3,32.86,2.46,4,negative
78.2,13.29,4.86,1,negative
83.4,14.18,2.05,1,negative
195.6,33.25,4.32,0,negative
201.8,34.31,2.78,1,negative
197,33.49,2.86,2,negative
218,37.06,3.35,0,positive
164.8,28.02,4,2,negative
179.2,30.46,2.48,2,negative
214,36.38,2.86,0,negative
170.5,28.99,3.02,2,negative
205.7,34.97,1.81,1,negative
165.5,28.14,3.11,1,positive
221,37.57,1.84,2,negative
242.1,41.16,3.97,3,negative
151.6,25.77,3.97,1,negative
176.2,29.95,1.54,0,negative
196,33.32,1,1,negative
159.5,27.12,1.94,2,negative
230.2,39.13,2.89,4,negative
146.7,24.94,2.4,3,negative
210.5,35.79,2.3,1,negative
102,17.34,2.89,1,negative
126,21.42,2.75,3,negative
168.4,28.63,3,1,negative
105.6,17.95,2.35,0,negative
206.5,35.11,3.35,5,negative
217.1,36.91,2.54,2,negative
229.6,39.03,2.92,0,positive
278.3,47.31,2.62,0,negative
138.6,23.56,2.11,0,negative
234.4,39.85,0.54,1,positive
181.5,30.86,2.3,1,negative
167.3,28.44,2.86,1,positive
121,20.57,3.24,1,negative
221.1,37.59,2.86,0,negative
145.8,24.79,2.67,1,negative
222.8,37.88,3.02,1,negative
183.4,31.18,2.03,4,negative
264.3,44.93,2.51,0,negative
146,24.82,1.84,0,negative
157.1,26.71,2.3,4,positive
127.3,21.64,2.78,1,negative
187.9,31.94,1.3,2,negative
178.8,30.4,2.27,2,negative
97.2,16.52,2.81,2,negative
259.8,44.17,1.46,0,negative
256.5,43.61,1.89,3,negative
169.5,28.82,2.7,0,negative
239.7,40.75,2.35,2,positive
171.5,29.16,1.35,1,positive
239.9,40.78,2.65,0,negative
142.3,24.19,4.32,1,negative
184.1,31.3,2.03,2,negative
206.9,35.17,2.51,2,negative
259.9,44.18,4.13,1,negative
203.8,34.65,3.38,0,negative
248.8,42.3,2.78,3,negative
221.6,37.67,3.05,1,negative
192.9,32.79,2.94,1,negative
122.4,20.81,3.38,1,negative
104.9,17.83,2.59,1,negative
173.2,29.44,3.02,3,negative
119.4,20.3,3.35,2,negative
250.3,42.55,3.59,2,positive
178.3,30.31,3.08,1,negative
243.4,41.38,3.46,1,negative
155,26.35,3.19,2,negative
288.7,49.08,2.32,0,negative
240.4,40.87,3.02,1,negative
190.3,32.35,2.16,1,negative
278,47.26,2.24,0,positive
155,26.35,3.65,1,negative
153.5,26.1,1.7,2,negative
273.4,46.48,3.32,1,negative
155.3,26.4,3.35,0,negative
133.1,22.63,1.84,1,negative
246.8,41.96,3.4,1,negative
165.4,28.12,2.59,2,negative
59.5,10.12,3,0,negative
138.3,23.51,2.59,3,negative
286.7,48.74,1.86,2,negative
117.3,19.94,3.29,1,negative
264.3,44.93,1.7,4,negative
127.9,21.74,3.38,0,negative
225.5,38.34,2.65,0,negative
149,25.33,2.24,0,negative
198.9,33.81,3.86,1,negative
256.4,43.59,3,1,positive
264.8,45.02,4,1,positive
98.2,16.69,2.51,2,negative
159.8,27.17,2.62,2,negative
190.6,32.4,1.62,3,negative
184,31.28,2.97,0,negative
261.8,44.51,2.59,1,negative
147.9,25.14,2.59,3,negative
106.4,18.09,2.73,1,negative
133.7,22.73,1.59,0,negative
193.5,32.9,2.3,0,negative
178.2,30.29,3.67,3,positive
226.2,38.45,2.84,3,positive
170.4,28.97,3.13,1,negative
70.9,12.05,3,3,negative
194.4,33.05,4.64,2,negative
240.3,40.85,2.86,1,negative
75,12.75,2.57,3,negative
69.1,11.75,1.7,1,negative
96.6,16.42,1.67,4,positive
214.6,36.48,4,0,negative
148.5,25.25,2.67,3,negative
258.1,43.88,3.16,1,negative
149.7,25.45,2.05,3,negative
149.8,25.47,2.19,1,negative
190.4,32.37,3.02,2,negative
181.4,30.84,3.13,1,negative
151.1,25.69,1.43,1,negative
155.7,26.47,2.19,0,negative
149.9,25.48,3.59,2,negative
222.3,37.79,2.97,3,negative
149.4,25.4,1.81,0,negative
233.8,39.75,3.46,0,negative
204.2,34.71,2.84,0,negative
242.9,41.29,0,1,negative
150.4,25.57,3.32,1,negative
208.9,35.51,3.46,0,negative
191.9,32.62,3.86,1,positive
130.7,22.22,2.54,2,positive
119.6,20.33,1.59,2,negative
273.6,46.51,2.21,1,negative
156.1,26.54,3,2,negative
178.7,30.38,2.16,2,negative
177.5,30.18,3.21,2,negative
211.3,35.92,2.62,4,positive
175.2,29.78,2.03,1,negative
114.3,19.43,3.4,3,negative
251.4,42.74,2.03,1,negative
216.9,36.87,4.73,1,positive
217.2,36.92,2.51,0,negative
206.3,35.07,3.35,0,negative
159.3,27.08,3,1,negative
143.1,24.33,3.08,2,negative
154,26.18,1.51,3,positive
186.6,31.72,3.13,1,negative
170.8,29.04,2.59,5,positive
124,21.08,3.32,1,negative
198.3,33.71,4,3,negative
172.8,29.38,2.46,2,negative
217.4,36.96,1.78,0,negative
265.9,45.2,3.78,0,positive
93.6,15.91,4.73,1,negative
98.2,16.69,2.05,2,negative
214.7,36.5,2.54,2,negative
168.2,28.59,3.48,1,negative
202.9,34.49,2.43,3,negative
261.4,44.44,3.13,1,negative
73.3,12.46,2.21,4,positive
253.7,43.13,2.48,7,negative
45,7.65,2.65,2,negative
231.3,39.32,3.51,1,negative
47.4,8.06,2.84,2,negative
227.4,38.66,3.38,0,negative
40.9,6.95,3.21,0,negative
124.8,21.22,2.32,2,negative
68.5,11.65,3.27,0,negative
163.5,27.8,2.11,2,negative
163,27.71,1.81,2,negative
213.7,36.33,2.89,2,negative
201.3,34.22,1.46,1,negative
310.4,52.77,2.48,4,negative
48.4,8.23,4.91,1,negative
171.2,29.1,3.78,1,negative
166.5,28.31,2.3,0,negative
216.6,36.82,3.35,0,negative
107.8,18.33,2.67,2,negative
141.3,24.02,2.11,1,negative
209.9,35.68,1.78,0,negative
237.5,40.38,3.83,9,positive
234.5,39.87,0.95,3,negative
103.1,17.53,3.29,3,negative
129.5,22.02,3.21,1,negative
279.8,47.57,2.27,2,positive
136.8,23.26,2.78,5,positive
100.1,17.02,1.59,0,negative
237.1,40.31,2.73,4,negative
172.8,29.38,2.13,4,positive
224.5,38.17,3.11,2,negative
288.1,48.98,2.75,3,positive
78.2,13.29,2.73,2,negative
148.7,25.28,3.43,2,negative
194.6,33.08,3.54,2,negative
159.5,27.12,3.24,0,negative
194.5,33.07,2.57,1,negative
174.1,29.6,2.24,2,positive
131.8,22.41,2.08,2,negative
160.6,27.3,2.89,1,negative
146.8,24.96,1.94,0,negative
200.7,34.12,2.46,1,negative
145.6,24.75,2.94,1,negative
229.4,39,2.16,2,negative
211,35.87,1.27,3,negative
121.5,20.66,3.05,2,negative
216,36.72,0.97,2,negative
293,49.81,2.7,2,negative
221.1,37.59,4.16,2,positive
181.5,30.86,2.78,1,negative
74.3,12.63,3.92,2,negative
62.3,10.59,2.92,1,negative
228.6,38.86,2.43,3,negative
228.1,38.78,2.67,2,positive
309.9,52.68,3.83,1,negative
201.9,34.32,3.7,3,negative
149.8,25.47,3.16,2,negative
183.8,31.25,2.08,1,negative
186.7,31.74,4.46,1,negative
209.4,35.6,2,1,positive
223.2,37.94,2.75,3,negative
164.2,27.91,2.89,1,negative
150.5,25.59,2.78,1,negative
234.2,39.81,2.65,0,positive
55.3,9.4,2.75,1,negative
221.8,37.71,2.27,1,negative
169.6,28.83,2,1,negative
89.7,15.25,3.65,5,positive
80.2,13.63,2.32,1,negative
218.9,37.21,3.05,2,negative
125.7,21.37,3.48,1,negative
176.3,29.97,2.59,2,negative
207.2,35.22,2.57,2,negative
205.7,34.97,3.38,2,negative
151.4,25.74,0,1,negative
157.5,26.78,2.59,3,negative
160.4,27.27,2.46,2,negative
159,27.03,3.32,1,negative
214.1,36.4,2.48,0,negative
102.6,17.44,2.46,2,negative
159.7,27.15,3.75,0,positive
202.8,34.48,1.24,1,negative
57.5,9.78,3.13,3,negative
169.9,28.88,3.08,1,negative
335.5,57.04,3.43,2,positive
139.5,23.72,3.54,0,negative
142.3,24.19,1.78,1,negative
187.8,31.93,2.86,0,negative
146.2,24.85,2.35,3,negative
231.8,39.41,3.13,3,negative
193.7,32.93,3.43,1,negative
156.4,26.59,2.08,4,negative
220.7,37.52,3.56,1,positive
239.8,40.77,1.97,2,negative
172,29.24,2.16,1,negative
128.2,21.79,2.38,2,negative
130.2,22.13,3.78,3,negative
195.4,33.22,3.13,1,negative
293.3,49.86,3.92,0,positive
191.3,32.52,3.46,1,negative
122.4,20.81,3.11,1,negative
209.6,35.63,2.86,2,negative
215.7,36.67,1.92,3,negative
161.4,27.44,1.38,0,negative
144.2,24.51,3.73,3,negative
220.2,37.43,1.11,0,positive
256.2,43.55,2,4,negative
112.7,19.16,1.76,1,negative
299.5,50.92,3.7,0,positive
194.8,33.12,3.75,0,negative
100.8,17.14,2.57,0,negative
82.5,14.03,1.3,3,negative
146.4,24.89,4.21,2,negative
177.9,30.24,2.92,2,negative
153.5,26.1,2.75,5,negative
150.7,25.62,2.48,1,negative
180.1,30.62,2.03,0,negative
265.3,45.1,3.48,1,negative
128.6,21.86,3.08,0,negative
161.5,27.46,2.13,2,negative
165.3,28.1,2.65,1,negative
195,33.15,2.97,0,negative
213.8,36.35,4.21,0,negative
205.5,34.94,3.78,1,negative
252.9,42.99,2.3,3,negative
235.6,40.05,4.16,0,negative
192,32.64,2.03,1,negative
69.1,11.75,2.46,0,negative
261.7,44.49,1.62,3,positive
235.5,40.04,3.11,2,negative
213.4,36.28,2.57,1,negative
206.9,35.17,2.48,3,negative
263.8,44.85,2.3,3,negative
183.4,31.18,2.84,1,negative
157.6,26.79,2.54,5,positive
175.6,29.85,2.51,0,negative
242.5,41.23,2.51,2,negative
151,25.67,2.67,0,negative
138.1,23.48,2.24,1,negative
264.7,45,2.57,1,positive
282.3,47.99,3.24,1,negative
211.2,35.9,3.32,0,negative
197.1,33.51,2,3,negative
205.3,34.9,2.11,1,negative
181.8,30.91,2.48,2,negative
252,42.84,2.59,2,negative
193.8,32.95,2.48,0,negative
231.2,39.3,3.32,1,negative
200.1,34.02,4.19,0,negative
266.7,45.34,4.4,1,negative
118.1,20.08,3.21,2,negative
175.3,29.8,3.19,0,negative
125.1,21.27,3.02,3,negative
176.8,30.06,2.03,1,negative
241.9,41.12,1.59,1,negative
241.2,41,2.86,0,negative
217.1,36.91,2.54,1,negative
195.4,33.22,2.4,0,negative
222.4,37.81,2.35,1,positive
189.5,32.22,3.54,1,negative
123.1,20.93,2.51,0,negative
256.7,43.64,3.08,3,negative
159.1,27.05,1.76,1,negative
100.1,17.02,3,3,negative
30.9,5.25,2.32,1,negative
223.2,37.94,2.73,3,negative
187.4,31.86,3.4,1,negative
315.6,53.65,3.27,3,negative
277.5,47.18,2.21,1,negative
189.8,32.27,4.02,2,negative
147.2,25.02,2.75,1,negative
185.8,31.59,1.54,4,negative
155.4,26.42,2.16,3,negative
154.2,26.21,2.94,6,negative
97.6,16.59,3.13,1,negative
178.8,30.4,2.03,1,negative
149.3,25.38,2.46,0,negative
206,35.02,2.27,0,negative
216.8,36.86,2.97,0,negative
103.3,17.56,2.89,0,negative
139.4,23.7,2.08,0,negative
191.2,32.5,3.81,1,negative
160,27.2,2.81,1,negative
221.7,37.69,1.76,3,negative
62.9,10.69,2.3,1,negative
215.6,36.65,0.97,1,negative
165.3,28.1,2.05,3,negative
94.7,16.1,2.86,2,negative
203.2,34.54,2.62,2,negative
195.3,33.2,3.38,3,negative
143.7,24.43,3.08,4,negative
114.4,19.45,0,2,negative
222.8,37.88,1.86,2,negative
175.9,29.9,1.97,2,negative
249.9,42.48,4.13,1,positive
234.5,39.87,3.08,2,negative
210.7,35.82,1.94,1,negative
182.3,30.99,2.51,1,negative
190.3,32.35,3.16,2,negative
177.1,30.11,2,0,negative
87.2,14.82,2.94,6,positive
215.6,36.65,3.65,1,negative
137.4,23.36,3.78,3,negative
192.8,32.78,4.43,1,negative
149.3,25.38,3.21,2,negative
143.7,24.43,2.11,1,negative
224.8,38.22,2.48,1,negative
261.2,44.4,3.43,2,negative
196.5,33.41,3.62,0,negative
271.2,46.1,3.11,3,positive
207.2,35.22,2.16,2,negative
300.4,51.07,1.94,2,negative
229.6,39.03,2.57,2,negative
187.5,31.88,3.27,1,negative
57.1,9.71,1.76,3,negative
162.1,27.56,2.97,5,positive
145,24.65,4.51,2,positive
159.5,27.12,3.08,1,negative
190.7,32.42,2.38,1,negative
230.6,39.2,2.54,1,negative
34,5.78,3.11,0,negative
193.4,32.88,3.08,5,negative
202,34.34,2.81,1,negative
191.7,32.59,2.46,1,negative
161.3,27.42,1.78,1,negative
150.6,25.6,1.73,1,negative
184.6,31.38,2.11,1,negative
220.7,37.52,2.35,1,negative
167.3,28.44,2.97,1,negative
154,26.18,2.21,3,negative
121.1,20.59,2.73,0,negative
182.1,30.96,3.43,3,negative
109.6,18.63,2.97,2,negative
209.9,35.68,2.59,1,negative
167.5,28.48,3.08,2,negative
213.9,36.36,2.65,2,negative
115.8,19.69,3.54,1,negative
276.6,47.02,2.65,2,negative
179.4,30.5,2.57,2,negative
187.3,31.84,2.73,1,negative
201.2,34.2,2.27,2,negative
189.6,32.23,0.35,1,negative
186.8,31.76,4.05,0,negative
153.5,26.1,3.08,0,negative
187.6,31.89,2.35,2,negative
230.9,39.25,2.97,0,positive
244.9,41.63,4.1,2,negative
230.9,39.25,2.62,3,negative
187.1,31.81,2.97,1,negative
170.7,29.02,3.59,1,negative
126.9,21.57,2.38,5,positive
189.5,32.22,2.48,0,negative
176.9,30.07,2.08,1,positive
161.1,27.39,2.86,1,negative
169.4,28.8,2.89,1,negative
254.4,43.25,2.84,0,negative
127.7,21.71,1.57,2,negative
170.5,28.99,3.67,6,negative
219.1,37.25,2.73,2,negative
273.5,46.5,2.97,2,negative
161.9,27.52,2.89,1,negative
241.7,41.09,2.54,1,negative
62.8,10.68,2.54,3,negative
281.1,47.79,3.02,1,negative
228.2,38.79,2.89,3,negative
209.8,35.67,3.05,0,negative
265.6,45.15,3,2,positive
214.9,36.53,3.19,2,negative
110.5,18.79,2.84,3,negative
281.1,47.79,2.03,0,negative
137.8,23.43,3.81,2,negative
271.5,46.16,2.21,1,positive
112.8,19.18,2.43,2,negative
187.3,31.84,4.08,1,negative
197,33.49,2.92,1,negative
180.4,30.67,2.27,1,negative
148.5,25.25,3.92,1,positive
197.1,33.51,3.94,2,negative
153.7,26.13,4.29,1,negative
261.3,44.42,3.05,1,negative
246.2,41.85,2.54,1,negative
191,32.47,1.76,0,negative
208.3,35.41,3.4,1,negative
253,43.01,2.65,0,negative
202.3,34.39,1.84,0,negative
174.4,29.65,2.75,0,negative
127.1,21.61,3.27,1,negative
143.5,24.4,3.05,0,negative
186.9,31.77,1.57,1,negative
194,32.98,3.27,1,negative
234.8,39.92,2.67,0,negative
123.7,21.03,3.54,1,negative
173.9,29.56,4.13,0,negative
130.9,22.25,3.35,1,negative
314.6,53.48,1.54,2,positive
227.9,38.74,3.27,1,negative
95.5,16.24,1.78,2,negative
185.3,31.5,4.08,1,negative
146.3,24.87,3.54,1,negative
184,31.28,3.43,2,negative
105.8,17.99,3.54,0,negative
178,30.26,3.16,1,negative
149.4,25.4,2.73,1,negative
209.4,35.6,3.05,2,negative
172.1,29.26,3.13,1,negative
169.3,28.78,2.54,1,negative
119.1,20.25,3.29,0,negative
194.2,33.01,1.49,2,negative
198.8,33.8,2.67,2,negative
167.7,28.51,3.62,3,positive
202.2,34.37,3.19,2,negative
322.5,54.83,2.54,2,positive
