Day_Mins,Day_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
235.8,40.09,12,3.24,0,negative
157.1,26.71,6.1,1.65,1,negative
300.3,51.05,11.7,3.16,0,positive
61.6,10.47,8.2,2.21,4,positive
214.1,36.4,8.2,2.21,2,negative
170.2,28.93,15,4.05,1,negative
201.1,34.19,13.2,3.56,1,negative
215.4,36.62,12.6,3.4,3,negative
165.6,28.15,11,2.97,3,negative
249.5,42.42,9.8,2.65,1,negative
210.6,35.8,12.4,3.35,2,positive
179.3,30.48,8.6,2.32,0,negative
157.9,26.84,8,2.16,4,positive
214.3,36.43,12,3.24,1,negative
154.1,26.2,10.9,2.94,2,negative
237.9,40.44,13.9,3.75,1,positive
143.9,24.46,11.1,3,1,negative
203.4,34.58,8.9,2.4,0,positive
124.3,21.13,7.9,2.13,1,negative
252.9,42.99,9.5,2.57,3,negative
179.1,30.45,10.6,2.86,3,negative
278.4,47.33,9.8,2.65,1,negative
160.1,27.22,13,3.51,0,negative
198.2,33.69,8.7,2.35,4,negative
212.1,36.06,5.3,1.43,1,positive
251.8,42.81,9.8,2.65,2,positive
161.2,27.4,4.4,1.19,4,negative
178.3,30.31,14.6,3.94,0,negative
151.7,25.79,10.5,2.84,0,negative
135,22.95,12.5,3.38,1,negative
170.5,28.99,11.3,3.05,1,negative
238.1,40.48,11.8,3.19,4,negative
281.4,47.84,9,2.43,2,negative
117.9,20.04,9.8,2.65,1,negative
148.6,25.26,10.1,2.73,1,negative
229.8,39.07,9.6,2.59,3,negative
165,28.05,8.3,2.24,1,negative
185,31.45,12.6,3.4,2,negative
161,27.37,12.1,3.27,4,negative
126.7,21.54,13.3,3.59,1,negative
58.9,10.01,9.4,2.54,1,negative
196.8,33.46,20,5.4,0,positive
162.6,27.64,14.2,3.83,1,negative
282.5,48.03,9.4,2.54,1,positive
113.7,19.33,10,2.7,2,negative
239.8,40.77,8.7,2.35,2,negative
210.2,35.73,13.1,3.54,1,negative
213.8,36.35,7.2,1.94,0,negative
190.7,32.42,9.8,2.65,3,negative
170.9,29.05,11.6,3.13,1,negative
154.2,26.21,9.2,2.48,2,negative
201.4,34.24,12,3.24,1,negative
70.7,12.02,9.1,2.46,4,positive
187.5,31.88,6.4,1.73,4,positive
91.7,15.59,9.2,2.48,2,negative
214.2,36.41,9.5,2.57,3,negative
145.5,24.74,10.9,2.94,3,negative
166.3,28.27,6.1,1.65,1,negative
231,39.27,9.5,2.57,1,negative
200.3,34.05,7.1,1.92,4,negative
197,33.49,9.1,2.46,1,negative
129.9,22.08,11.2,3.02,3,negative
175.8,29.89,5.3,1.43,5,negative
203.1,34.53,12,3.24,3,negative
183.2,31.14,11.2,3.02,1,negative
205,34.85,10.2,2.75,2,negative
148.5,25.25,12.4,3.35,1,negative
200.3,34.05,10.5,2.84,0,negative
192.6,32.74,6.8,1.84,3,negative
246.5,41.91,11.7,3.16,1,negative
167.1,28.41,14.1,3.81,2,positive
231.9,39.42,14.3,3.86,3,negative
146.7,24.94,13.7,3.7,1,negative
271.5,46.16,11.7,3.16,1,negative
181.5,30.86,8.5,2.3,1,negative
257.7,43.81,11.1,3,2,negative
193.8,32.95,10.6,2.86,1,negative
102.8,17.48,10.1,2.73,1,negative
187.9,31.94,7.5,2.03,1,negative
226,38.42,6.9,1.86,1,negative
260.4,44.27,11.5,3.11,5,negative
178.7,30.38,9.8,2.65,0,negative
337.4,57.36,15.8,4.27,0,positive
157.6,26.79,13.7,3.7,0,negative
183.6,31.21,10.2,2.75,1,negative
142.1,24.16,9.6,2.59,1,negative
136.3,23.17,7.1,1.92,0,negative
217.1,36.91,12,3.24,0,negative
187.5,31.88,10.5,2.84,3,negative
98.9,16.81,12.2,3.29,1,negative
206.3,35.07,6.1,1.65,1,negative
243.1,41.33,12.1,3.27,2,negative
189.8,32.27,7.5,2.03,1,negative
202,34.34,10.9,2.94,1,negative
170.1,28.92,12.8,3.46,1,negative
230.9,39.25,6.3,1.7,0,negative
237.1,40.31,13.2,3.56,1,negative
182.1,30.96,10.6,2.86,2,negative
119.3,20.28,10.5,2.84,3,negative
116.8,19.86,14.1,3.81,1,negative
219.2,37.26,6.1,1.65,0,negative
252.6,42.94,11.1,3,2,negative
147.1,25.01,12.2,3.29,0,negative
202.1,34.36,11.5,3.11,2,negative
173.5,29.5,16.2,4.37,3,negative
232.1,39.46,0,0,3,negative
197.1,33.51,9.5,2.57,4,negative
58.2,9.89,11.9,3.21,5,positive
115.6,19.65,9.9,2.67,2,negative
186.1,31.64,14.6,3.94,2,negative
259.9,44.18,8.4,2.27,3,negative
214.3,36.43,10.8,2.92,1,negative
158.7,26.98,10.2,2.75,1,negative
271.6,46.17,10.9,2.94,2,negative
160.6,27.3,9,2.43,1,negative
232.4,39.51,9.1,2.46,1,negative
133.8,22.75,8.9,2.4,0,negative
176.9,30.07,9.5,2.57,1,negative
209.9,35.68,8.8,2.38,2,negative
137.5,23.38,13.4,3.62,0,negative
289.5,49.22,9.5,2.57,1,negative
198.1,33.68,6.8,1.84,1,negative
149.7,25.45,9.7,2.62,0,negative
326.5,55.51,10.7,2.89,2,positive
292.9,49.79,13.8,3.73,4,positive
83,14.11,13,3.51,0,negative
145.7,24.77,13.1,3.54,3,negative
182.3,30.99,11.2,3.02,2,negative
218,37.06,6.4,1.73,3,negative
140.6,23.9,6.8,1.84,2,negative
152.7,25.96,9.4,2.54,1,negative
106.7,18.14,12.1,3.27,1,negative
243.8,41.45,13.7,3.7,2,negative
194.4,33.05,10.8,2.92,3,negative
213.9,36.36,12.2,3.29,3,negative
217.2,36.92,15.8,4.27,3,negative
241.1,40.99,11.6,3.13,1,negative
203.5,34.6,11.9,3.21,0,negative
155.2,26.38,10.7,2.89,1,negative
167.6,28.49,12.2,3.29,1,negative
226.7,38.54,17.6,4.75,2,positive
179.3,30.48,11.5,3.11,3,negative
151.4,25.74,10.9,2.94,0,negative
180,30.6,4.7,1.27,3,negative
250.2,42.53,13,3.51,1,positive
223,37.91,7.1,1.92,0,negative
183.6,31.21,12.2,3.29,3,negative
166,28.22,10.2,2.75,1,negative
136.1,23.14,4.4,1.19,1,negative
149.3,25.38,8.9,2.4,2,negative
65.4,11.12,13.8,3.73,2,negative
213.4,36.28,2.7,0.73,1,negative
206.9,35.17,7.7,2.08,3,negative
186.2,31.65,9.6,2.59,2,negative
280.2,47.63,13.3,3.59,4,negative
196.6,33.42,11.9,3.21,0,negative
312,53.04,10.5,2.84,0,positive
199,33.83,11,2.97,1,negative
203.1,34.53,13.5,3.65,3,negative
168.8,28.7,10.9,2.94,0,negative
173.1,29.43,9,2.43,1,negative
134.4,22.85,10.2,2.75,5,positive
202.6,34.44,9,2.43,2,negative
74.5,12.67,9.8,2.65,3,negative
83.6,14.21,10.7,2.89,0,negative
192.2,32.67,9.4,2.54,1,negative
220.2,37.43,12.9,3.48,0,negative
135.1,22.97,12.3,3.32,2,positive
253.4,43.08,8.4,2.27,1,negative
225,38.25,7.1,1.92,3,negative
198.5,33.75,9.4,2.54,0,positive
110.3,18.75,9.5,2.57,0,negative
60,10.2,11.1,3,0,negative
214.8,36.52,10.2,2.75,0,negative
181.8,30.91,9.2,2.48,4,negative
154,26.18,11.8,3.19,2,negative
157.4,26.76,13.9,3.75,4,positive
207.9,35.34,14.4,3.89,4,negative
207,35.19,9.1,2.46,3,negative
119,20.23,9.5,2.57,0,negative
143.7,24.43,10.9,2.94,0,negative
165.9,28.2,14.1,3.81,4,negative
138.6,23.56,9.8,2.65,1,negative
84.7,14.4,14.5,3.92,1,negative
62.6,10.64,10.4,2.81,1,positive
155.2,26.38,8.7,2.35,1,negative
164.9,28.03,6.7,1.81,1,negative
134.5,22.87,15.4,4.16,1,negative
143.3,24.36,11.5,3.11,1,negative
168.3,28.61,12.5,3.38,1,negative
262.4,44.61,8.3,2.24,2,negative
206.2,35.05,11.4,3.08,1,negative
225.8,38.39,8.4,2.27,4,negative
138.3,23.51,13.5,3.65,3,negative
94.4,16.05,4.5,1.22,0,negative
160,27.2,9.9,2.67,2,negative
206.6,35.12,14.6,3.94,0,negative
134.7,22.9,7.7,2.08,1,negative
214.4,36.45,8,2.16,3,negative
192.8,32.78,13,3.51,3,negative
151.1,25.69,10,2.7,1,negative
221.4,37.64,9.8,2.65,3,negative
218.9,37.21,11.1,3,0,negative
189.8,32.27,6.5,1.76,2,positive
192.7,32.76,10.9,2.94,2,negative
204.4,34.75,10.5,2.84,3,negative
172.3,29.29,13,3.51,2,negative
198.4,33.73,10.4,2.81,2,negative
211.7,35.99,12.2,3.29,1,negative
221.6,37.67,9,2.43,1,negative
197.9,33.64,6.7,1.81,3,negative
147.5,25.08,15.6,4.21,2,negative
206.4,35.09,8.8,2.38,2,negative
205.9,35,14.5,3.92,2,negative
207.6,35.29,14.1,3.81,0,negative
303.9,51.66,5.3,1.43,1,positive
230.6,39.2,8,2.16,0,negative
99.5,16.92,9.7,2.62,0,negative
177.1,30.11,5.9,1.59,1,negative
172.7,29.36,10.3,2.78,5,positive
172.7,29.36,9.8,2.65,1,negative
204.2,34.71,9.5,2.57,1,negative
85.7,14.57,10.1,2.73,2,negative
157.6,26.79,11.9,3.21,0,negative
215.5,36.64,6.6,1.78,4,negative
181.5,30.86,6.6,1.78,1,negative
171.7,29.19,11.9,3.21,2,negative
266.6,45.32,5.9,1.59,1,positive
170.4,28.97,11.2,3.02,0,positive
158,26.86,9.1,2.46,1,negative
92,15.64,10.3,2.78,1,negative
234,39.78,9.1,2.46,2,negative
272.1,46.26,8.5,2.3,1,positive
296.4,50.39,11.4,3.08,4,positive
194.4,33.05,11.4,3.08,0,negative
227.2,38.62,8.9,2.4,3,negative
248.7,42.28,13.2,3.56,1,positive
236.3,40.17,9.7,2.62,1,negative
205.6,34.95,10.9,2.94,0,negative
94.1,16,9.8,2.65,0,negative
125.2,21.28,18.9,5.1,0,negative
60.4,10.27,12.4,3.35,1,negative
121,20.57,7.7,2.08,2,negative
117.8,20.03,7.6,2.05,3,negative
232.4,39.51,5,1.35,3,negative
223.5,38,9.4,2.54,2,positive
176.3,29.97,6.2,1.67,0,negative
125.2,21.28,12.9,3.48,1,negative
138.7,23.58,10,2.7,0,negative
86.3,14.67,11.3,3.05,1,negative
207,35.19,13.4,3.62,3,negative
58.8,10,7.1,1.92,0,negative
68.7,11.68,11.4,3.08,1,negative
239.2,40.66,9.5,2.57,1,negative
198.3,33.71,12.5,3.38,0,negative
205.2,34.88,14.4,3.89,0,negative
192.1,32.66,7.9,2.13,3,negative
272.6,46.34,9.5,2.57,1,positive
128.3,21.81,12.2,3.29,7,positive
169.6,28.83,9.3,2.51,0,negative
201.3,34.22,7.5,2.03,1,negative
214.7,36.5,8.6,2.32,1,negative
169.2,28.76,10.6,2.86,0,negative
194.1,33,7,1.89,2,negative
233.8,39.75,7.6,2.05,2,negative
225.1,38.27,14.6,3.94,0,negative
213,36.21,9.1,2.46,1,positive
183.9,31.26,10.8,2.92,1,negative
221.8,37.71,14,3.78,0,negative
64.6,10.98,0,0,2,negative
154.6,26.28,13.3,3.59,1,negative
260.2,44.23,7.2,1.94,3,negative
161.6,27.47,12.2,3.29,1,negative
220.6,37.5,10.5,2.84,1,negative
155.9,26.5,13.1,3.54,3,negative
107,18.19,12.8,3.46,4,positive
182.5,31.03,11.3,3.05,4,negative
220.1,37.42,10.1,2.73,4,negative
152.2,25.87,5.3,1.43,1,negative
181.5,30.86,14.7,3.97,2,negative
236.2,40.15,13.2,3.56,2,positive
166.1,28.24,12.7,3.43,1,negative
244.6,41.58,11.3,3.05,1,negative
134.2,22.81,8.5,2.3,2,negative
149.7,25.45,9.2,2.48,1,negative
150.1,25.52,5.8,1.57,1,negative
257.1,43.71,8.8,2.38,1,positive
124.4,21.15,11.3,3.05,0,negative
141.7,24.09,12,3.24,1,negative
230,39.1,11.3,3.05,2,negative
162.3,27.59,10.9,2.94,0,negative
350.8,59.64,10.1,2.73,1,positive
193.3,32.86,9.1,2.46,4,negative
78.2,13.29,18,4.86,1,negative
83.4,14.18,7.6,2.05,1,negative
195.6,33.25,16,4.32,0,negative
201.8,34.31,10.3,2.78,1,negative
197,33.49,10.6,2.86,2,negative
218,37.06,12.4,3.35,0,positive
164.8,28.02,14.8,4,2,negative
179.2,30.46,9.2,2.48,2,negative
214,36.38,10.6,2.86,0,negative
170.5,28.99,11.2,3.02,2,negative
205.7,34.97,6.7,1.81,1,negative
165.5,28.14,11.5,3.11,1,positive
221,37.57,6.8,1.84,2,negative
242.1,41.16,14.7,3.97,3,negative
151.6,25.77,14.7,3.97,1,negative
176.2,29.95,5.7,1.54,0,negative
196,33.32,3.7,1,1,negative
159.5,27.12,7.2,1.94,2,negative
230.2,39.13,10.7,2.89,4,negative
146.7,24.94,8.9,2.4,3,negative
210.5,35.79,8.5,2.3,1,negative
102,17.34,10.7,2.89,1,negative
126,21.42,10.2,2.75,3,negative
168.4,28.63,11.1,3,1,negative
105.6,17.95,8.7,2.35,0,negative
206.5,35.11,12.4,3.35,5,negative
217.1,36.91,9.4,2.54,2,negative
229.6,39.03,10.8,2.92,0,positive
278.3,47.31,9.7,2.62,0,negative
138.6,23.56,7.8,2.11,0,negative
234.4,39.85,2,0.54,1,positive
181.5,30.86,8.5,2.3,1,negative
167.3,28.44,10.6,2.86,1,positive
121,20.57,12,3.24,1,negative
221.1,37.59,10.6,2.86,0,negative
145.8,24.79,9.9,2.67,1,negative
222.8,37.88,11.2,3.02,1,negative
183.4,31.18,7.5,2.03,4,negative
264.3,44.93,9.3,2.51,0,negative
146,24.82,6.8,1.84,0,negative
157.1,26.71,8.5,2.3,4,positive
127.3,21.64,10.3,2.78,1,negative
187.9,31.94,4.8,1.3,2,negative
178.8,30.4,8.4,2.27,2,negative
97.2,16.52,10.4,2.81,2,negative
259.8,44.17,5.4,1.46,0,negative
256.5,43.61,7,1.89,3,negative
169.5,28.82,10,2.7,0,negative
239.7,40.75,8.7,2.35,2,positive
171.5,29.16,5,1.35,1,positive
239.9,40.78,9.8,2.65,0,negative
142.3,24.19,16,4.32,1,negative
184.1,31.3,7.5,2.03,2,negative
206.9,35.17,9.3,2.51,2,negative
259.9,44.18,15.3,4.13,1,negative
203.8,34.65,12.5,3.38,0,negative
248.8,42.3,10.3,2.78,3,negative
221.6,37.67,11.3,3.05,1,negative
192.9,32.79,10.9,2.94,1,negative
122.4,20.81,12.5,3.38,1,negative
104.9,17.83,9.6,2.59,1,negative
173.2,29.44,11.2,3.02,3,negative
119.4,20.3,12.4,3.35,2,negative
250.3,42.55,13.3,3.59,2,positive
178.3,30.31,11.4,3.08,1,negative
243.4,41.38,12.8,3.46,1,negative
155,26.35,11.8,3.19,2,negative
288.7,49.08,8.6,2.32,0,negative
240.4,40.87,11.2,3.02,1,negative
190.3,32.35,8,2.16,1,negative
278,47.26,8.3,2.24,0,positive
155,26.35,13.5,3.65,1,negative
153.5,26.1,6.3,1.7,2,negative
273.4,46.48,12.3,3.32,1,negative
155.3,26.4,12.4,3.35,0,negative
133.1,22.63,6.8,1.84,1,negative
246.8,41.96,12.6,3.4,1,negative
165.4,28.12,9.6,2.59,2,negative
59.5,10.12,11.1,3,0,negative
138.3,23.51,9.6,2.59,3,negative
286.7,48.74,6.9,1.86,2,negative
117.3,19.94,12.2,3.29,1,negative
264.3,44.93,6.3,1.7,4,negative
127.9,21.74,12.5,3.38,0,negative
225.5,38.34,9.8,2.65,0,negative
149,25.33,8.3,2.24,0,negative
198.9,33.81,14.3,3.86,1,negative
256.4,43.59,11.1,3,1,positive
264.8,45.02,14.8,4,1,positive
98.2,16.69,9.3,2.51,2,negative
159.8,27.17,9.7,2.62,2,negative
190.6,32.4,6,1.62,3,negative
184,31.28,11,2.97,0,negative
261.8,44.51,9.6,2.59,1,negative
147.9,25.14,9.6,2.59,3,negative
106.4,18.09,10.1,2.73,1,negative
133.7,22.73,5.9,1.59,0,negative
193.5,32.9,8.5,2.3,0,negative
178.2,30.29,13.6,3.67,3,positive
226.2,38.45,10.5,2.84,3,positive
170.4,28.97,11.6,3.13,1,negative
70.9,12.05,11.1,3,3,negative
194.4,33.05,17.2,4.64,2,negative
240.3,40.85,10.6,2.86,1,negative
75,12.75,9.5,2.57,3,negative
69.1,11.75,6.3,1.7,1,negative
96.6,16.42,6.2,1.67,4,positive
214.6,36.48,14.8,4,0,negative
148.5,25.25,9.9,2.67,3,negative
258.1,43.88,11.7,3.16,1,negative
149.7,25.45,7.6,2.05,3,negative
149.8,25.47,8.1,2.19,1,negative
190.4,32.37,11.2,3.02,2,negative
181.4,30.84,11.6,3.13,1,negative
151.1,25.69,5.3,1.43,1,negative
155.7,26.47,8.1,2.19,0,negative
149.9,25.48,13.3,3.59,2,negative
222.3,37.79,11,2.97,3,negative
149.4,25.4,6.7,1.81,0,negative
233.8,39.75,12.8,3.46,0,negative
204.2,34.71,10.5,2.84,0,negative
242.9,41.29,0,0,1,negative
150.4,25.57,12.3,3.32,1,negative
208.9,35.51,12.8,3.46,0,negative
191.9,32.62,14.3,3.86,1,positive
130.7,22.22,9.4,2.54,2,positive
119.6,20.33,5.9,1.59,2,negative
273.6,46.51,8.2,2.21,1,negative
156.1,26.54,11.1,3,2,negative
178.7,30.38,8,2.16,2,negative
177.5,30.18,11.9,3.21,2,negative
211.3,35.92,9.7,2.62,4,positive
175.2,29.78,7.5,2.03,1,negative
114.3,19.43,12.6,3.4,3,negative
251.4,42.74,7.5,2.03,1,negative
216.9,36.87,17.5,4.73,1,positive
217.2,36.92,9.3,2.51,0,negative
206.3,35.07,12.4,3.35,0,negative
159.3,27.08,11.1,3,1,negative
143.1,24.33,11.4,3.08,2,negative
154,26.18,5.6,1.51,3,positive
186.6,31.72,11.6,3.13,1,negative
170.8,29.04,9.6,2.59,5,positive
124,21.08,12.3,3.32,1,negative
198.3,33.71,14.8,4,3,negative
172.8,29.38,9.1,2.46,2,negative
217.4,36.96,6.6,1.78,0,negative
265.9,45.2,14,3.78,0,positive
93.6,15.91,17.5,4.73,1,negative
98.2,16.69,7.6,2.05,2,negative
214.7,36.5,9.4,2.54,2,negative
168.2,28.59,12.9,3.48,1,negative
202.9,34.49,9,2.43,3,negative
261.4,44.44,11.6,3.13,1,negative
73.3,12.46,8.2,2.21,4,positive
253.7,43.13,9.2,2.48,7,negative
45,7.65,9.8,2.65,2,negative
231.3,39.32,13,3.51,1,negative
47.4,8.06,10.5,2.84,2,negative
227.4,38.66,12.5,3.38,0,negative
40.9,6.95,11.9,3.21,0,negative
124.8,21.22,8.6,2.32,2,negative
68.5,11.65,12.1,3.27,0,negative
163.5,27.8,7.8,2.11,2,negative
163,27.71,6.7,1.81,2,negative
213.7,36.33,10.7,2.89,2,negative
201.3,34.22,5.4,1.46,1,negative
310.4,52.77,9.2,2.48,4,negative
48.4,8.23,18.2,4.91,1,negative
171.2,29.1,14,3.78,1,negative
166.5,28.31,8.5,2.3,0,negative
216.6,36.82,12.4,3.35,0,negative
107.8,18.33,9.9,2.67,2,negative
141.3,24.02,7.8,2.11,1,negative
209.9,35.68,6.6,1.78,0,negative
237.5,40.38,14.2,3.83,9,positive
234.5,39.87,3.5,0.95,3,negative
103.1,17.53,12.2,3.29,3,negative
129.5,22.02,11.9,3.21,1,negative
279.8,47.57,8.4,2.27,2,positive
136.8,23.26,10.3,2.78,5,positive
100.1,17.02,5.9,1.59,0,negative
237.1,40.31,10.1,2.73,4,negative
172.8,29.38,7.9,2.13,4,positive
224.5,38.17,11.5,3.11,2,negative
288.1,48.98,10.2,2.75,3,positive
78.2,13.29,10.1,2.73,2,negative
148.7,25.28,12.7,3.43,2,negative
194.6,33.08,13.1,3.54,2,negative
159.5,27.12,12,3.24,0,negative
194.5,33.07,9.5,2.57,1,negative
174.1,29.6,8.3,2.24,2,positive
131.8,22.41,7.7,2.08,2,negative
160.6,27.3,10.7,2.89,1,negative
146.8,24.96,7.2,1.94,0,negative
200.7,34.12,9.1,2.46,1,negative
145.6,24.75,10.9,2.94,1,negative
229.4,39,8,2.16,2,negative
211,35.87,4.7,1.27,3,negative
121.5,20.66,11.3,3.05,2,negative
216,36.72,3.6,0.97,2,negative
293,49.81,10,2.7,2,negative
221.1,37.59,15.4,4.16,2,positive
181.5,30.86,10.3,2.78,1,negative
74.3,12.63,14.5,3.92,2,negative
62.3,10.59,10.8,2.92,1,negative
228.6,38.86,9,2.43,3,negative
228.1,38.78,9.9,2.67,2,positive
309.9,52.68,14.2,3.83,1,negative
201.9,34.32,13.7,3.7,3,negative
149.8,25.47,11.7,3.16,2,negative
183.8,31.25,7.7,2.08,1,negative
186.7,31.74,16.5,4.46,1,negative
209.4,35.6,7.4,2,1,positive
223.2,37.94,10.2,2.75,3,negative
164.2,27.91,10.7,2.89,1,negative
150.5,25.59,10.3,2.78,1,negative
234.2,39.81,9.8,2.65,0,positive
55.3,9.4,10.2,2.75,1,negative
221.8,37.71,8.4,2.27,1,negative
169.6,28.83,7.4,2,1,negative
89.7,15.25,13.5,3.65,5,positive
80.2,13.63,8.6,2.32,1,negative
218.9,37.21,11.3,3.05,2,negative
125.7,21.37,12.9,3.48,1,negative
176.3,29.97,9.6,2.59,2,negative
207.2,35.22,9.5,2.57,2,negative
205.7,34.97,12.5,3.38,2,negative
151.4,25.74,0,0,1,negative
157.5,26.78,9.6,2.59,3,negative
160.4,27.27,9.1,2.46,2,negative
159,27.03,12.3,3.32,1,negative
214.1,36.4,9.2,2.48,0,negative
102.6,17.44,9.1,2.46,2,negative
159.7,27.15,13.9,3.75,0,positive
202.8,34.48,4.6,1.24,1,negative
57.5,9.78,11.6,3.13,3,negative
169.9,28.88,11.4,3.08,1,negative
335.5,57.04,12.7,3.43,2,positive
139.5,23.72,13.1,3.54,0,negative
142.3,24.19,6.6,1.78,1,negative
187.8,31.93,10.6,2.86,0,negative
146.2,24.85,8.7,2.35,3,negative
231.8,39.41,11.6,3.13,3,negative
193.7,32.93,12.7,3.43,1,negative
156.4,26.59,7.7,2.08,4,negative
220.7,37.52,13.2,3.56,1,positive
239.8,40.77,7.3,1.97,2,negative
172,29.24,8,2.16,1,negative
128.2,21.79,8.8,2.38,2,negative
130.2,22.13,14,3.78,3,negative
195.4,33.22,11.6,3.13,1,negative
293.3,49.86,14.5,3.92,0,positive
191.3,32.52,12.8,3.46,1,negative
122.4,20.81,11.5,3.11,1,negative
209.6,35.63,10.6,2.86,2,negative
215.7,36.67,7.1,1.92,3,negative
161.4,27.44,5.1,1.38,0,negative
144.2,24.51,13.8,3.73,3,negative
220.2,37.43,4.1,1.11,0,positive
256.2,43.55,7.4,2,4,negative
112.7,19.16,6.5,1.76,1,negative
299.5,50.92,13.7,3.7,0,positive
194.8,33.12,13.9,3.75,0,negative
100.8,17.14,9.5,2.57,0,negative
82.5,14.03,4.8,1.3,3,negative
146.4,24.89,15.6,4.21,2,negative
177.9,30.24,10.8,2.92,2,negative
153.5,26.1,10.2,2.75,5,negative
150.7,25.62,9.2,2.48,1,negative
180.1,30.62,7.5,2.03,0,negative
265.3,45.1,12.9,3.48,1,negative
128.6,21.86,11.4,3.08,0,negative
161.5,27.46,7.9,2.13,2,negative
165.3,28.1,9.8,2.65,1,negative
195,33.15,11,2.97,0,negative
213.8,36.35,15.6,4.21,0,negative
205.5,34.94,14,3.78,1,negative
252.9,42.99,8.5,2.3,3,negative
235.6,40.05,15.4,4.16,0,negative
192,32.64,7.5,2.03,1,negative
69.1,11.75,9.1,2.46,0,negative
261.7,44.49,6,1.62,3,positive
235.5,40.04,11.5,3.11,2,negative
213.4,36.28,9.5,2.57,1,negative
206.9,35.17,9.2,2.48,3,negative
263.8,44.85,8.5,2.3,3,negative
183.4,31.18,10.5,2.84,1,negative
157.6,26.79,9.4,2.54,5,positive
175.6,29.85,9.3,2.51,0,negative
242.5,41.23,9.3,2.51,2,negative
151,25.67,9.9,2.67,0,negative
138.1,23.48,8.3,2.24,1,negative
264.7,45,9.5,2.57,1,positive
282.3,47.99,12,3.24,1,negative
211.2,35.9,12.3,3.32,0,negative
197.1,33.51,7.4,2,3,negative
205.3,34.9,7.8,2.11,1,negative
181.8,30.91,9.2,2.48,2,negative
252,42.84,9.6,2.59,2,negative
193.8,32.95,9.2,2.48,0,negative
231.2,39.3,12.3,3.32,1,negative
200.1,34.02,15.5,4.19,0,negative
266.7,45.34,16.3,4.4,1,negative
118.1,20.08,11.9,3.21,2,negative
175.3,29.8,11.8,3.19,0,negative
125.1,21.27,11.2,3.02,3,negative
176.8,30.06,7.5,2.03,1,negative
241.9,41.12,5.9,1.59,1,negative
241.2,41,10.6,2.86,0,negative
217.1,36.91,9.4,2.54,1,negative
