Day_Mins,Day_Charge,Class
214.8,36.52,negative
181.8,30.91,negative
154,26.18,negative
157.4,26.76,positive
207.9,35.34,negative
207,35.19,negative
119,20.23,negative
143.7,24.43,negative
165.9,28.2,negative
138.6,23.56,negative
84.7,14.4,negative
62.6,10.64,positive
155.2,26.38,negative
164.9,28.03,negative
134.5,22.87,negative
143.3,24.36,negative
168.3,28.61,negative
262.4,44.61,negative
206.2,35.05,negative
225.8,38.39,negative
138.3,23.51,negative
94.4,16.05,negative
160,27.2,negative
206.6,35.12,negative
134.7,22.9,negative
214.4,36.45,negative
192.8,32.78,negative
151.1,25.69,negative
221.4,37.64,negative
218.9,37.21,negative
189.8,32.27,positive
192.7,32.76,negative
204.4,34.75,negative
172.3,29.29,negative
198.4,33.73,negative
211.7,35.99,negative
221.6,37.67,negative
197.9,33.64,negative
147.5,25.08,negative
206.4,35.09,negative
205.9,35,negative
207.6,35.29,negative
303.9,51.66,positive
230.6,39.2,negative
99.5,16.92,negative
177.1,30.11,negative
172.7,29.36,positive
172.7,29.36,negative
204.2,34.71,negative
85.7,14.57,negative
157.6,26.79,negative
215.5,36.64,negative
181.5,30.86,negative
171.7,29.19,negative
266.6,45.32,positive
170.4,28.97,positive
158,26.86,negative
92,15.64,negative
234,39.78,negative
272.1,46.26,positive
296.4,50.39,positive
194.4,33.05,negative
227.2,38.62,negative
248.7,42.28,positive
236.3,40.17,negative
205.6,34.95,negative
94.1,16,negative
125.2,21.28,negative
60.4,10.27,negative
121,20.57,negative
117.8,20.03,negative
232.4,39.51,negative
223.5,38,positive
176.3,29.97,negative
125.2,21.28,negative
138.7,23.58,negative
86.3,14.67,negative
207,35.19,negative
58.8,10,negative
68.7,11.68,negative
239.2,40.66,negative
198.3,33.71,negative
205.2,34.88,negative
192.1,32.66,negative
272.6,46.34,positive
128.3,21.81,positive
169.6,28.83,negative
201.3,34.22,negative
214.7,36.5,negative
169.2,28.76,negative
194.1,33,negative
233.8,39.75,negative
225.1,38.27,negative
213,36.21,positive
183.9,31.26,negative
221.8,37.71,negative
64.6,10.98,negative
154.6,26.28,negative
260.2,44.23,negative
161.6,27.47,negative
220.6,37.5,negative
155.9,26.5,negative
107,18.19,positive
182.5,31.03,negative
220.1,37.42,negative
152.2,25.87,negative
181.5,30.86,negative
236.2,40.15,positive
166.1,28.24,negative
244.6,41.58,negative
134.2,22.81,negative
149.7,25.45,negative
150.1,25.52,negative
257.1,43.71,positive
124.4,21.15,negative
141.7,24.09,negative
230,39.1,negative
162.3,27.59,negative
350.8,59.64,positive
193.3,32.86,negative
78.2,13.29,negative
83.4,14.18,negative
195.6,33.25,negative
201.8,34.31,negative
197,33.49,negative
218,37.06,positive
164.8,28.02,negative
179.2,30.46,negative
214,36.38,negative
170.5,28.99,negative
205.7,34.97,negative
165.5,28.14,positive
221,37.57,negative
242.1,41.16,negative
151.6,25.77,negative
176.2,29.95,negative
196,33.32,negative
159.5,27.12,negative
230.2,39.13,negative
146.7,24.94,negative
210.5,35.79,negative
102,17.34,negative
126,21.42,negative
168.4,28.63,negative
105.6,17.95,negative
206.5,35.11,negative
217.1,36.91,negative
229.6,39.03,positive
278.3,47.31,negative
138.6,23.56,negative
234.4,39.85,positive
181.5,30.86,negative
167.3,28.44,positive
121,20.57,negative
221.1,37.59,negative
145.8,24.79,negative
222.8,37.88,negative
183.4,31.18,negative
264.3,44.93,negative
146,24.82,negative
157.1,26.71,positive
127.3,21.64,negative
187.9,31.94,negative
178.8,30.4,negative
97.2,16.52,negative
259.8,44.17,negative
256.5,43.61,negative
169.5,28.82,negative
239.7,40.75,positive
171.5,29.16,positive
239.9,40.78,negative
142.3,24.19,negative
184.1,31.3,negative
206.9,35.17,negative
259.9,44.18,negative
203.8,34.65,negative
248.8,42.3,negative
221.6,37.67,negative
192.9,32.79,negative
122.4,20.81,negative
104.9,17.83,negative
173.2,29.44,negative
119.4,20.3,negative
250.3,42.55,positive
178.3,30.31,negative
243.4,41.38,negative
155,26.35,negative
288.7,49.08,negative
240.4,40.87,negative
190.3,32.35,negative
278,47.26,positive
155,26.35,negative
153.5,26.1,negative
273.4,46.48,negative
155.3,26.4,negative
133.1,22.63,negative
246.8,41.96,negative
165.4,28.12,negative
59.5,10.12,negative
138.3,23.51,negative
286.7,48.74,negative
117.3,19.94,negative
264.3,44.93,negative
127.9,21.74,negative
225.5,38.34,negative
149,25.33,negative
198.9,33.81,negative
256.4,43.59,positive
264.8,45.02,positive
98.2,16.69,negative
159.8,27.17,negative
190.6,32.4,negative
184,31.28,negative
261.8,44.51,negative
147.9,25.14,negative
106.4,18.09,negative
133.7,22.73,negative
193.5,32.9,negative
178.2,30.29,positive
226.2,38.45,positive
170.4,28.97,negative
70.9,12.05,negative
194.4,33.05,negative
240.3,40.85,negative
75,12.75,negative
69.1,11.75,negative
96.6,16.42,positive
214.6,36.48,negative
148.5,25.25,negative
258.1,43.88,negative
149.7,25.45,negative
149.8,25.47,negative
190.4,32.37,negative
181.4,30.84,negative
151.1,25.69,negative
155.7,26.47,negative
149.9,25.48,negative
222.3,37.79,negative
149.4,25.4,negative
233.8,39.75,negative
204.2,34.71,negative
242.9,41.29,negative
150.4,25.57,negative
208.9,35.51,negative
191.9,32.62,positive
130.7,22.22,positive
119.6,20.33,negative
273.6,46.51,negative
156.1,26.54,negative
178.7,30.38,negative
177.5,30.18,negative
211.3,35.92,positive
175.2,29.78,negative
114.3,19.43,negative
251.4,42.74,negative
216.9,36.87,positive
217.2,36.92,negative
206.3,35.07,negative
159.3,27.08,negative
143.1,24.33,negative
154,26.18,positive
186.6,31.72,negative
170.8,29.04,positive
124,21.08,negative
198.3,33.71,negative
172.8,29.38,negative
217.4,36.96,negative
265.9,45.2,positive
93.6,15.91,negative
98.2,16.69,negative
214.7,36.5,negative
168.2,28.59,negative
202.9,34.49,negative
261.4,44.44,negative
73.3,12.46,positive
253.7,43.13,negative
45,7.65,negative
231.3,39.32,negative
47.4,8.06,negative
227.4,38.66,negative
40.9,6.95,negative
124.8,21.22,negative
68.5,11.65,negative
163.5,27.8,negative
163,27.71,negative
213.7,36.33,negative
201.3,34.22,negative
310.4,52.77,negative
48.4,8.23,negative
171.2,29.1,negative
166.5,28.31,negative
216.6,36.82,negative
107.8,18.33,negative
141.3,24.02,negative
209.9,35.68,negative
237.5,40.38,positive
234.5,39.87,negative
103.1,17.53,negative
129.5,22.02,negative
279.8,47.57,positive
136.8,23.26,positive
100.1,17.02,negative
237.1,40.31,negative
172.8,29.38,positive
224.5,38.17,negative
288.1,48.98,positive
78.2,13.29,negative
148.7,25.28,negative
194.6,33.08,negative
159.5,27.12,negative
194.5,33.07,negative
174.1,29.6,positive
131.8,22.41,negative
160.6,27.3,negative
146.8,24.96,negative
200.7,34.12,negative
145.6,24.75,negative
229.4,39,negative
211,35.87,negative
121.5,20.66,negative
216,36.72,negative
293,49.81,negative
221.1,37.59,positive
181.5,30.86,negative
74.3,12.63,negative
62.3,10.59,negative
228.6,38.86,negative
228.1,38.78,positive
309.9,52.68,negative
201.9,34.32,negative
149.8,25.47,negative
183.8,31.25,negative
186.7,31.74,negative
209.4,35.6,positive
223.2,37.94,negative
164.2,27.91,negative
150.5,25.59,negative
234.2,39.81,positive
55.3,9.4,negative
221.8,37.71,negative
169.6,28.83,negative
89.7,15.25,positive
80.2,13.63,negative
218.9,37.21,negative
125.7,21.37,negative
176.3,29.97,negative
207.2,35.22,negative
205.7,34.97,negative
151.4,25.74,negative
157.5,26.78,negative
160.4,27.27,negative
159,27.03,negative
214.1,36.4,negative
102.6,17.44,negative
159.7,27.15,positive
202.8,34.48,negative
57.5,9.78,negative
169.9,28.88,negative
335.5,57.04,positive
139.5,23.72,negative
142.3,24.19,negative
187.8,31.93,negative
146.2,24.85,negative
231.8,39.41,negative
193.7,32.93,negative
156.4,26.59,negative
220.7,37.52,positive
239.8,40.77,negative
172,29.24,negative
128.2,21.79,negative
130.2,22.13,negative
195.4,33.22,negative
293.3,49.86,positive
191.3,32.52,negative
122.4,20.81,negative
209.6,35.63,negative
215.7,36.67,negative
161.4,27.44,negative
144.2,24.51,negative
220.2,37.43,positive
256.2,43.55,negative
112.7,19.16,negative
299.5,50.92,positive
194.8,33.12,negative
100.8,17.14,negative
82.5,14.03,negative
146.4,24.89,negative
177.9,30.24,negative
153.5,26.1,negative
150.7,25.62,negative
180.1,30.62,negative
265.3,45.1,negative
128.6,21.86,negative
161.5,27.46,negative
165.3,28.1,negative
195,33.15,negative
213.8,36.35,negative
205.5,34.94,negative
252.9,42.99,negative
235.6,40.05,negative
192,32.64,negative
69.1,11.75,negative
261.7,44.49,positive
235.5,40.04,negative
213.4,36.28,negative
206.9,35.17,negative
263.8,44.85,negative
183.4,31.18,negative
157.6,26.79,positive
175.6,29.85,negative
242.5,41.23,negative
151,25.67,negative
138.1,23.48,negative
264.7,45,positive
282.3,47.99,negative
211.2,35.9,negative
197.1,33.51,negative
205.3,34.9,negative
181.8,30.91,negative
252,42.84,negative
193.8,32.95,negative
231.2,39.3,negative
200.1,34.02,negative
266.7,45.34,negative
118.1,20.08,negative
175.3,29.8,negative
125.1,21.27,negative
176.8,30.06,negative
241.9,41.12,negative
241.2,41,negative
217.1,36.91,negative
195.4,33.22,negative
222.4,37.81,positive
189.5,32.22,negative
123.1,20.93,negative
256.7,43.64,negative
159.1,27.05,negative
100.1,17.02,negative
30.9,5.25,negative
223.2,37.94,negative
187.4,31.86,negative
315.6,53.65,negative
277.5,47.18,negative
189.8,32.27,negative
147.2,25.02,negative
185.8,31.59,negative
155.4,26.42,negative
154.2,26.21,negative
97.6,16.59,negative
178.8,30.4,negative
149.3,25.38,negative
206,35.02,negative
216.8,36.86,negative
103.3,17.56,negative
139.4,23.7,negative
191.2,32.5,negative
160,27.2,negative
221.7,37.69,negative
62.9,10.69,negative
215.6,36.65,negative
165.3,28.1,negative
94.7,16.1,negative
203.2,34.54,negative
195.3,33.2,negative
143.7,24.43,negative
114.4,19.45,negative
222.8,37.88,negative
175.9,29.9,negative
249.9,42.48,positive
234.5,39.87,negative
210.7,35.82,negative
182.3,30.99,negative
190.3,32.35,negative
177.1,30.11,negative
87.2,14.82,positive
215.6,36.65,negative
137.4,23.36,negative
192.8,32.78,negative
149.3,25.38,negative
143.7,24.43,negative
224.8,38.22,negative
261.2,44.4,negative
196.5,33.41,negative
271.2,46.1,positive
207.2,35.22,negative
300.4,51.07,negative
229.6,39.03,negative
187.5,31.88,negative
57.1,9.71,negative
162.1,27.56,positive
145,24.65,positive
159.5,27.12,negative
190.7,32.42,negative
230.6,39.2,negative
34,5.78,negative
193.4,32.88,negative
202,34.34,negative
191.7,32.59,negative
161.3,27.42,negative
150.6,25.6,negative
184.6,31.38,negative
220.7,37.52,negative
167.3,28.44,negative
154,26.18,negative
121.1,20.59,negative
182.1,30.96,negative
109.6,18.63,negative
209.9,35.68,negative
167.5,28.48,negative
213.9,36.36,negative
115.8,19.69,negative
276.6,47.02,negative
179.4,30.5,negative
187.3,31.84,negative
201.2,34.2,negative
189.6,32.23,negative
186.8,31.76,negative
153.5,26.1,negative
187.6,31.89,negative
230.9,39.25,positive
244.9,41.63,negative
230.9,39.25,negative
187.1,31.81,negative
170.7,29.02,negative
126.9,21.57,positive
189.5,32.22,negative
176.9,30.07,positive
161.1,27.39,negative
169.4,28.8,negative
254.4,43.25,negative
127.7,21.71,negative
170.5,28.99,negative
219.1,37.25,negative
273.5,46.5,negative
161.9,27.52,negative
241.7,41.09,negative
62.8,10.68,negative
281.1,47.79,negative
228.2,38.79,negative
209.8,35.67,negative
265.6,45.15,positive
214.9,36.53,negative
110.5,18.79,negative
281.1,47.79,negative
137.8,23.43,negative
271.5,46.16,positive
112.8,19.18,negative
187.3,31.84,negative
197,33.49,negative
180.4,30.67,negative
148.5,25.25,positive
197.1,33.51,negative
153.7,26.13,negative
261.3,44.42,negative
246.2,41.85,negative
191,32.47,negative
208.3,35.41,negative
253,43.01,negative
202.3,34.39,negative
174.4,29.65,negative
127.1,21.61,negative
143.5,24.4,negative
186.9,31.77,negative
194,32.98,negative
234.8,39.92,negative
123.7,21.03,negative
173.9,29.56,negative
130.9,22.25,negative
314.6,53.48,positive
227.9,38.74,negative
95.5,16.24,negative
185.3,31.5,negative
146.3,24.87,negative
184,31.28,negative
105.8,17.99,negative
178,30.26,negative
149.4,25.4,negative
209.4,35.6,negative
172.1,29.26,negative
169.3,28.78,negative
119.1,20.25,negative
194.2,33.01,negative
198.8,33.8,negative
167.7,28.51,positive
202.2,34.37,negative
322.5,54.83,positive
216.2,36.75,negative
76.4,12.99,negative
72.7,12.36,negative
210.4,35.77,negative
127.2,21.62,negative
201.8,34.31,negative
219.5,37.32,negative
99.3,16.88,negative
239.2,40.66,negative
120.9,20.55,negative
224.7,38.2,negative
176.6,30.02,negative
283.9,48.26,negative
180.6,30.7,positive
125.9,21.4,negative
237.6,40.39,negative
198.4,33.73,negative
274.3,46.63,negative
199.6,33.93,positive
217.7,37.01,negative
134.7,22.9,negative
212.7,36.16,negative
256.3,43.57,negative
183.6,31.21,negative
176.2,29.95,negative
205,34.85,negative
267.9,45.54,positive
179.2,30.46,negative
149.4,25.4,negative
163.6,27.81,negative
207.6,35.29,negative
165.4,28.12,negative
209.8,35.67,negative
220.1,37.42,negative
141.3,24.02,negative
196.5,33.41,negative
180.9,30.75,negative
105,17.85,negative
271.4,46.14,positive
206.7,35.14,negative
166.8,28.36,negative
204.9,34.83,negative
154.6,26.28,negative
127,21.59,negative
267.4,45.46,negative
281,47.77,negative
270.8,46.04,negative
171.2,29.1,negative
124.1,21.1,negative
162.8,27.68,negative
146.3,24.87,negative
254.8,43.32,negative
254.9,43.33,negative
107.7,18.31,negative
158.8,27,negative
182.9,31.09,negative
198.5,33.75,negative
178.4,30.33,negative
110.9,18.85,negative
166.9,28.37,positive
244.8,41.62,negative
120.8,20.54,positive
165.3,28.1,negative
126.7,21.54,negative
215.9,36.7,negative
140.1,23.82,negative
209.9,35.68,negative
139.8,23.77,negative
321.6,54.67,positive
166.6,28.32,negative
214.2,36.41,negative
260,44.2,positive
191.9,32.62,positive
213,36.21,negative
118.1,20.08,negative
190.2,32.33,negative
82.2,13.97,negative
163.8,27.85,negative
267.8,45.53,positive
159.8,27.17,negative
214.3,36.43,negative
287.3,48.84,positive
101.2,17.2,negative
102.8,17.48,negative
109.1,18.55,negative
215.9,36.7,negative
203.4,34.58,negative
110.1,18.72,negative
111,18.87,negative
239.9,40.78,negative
144.8,24.62,negative
135.4,23.02,negative
84.2,14.31,negative
209.1,35.55,negative
130.1,22.12,negative
175.8,29.89,negative
241.9,41.12,negative
136.7,23.24,negative
67.7,11.51,negative
200.4,34.07,negative
125.8,21.39,positive
128.2,21.79,negative
226.3,38.47,negative
162.3,27.59,negative
224.4,38.15,negative
120.5,20.49,negative
91.1,15.49,negative
168.8,28.7,negative
153.5,26.1,negative
226.2,38.45,negative
191.9,32.62,negative
167.9,28.54,positive
180,30.6,negative
257.4,43.76,positive
174.4,29.65,negative
159.7,27.15,negative
237.2,40.32,negative
103,17.51,negative
153.8,26.15,negative
205.1,34.87,negative
175.7,29.87,negative
155.9,26.5,negative
154.4,26.25,negative
209.7,35.65,negative
150,25.5,negative
232.4,39.51,negative
165.4,28.12,negative
199.2,33.86,negative
217.6,36.99,negative
212.1,36.06,negative
154,26.18,negative
193.8,32.95,negative
175.4,29.82,negative
152,25.84,positive
230.2,39.13,negative
174.9,29.73,positive
190.2,32.33,negative
176.4,29.99,negative
160.9,27.35,negative
228.7,38.88,negative
144,24.48,negative
135.9,23.1,negative
334.3,56.83,positive
130.5,22.19,negative
134.2,22.81,positive
278,47.26,positive
105.4,17.92,negative
188.9,32.11,negative
111.8,19.01,negative
159.1,27.05,negative
212.4,36.11,negative
142.3,24.19,negative
346.8,58.96,positive
113.9,19.36,negative
267.9,45.54,positive
171.4,29.14,negative
275.4,46.82,negative
197.2,33.52,negative
192.6,32.74,negative
91.7,15.59,negative
126.3,21.47,negative
251.5,42.76,negative
190.6,32.4,negative
116.1,19.74,negative
217.3,36.94,negative
179.4,30.5,negative
207.7,35.31,negative
277.3,47.14,positive
125.3,21.3,negative
138.1,23.48,negative
169.3,28.78,negative
201.3,34.22,negative
216.7,36.84,negative
190.4,32.37,negative
143.3,24.36,negative
97.4,16.56,negative
181.4,30.84,negative
246.4,41.89,negative
143.4,24.38,negative
104.9,17.83,negative
156.2,26.55,negative
114.8,19.52,negative
232.5,39.53,negative
143.6,24.41,negative
176.7,30.04,negative
263.4,44.78,positive
146.4,24.89,negative
145,24.65,negative
167.8,28.53,negative
166.9,28.37,negative
142.5,24.23,negative
133,22.61,negative
252.9,42.99,negative
95,16.15,negative
194.2,33.01,positive
222.8,37.88,negative
201.8,34.31,negative
216,36.72,positive
146.3,24.87,negative
234.8,39.92,negative
198.6,33.76,negative
94.4,16.05,negative
190.4,32.37,negative
142.6,24.24,negative
134.2,22.81,negative
111.9,19.02,positive
122.8,20.88,negative
189.3,32.18,negative
240.4,40.87,negative
93.5,15.9,negative
158.6,26.96,negative
243.2,41.34,negative
176.4,29.99,negative
220.9,37.55,negative
144.4,24.55,negative
212.3,36.09,negative
147,24.99,negative
96.2,16.35,negative
263.4,44.78,negative
12.5,2.13,negative
162.3,27.59,negative
183.6,31.21,negative
178.1,30.28,negative
201.4,34.24,negative
123,20.91,negative
208,35.36,negative
239.2,40.66,negative
193,32.81,negative
174.5,29.67,negative
116.7,19.84,negative
93.8,15.95,negative
154.1,26.2,negative
239.5,40.72,negative
216,36.72,negative
187.4,31.86,negative
167.4,28.46,negative
160.4,27.27,negative
143.2,24.34,negative
205.3,34.9,negative
219.1,37.25,negative
143.2,24.34,negative
232.8,39.58,negative
162,27.54,negative
25.9,4.4,negative
154.2,26.21,positive
322.3,54.79,positive
209.9,35.68,negative
191.5,32.56,negative
291.1,49.49,negative
215.6,36.65,negative
208.8,35.5,negative
255.9,43.5,negative
252.7,42.96,negative
132.1,22.46,negative
217,36.89,negative
101.9,17.32,negative
211.5,35.96,negative
153.4,26.08,negative
166.3,28.27,negative
185.2,31.48,negative
104.6,17.78,negative
245.2,41.68,negative
274.4,46.65,negative
98.4,16.73,negative
279.9,47.58,negative
187.2,31.82,negative
276.2,46.95,negative
200.4,34.07,negative
162.3,27.59,negative
176.9,30.07,positive
165.5,28.14,negative
217.8,37.03,negative
201.4,34.24,positive
190.5,32.39,negative
179.9,30.58,negative
235.9,40.1,negative
140.4,23.87,negative
144.6,24.58,negative
189,32.13,negative
101,17.17,negative
206.3,35.07,negative
165.1,28.07,negative
165,28.05,positive
155.9,26.5,negative
199.2,33.86,negative
155.3,26.4,negative
208.3,35.41,negative
157.1,26.71,negative
154.4,26.25,positive
189.1,32.15,positive
131.5,22.36,negative
166.4,28.29,negative
142.3,24.19,negative
87.7,14.91,negative
184.1,31.3,negative
174.5,29.67,negative
103.3,17.56,negative
35.1,5.97,negative
246.6,41.92,negative
78.5,13.35,negative
148.1,25.18,positive
206.2,35.05,negative
251.6,42.77,negative
270.3,45.95,positive
156.6,26.62,negative
139.4,23.7,negative
220.2,37.43,negative
214.1,36.4,negative
196,33.32,negative
106.4,18.09,positive
179.4,30.5,negative
216.7,36.84,negative
177.3,30.14,negative
151.6,25.77,negative
262.2,44.57,negative
173.6,29.51,negative
106.6,18.12,negative
193.3,32.86,positive
217.2,36.92,negative
209.5,35.62,negative
95.4,16.22,negative
214.6,36.48,negative
131.6,22.37,positive
168.4,28.63,negative
146.4,24.89,negative
183,31.11,negative
103.3,17.56,negative
112.2,19.07,negative
170.7,29.02,negative
172.5,29.33,negative
194.3,33.03,negative
187.8,31.93,negative
307.1,52.21,negative
118.2,20.09,negative
154,26.18,negative
155.5,26.44,negative
125.6,21.35,negative
199.3,33.88,negative
157.9,26.84,negative
203.4,34.58,negative
222.2,37.77,negative
92.8,15.78,negative
216.8,36.86,negative
193.2,32.84,negative
113.2,19.24,negative
166.2,28.25,negative
262.2,44.57,negative
207.8,35.33,negative
245.4,41.72,negative
287.1,48.81,positive
192.3,32.69,negative
194.2,33.01,negative
211,35.87,negative
141.9,24.12,negative
220.5,37.49,negative
157.4,26.76,negative
143.5,24.4,negative
156,26.52,negative
160.1,27.22,negative
235.1,39.97,positive
160,27.2,positive
188.4,32.03,negative
194.8,33.12,negative
247.8,42.13,negative
221.2,37.6,negative
118.5,20.15,negative
231.8,39.41,negative
215.9,36.7,negative
217.1,36.91,negative
83.5,14.2,negative
183.3,31.16,negative
236.8,40.26,positive
193.8,32.95,negative
134,22.78,negative
176.6,30.02,negative
191.4,32.54,negative
174.8,29.72,negative
275.2,46.78,negative
174,29.58,negative
165,28.05,negative
228.7,38.88,negative
107.9,18.34,negative
221.3,37.62,negative
141.1,23.99,negative
166.4,28.29,negative
249.6,42.43,negative
178.6,30.36,negative
139,23.63,negative
134.3,22.83,negative
215.9,36.7,negative
181.6,30.87,negative
178.4,30.33,negative
106.4,18.09,negative
170.7,29.02,negative
184.5,31.37,negative
161.2,27.4,negative
84.9,14.43,negative
217.9,37.04,negative
270.9,46.05,positive
243,41.31,positive
128.2,21.79,negative
126.3,21.47,negative
178.7,30.38,negative
159,27.03,negative
150.9,25.65,negative
219.9,37.38,negative
168,28.56,negative
162.1,27.56,positive
198.8,33.8,negative
256.8,43.66,negative
182.8,31.08,negative
196.8,33.46,negative
140.1,23.82,negative
194.3,33.03,negative
117.6,19.99,negative
193.7,32.93,negative
243.1,41.33,negative
145.4,24.72,negative
169.1,28.75,negative
229.3,38.98,negative
197.2,33.52,negative
186.4,31.69,positive
76.1,12.94,negative
162.8,27.68,negative
182.3,30.99,negative
194.4,33.05,negative
189.3,32.18,negative
160.1,27.22,negative
145,24.65,negative
220.7,37.52,negative
224.7,38.2,positive
147,24.99,negative
260.8,44.34,negative
155.4,26.42,negative
166.2,28.25,negative
211.8,36.01,negative
130.5,22.19,positive
162.7,27.66,negative
237.1,40.31,negative
166.2,28.25,negative
121.7,20.69,positive
176.4,29.99,negative
67.4,11.46,negative
229.7,39.05,positive
176,29.92,negative
247.7,42.11,positive
115.4,19.62,negative
112.2,19.07,positive
162.6,27.64,negative
229.4,39,negative
139.6,23.73,negative
263.8,44.85,positive
217.5,36.98,negative
114.3,19.43,negative
196.3,33.37,negative
253.2,43.04,negative
98,16.66,negative
249.4,42.4,negative
129.6,22.03,negative
221.3,37.62,negative
220.7,37.52,negative
