Day_Mins,Class
197.3,negative
199.1,negative
233.7,negative
183.1,negative
139.4,negative
213.9,positive
207.1,negative
139.7,negative
177.2,negative
169.8,negative
173.5,negative
159.9,negative
115.1,negative
136.8,negative
92.2,negative
243.9,negative
117.1,negative
223.3,positive
154.8,negative
261.4,positive
46.5,positive
149.9,positive
242.2,positive
259.4,positive
222.4,negative
69.4,negative
156.5,positive
61.2,positive
245.2,negative
102.3,negative
230.9,negative
227.4,negative
192.8,negative
162.6,negative
219.4,negative
137.2,negative
87.7,negative
271.1,negative
103.4,negative
52.2,negative
165.4,positive
147.5,negative
217.8,negative
235.7,negative
204.5,negative
178.4,negative
130.1,negative
103.7,negative
239.9,negative
148.4,negative
148.6,negative
191.1,negative
218.5,negative
97.5,negative
128.7,negative
236.6,negative
85.9,negative
141.2,negative
194.4,negative
167.6,negative
234.5,negative
154.2,negative
143.2,negative
216.4,negative
161.9,negative
118.7,negative
179.1,negative
147.9,negative
209.2,negative
244.3,negative
175.3,negative
150.5,negative
197.4,negative
163.5,negative
236.9,positive
82.3,negative
216,negative
180,negative
143.7,negative
198.2,negative
185.6,negative
137.6,negative
273.9,positive
125.3,negative
178.8,negative
214.9,negative
163,negative
163.8,negative
189.5,negative
155.2,negative
242.3,positive
254.1,negative
112,negative
115.5,negative
137.1,negative
198.4,negative
132.7,negative
219.6,negative
169.6,negative
160.4,negative
95,negative
160.1,negative
194.6,negative
236.4,positive
157.1,negative
179.8,negative
148.2,negative
183.2,negative
119.2,positive
224,negative
19.5,negative
184.8,negative
176.3,negative
241.7,negative
224.7,negative
207.3,negative
196.8,negative
110.9,negative
122.5,negative
226.9,negative
187,negative
170.5,negative
204.8,negative
165.9,negative
154,positive
158.1,negative
225.2,negative
159.4,positive
172.7,negative
222.8,negative
214.1,negative
54.8,negative
134,negative
184.8,negative
283.1,negative
291.8,positive
222.7,negative
174.5,negative
68.4,negative
273,negative
225.3,positive
283.2,negative
131.4,positive
89.7,negative
127.1,negative
105.9,negative
142.3,negative
191.3,negative
201.9,negative
247.3,negative
242.2,negative
127.3,positive
162,negative
179.1,negative
197.4,negative
148.2,negative
193.1,negative
171.7,negative
198.5,negative
121.7,negative
130.2,negative
203.4,negative
174.7,negative
241,positive
141.7,negative
134.8,negative
163.1,negative
145.5,negative
329.8,positive
194.5,negative
131.9,negative
150,negative
196.6,negative
99.7,negative
143.6,negative
231.9,negative
37.8,negative
72.8,negative
94.8,negative
221.8,negative
269,positive
268.3,positive
198.7,negative
115.5,positive
202.1,negative
215.6,negative
169.9,negative
201.7,negative
221.1,negative
218.7,negative
293.7,positive
120.3,positive
175.8,negative
278.5,positive
236.3,negative
273.8,negative
131.1,positive
167.4,negative
197.7,negative
169.5,negative
225.2,negative
174.5,negative
129.7,positive
200,negative
95.9,negative
152.8,negative
129.9,negative
268.4,positive
188.5,negative
170.6,negative
191.4,negative
75.3,negative
149.8,negative
115.9,negative
128.8,negative
131.7,negative
101.4,negative
149,negative
96.8,negative
107.5,negative
232.8,positive
121.1,negative
124.3,negative
157.7,negative
124.3,negative
286.4,positive
141.7,negative
173,negative
268.7,positive
218.5,negative
255.3,negative
41.9,negative
260.8,negative
239.4,negative
226.7,negative
179.3,positive
158,negative
175.7,negative
157.4,negative
113.1,positive
182.7,negative
161.3,positive
142.5,negative
190.5,positive
159.3,negative
153.8,negative
180.7,negative
202.7,negative
190.8,negative
205.1,negative
235.6,negative
189.3,negative
166.9,negative
245.2,positive
132.6,positive
182.3,negative
192.3,negative
122,positive
193,negative
158.6,negative
91.5,negative
153.6,negative
221.6,negative
244.7,negative
239.8,negative
172.4,negative
242.5,positive
117.6,negative
174.5,negative
157.3,negative
192,negative
218.2,negative
144.6,negative
153.6,positive
135.8,negative
160.7,negative
202.5,negative
152.2,negative
227.4,negative
191.6,negative
138.9,negative
127,negative
168.6,negative
286.6,positive
164.6,negative
144,negative
141.6,negative
204.3,negative
163.2,negative
225,negative
176.1,negative
254.2,negative
174.9,negative
187.3,positive
211.8,negative
241.9,negative
196.1,negative
231.3,negative
161.6,negative
194,negative
109.7,negative
277,negative
192.1,negative
198.4,negative
209.2,negative
184.8,negative
167.8,negative
139.2,negative
221.3,negative
121.6,negative
270.4,negative
139.6,negative
253,negative
183.9,negative
203.3,negative
200.6,negative
167.6,negative
156.5,negative
215.1,negative
301.7,negative
152.3,negative
195.4,negative
208.7,negative
190.1,negative
185.4,negative
183.2,negative
54.2,positive
208,negative
230.3,negative
240.8,negative
195.7,negative
276.1,positive
166.1,negative
135.9,positive
189.1,positive
177.9,negative
143.9,negative
148.2,negative
287.1,positive
179.7,positive
165.8,positive
144.1,negative
172.5,negative
199.8,negative
109.1,negative
171.8,negative
222.3,positive
245.8,negative
164.6,negative
211.7,negative
147.2,positive
254.7,positive
170.1,negative
195.1,negative
149.3,positive
81.9,positive
191.1,negative
206.9,negative
239,positive
179.3,negative
185.3,negative
141.4,negative
248.6,negative
152.5,negative
145.6,negative
164.2,negative
221,negative
295.4,positive
139.8,negative
162.3,positive
272.7,positive
200.3,negative
157.1,negative
135.8,negative
236.7,negative
111.4,negative
156.1,positive
191.1,negative
153,positive
218.8,negative
205.4,negative
225.2,positive
249.9,positive
131.6,negative
197.9,negative
166.5,negative
225.4,negative
275.8,positive
142.9,negative
207.2,negative
206.2,negative
210.3,negative
225.7,positive
167.8,positive
197.7,negative
169.8,negative
190.6,negative
80.3,negative
231.7,negative
69.1,negative
188.8,negative
150.6,positive
192,negative
163.7,negative
211.7,negative
175.5,negative
150.1,negative
189.5,negative
70.8,positive
215.5,negative
101.7,negative
258.4,negative
242.4,negative
131.8,negative
190.2,negative
154.1,negative
188,negative
103.1,negative
175.4,negative
145.4,negative
250.6,negative
161.5,negative
260.1,positive
281.3,positive
130.1,positive
102,negative
218.7,negative
128.5,negative
128.7,positive
172.2,negative
199.2,negative
184.5,negative
168.6,negative
174,negative
230.4,negative
198.2,negative
186.1,negative
148.5,negative
157.1,negative
155,positive
129.3,negative
188.5,negative
208.8,negative
238,positive
211.1,negative
198.9,negative
212.8,negative
137.4,negative
191.8,negative
149,negative
117.1,negative
108,negative
112.8,negative
175.9,negative
236.6,positive
169.4,negative
129.6,negative
177.1,negative
133.3,negative
167.8,negative
174.6,negative
150.3,negative
283.2,negative
157.8,positive
141.2,negative
230.2,negative
237.8,positive
204,positive
221.1,negative
177.2,negative
118,negative
163.8,negative
141.3,negative
272.5,positive
118.9,negative
7.9,negative
159.5,negative
150.2,negative
144.5,negative
140.7,negative
169.2,negative
220.8,negative
216.3,negative
169.5,negative
256.3,negative
179.7,negative
266,negative
96.7,negative
82.7,negative
168.2,negative
286.4,positive
174.3,negative
190.6,negative
175.5,negative
133.4,negative
204.6,negative
242.2,negative
253.1,negative
130,negative
105.9,negative
194.2,negative
183.8,negative
196.5,negative
184.5,negative
261.9,negative
202.4,negative
167.4,negative
167.7,negative
191.7,negative
240.2,negative
189.1,negative
127.7,negative
205.2,negative
153.6,negative
154.5,negative
153.7,negative
171.2,negative
328.1,positive
145.9,positive
201.2,negative
139.1,negative
118.9,negative
217.6,positive
145,negative
203.5,negative
240.1,negative
83.8,negative
269.8,positive
126.3,negative
88.1,negative
218.5,negative
236.8,negative
124.1,negative
184.2,negative
222.7,negative
149.2,negative
206.5,negative
159.7,negative
204.7,negative
213.2,negative
